requirement_id,priority,area,requirement,related_defects,acceptance_evidence,development_status,verification_status,development_evidence,verification_command,note
QA34-REQ-011,P0,Batch/Kafka,Remote Worker execution/ledger/reply/ACK process-kill 경계를 검증한다.,QA34-DF-014,"DirectChannel 계약 보호, duplicate/lease/DLT/late reply evidence",완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,python cpf-tools/scripts/verify-cpf-qa34-kafka-ack-contract.py --root . && pwsh -File cpf-tools/scripts/smoke-bat-two-worker-runtime.ps1,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-012,P1,Batch/Security,Protocol Adapter Outbound Network Policy를 구현한다.,QA34-DF-013,scheme/TLS/allowlist/DNS/CIDR/size/timeout negative test,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,python cpf-tools/scripts/verify-cpf-qa34-batch-outbound-policy.py --root .,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-013,P0,Scheduler,multi-instance durable outbox/fencing/unknown reconciliation을 검증한다.,QA34-DF-014,duplicate/response-loss/process-kill/lease expiry evidence,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,pwsh -File cpf-tools/scripts/verify-cpf-qa34-runtime-matrix.ps1,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-014,P1,Gateway/Security,Gateway DNS rebinding 방지와 connection identity를 구현한다.,QA34-DF-011,DNS change/mixed A-AAAA/metadata/redirect fixture 실패,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,python cpf-tools/scripts/verify-cpf-qa34-network-identity.py --root .,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-015,P0,Gateway,retry/stream/client disconnect/async completion/audit recovery를 실제 검증한다.,QA34-DF-014,multi-instance exact-once ledger completion evidence,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,pwsh -File cpf-tools/scripts/verify-cpf-qa34-runtime-matrix.ps1,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-016,P1,Agent/Security,Artifact Repository DNS/TLS/Host/IP identity를 고정한다.,QA34-DF-012,rebinding/proxy/redirect/signature/key rotation fixture,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,python cpf-tools/scripts/verify-cpf-qa34-network-identity.py --root .,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-017,P0,Deployment,Cell lock/side effect/compensation/reconcile multi-instance state machine을 검증한다.,QA34-DF-014,"각 단계 process-kill, DB failure, partial rollback evidence",완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,pwsh -File cpf-tools/scripts/verify-cpf-qa34-runtime-matrix.ps1,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-018,P0,Supply Chain,Final Artifact/BOM/Plugin/Frontend/DB/SBOM을 동일 exact SHA로 연결한다.,QA34-DF-002;QA34-DF-003;QA34-DF-014,POM/JAR/WAR/bundle/DB pack/SBOM/signature hash manifest,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,pwsh -File cpf-tools/scripts/generate-cpf-supply-chain-evidence.ps1,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-019,P0,Traceability,"QA33 138 Requirement, 414 Scenario, 552 Result를 재판정한다.",QA34-DF-009,"미검증/부분 구현 0 또는 명시적 blocker, 양방향 trace",완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,python cpf-tools/scripts/reclassify-cpf-qa33-matrices.py --strict,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-020,P0,Independent QA,최종 Push 후 별도 fresh clone 독립 검증을 수행한다.,QA34-DF-003;QA34-DF-014,empty cache exact SHA full runtime and evidence hash recalculation,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,pwsh -File cpf-tools/scripts/verify-cpf-qa34-independent-review.ps1,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
