id,priority,area,status,title,finding,evidence_paths,acceptance_criteria
PREQA-GW-UI-002,P0,ADM Gateway UI,부분 구현,Binding 승인·활성·차단·Retire 운영 흐름,화면 설명은 Draft→검증→승인→활성화를 말하지만 현재 화면에는 저장과 연결시험 중심이며 승인 요청·활성·차단·Retire 조작 흐름이 완결되지 않는다.,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,권한·사유·승인 ID·CAS version·위험 확인을 포함한 상태 전이 UI/API 흐름과 감사 조회가 동작해야 한다.
PREQA-GW-UI-003,P1,ADM Gateway UI,부분 구현,Paging·상세·Drift 복구,"Group/Binding/Apply/Test를 고정 limit 200으로 조회하고 paging, 상세 오류, drift 재적용/재시험 제어가 없다.",cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,"서버 paging, 필터, 상세, drift 원인/재적용, 대량 데이터 성능 E2E를 제공해야 한다."
PREQA-GW-UI-004,P0,ADM Gateway UI,재확인 필요,권한별 버튼 통제,신규·저장·시험 버튼이 화면 권한에 따라 숨김/비활성화되는 코드가 확인되지 않았다.,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,READ/WRITE/APPROVE/CONTROL 권한별 UI·API 403·직접 호출 방어 E2E가 PASS해야 한다.
PREQA-GW-UI-005,P2,ADM Gateway UI,부분 구현,SSE reconnect lifecycle,EventSource 오류 시 생성한 reconnect timer를 보관·해제하지 않아 화면 이탈 후 재연결이 발생할 수 있다.,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,"단일 reconnect timer, exponential backoff+jitter, unmount cancel, offline/online 복구 test를 추가해야 한다."
PREQA-BAT-PUB-001,P0,Batch Ownership,부분 구현,Published projection 단일 Owner,Control Service가 publish transaction에서 bat_job/bat_schedule을 직접 투영하면서 Outbox도 생성하고 Scheduler Synchronizer가 다시 같은 projection을 수행한다.,cpf-batch/control-server/src/main/java/com/cpf/batch/control/job/BatchJobDefinitionService.java; cpf-batch/scheduler/src/main/java/com/cpf/batch/scheduler/BatchProjectionScheduleSynchronizer.java,Projection owner를 하나로 통일하고 중복 update/race/drift를 제거하며 publish 장애·재처리 시나리오를 검증해야 한다.
PREQA-BAT-PUB-002,P0,Batch Definition,부분 구현,Publish 시 전체 재검증,"publishApproved/transition은 상태·checksum·maker-checker를 확인하지만 executor capability, dependency, trigger, effective period를 publish 직전에 다시 검증하지 않는다.",cpf-batch/control-server/src/main/java/com/cpf/batch/control/job/BatchJobDefinitionService.java,승인 Snapshot 기준으로 전체 semantic validation과 설치 capability/agent pool readiness를 재확인하고 실패 시 publish를 차단해야 한다.
PREQA-BAT-SCH-001,P0,Batch Scheduler,부분 구현,CALENDAR/BUSINESS_DAY Trigger 의미 구현,CRON·CALENDAR·BUSINESS_DAY 모두 CronExpression.parse를 사용하고 calendar_id를 DEFAULT로 고정한다.,cpf-batch/scheduler/src/main/java/com/cpf/batch/scheduler/BatchProjectionScheduleSynchronizer.java,"Trigger type별 전용 모델과 Calendar/Holiday/Business-day 계산, timezone/DST/misfire test가 PASS해야 한다."
PREQA-BAT-SCH-002,P1,Batch Scheduler,부분 구현,Projection Outbox 운영·DLQ,"Outbox는 무제한 retry하며 max attempts, DEAD/PAUSED 상태, 상세 오류, backlog 경보와 운영 재처리 제어가 없다.",cpf-batch/scheduler/src/main/java/com/cpf/batch/scheduler/BatchProjectionScheduleSynchronizer.java,retry ceiling·DLQ·수동 재처리·경보·fencing 상태 조회를 제공해야 한다.
PREQA-BAT-WRK-001,P0,Batch Worker,Consumer 단절,unknownResultPolicy 실제 실행,Definition에 FAIL_CLOSED/RECONCILE/MANUAL_REVIEW/COMPENSATE가 있으나 Dispatcher는 UNKNOWN_RESULT를 그대로 완료 처리하고 정책별 동작을 수행하지 않는다.,cpf-batch/worker/src/main/java/com/cpf/batch/worker/JobPackDispatcher.java; cpf-batch/worker/src/main/java/com/cpf/batch/worker/BatchRuntimeExecutorRegistry.java,정책별 상태 전이·재확인 queue·운영 승인·보상 실행·감사·중복 방지 시나리오를 구현해야 한다.
PREQA-BAT-WRK-002,P0,Batch Worker,미구현,Compensation/Reconciliation Runtime,compensationReference가 저장되지만 실제 보상 executor와 결과 불명 재확인 worker 연결이 확인되지 않는다.,cpf-batch/control-server/src/main/java/com/cpf/batch/control/job/BatchJobDefinitionService.java; cpf-batch/worker/src/main/java/com/cpf/batch/worker/JobPackDispatcher.java,"보상 command ledger, 승인 필요 조건, idempotency, retry, 성공/실패/unknown 운영 조회를 제공해야 한다."
PREQA-BAT-WRK-003,P0,Batch Worker,부분 구현,Spring Batch 비동기 완료·Lease heartbeat,JobOperator.start 반환 직후 상태를 읽어 STARTING/STARTED를 UNKNOWN_RESULT로 판단할 수 있고 장시간 실행 중 lease heartbeat/fencing 연계가 Dispatcher에서 확인되지 않는다.,cpf-batch/worker/src/main/java/com/cpf/batch/worker/JobPackDispatcher.java,"동기/비동기 launcher 양쪽에서 실제 terminal 상태까지 추적하고 heartbeat, stop, worker crash recovery를 검증해야 한다."
PREQA-BAT-WRK-004,P0,Batch Worker Security,부분 구현,Protocol Adapter SSRF·TLS·Credential 통제,"PROTOCOL_ADAPTER가 Definition URI를 JDK HttpClient로 직접 호출하여 host allowlist, private IP 차단, credential reference, TLS policy, audit/trace 표준을 우회한다.",cpf-batch/worker/src/main/java/com/cpf/batch/worker/BatchRuntimeExecutorRegistry.java,CPF 외부연계 Port를 사용하고 URI allowlist/DNS rebinding/TLS/secret reference/감사/timeout 정책을 강제해야 한다.
PREQA-BAT-WRK-005,P0,Batch Worker,부분 구현,JSON payload 직렬화,Map 등 구조화 parameter를 Objects.toString으로 변환해 {key=value} 형식의 비정상 JSON을 전송한다.,cpf-batch/worker/src/main/java/com/cpf/batch/worker/BatchRuntimeExecutorRegistry.java,"ObjectMapper canonical JSON, content type별 codec, schema validation test를 적용해야 한다."
PREQA-BAT-WRK-006,P1,Batch Worker,부분 구현,외부 payload/response 상한,SERVICE_CALL/PROTOCOL 응답을 String으로 전체 적재하고 MESSAGE payload 상한이 보이지 않는다.,cpf-batch/worker/src/main/java/com/cpf/batch/worker/BatchRuntimeExecutorRegistry.java,"request/response/message byte ceiling, streaming/file spill, truncation·masking·oversize 실패 상태를 구현해야 한다."
PREQA-BAT-WRK-007,P0,Batch Worker,부분 구현,비멱등 SERVICE_CALL retry 통제,SERVICE_CALL이 maxAttempts-1을 retryCount로 전달하지만 POST 등 비멱등 호출의 idempotency key/정책 검증이 없다.,cpf-batch/worker/src/main/java/com/cpf/batch/worker/BatchRuntimeExecutorRegistry.java,비멱등 호출 retry 금지 또는 durable idempotency key·결과 원장·unknown handling을 강제해야 한다.
PREQA-BAT-WRK-008,P1,Batch Worker,부분 구현,Executor capability Publish 사전 검증,RuntimeExecutorRegistry는 선택 주입이며 Capability 부재는 실행 시점에야 실패한다.,cpf-batch/worker/src/main/java/com/cpf/batch/worker/JobPackDispatcher.java; cpf-batch/control-server/src/main/java/com/cpf/batch/control/job/BatchJobDefinitionService.java,Agent pool별 executor capability catalog와 publish readiness 검증을 제공해야 한다.
PREQA-BAT-UI-001,P1,ADM Batch UI,부분 구현,APPROVAL 상태 불변성,화면 immutableVersion은 PUBLISHED/RETIRED만 포함해 APPROVAL 상태 Definition 입력 필드를 수정할 수 있다. Backend가 막더라도 UI 계약이 잘못됐다.,cpf-admin/frontend/src/features/batch-job-packs/BatchJobPacksPage.vue,APPROVAL 포함 상태별 editable matrix와 clone-new-version 흐름을 제공해야 한다.
PREQA-BAT-UI-002,P1,ADM Batch UI,재확인 필요,권한·승인 UX,저장·상태 전이·Retire 버튼의 권한별 표시와 실제 ADM approval request 상세/이력 연결이 확인되지 않았다.,cpf-admin/frontend/src/features/batch-job-packs/BatchJobPacksPage.vue,READ/WRITE/REQUEST/APPROVE/RETIRE 권한과 승인 상태·maker/checker·감사 이력을 화면에서 확인해야 한다.
PREQA-BAT-UI-003,P1,ADM Batch UI,재확인 필요,Runtime·Recovery 운영 화면 연결,Definition 화면에서 실행·attempt·lease·unknown·reconcile·compensation 상태로 직접 이동하는 흐름을 확인하지 못했다.,cpf-admin/frontend/src/features/batch-job-packs/BatchJobPacksPage.vue; cpf-admin/frontend/src/features/batch-runtime-control,Definition→execution→attempt→recovery drill-down과 위험 조치 권한/사유/승인을 E2E로 검증해야 한다.
PREQA-ADM-PAR-001,P0,ADM Parameter Reference,미구현,Secret/Path/File Catalog 실제 Provider,Adapter가 SECRET/PATH/FILE에 항상 Provider 미설치 응답을 반환해 계약과 UI만 존재한다.,cpf-admin/src/main/java/com/cpf/admin/opr/parameter/AdmParameterReferenceCatalogAdapter.java,제품 Owner Provider와 권한·paging·masking을 구현하거나 미지원 type을 schema/UI에서 노출하지 않아야 한다.
PREQA-ADM-PAR-002,P1,ADM Parameter Reference,부분 구현,Paging·선택값 Resolve,Reference picker는 limit=100 고정이고 hasMore를 사용하지 않으며 저장값이 첫 페이지에 없을 때 label resolve가 안 된다.,cpf-admin/frontend/src/components/parameters/ReferenceCatalogSelect.vue; cpf-admin/src/main/java/com/cpf/admin/opr/parameter/AdmParameterReferenceCatalogAdapter.java,"cursor/paging, debounce, selected-id resolve, parent change consistency와 대량 catalog test가 필요하다."
PREQA-ADM-SEC-001,P0,ADM Security,부분 구현,Client body identity fallback 제거,Log Policy create/override가 인증 operator가 없을 때 requestUser/approvedBy body 값을 identity로 사용할 수 있다.,cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogPolicyService.java,모든 위험 변경은 인증 context actor만 사용하고 body identity 필드를 제거/무시하며 spoof test가 PASS해야 한다.
PREQA-ADM-LOG-001,P0,ADM Log Policy,부분 구현,Override 실제 Maker-Checker 승인,한 요청에서 body requester와 현재 operator가 다르기만 하면 즉시 active override를 만들 수 있어 durable approval workflow를 우회할 수 있다.,cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogPolicyService.java,승인 요청 Snapshot→별도 checker 승인→owner command→적용 ACK 흐름으로 전환해야 한다.
PREQA-ADM-LOG-002,P1,ADM Log Policy,부분 구현,CAS·Capability 사전 검증,Policy upsert/update/override에 일관된 row version CAS가 없고 ENCRYPTED_BODY Provider 존재를 저장 시 검증하지 않는다.,cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogPolicyService.java,"rowVersion 기반 conflict, provider readiness, distribution ACK/rollback과 UI conflict 표시가 필요하다."
PREQA-ADM-EXPORT-001,P0,ADM Log Export,부분 구현,다중 인스턴스 Artifact 저장,Artifact metadata가 JVM ConcurrentHashMap이고 파일이 로컬 temp에 있어 create 인스턴스와 download 인스턴스가 다르면 실패한다.,cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogExportService.java,"공유 object/file store 또는 durable DB metadata, one-time token, multi-instance download test를 구현해야 한다."
PREQA-ADM-EXPORT-002,P0,ADM Log Export Security,부분 구현,자유 문자열 Payload 마스킹,Map key 기반 masking만 수행하며 request/response body 같은 자유 문자열 내부의 token·계좌·주민번호는 truncate만 하고 그대로 Export될 수 있다.,cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogExportService.java,공통 masking policy와 payload codec을 재사용하고 민감정보 fixture가 원문으로 남지 않는 test를 추가해야 한다.
PREQA-ADM-EXPORT-003,P1,ADM Log Export Security,부분 구현,At-rest·restart cleanup·감사 원자성,임시 파일 암호화/권한 강화가 없고 process restart 시 메모리 registry가 사라져 orphan artifact cleanup이 안 되며 audit 실패 시 artifact 정리가 보장되지 않는다.,cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogExportService.java,"암호화/secure ACL, startup scavenger, durable TTL metadata, audit fail-closed cleanup을 구현해야 한다."
PREQA-GATE-001,P0,Verification Gate,부분 구현,Anchor 기반 False-green 제거,QA30 verifier가 파일 내 문자열 anchor 존재를 실제 Consumer 동작의 증거로 사용한다.,cpf-tools/scripts/verify-qa30-completion.py,compile/test/runtime assertion과 API/DB 결과 검증으로 대체하고 문자열만 추가해 PASS할 수 없게 해야 한다.
PREQA-GATE-002,P0,Work Context,실패,Current Request 최신 SHA/작업 내용 Drift,"CPF_CURRENT_WORK_REQUEST.md가 적용 전 SHA 0c502b9와 Overlay 적용 절차, 신규 개발 잔여 없음 문구를 유지한다.",cpf-docs/work/current/CPF_CURRENT_WORK_REQUEST.md,693cc77 기준 자체 결함·QA 병합 개발 요청으로 교체하고 Overlay 재적용 금지를 명시해야 한다.
PREQA-TEST-001,P0,Test Coverage,부분 구현,대규모 변경 대비 행동 Test 부족,"55,331줄 변경으로 다수 Runtime/Controller/UI/DB가 추가됐지만 변경 목록의 신규 Test는 일부 Gateway codec/canary와 File executor 중심이다.",commit 693cc77bde4c830b78ca1408dec7e34ef84cd11d changed files,각 P0/P1 항목에 정상·오류·경계·동시성·다중 인스턴스·복구 test를 Source와 함께 추가해야 한다.
PREQA-DB-001,P0,DB Lifecycle,미검증,3 Vendor 실제 Lifecycle,Oracle·PostgreSQL·MariaDB Install·Upgrade·Rollback이 693cc77 exact SHA에서 실행되지 않았다.,cpf-tools/db/vendor/oracle; cpf-tools/db/vendor/postgresql; cpf-tools/db/vendor/mariadb,각 Vendor clean install→upgrade from supported baseline→rollback→re-upgrade→runtime SQL smoke를 실제 DB에서 PASS해야 한다.
PREQA-DB-002,P1,DB Lifecycle,미검증,Migration/Rollback 데이터 보존과 Drift,정적 checksum/parity만으로 기존 데이터·FK·index·rollback 재실행 안전성을 증명하지 못한다.,cpf-tools/db/canonical/platform-schema.json; cpf-tools/db/vendor/*/migration; cpf-tools/db/vendor/*/rollback,seeded production-like data로 schema/data invariant와 unsupported drift fail-closed를 검증해야 한다.
PREQA-RUNTIME-001,P0,Gateway Runtime,미검증,Gateway multi-instance/failure injection,"route apply, nonce, health, connection test, target-down, failover, retry, stream failure가 2개 이상 인스턴스에서 미검증이다.",cpf-gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,exact-SHA runtime evidence와 DB ledger/ACK 조회 결과를 저장해야 한다.
PREQA-RUNTIME-002,P0,Batch Runtime,미검증,Definition→Approval→Publish→Scheduler→Worker→Recovery E2E,전체 Batch 제품 흐름과 worker crash/fencing/retry/unknown/compensation이 미검증이다.,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/approval/owner/BatchJobDefinitionApprovalOwnerCommandAdapter.java,2 scheduler·2 worker 이상에서 end-to-end 및 복구 evidence를 생성해야 한다.
PREQA-FRONT-001,P0,Browser E2E,미검증,ADM/BZA 권한·승인·SSE Browser 검증,신규 Gateway/Batch/Reference/Log Export UI의 실제 Browser 권한·오류·접근성·SSE가 미검증이다.,cpf-admin/frontend; cpf-biz-admin/frontend,"권한별 Browser E2E, 403/409/5xx, reconnect, keyboard/accessibility evidence를 생성해야 한다."
PREQA-CORE-001,P0,API/SPI Ownership,재확인 필요,신규 Port 기본 구현·Consumer 전수 매핑,20260730_06에서 다수 API/SPI가 추가·변경돼 interface-only와 선택 주입이 더 남았는지 전수 검색이 필요하다.,cpf-core/src/main/java/com/cpf/core/api; cpf-admin; cpf-gateway; cpf-batch,"모든 Public API/SPI에 Owner, default implementation 또는 명시적 optional policy, 실제 Consumer, test가 매핑되어야 한다."
PREQA-GENERATOR-001,P1,Generator,재확인 필요,Core 계약 변경 Generator 동기화,Gateway/Logging/Parameter/Service Registry 계약이 크게 변경됐지만 Generator Golden Template·generated domain 영향이 같은 변경 목록에서 확인되지 않았다.,cpf-tools; cpf-core/src/main/java/com/cpf/core/api,Golden Template 생성 후 compile/test와 금지 import/계약 parity gate가 PASS해야 한다.
PREQA-MATRIX-001,P0,Matrix/Evidence,실패,완료 상태 재판정,기존 Matrix의 개발 완료 652 및 신규 개발 잔여 없음은 위 정적 결함과 맞지 않으므로 최신 source 기준 재판정이 필요하다.,cpf-docs/quality/CPF_20260730_INTEGRATED_REQUIREMENT_SCENARIO_MATRIX.csv; cpf-docs/quality/CPF_20260730_QA30_REQUIREMENT_SCENARIO_SUMMARY.md,QA 병합 후 각 항목을 완료/부분 구현/미구현/미검증/실패/재확인 필요로 재분류하고 exact-SHA evidence를 연결해야 한다.
