entity_type,entity_id
CPF-FR,CPF-FR-020224
CPF-FR,CPF-FR-020573
CPF-FR,CPF-FR-020636
CPF-SC,CPF-SC-012478
CPF-SC,CPF-SC-012479
CPF-SC,CPF-SC-012480
CPF-SC,CPF-SC-012481
CPF-SC,CPF-SC-012482
CPF-SC,CPF-SC-012483
CPF-SC,CPF-SC-012538
CPF-SC,CPF-SC-012539
CPF-SC,CPF-SC-012540
CPF-SC,CPF-SC-012541
CPF-SC,CPF-SC-012542
CPF-SC,CPF-SC-012543
CPF-SC,CPF-SC-012598
CPF-SC,CPF-SC-012599
CPF-SC,CPF-SC-012600
CPF-SC,CPF-SC-012601
CPF-SC,CPF-SC-012602
CPF-SC,CPF-SC-012603
CPF-SC,CPF-SC-012658
CPF-SC,CPF-SC-012659
CPF-SC,CPF-SC-012660
CPF-SC,CPF-SC-012661
CPF-SC,CPF-SC-012662
CPF-SC,CPF-SC-012663
CPF-SC,CPF-SC-012718
CPF-SC,CPF-SC-012719
CPF-SC,CPF-SC-012720
CPF-SC,CPF-SC-012721
CPF-SC,CPF-SC-012722
CPF-SC,CPF-SC-012723
CPF-SC,CPF-SC-012898
CPF-SC,CPF-SC-012899
CPF-SC,CPF-SC-012900
CPF-SC,CPF-SC-012901
CPF-SC,CPF-SC-012902
CPF-SC,CPF-SC-012903
CPF-SC,CPF-SC-012958
CPF-SC,CPF-SC-012959
CPF-SC,CPF-SC-012960
CPF-SC,CPF-SC-012961
CPF-SC,CPF-SC-012962
CPF-SC,CPF-SC-012963
CPF-SC,CPF-SC-013018
CPF-SC,CPF-SC-013019
CPF-SC,CPF-SC-013020
CPF-SC,CPF-SC-013021
CPF-SC,CPF-SC-013022
CPF-SC,CPF-SC-013023
CPF-SC,CPF-SC-013078
CPF-SC,CPF-SC-013079
CPF-SC,CPF-SC-013080
CPF-SC,CPF-SC-013081
CPF-SC,CPF-SC-013082
CPF-SC,CPF-SC-013083
CPF-SC,CPF-SC-013138
CPF-SC,CPF-SC-013139
CPF-SC,CPF-SC-013140
CPF-SC,CPF-SC-013141
CPF-SC,CPF-SC-013142
CPF-SC,CPF-SC-013143
CPF-SC,CPF-SC-018058
CPF-SC,CPF-SC-018059
CPF-SC,CPF-SC-018060
CPF-SC,CPF-SC-018061
CPF-SC,CPF-SC-018062
CPF-SC,CPF-SC-018063
CPF-SC,CPF-SC-018118
CPF-SC,CPF-SC-018119
CPF-SC,CPF-SC-018120
CPF-SC,CPF-SC-018121
CPF-SC,CPF-SC-018122
CPF-SC,CPF-SC-018123
CPF-SC,CPF-SC-018178
CPF-SC,CPF-SC-018179
CPF-SC,CPF-SC-018180
CPF-SC,CPF-SC-018181
CPF-SC,CPF-SC-018182
CPF-SC,CPF-SC-018183
CPF-SC,CPF-SC-018298
CPF-SC,CPF-SC-018299
CPF-SC,CPF-SC-018300
CPF-SC,CPF-SC-018301
CPF-SC,CPF-SC-018302
CPF-SC,CPF-SC-018303
CPF-SC,CPF-SC-018538
CPF-SC,CPF-SC-018539
CPF-SC,CPF-SC-018540
CPF-SC,CPF-SC-018541
CPF-SC,CPF-SC-018542
CPF-SC,CPF-SC-018543
CPF-SC,CPF-SC-029164
CPF-SC,CPF-SC-029586
CPF-SC,CPF-SC-029606
CPF-SC,CPF-SC-029626
CPF-SC,CPF-SC-030326
CPF-SC,CPF-SC-030348
CPF-SC,CPF-SC-030366
CPF-SC,CPF-SC-030386
CPF-SC,CPF-SC-030406
CPF-SC,CPF-SC-030426
CPF-SC,CPF-SC-030446
CPF-SC,CPF-SC-030466
CPF-SC,CPF-SC-030486
CPF-SC,CPF-SC-030506
CPF-SC,CPF-SC-030524
CPF-SC,CPF-SC-030542
CPF-SC,CPF-SC-030562
CPF-SC,CPF-SC-030580
CPF-SC,CPF-SC-030598
CPF-SC,CPF-SC-030930
CPF-SC,CPF-SC-030990
