path,classification,bytes,lines,sha256
cpf-docs/deliverables/데이터베이스표준서.md,수정,18223,425,8ce7e33e6de52cc873267f9f75a25b8dbd53672e3fe8fe0f085c1bdaa6aff984
cpf-docs/deliverables/산출물목록.md,수정,6627,136,c97925a1f2ada12da2931db71099118268cbaa680b11143cea28f9be6b3dcee2
cpf-docs/deliverables/아키텍처설계서.md,수정,25653,598,31f073b1dd730705ac4c1538be3fb83791ce0b8a4080e657d835def134c7a63d
cpf-docs/guides/00_프레임워크안내.md,수정,54129,1141,53a2394d1d74c5da36868769a42dd3a5001a794e3b512c6dc5444aafea1a3b4a
cpf-docs/guides/01_개발자매뉴얼.md,수정,106374,2233,c25334d02456ba1b5463fdb36b094f15b8a651d2cef646d25eec4a1116fbd7b5
cpf-docs/guides/02_배치개발매뉴얼.md,수정,63228,1347,b1bed793ec00c238731466123c4a4e9ddd12faaa4694d7915870877f3f4dcdae
cpf-docs/guides/03_ADM개발자매뉴얼.md,수정,43987,1069,43076b45f29e2ff43b6b9926728c136319415529122405b47d02dcba213731c1
cpf-docs/guides/04_ADM운영자매뉴얼.md,수정,150216,3598,520b0687dc21adca6849b8894551be79767fdd11c63a8048e49e105889d43e43
cpf-docs/guides/05_플랫폼운영매뉴얼.md,수정,106085,2575,ed1099774265c8732a611846035b59a195ac4a719c9d0335c6c305414b7c37d6
cpf-docs/guides/90_BZA매뉴얼.md,수정,70491,1444,eb9faa147f5f4f2ec2d8ef17137bbedfa19e819926b8abaa2c75fa9b289588b1
cpf-docs/guides/91_Gateway매뉴얼.md,수정,41521,1067,9056a3caa3bd5efd13005b16f2f44d7295ec2156aa54048ac1a58ac21ccb242a
cpf-docs/assets/manuals/cpf-document-quality-r9.svg,삭제,,,
