route_id,path,menu_id,label,group,risk,purpose,primary_search,primary_columns,actions,normal_result,representative_failure,recovery
batch-leases,/batch-leases,BATCH_LEASES,Lease / Fencing,monitoring,MEDIUM,Lease Holder·Token·만료와 stale writer 확인,"Resource, Holder, 상태","Token, Acquired, Expires, Heartbeat",Release,새 Holder Token이 이전보다 큼,강제 Release 뒤 이전 Writer 갱신,Process 종료와 Token 차단 확인 후 Release
batch-alerts,/batch-alerts,BATCH_ALERTS,Batch Alerts,monitoring,MEDIUM,Batch Unknown·DLQ·Outbox·실패 Alert 확인,"심각도, Job, 기간","Alert, Age, Owner, Operation",상세 이동,Alert 원인과 실제 상태 일치,중복 Alert·미종결,같은 업무 Key로 그룹화하고 Owner 이관
batch-audit,/batch-audit,BATCH_AUDIT,Audit / Evidence,monitoring,MEDIUM,배치 실행·조치·배포 Audit 조회,"Execution, Actor, Action, 기간","Operation, Before/After, Result, Delivery","상세, Delivery Retry",Execution과 Audit·Artifact Hash 일치,Audit Delivery 실패,원본 Audit 보존 후 Delivery만 재시도
workers,/workers,WORKER,Agent / Worker,batch,MEDIUM,Worker·Instance·Capability 상태 조회,"Worker ID, Instance, Capability","Status, Active Job, Heartbeat, Version",상세,Worker Registry와 Runtime 상태 일치,중복 Worker ID·stale heartbeat,Instance 재등록과 Lease 상태 확인
downloads,/downloads,DOWNLOAD,다운로드,integration,MEDIUM,Download Policy·Audit·CSV 수령 운영,"사용자, Resource, 기간","Policy, Token, Expires, Rows, Audit",CSV Download,Token·행 제한·Audit 일치,만료 Token·권한 확대,새 Reason과 조건으로 Token 재발급
file-jobs,/file-jobs,FILE_JOB,대량파일 Job,batch,MEDIUM,Upload·Preview·Apply·Retry·Rollback 운영,"Job, File ID, 상태","Checksum, Row Count, 오류, Applied","Upload, Apply, Retry, Cancel, Rollback",File·Row·업무 원장 합계 일치,Bad Row·PARTIAL·UNKNOWN,성공 Row 보존 후 실패 Row만 재처리
messages,/messages,MESSAGE,전문·Protocol Message,integration,MEDIUM,전문 정의·Message·Trace 조회,"Message Code, Version, Transaction","Layout, Charset, Status, Trace","생성, 수정, 삭제",Golden Bytes와 Decode 결과 일치,길이·Charset·MAC 오류,원문 보존 후 Layout Version으로 재파싱
codes,/codes,CODE,코드,framework,MEDIUM,업무 Code·Version·유효기간 관리,"Code Group, Code, 기준일","Name, Value, Effective, Version","생성, 수정, 삭제",Consumer의 기준일 해석과 Row 일치,사용 중 폐기·Refresh Lag,새 Version 적용 후 Consumer Checkpoint 대사
gateway-dashboard,/gateway-dashboard,GATEWAY_DASHBOARD,Gateway 대시보드,online,MEDIUM,Gateway Capability·Traffic·Error·Apply 요약,"Route, Target, 기간","RPS, Error, Circuit, Apply, Unknown",상세 이동,요약과 Route·Target 상세 일치,집계 지연·Stream 단절,Snapshot 기준시각과 Event Stream 확인
gateway-servers,/gateway-servers,GATEWAY_SERVERS,Gateway 연동 서버,online,MEDIUM,Target Server Group Member 관리,"Group, Host, 상태","URI, Zone, Weight, TLS, Health","저장, 삭제",등록 Member와 Probe 결과 일치,SSRF 대상·사용 중 삭제,Binding 참조와 DNS·Allowlist 확인
gateway-groups,/gateway-groups,GATEWAY_GROUPS,Gateway 서버 그룹,online,MEDIUM,논리 Target Group과 Member 조합 관리,"Group ID, 상태","Member 수, Weight, Zone, Version","저장, 삭제",Weight·가용 Member가 정책 충족,Member 0·중복 Target,Member와 Binding 참조를 보정
gateway-routes,/gateway-routes,GATEWAY_ROUTES,Gateway 경로·라우팅,online,MEDIUM,Predicate·Rewrite·Target Binding 운영,"Route ID, Path, Method, 상태","Predicate, Rewrite, Group, Version","저장, 상태 변경, 삭제",Golden Request가 기대 Target으로 연결,Route 충돌·Shadow,Validate 결과와 우선순위를 보정
gateway-security,/gateway-security,GATEWAY_SECURITY,Gateway 보안·제한,online,HIGH,Auth·Audience·HMAC·Nonce·Rate Limit 운영,"Route, Client, Policy","Auth, Audience, Key Version, Limit","저장, 상태 변경",Negative Test와 정책 적용 상태 일치,Wrong Audience·Replay·Key 만료,Key Rotation·Nonce Ledger·Target 상태 확인
gateway-health,/gateway-health,GATEWAY_HEALTH,Gateway Health·연결시험,online,MEDIUM,Target Connection Test와 Capability 확인,"Group, Target, Test 상태","DNS, TLS, HTTP, Duration, Operation","Test 요청, 취소, 재검증",Test Operation과 Target Probe 일치,Timeout·TLS·응답 유실,Operation 조회 후 결과 확정 또는 새 Test
gateway-transactions,/gateway-transactions,GATEWAY_TRANSACTIONS,Gateway 거래 조회,online,MEDIUM,외부 요청·Attempt·Target Trace 조회,"Transaction, Route, Client, 기간","Attempt, Target, Status, Duration, Error",Trace 이동,Gateway Attempt와 Owner 결과 연결,응답 유실·Trace 단절,Idempotency Key·Target ID로 대사
gateway-log-policies,/gateway-log-policies,GATEWAY_LOG_POLICY,Gateway 로그 정책,online,MEDIUM,Gateway Masking·Sampling·배포 상태 운영,"정책, Route, 상태","Version, Masking, Sampling, Applied",상세 이동,Target별 정책 Version 일치,민감 Header 노출·부분 배포,정책 Rollback과 Distribution 대사
gateway-apply-status,/gateway-apply-status,GATEWAY_APPLY_STATUS,Gateway 적용 상태·이력,online,MEDIUM,게시 Version의 Target ACK·NACK·Drift 확인,"Publish ID, Version, Target","Checksum, ACK, NACK, Observed, Drift",상세,모든 Target이 승인 Snapshot과 일치,PARTIAL·DRIFT,NACK Target 원인 제거 또는 LKG Rollback
permissions,/permissions,PERMISSION,권한,framework,MEDIUM,Menu·Button·API·Role Permission 운영,"Resource, Role, 상태","Menu, Button, API, Effective, Version","생성, 수정, 상태 변경",Simulation과 실제 API 판정 일치,Self lockout·Scope 확대,영향 Matrix와 Break-glass 경로 확인
password,/password,PASSWORD,비밀번호,framework,HIGH,Password Policy·변경·초기화·Session 폐기,"Operator, 정책, 상태","Policy, Attempts, Changed, Session","변경, 초기화, Session 폐기",정책 적용과 Session 폐기 Audit 일치,본인 확인 실패·활성 Session 잔존,MFA·관리자 승인 후 재수행
security,/security,SECURITY,보안,framework,HIGH,MFA·IP Allowlist 상태 운영,"Operator, MFA 상태, IP","MFA Method, Verified, IP Range, Version","MFA 등록·검증·비활성, IP 저장",Login Negative Test와 정책 일치,MFA 우회·IP 차단,Break-glass와 승인된 복구 절차 사용
operators,/operators,OPERATOR,운영자,framework,HIGH,운영자 계정·Role·Session·연락처 운영,"ID, 상태, Role, 조직","Status, Roles, Sessions, MFA, Masking","생성, Role 변경, 잠금 해제, 상태 변경",계정·Role·Session·Audit 일치,권한 과다·Raw Contact 노출,Role 비교와 Session 폐기 후 재검증
secrets,/secrets,SECRET,Secret / Key,framework,HIGH,Secret Provider Metadata와 Rotation 운영,"Provider, Secret ID, Version","Metadata, Active Version, Expires, Consumer",Rotate,Consumer가 새 Version을 사용하고 Log 비노출,평문 노출·부분 Rotation,이전 Version Grace와 실패 Consumer 대사
approvals,/approvals,APPROVAL,위험조치 승인,framework,HIGH,정책·요청·결정·실행 Snapshot 운영,"Approval ID, 상태, Action, 요청자","Policy, Snapshot, Requester, Approver, Expiry","요청, 결정, 실행",실행 Target이 승인 Snapshot과 일치,자기 승인·만료·Snapshot Drift,새 승인 요청 또는 실행 중단
breakGlass,/breakGlass,BREAK_GLASS,Break-glass,framework,HIGH,비상 권한 Session 개설·검토·종료,"Session, 사용자, 상태","Scope, Reason, Started, Expires, Review","개설, 검토, 종료",기간·Scope·사후 검토 Audit 존재,만료 후 잔존·Scope 초과,Session을 종료하고 전체 Action 검토
featureFlags,/featureFlags,FEATURE_FLAG,Feature Flag,framework,CRITICAL,Typed Flag·Override·Kill Switch 운영,"Flag, 환경, 상태","Type, Default, Rule, Override, Expiry","평가, Override 요청·승인·폐기, Kill",Evaluation Evidence와 Runtime 결과 일치,Rule 중첩·Override 만료 누락,Override 폐기 또는 이전 Version 복원
integrationClosure,/integrationClosure,INTEGRATION_CLOSURE,통합 운영 정정 승인,integration,CRITICAL,"Data Quality 정정 승인·Replay, Webhook DLQ, Crypto·Time 상태","Quarantine ID, Approval ID, Delivery ID","Version, Rule 위반, Approval, Webhook Attempt","승인 요청, 승인 검증 후 실행, Replay",Server Snapshot·Owner Version·Audit 일치,승인 우회·Version Conflict·UNKNOWN,Approval ID로 상태 조회 후 Reconcile
openApiOperations,/openApiOperations,OPENAPI_OPERATIONS,OpenAPI 운영,framework,HIGH,OpenAPI Snapshot 상태와 Refresh 운영,"Instance, Version, 상태","Title, API Version, Hash, Refreshed",Refresh,Snapshot Hash와 Runtime Controller 일치,중복 Operation·Refresh 제한,Schema 오류 수정 후 승인된 Refresh
resiliencePolicies,/resiliencePolicies,RESILIENCE_POLICY,Resilience 정책,framework,CRITICAL,Timeout·Retry·Circuit·Bulkhead 정책 Version 운영,"Operation, 상태, Version","Timeout, Retry, Circuit, Bulkhead, Applied","요청, 승인, 반려",상위·하위 Timeout Budget과 Runtime Metric 일치,Retry Storm·부분 적용,이전 정책 Version Rollback 또는 새 승인
