feature_id,feature,owner_or_source,consumer,manual,inputs,normal,failure,recovery,operations,status
CPF-DOC-F-016,JMS Provider 교체,cpf-starters/messaging-jms,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Destination·Ack Mode,표준 Event·Retry·DLQ 계약 유지,Transaction/Ack 의미 불일치,Provider별 Adapter Test와 운영 정책 보정,/reliability,완료
CPF-DOC-F-017,IBM MQ 연계,cpf-starters/messaging-ibm-mq,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Queue Manager·Channel·TLS Secret,MQMD/Correlation과 CPF 식별자 연결,Channel Down·Backout Queue,Backout 원인 제거 후 승인 Replay,/messages,완료
CPF-DOC-F-018,HTTP Timeout Budget,cpf-starters/http-client,고객 업무·ADM/BZA/Gateway/운영,자동 분류,상위 Deadline·Connect/Read Timeout,하위 Timeout 합이 상위 Budget 이내,하위 Timeout이 상위보다 김,정책 검증에서 차단하고 Budget 재배분,/resiliencePolicies,완료
CPF-DOC-F-019,HTTP 응답 유실,cpf-reference integration EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Operation ID·Target Request ID,Attempt가 UNKNOWN_RESULT로 보존,Target 접수 후 Client Timeout,Status API/대사 파일로 결과 확정,/incidents,완료
CPF-DOC-F-020,Circuit Breaker 전이,cpf-starters/resilience,고객 업무·ADM/BZA/Gateway/운영,자동 분류,실패율·Open Duration·Half-open Probe,CLOSED→OPEN→HALF_OPEN→CLOSED 관측,Retry Storm과 Thread 고갈,Retry를 줄이고 Bulkhead·Timeout을 함께 조정,/resiliencePolicies,완료
CPF-DOC-F-021,TCP Length Framing,cpf-starters/integration-tcp,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Length Header·Charset·Max Frame,한 Frame이 정확히 Decode,길이 불일치·Oversize,Connection 종료·원문 격리·재전송 판단,/messages,완료
CPF-DOC-F-022,TCP CRLF Framing,cpf-starters/integration-tcp,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Delimiter·Escape 규칙,경계가 정확한 Message 생성,본문 CRLF 오해석,Escape/Length 방식으로 계약 변경,/messages,완료
CPF-DOC-F-023,TCP STX/ETX Framing,cpf-starters/integration-tcp,고객 업무·ADM/BZA/Gateway/운영,자동 분류,STX·ETX·DLE 규칙,Control Byte 포함 Payload 복원,DLE 누락·Frame 중첩,Connection Reset과 원문 분석,/messages,완료
CPF-DOC-F-024,Fixed-length 전문,cpf-starters/integration-fixedlength,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Layout Version·Charset·Padding,Golden Bytes와 Object 상호 변환,Byte 길이·한글 Charset 오류,원문 보존 후 Layout Version으로 재파싱,/messages,완료
CPF-DOC-F-025,ISO8583 전문,cpf-starters/integration-iso8583,고객 업무·ADM/BZA/Gateway/운영,자동 분류,MTI·Bitmap·Field Spec,Golden Message·MAC·Correlation 일치,Bitmap·MAC·Field Length 오류,NACK·격리 후 Spec Version 재확인,/messages,완료
CPF-DOC-F-026,Attachment Upload,cpf-starters/file-attachment,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Size·MIME·Checksum·Owner,Metadata·Object·Audit 연결,확장자 위장·Checksum 불일치,격리하고 Object 삭제 또는 재검사,/downloads,완료
CPF-DOC-F-027,Archive 안전 해제,cpf-starters/file-archive,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Entry Count·Total Size·Path,허용 경로 아래에 제한된 Entry만 생성,Zip Slip·압축폭탄,전체 해제 중단·임시폴더 삭제·Audit,/file-jobs,완료
CPF-DOC-F-028,Tabular Preview·Apply,cpf-starters/file-tabular-poi,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Schema·Header·Row Limit,Preview 건수·오류 Row·Hash 고정,Apply 중 일부 Row 실패,성공·실패 Row 원장 분리 후 실패만 Reprocess,/file-jobs,완료
CPF-DOC-F-029,SFTP 수신,cpf-starters/integration-sftp,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Remote Path·Host Key·Checksum,Temp Download→검증→Atomic Move,중간 끊김·Host Key 변경,부분 파일 삭제·Host Key 승인 확인 후 재수신,/file-jobs,완료
CPF-DOC-F-030,Email Notification,cpf-starters/notification-email,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Template·Recipient·Correlation,Delivery·Receipt·Audit 연결,SMTP Timeout·Bounce,Attempt 상태에 따라 Retry 또는 DLQ,/notifications,완료
CPF-DOC-F-031,SMS SPI,cpf-notification-sms-spi,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Template·Phone Token·Provider,"원문 전화번호 비노출, Receipt 연결",Provider Timeout·중복 발송,Idempotency와 Provider Message ID로 대사,/notifications,완료
CPF-DOC-F-032,Caffeine Local Cache,cpf-starters/cache-caffeine,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Key·TTL·Maximum Size,Owner 조회 감소와 TTL 만료 확인,Stale Entry·Memory Pressure,Namespace Evict 후 Owner에서 재적재,/cache,완료
CPF-DOC-F-033,Valkey Distributed Cache,cpf-starters/cache-valkey,고객 업무·ADM/BZA/Gateway/운영,자동 분류,TLS·Key Prefix·Payload Limit,다중 Instance가 같은 Cache Version 관측,Valkey Down·Partial Key,Fail-open/closed 정책 적용 후 Ledger Reconcile,/cache,완료
CPF-DOC-F-034,Durable Cache Invalidation,cpf-common cache invalidation,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Event ID·Checkpoint·Consumer ID,Signal 유실 뒤에도 Checkpoint 이후 복구,Pub/Sub Signal 유실,Durable Ledger를 읽어 누락 Event 재적용,/cache,완료
CPF-DOC-F-035,Feature Flag Override,cpf-starters/feature-flag,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Typed Value·Rule·Expiry·Approval,평가 Evidence와 Runtime 결과 일치,만료 누락·잘못된 Target,Override 폐기 또는 Kill Switch,/featureFlags,완료
CPF-DOC-F-036,Secret Rotation,cpf-starters/secret,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Secret Reference·Version·Grace,새 Version 사용과 원문 비노출,일부 Consumer 구 Version,"Grace 내 재적용, 실패 Consumer 격리",/secrets,완료
CPF-DOC-F-037,Service Identity,cpf-starters/security-service-identity,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Audience·Scope·Credential Reference,Service 간 인증·권한 Audit,Wrong Audience·Expired Credential,Credential 교체와 실패 Attempt 확인,/security,완료
CPF-DOC-F-038,Browser Session·CSRF,cpf-starters/profile-browser-bff,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Secure Cookie·CSRF Token·Session ID,JS가 Token 원문에 접근하지 않음,CSRF·Session Fixation·Role Revoke,Session 폐기·재로그인·권한 재평가,/operators,완료
CPF-DOC-F-039,Data Scope와 Masking,cpf-starters/security,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Actor·Organization·Field Policy,조회·Export에서 다른 Masking 정책 적용,권한 우회·Raw Export,403·Masked 결과·Download Audit 확인,/permissions,완료
CPF-DOC-F-040,Business Calendar,cpf-common calendar,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Calendar ID·Date·Day Type·Version,기준일 계산과 Consumer Refresh 일치,유효기간 겹침·휴일 누락,새 Version 저장 후 Cache Reconcile,/businessCalendar,완료
CPF-DOC-F-041,Time·Deadline,cpf-common time,고객 업무·ADM/BZA/Gateway/운영,자동 분류,UTC Instant·Business Zone·Deadline,저장 UTC와 화면 업무시각 일치,Clock Skew·DST 경계,Time Health 확인 후 실행 차단 또는 보정,/integrationClosure,완료
CPF-DOC-F-042,Data Quality Quarantine,cpf-common data quality,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Rule Set·Record ID·Payload Hash,위반 Row 격리와 원본 보존,오탐·Rule Version Drift,Rule Version 확인 후 승인 정정,/integrationClosure,완료
CPF-DOC-F-043,정정 승인 Snapshot,cpf-admin integration closure,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Quarantine ID·expectedVersion·reason,승인 Snapshot과 실행 대상 일치,승인 후 Payload 변경·만료,실행 차단 후 새 승인 요청,/approvals,완료
CPF-DOC-F-044,OpenAPI Snapshot Refresh,cpf-starters/openapi-webmvc,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Title·Version·Docs Path·Instance,Schema Hash와 Controller 일치,중복 Operation ID·Unsafe Path,Schema 수정 후 Refresh 제한을 지켜 재실행,/openApiOperations,완료
CPF-DOC-F-045,Local·Remote 계약 동등성,cpf-reference contract fixture,고객 업무·ADM/BZA/Gateway/운영,자동 분류,동일 Request Fixture,응답·Error·Audit 의미 동등,Remote Serialization·Timeout 차이,Adapter 수정 후 같은 Contract Test 재실행,/transactionGroups,완료
CPF-DOC-F-046,Tasklet 단일 작업,cpf-reference batch EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,JobParameter·Resource,작업 1회와 ExitStatus 기록,중간 예외,멱등성 확인 후 Restart,-,완료
CPF-DOC-F-047,Chunk Reader·Processor·Writer,cpf-reference batch EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Page Size·Chunk Size,Read/Write/Commit 건수 일치,Writer 실패,마지막 Commit 이후 Restart,-,완료
CPF-DOC-F-048,Paging Reader 정렬,cpf-batch,고객 업무·ADM/BZA/Gateway/운영,자동 분류,PK Sort·Page Size,중복·누락 없는 전체 순회,정렬 Key 중복,복합 Sort Key로 보정,-,완료
CPF-DOC-F-049,Cursor Reader Resource,cpf-batch,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Fetch Size·Connection,Resource가 Step 종료 시 닫힘,Connection Drop,Checkpoint와 재연결 정책으로 Restart,-,완료
CPF-DOC-F-050,Processor Validation,cpf-reference batch EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Rule Version·Item,오류 Item이 지정 정책으로 분류,검증 예외 폭증,Skip 한도 초과 시 Job 실패,-,완료
