route_id,path,menu_id,label,risk,search_fields,columns,detail_areas,buttons,owner_record,normal_result,failure_boundary,recovery
standardExecutions,/standardExecutions,STANDARD_EXECUTION,표준 실행,MEDIUM,"Execution ID, 표준 코드, 상태, 기간","Execution, Standard, State, Start, End, Result, Evidence","입력 Snapshot, Step, Output, Error, Audit",목록; 상세,Standard Execution 원장,입력·출력·상태가 표준 정의와 일치하고 Evidence가 연결된다.,결과 없음·중복 Execution·상태 정체를 구분한다.,Execution 원장과 관련 Transaction을 교차 조회하고 미종결이면 Owner 절차로 이관한다.
channelPolicy,/channelPolicy,CHANNEL_POLICY,채널 정책,HIGH,"채널, 거래 유형, 상태, Version","Channel, Version, Timeout, Auth, Execution Policy, 상태","Snapshot, Execution Policy, Package Import/Export, Audit",Snapshot 새로고침; 저장; 실행정책 저장; Package Export/Import,Channel Policy 원장·Runtime Snapshot,저장 Version과 Runtime Snapshot이 일치하고 Import 전후 Checksum이 같다.,Schema 불일치·Version 충돌·부분 Import·Runtime stale을 구분한다.,Import Preview를 다시 확인하고 실패 항목은 제외한 새 Package로 재승인한다.
serviceRegistry,/serviceRegistry,SERVICE_REGISTRY,서비스 레지스트리,MEDIUM,"서비스, Instance, Endpoint, Zone, 상태","Service ID, Instance ID, Endpoint, Version, Health, Circuit, Routing","Capabilities, Call History, Circuit, Routing Policy, Member",서비스/Instance/Endpoint 저장; 상태 변경; 삭제,Service Registry 원장,Registry Version과 Runtime 관측값이 일치하고 삭제 대상 Consumer가 없다.,중복 Endpoint·Last Seen stale·Circuit OPEN·참조 중 삭제를 구분한다.,Call History와 Consumer를 확인하고 문제가 없는 Target만 새 Operation으로 변경한다.
runtimeControl,/runtimeControl,RUNTIME_CONTROL,Deployment·Promotion·Rollback,HIGH,"환경, Group, Service, Version, Desired State, Operation ID","Change ID, Operation, Target 수, Desired, Observed, ACK/NACK, 상태","Preview, Target Snapshot, Attempt, Audit, Rollback, State Catalog",Preview; 변경 생성; 취소; Rollback; Group 관리,Runtime Change·Target Attempt 원장,모든 Target의 Observed State가 Desired State와 일치하고 Audit Verification이 통과한다.,"Pre-dispatch 실패, UNKNOWN_RESULT, PARTIAL, NACK, Drift를 분리한다.",같은 Operation 조회→Target 원장 대사→실패 확정 시 Rollback 또는 새 변경을 수행한다.
maintenance,/maintenance,MAINTENANCE,점검·Drain,HIGH,"환경, 서비스, Instance, Action, 기간","Target, Action, 현재 상태, 요청 상태, Drain 진행률","사전조건, Active Transaction, Deadline, Audit",Action 실행,Maintenance Action 원장,Drain 후 신규 유입이 차단되고 진행 중 거래가 Deadline 안에 종료된다.,지원하지 않는 Action·활성 거래 잔존·Timeout·부분 Target 실패를 구분한다.,Active Transaction을 대사하고 실패 Target만 별도 승인으로 재실행한다.
cache,/cache,CACHE,캐시,HIGH,"Tenant, Namespace, Key, Consumer ID, Event ID","Provider, Tenant, Namespace, Key 수, Checkpoint, Lag, Last Event","Invalidation Event, Consumer Checkpoint, Provider 상태, 실패 Attempt",Summary; Refresh; Key Evict; Namespace Evict; Reconcile,Cache Invalidation Ledger·Consumer Checkpoint,DB Ledger Event가 저장되고 local apply 후 Consumer checkpoint가 Event ID까지 전진한다.,Fast signal 유실·Process 종료·Valkey 연결 실패·Checkpoint 지연을 구분한다.,`Reconcile`로 checkpoint 이후 Event를 다시 적용하고 Lag가 0인지 확인한다.
configs,/configs,CONFIG,설정,HIGH,"Key, Profile, Scope, 상태, Secret 여부","Key, Value Mask, Type, Default, Scope, Version, Restart, 상태","Consumer, Validation, Applied Target, Audit, Parameter Reference",생성; 수정; 삭제,Configuration 원장·Applied State,정본 Version과 Consumer Applied Version이 일치하고 Secret은 평문 표시되지 않는다.,Type/Range 오류·참조 중 삭제·Version 충돌·부분 적용을 구분한다.,Parameter Reference를 확인하고 실패 Target은 이전 값으로 되돌린다.
responseCodes,/responseCodes,RESPONSE_CODE,응답코드,MEDIUM,"코드, 도메인, HTTP Status, Retryable, 상태","Code, Message, HTTP, Severity, Retryable, Version, 상태","Locale Message, Consumer, Mapping, Audit",생성; 수정; 삭제,Response Code 원장,API·로그·ADM에 같은 Code와 Message가 표시되고 Retryable 의미가 일치한다.,중복 Code·사용 중 삭제·Locale 누락·Version 충돌을 구분한다.,Consumer 참조를 확인하고 새 Version으로 교체한 뒤 구 Code를 비활성화한다.
businessCalendar,/businessCalendar,BUSINESS_CALENDAR,영업일·휴일,MEDIUM,"Calendar ID, 기관, 시작일, 종료일, Day Type","Date, Business Day, Day Type, Institution, Version, Updated By","기준일 계산, 변경 Audit, durable refresh Event",날짜 계산; 저장; 삭제,Calendar 원장·Refresh Outbox,Calendar Row·Audit·refresh outbox가 같은 Transaction으로 반영되고 계산 결과가 일치한다.,중복 날짜·Version 충돌·Outbox 저장 실패·Consumer checkpoint 지연을 구분한다.,최신 Row와 Event를 대사하고 Rollback된 요청만 새 Operation으로 재실행한다.
recoveryCenter,/recoveryCenter,RECOVERY_CENTER,복구 센터,MEDIUM,"Transaction ID, Trace ID, Operation ID, Message ID, 상태","대상 유형, 현재 상태, Attempt, 원장 결과, 조치 가능 여부","Recovery Status, Owner Evidence, Approval, Retry/Replay 결과",Recovery 실행; Poison Retry; UNKNOWN Resolve; DLQ Replay 요청,Recovery·UNKNOWN·DLQ 원장,조치 전후 Owner 원장과 Attempt가 연결되고 중복 부작용이 없다.,근거 부족·상태 변경·Payload 불일치·승인 만료를 구분한다.,Blind Retry를 금지하고 Owner 대사 결과에 따라 Retry·Compensation·종료를 선택한다.
incidents,/incidents,INCIDENT,Error·Unknown Result,HIGH,"Severity, 서비스, 상태, 기간, Signal Source","Incident ID, Severity, 상태, Owner, SLA, Signal 수, Updated At","Timeline, Signals, Maintenance, Policy, Related UNKNOWN/DLQ",Incident 생성; 상태 전이; Maintenance/Policy 관리; Resolve/Reopen,Incident 원장·Timeline,상태 전이와 Timeline이 일치하고 Resolve 근거가 첨부된다.,중복 Signal·SLA 초과·Owner 미지정·잘못된 Resolve를 구분한다.,Incident를 Reopen하고 근거를 보완하거나 관련 Recovery 절차로 이동한다.
reliability,/reliability,RELIABILITY,Analysis Center,MEDIUM,"서비스, 기간, 원장 유형, 상태, Lag","Ledger, Pending, Failed, Oldest Age, Retry, Owner","원장 상세, 관련 Transaction, Attempt, Recovery Status",원장별 상세 이동,Reliability Ledger 집합,생산·소비·처리 건수와 checkpoint가 일치하고 오래된 Pending이 없다.,실제 적체와 조회 지연을 구분하고 여러 원장 간 불일치를 찾는다.,관련 원장 화면에서 원인별 Retry·대사·보상을 실행한다.
notifications,/notifications,NOTIFICATION,알림,MEDIUM,"Rule, Channel, 상태, 수신자 유형, 기간","Rule, Channel, Template, 상태, Delivery, Attempt, Last Error","Rule, Delivery Attempts, DLQ, Provider Result, Masked Receiver",규칙 저장/수정/비활성; Test; Retry; Cancel,Notification Rule·Delivery·Outbox,Provider가 명시 성공한 경우만 성공으로 기록되고 Provider 미설정은 `PROVIDER_NOT_CONFIGURED`로 남는다.,Template 오류·Provider 부재·Timeout·중복 수신·DLQ를 구분한다.,Delivery 원장과 Provider ID를 대사하고 실패 확정 건만 Retry한다.
batch,/batch,BATCH,Batch / Center-Cut,MEDIUM,"Job, Schedule, Business Date, 상태, Instance","Job, Version, Schedule, Last Execution, 상태, Worker, Target","Job Detail, Relation, Execution Target, Parameters",Job 등록; 실행,Batch Control·Metadata,선택한 Job Version과 Parameter로 Execution이 1건 생성되고 Target이 확정된다.,중복 Parameter·비활성 Job·Schedule 충돌·Worker 미확보를 구분한다.,Execution ID를 기준으로 상태를 조회하고 미실행이면 원인 수정 후 새 Parameter로 실행한다.
batch-overview,/batch-overview,BATCH_OVERVIEW,Batch Overview,MEDIUM,"기간, Job, 상태, Scheduler, Worker Pool","실행 합계, 실패, RUNNING, UNKNOWN, Lock, Worker, Schedule","최근 실패, 장기 실행, Lock, Worker Capacity",카드 상세 이동,Batch Metadata 집계,Dashboard 합계가 Execution·Lock·Worker 상세 건수와 일치한다.,집계 지연·Metadata DB 지연·실제 실행 정체를 구분한다.,의심 카드의 Owner 상세 화면에서 원장을 확인한다.
batch-runtime,/batch-runtime,BATCH_RUNTIME,Runtime Topology,HIGH,"환경, Runtime Type, Instance, 상태, Version","Instance, Type, Desired, Observed, Heartbeat, Version, Command","Topology, Command Target, Attempt, Agent Result, Rollback",START/STOP/RESTART/DRAIN/RESUME/ROLLBACK,Batch Runtime Command·Agent Ledger,모든 Target의 명시 결과와 Desired/Observed가 일치한다.,Dispatch 전 FAILED와 Dispatch 후 UNKNOWN_RESULT를 구분한다.,Command ID로 Target 결과를 대사하고 일부 실패면 Target별 Rollback을 수행한다.
batch-instances,/batch-instances,BATCH_INSTANCES,Runtime Instances,MEDIUM,"Runtime Type, Instance ID, Host, 상태","Instance, Host, Type, Version, Heartbeat, Capacity, Drain","실행 중 Execution, Worker Pool, Agent, Resource",Instance 상세,Batch Instance Registry,Heartbeat와 실제 Process 상태가 일치하고 중복 Instance ID가 없다.,Heartbeat stale·Clock skew·Process 종료·Network partition을 구분한다.,Host Agent·Process·Metadata를 교차 확인하고 Ghost이면 Recovery 절차로 이관한다.
batch-scheduler,/batch-scheduler,BATCH_SCHEDULER,Scheduler HA,MEDIUM,"Schedule, Job, 상태, Calendar, Next Fire","Schedule, Cron, Timezone, Misfire, Owner, Lease, Next/Last Fire","Simulation, Calendar, Dispatch History, HA Owner",Simulation; Enable; Disable; Run Once,Scheduler·Lease·Dispatch 원장,Simulation 결과와 실제 Next Fire가 일치하고 한 Owner만 Dispatch한다.,Timezone·Calendar·Misfire·Lease 경쟁·중복 Dispatch를 구분한다.,Schedule을 Disable하고 Lease/Dispatch 원장을 대사한 뒤 수정 Version으로 Enable한다.
batch-worker-pools,/batch-worker-pools,BATCH_WORKER_POOLS,Worker Pools,MEDIUM,"Pool, Worker, Capability, 상태","Pool, Worker 수, Busy, Queue, Capability, Heartbeat","Worker Detail, Assigned Partition, Command, Attempt",Pool Command 실행,Worker Pool·Claim·Lease,Claim 수와 실제 실행 Partition이 일치하고 Fencing Token이 단조 증가한다.,Capacity 부족·중복 Claim·stale Worker·Command UNKNOWN을 구분한다.,stale Claim을 직접 덮지 않고 Lease/Fencing Recovery를 수행한다.
batch-center-cut,/batch-center-cut,BATCH_CENTER_CUT,Center-Cut,MEDIUM,"Job, Execution, Result 상태, Business Date","Job, Execution, Result ID, 상태, 메시지, 대상 건수","Summary, Result Detail, Targets, Parameters, Approval Ticket",실패 재처리; UNKNOWN 대사,Center-Cut Execution·Result·Approval,FAILED 또는 UNKNOWN Execution의 대상만 RETRY로 전이되고 Job 전체는 변경되지 않는다.,Execution ID 없음·상태 불일치·승인 미완료·Idempotency 충돌을 구분한다.,승인 요청을 생성·승인한 뒤 같은 Execution ID로 실행하고 결과 건수를 재대사한다.
batch-agents,/batch-agents,BATCH_AGENTS,Host Agents,MEDIUM,"Host, Agent ID, Version, 상태","Agent, Host, Version, Capability, Last Seen, Command 상태","Service Manager, Process 목록, Command Attempt, Error",Agent Command 실행,Host Agent Command Ledger,Agent가 실제 Service Manager 상태와 명시 결과를 반환한다.,Agent 미접속·권한 부족·Process 비종료·응답 유실을 구분한다.,Command ID로 Agent 결과를 재조회하고 결과 불명은 성공으로 집계하지 않는다.
batch-job-packs,/batch-job-packs,BATCH_JOB_PACKS,Job Packs,MEDIUM,"Pack, Job, Version, 상태","Pack, Job, Version, Checksum, Validation, Lifecycle","Definition, Parameters, Step Graph, Artifact, Validation Error",Validate; Save; Transition,Job Definition·Artifact Catalog,Checksum과 Definition Version이 일치하고 승인 Lifecycle만 배포 가능하다.,Schema 오류·중복 Version·Checksum 불일치·참조 중 폐기를 구분한다.,Validation 오류를 수정한 새 Version을 저장하고 기존 Version은 이력으로 남긴다.
batch-executions,/batch-executions,BATCH_EXECUTIONS,Executions,MEDIUM,"Job, Execution, 상태, Business Date","Execution, Job, 상태, Start/End, Step, Read/Write/Skip, Exit","Parameter, Step Execution, Checkpoint, Error, Attempt",Stop; Retry,Spring Batch Metadata·업무 원장,Stop 요청 후 일관성 경계에서 STOPPED가 되고 Retry는 Restart 가능 상태에서 새 Attempt를 만든다.,이미 종료·Restart 불가·Checkpoint 손상·외부 부작용 불명을 구분한다.,Metadata와 업무 원장을 대사해 Restart·Reprocess·Compensation 중 하나를 선택한다.
batch-deployment,/batch-deployment,BATCH_DEPLOYMENT,Deployment / Rollback,HIGH,"환경, Pack, Version, Target Group","Plan, Artifact, Checksum, Target, 상태, Command","Preview, Compatibility, Target Snapshot, Rollback Plan",Deployment Plan 생성,Batch Deployment Plan·Runtime Command,모든 Target이 동일 Checksum과 Version을 보고하고 Smoke 결과가 통과한다.,호환성 실패·부분 배포·Agent 응답 유실·Rollback 실패를 구분한다.,배포를 중지하고 성공 Target과 실패 Target을 분리해 LKG Rollback한다.
batch-recovery,/batch-recovery,BATCH_RECOVERY,Recovery / Unknown,MEDIUM,"Execution, Instance, Heartbeat, 상태, Operation ID","Candidate, Metadata 상태, Process 상태, Lease, Last Heartbeat","Ghost Evidence, UNKNOWN Detail, Owner 대사, 조치 이력",Ghost Action; UNKNOWN Resolve,Batch Recovery·UNKNOWN 원장,실제 Process 부재와 Lease 만료가 확인된 Candidate만 복구 상태로 전이한다.,느린 실행·Network partition·Clock skew를 Ghost로 오판하지 않는다.,Host Agent·Metadata·Lease를 모두 확인하고 근거가 모순되면 조치하지 않는다.
batch-leases,/batch-leases,BATCH_LEASES,Lease / Fencing,MEDIUM,"Resource, Owner, Lease Expiry, Fencing Token","Resource, Owner, Token, Acquired, Expiry, Heartbeat","Claim History, Current Process, Related Execution",Lock Release,Lease·Fencing Ledger,Owner Process 부재와 Lease 만료가 확인된 Lock만 해제된다.,Clock skew·Network partition·늦은 Heartbeat·중복 Owner를 구분한다.,강제 삭제 대신 Fencing Token을 증가시키는 표준 Release를 사용한다.
batch-alerts,/batch-alerts,BATCH_ALERTS,Batch Alerts,MEDIUM,"Severity, Job, 상태, 기간","Alert, Source, Job/Execution, 상태, Age, Owner","Related UNKNOWN, DLQ Message, Outbox, Operation Log",상세 화면 이동,Batch Alert 집계,Alert가 원본 원장과 연결되고 해소 시 상태가 갱신된다.,중복 Alert·집계 지연·원본 삭제·Owner 미지정을 구분한다.,원본 원장에서 정상화한 뒤 Alert 종료를 확인한다.
batch-audit,/batch-audit,BATCH_AUDIT,Audit / Evidence,MEDIUM,"Actor, Job, Execution, Operation, 기간","Audit, Operation, Job/Execution, Before/After, Reason, Delivery","Operation Log, Job Instance Log, Approval, Agent Evidence",Audit 상세; Delivery 확인,Batch Operation Log·Audit Ledger,실행·승인·조치·결과가 같은 식별자로 연결된다.,Audit 누락·Delivery 실패·Timestamp 불일치·Evidence 손상을 구분한다.,원본 Operation을 변경하지 않고 Audit Delivery만 재처리하거나 Incident를 등록한다.
workers,/workers,WORKER,Agent / Worker,MEDIUM,"Worker ID, Pool, Capability, 상태","Worker, Pool, Instance, Capability, Heartbeat, Assigned","현재 Partition, Last Error, Runtime Instance",Worker 상세,Worker Registry,Worker가 단일 Instance와 연결되고 Assigned 수가 실제 Claim과 일치한다.,중복 Worker ID·stale Heartbeat·Capability 불일치를 구분한다.,Worker Pool과 Runtime Instance 화면에서 교차 확인한다.
downloads,/downloads,DOWNLOAD,다운로드,MEDIUM,"Policy, Resource, Actor, 기간","Policy, Resource, Masking, Limit, Audit 수, 상태","Policy, Request Reason, Approval, Download Audit",CSV Download,Download Policy·Audit,허용 범위·Masking·행 제한이 적용되고 Download Audit가 남는다.,권한 부족·행 제한 초과·Token 만료·Masking 우회 요청을 구분한다.,조건을 축소하거나 승인된 Export 절차를 사용한다.
file-jobs,/file-jobs,FILE_JOB,대량파일 Job,MEDIUM,"Job ID, 파일명, 상태, 업로더, 기간","Job, File, Checksum, Rows, Valid/Invalid, 상태, Version","Row Error, Preview, Apply Result, Artifact, Audit",Upload; Apply; Retry; Cancel; Rollback; UNKNOWN Resolve,File Job·Row·Artifact 원장,Checksum과 Preview 건수가 일치하고 Apply 후 성공·실패 Row가 분리된다.,파일 형식·Checksum·부분 Apply·응답 유실·Rollback 불가를 구분한다.,Job/Row 원장을 대사해 실패 Row만 Retry하거나 승인된 Rollback을 수행한다.
messages,/messages,MESSAGE,전문·Protocol Message,MEDIUM,"Message Code, Version, Protocol, 상태","Code, Version, Protocol, Length, Checksum, 상태","Field Layout, Encoding, Validation, Related Trace",생성; 수정; 삭제,Message Definition 원장,정의 Checksum과 Runtime Parser Version이 일치하고 샘플 전문이 검증된다.,Field 중복·길이 불일치·Encoding 오류·사용 중 삭제를 구분한다.,새 Version을 등록해 Consumer를 전환한 뒤 구 Version을 비활성화한다.
codes,/codes,CODE,코드,MEDIUM,"Code Group, Code, 상태","Group, Code, Name, Sort, Use, Version","Locale Name, Consumer Reference, Audit",생성; 수정; 삭제,Common Code 원장,동일 Group 안에서 Code가 유일하고 Consumer 표시가 일치한다.,중복 Code·참조 중 삭제·Sort 충돌·Version 충돌을 구분한다.,새 Code를 추가하고 Consumer 반영 후 구 Code를 비활성화한다.
gateway-dashboard,/gateway-dashboard,GATEWAY_DASHBOARD,Gateway 대시보드,MEDIUM,"환경, Gateway, Route, 기간","Gateway, Route 수, RPS, Error, Circuit, Apply 상태","Operations Snapshot, Event Stream, Capability",실시간 Event 보기; 상세 이동,Gateway Operations Snapshot·Event Ledger,Snapshot 시각과 Event 흐름이 연결되고 적용 Version이 표시된다.,Event Stream 단절과 Gateway 장애를 구분한다.,Snapshot을 재조회하고 Stream 재연결 후 누락 구간은 Event History로 보완한다.
gateway-servers,/gateway-servers,GATEWAY_SERVERS,Gateway 연동 서버,MEDIUM,"Group, Target, 상태, Zone","Group, Member, URL Mask, Weight, Health, Version","Member, TLS, Discovery, Load Balancing, Reference",Group 저장; 삭제,Gateway Server Group 원장,모든 Member가 검증되고 최소 가용 Member가 유지된다.,중복 Target·SSRF 제한·TLS 실패·참조 중 삭제를 구분한다.,연결시험을 통과한 Member만 저장하고 참조 Route가 없을 때 Group을 삭제한다.
gateway-groups,/gateway-groups,GATEWAY_GROUPS,Gateway 서버 그룹,MEDIUM,"Group, Member, 상태","Group, Members, Weight 합계, Health, Version","Member 목록, Routing 결과, Apply 상태",Group 저장; 삭제,Gateway Group 원장·Apply Ledger,가중치와 Health 조건이 정책에 맞고 Runtime 적용 상태가 일치한다.,가중치 오류·Member 0개·부분 적용·참조 중 삭제를 구분한다.,Preview에서 Target 분배를 확인하고 이전 Group Version으로 Rollback한다.
gateway-routes,/gateway-routes,GATEWAY_ROUTES,Gateway 경로·라우팅,MEDIUM,"Route ID, Path, Method, Group, 상태","Binding, Method, Path, Target Group, Security, Timeout, Version","Predicate, Filter, Rewrite, Retry, Circuit, Audit",Binding 저장; 상태 변경; 삭제,Gateway Route Binding 원장,경로 충돌이 없고 Validate·Approve·Publish 후 Target ACK가 일치한다.,중복 Path·미지원 Predicate·Version 충돌·NACK를 구분한다.,LKG를 유지한 채 실패 Binding을 수정해 새 Version으로 게시한다.
gateway-security,/gateway-security,GATEWAY_SECURITY,Gateway 보안·제한,HIGH,"Route, 인증 방식, Audience, 상태","Route, Auth, HMAC, Body Hash, Nonce, TLS, SSRF, Version","Canonicalization, Allowed Host, Certificate, Replay Window",Security 정책 저장; 상태 변경,Gateway Security Policy,Negative Test가 차단되고 정상 요청의 서명·Audience·Nonce가 검증된다.,Clock skew·Nonce replay·Body hash 불일치·SSRF·TLS 오류를 구분한다.,정책을 완화하지 않고 Key/Clock/Certificate/Allowlist 원인을 수정한다.
gateway-health,/gateway-health,GATEWAY_HEALTH,Gateway Health·연결시험,MEDIUM,"Gateway, Group, Target, Test 상태","Test ID, Target, Stage, Latency, TLS, Result, Operation","DNS/TCP/TLS/HTTP 단계, Apply Status, Error",연결시험 요청; 취소; 재검증,Gateway Connection Test 원장,각 단계 결과가 기록되고 성공 Target만 게시 후보가 된다.,DNS·TCP·TLS·Auth·응답검증 실패를 단계별로 구분한다.,실패 Stage 원인을 수정한 뒤 같은 설정 Version을 재검증한다.
gateway-transactions,/gateway-transactions,GATEWAY_TRANSACTIONS,Gateway 거래 조회,MEDIUM,"Transaction ID, Route, Target, 상태, 기간","Transaction, Route, Target, Attempt, Status, Duration, Error","Attempt Timeline, Header Mask, Retry/Circuit, Internal Trace",Transaction 상세,Gateway Attempt·Transaction Log,Gateway Attempt와 내부 Trace가 같은 Transaction ID로 연결된다.,Trace 전파 누락·Retry 중복·Target Timeout·응답 유실을 구분한다.,Attempt Ledger와 Target 거래 원장을 대사한다.
gateway-log-policies,/gateway-log-policies,GATEWAY_LOG_POLICY,Gateway 로그 정책,MEDIUM,"Policy, Route, 상태, Version","Policy, Route, Sampling, Masking, Applied Version, 상태","Policy Detail, Target Distribution, Snapshot",정책 상세 이동,Log Policy·Gateway Applied State,Gateway Applied Version과 중앙 Log Policy Version이 일치한다.,일부 Target stale·Masking 불일치·Sampling Drift를 구분한다.,중앙 Log Policy 화면에서 실패 Target을 재배포하거나 Rollback한다.
gateway-apply-status,/gateway-apply-status,GATEWAY_APPLY_STATUS,Gateway 적용 상태·이력,MEDIUM,"Version, Route, Target, 상태, 기간","Publish ID, Version, Target, ACK/NACK, Applied, LKG, 시각","Event History, Connection Test, Checksum, Rollback",상세 조회,Gateway Publish·Apply Ledger,모든 Target의 Version·Checksum이 같고 LKG가 보존된다.,NACK·부분 적용·ACK 유실·Drift를 구분한다.,Target 원장과 Event를 대사하고 실패 Target만 재적용하거나 LKG Rollback한다.
