scenario_id,linked_requirement_id,execution_order,scenario_type,qa_result,finding_ids,evidence_path,next_action
CPF-SC-003147,CPF-FR-012749,05-00012749,DEPENDENCY_DOWN,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,DEPENDENCY_DOWN 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003148,CPF-FR-012749,05-00012749,DUPLICATE,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,DUPLICATE 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003149,CPF-FR-012749,05-00012749,TIMEOUT,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,TIMEOUT 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003150,CPF-FR-012749,05-00012749,UNKNOWN,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,UNKNOWN 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003151,CPF-FR-012749,05-00012749,RESTART,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,RESTART 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003152,CPF-FR-012749,05-00012749,RECOVERY,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,RECOVERY 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003153,CPF-FR-012757,05-00012757,NORMAL,미통과,QA12F-LOG-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,NORMAL 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003154,CPF-FR-012757,05-00012757,INVALID,미통과,QA12F-LOG-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,INVALID 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003155,CPF-FR-012757,05-00012757,DEPENDENCY_DOWN,미통과,QA12F-LOG-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,DEPENDENCY_DOWN 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003156,CPF-FR-012757,05-00012757,DUPLICATE,미통과,QA12F-LOG-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,DUPLICATE 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003157,CPF-FR-012757,05-00012757,TIMEOUT,미통과,QA12F-LOG-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,TIMEOUT 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003158,CPF-FR-012757,05-00012757,UNKNOWN,미통과,QA12F-LOG-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,UNKNOWN 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003159,CPF-FR-012757,05-00012757,RESTART,미통과,QA12F-LOG-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,RESTART 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003160,CPF-FR-012757,05-00012757,RECOVERY,미통과,QA12F-LOG-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,RECOVERY 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003161,CPF-FR-012765,05-00012765,NORMAL,미통과,QA12F-LOG-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,NORMAL 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003162,CPF-FR-012765,05-00012765,INVALID,미통과,QA12F-LOG-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,INVALID 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003163,CPF-FR-012765,05-00012765,DEPENDENCY_DOWN,미통과,QA12F-LOG-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,DEPENDENCY_DOWN 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003164,CPF-FR-012765,05-00012765,DUPLICATE,미통과,QA12F-LOG-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,DUPLICATE 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003165,CPF-FR-012765,05-00012765,TIMEOUT,미통과,QA12F-LOG-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,TIMEOUT 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003166,CPF-FR-012765,05-00012765,UNKNOWN,미통과,QA12F-LOG-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,UNKNOWN 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003167,CPF-FR-012765,05-00012765,RESTART,미통과,QA12F-LOG-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,RESTART 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003168,CPF-FR-012765,05-00012765,RECOVERY,미통과,QA12F-LOG-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,RECOVERY 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003169,CPF-FR-012773,05-00012773,NORMAL,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,NORMAL 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003170,CPF-FR-012773,05-00012773,INVALID,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,INVALID 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003171,CPF-FR-012773,05-00012773,DEPENDENCY_DOWN,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,DEPENDENCY_DOWN 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003172,CPF-FR-012773,05-00012773,DUPLICATE,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,DUPLICATE 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003173,CPF-FR-012773,05-00012773,TIMEOUT,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,TIMEOUT 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003174,CPF-FR-012773,05-00012773,UNKNOWN,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,UNKNOWN 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003175,CPF-FR-012773,05-00012773,RESTART,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,RESTART 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003176,CPF-FR-012773,05-00012773,RECOVERY,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,RECOVERY 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003177,CPF-FR-012781,05-00012781,NORMAL,미통과,QA12F-LOG-004,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,NORMAL 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
