domain,feature,requirement_start,requirement_end,requirement_count,scenario_count,public_contract,implementation_provider,actual_consumer,related_tests,runtime_or_alternative_evidence,finding_ids,qa_direct_patch,group_result,review_note
Logging,Loss Detection,CPF-FR-012813,CPF-FR-012820,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",QA12F-LOG-001,예,미통과,Loss Detection의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,Dynamic Log Level,CPF-FR-012821,CPF-FR-012828,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",QA12F-LOG-006,아니오,미통과,Dynamic Log Level의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,Log Policy Version,CPF-FR-012829,CPF-FR-012836,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",QA12F-LOG-007,아니오,미통과,Log Policy Version의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,Log Retention,CPF-FR-012837,CPF-FR-012844,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",QA12F-LOG-001;QA12F-LOG-008,예,미통과,Log Retention의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,Log Search Keys,CPF-FR-012845,CPF-FR-012852,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",,아니오,미검증,Log Search Keys의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,Log Download Guard,CPF-FR-012853,CPF-FR-012860,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",,아니오,미검증,Log Download Guard의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,Log Failure Isolation,CPF-FR-012861,CPF-FR-012868,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",QA12F-LOG-005,아니오,미검증,Log Failure Isolation의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,Trace / Transaction Correlation,CPF-FR-012869,CPF-FR-012876,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-001,아니오,미검증,Trace / Transaction Correlation의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,Span Naming,CPF-FR-012877,CPF-FR-012884,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-001,아니오,미검증,Span Naming의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,Segment / Attempt Correlation,CPF-FR-012885,CPF-FR-012892,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-001,아니오,미검증,Segment / Attempt Correlation의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,Sampling Policy,CPF-FR-012893,CPF-FR-012900,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-002,아니오,미검증,Sampling Policy의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,Trace Boost,CPF-FR-012901,CPF-FR-012908,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-002,아니오,미검증,Trace Boost의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,Baggage Allowlist,CPF-FR-012909,CPF-FR-012916,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-003,아니오,미통과,Baggage Allowlist의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,PII Exclusion,CPF-FR-012917,CPF-FR-012924,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-001,아니오,미검증,PII Exclusion의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,Cardinality Control,CPF-FR-012925,CPF-FR-012932,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-003,아니오,미통과,Cardinality Control의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,Local Call Span,CPF-FR-012933,CPF-FR-012940,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-001,아니오,미통과,Local Call Span의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,Remote Call Span,CPF-FR-012941,CPF-FR-012948,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-001,아니오,미통과,Remote Call Span의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,Message Span,CPF-FR-012949,CPF-FR-012956,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-001,아니오,미통과,Message Span의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,Batch Span,CPF-FR-012957,CPF-FR-012964,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-001,아니오,미통과,Batch Span의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Tracing,File Span,CPF-FR-012965,CPF-FR-012972,8,15,cpf-core/src/main/java/com/cpf/core/api/observability/CpfTelemetry.java; api/logging/CpfTransactionContext.java,cpf-core/src/main/java/com/cpf/core/service/observability/CpfOpenTelemetryAdapter.java; LoggingAspect; TransactionSegmentService; CpfTraceSamplingPolicy,"HTTP interceptor, LoggingAspect, segment services; generic telemetry caller",trace-sampling-runtime-harness.log; trace-header-correlation-harness.log; segment/header tests,"특정 Local/Remote/Message/Batch/File span consumer 완결성, baggage allowlist, cardinality budget, 실제 OTLP exporter runtime 미검증",QA12F-TRACE-001,아니오,미통과,File Span의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Masking,PII Classification,CPF-FR-012973,CPF-FR-012980,8,15,cpf-core/src/main/java/com/cpf/core/api/security/CpfMasking.java; CpfSensitiveData.java,cpf-core/src/main/java/com/cpf/core/common/logging/SensitiveDataMasker.java; ADM security/download/log consumers,LoggingAspect; log export; evidence sanitization; admin detail/download consumers,masking-policy-runtime-harness.log; masking-truncate-before-after-harness.log; masking-bearer-before-after-harness.log,Raw View Approval·Browser zeroization·policy CAS/distribution/actual browser E2E 미검증,,아니오,미검증,PII Classification의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Masking,Secret Classification,CPF-FR-012981,CPF-FR-012988,8,15,cpf-core/src/main/java/com/cpf/core/api/security/CpfMasking.java; CpfSensitiveData.java,cpf-core/src/main/java/com/cpf/core/common/logging/SensitiveDataMasker.java; ADM security/download/log consumers,LoggingAspect; log export; evidence sanitization; admin detail/download consumers,masking-policy-runtime-harness.log; masking-truncate-before-after-harness.log; masking-bearer-before-after-harness.log,Raw View Approval·Browser zeroization·policy CAS/distribution/actual browser E2E 미검증,QA12F-MASK-001;QA12F-MASK-002,예,미통과,Secret Classification의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Masking,Credential Classification,CPF-FR-012989,CPF-FR-012996,8,15,cpf-core/src/main/java/com/cpf/core/api/security/CpfMasking.java; CpfSensitiveData.java,cpf-core/src/main/java/com/cpf/core/common/logging/SensitiveDataMasker.java; ADM security/download/log consumers,LoggingAspect; log export; evidence sanitization; admin detail/download consumers,masking-policy-runtime-harness.log; masking-truncate-before-after-harness.log; masking-bearer-before-after-harness.log,Raw View Approval·Browser zeroization·policy CAS/distribution/actual browser E2E 미검증,QA12F-MASK-001;QA12F-MASK-002,예,미통과,Credential Classification의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Masking,List Masking,CPF-FR-012997,CPF-FR-013004,8,15,cpf-core/src/main/java/com/cpf/core/api/security/CpfMasking.java; CpfSensitiveData.java,cpf-core/src/main/java/com/cpf/core/common/logging/SensitiveDataMasker.java; ADM security/download/log consumers,LoggingAspect; log export; evidence sanitization; admin detail/download consumers,masking-policy-runtime-harness.log; masking-truncate-before-after-harness.log; masking-bearer-before-after-harness.log,Raw View Approval·Browser zeroization·policy CAS/distribution/actual browser E2E 미검증,,아니오,미검증,List Masking의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Masking,Detail Masking,CPF-FR-013005,CPF-FR-013012,8,15,cpf-core/src/main/java/com/cpf/core/api/security/CpfMasking.java; CpfSensitiveData.java,cpf-core/src/main/java/com/cpf/core/common/logging/SensitiveDataMasker.java; ADM security/download/log consumers,LoggingAspect; log export; evidence sanitization; admin detail/download consumers,masking-policy-runtime-harness.log; masking-truncate-before-after-harness.log; masking-bearer-before-after-harness.log,Raw View Approval·Browser zeroization·policy CAS/distribution/actual browser E2E 미검증,QA12F-MASK-001;QA12F-MASK-002,예,미통과,Detail Masking의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Masking,Raw View Approval,CPF-FR-013013,CPF-FR-013020,8,15,cpf-core/src/main/java/com/cpf/core/api/security/CpfMasking.java; CpfSensitiveData.java,cpf-core/src/main/java/com/cpf/core/common/logging/SensitiveDataMasker.java; ADM security/download/log consumers,LoggingAspect; log export; evidence sanitization; admin detail/download consumers,masking-policy-runtime-harness.log; masking-truncate-before-after-harness.log; masking-bearer-before-after-harness.log,Raw View Approval·Browser zeroization·policy CAS/distribution/actual browser E2E 미검증,QA12F-MASK-004,아니오,미통과,Raw View Approval의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
