check_id,source_requirement_id,area,direct_source_review,source_evidence,consumer_review,test_harness_review,development_status,verification_status,runtime_only_reason
CORE-021,QA39-021,Security,COMPLETE,SFTP raw password is rejected and Secret Reference is mandatory; live SFTP/MQ/HTTP secret rotation remains environment verification.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-022,QA39-022,Operations,COMPLETE,SFTP/Notification health now probes real dependencies with sanitized reason codes; full retained-provider degraded/down matrix not executed.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,
CORE-023,QA39-023,Thin Wrapper Removal,COMPLETE,Thin wrappers are removed from Settings/BOM/Catalog/Generator and exact physical deletion is scripted; deletion execution remains pending.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-024,QA39-024,File Capability,COMPLETE,File Group and selected-only provider composition are canonical; live Attachment/Archive/Tabular/SFTP combined runtime remains environment verification.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-025,QA39-025,Transaction Integration,COMPLETE,Integration Group and transport/codec provider slots are canonical; live TCP response-loss and ISO8583 reconcile remain environment verification.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-026,QA39-026,Public API,COMPLETE,Public CPF Data/Broker/Notification APIs and provider conformance compile without OSS imports; full Consumer build remains environment verification.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-027,QA39-027,Code Quality,COMPLETE,PASS: Overlay Java readability gate reports no compressed source and no line over 220 characters; Python syntax gate passes.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-028,QA39-028,Frontend,COMPLETE,Existing ADM/BZA verify and Playwright CI jobs are preserved; npm/Playwright were not executed in this environment.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,
CORE-029,QA39-029,Supply Chain,COMPLETE,Removed artifacts are excluded from Catalog/BOM and CI supply-chain gate is wired; SBOM/license/vulnerability run remains environment verification.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-030,QA39-030,Deletion Safety,COMPLETE,"PASS: canonical delete gate validates 135 exact file paths, 20-column work items and LiteralPath-only fail-closed PowerShell.",COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-031,QA39-031,Protected Paths,COMPLETE,PASS: protected path scan reports 0 changed/delete paths for all four protected prefixes.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-032,QA39-032,Completion Gate,COMPLETE,PASS: completion Matrix gate rejects 완료 without trace/evidence and rejects verified scenarios without PASS evidence.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-033,QA39-033,Starter Selection UX,COMPLETE,PASS: public surface Catalog and generator contract expose exactly six Profiles and seven Capability Groups while provider Leaves remain internal.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-034,QA39-034,Value Regression,COMPLETE,PASS: Starter admission policy is enforced in both canonical Catalogs and retained public values have Consumer/API/SPI/Evidence plans.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-035,QA39-035,QA Governance,COMPLETE,PASS: QA priority order is encoded in the active canonical request and conflict scenario QA39-SC-025.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-036,QA39-036,Starter Architecture,COMPLETE,PASS: canonical Catalog fixes REMOVE/INTERNALIZE/RETAIN decisions and the delete gate rejects re-registration of removed artifacts.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-037,QA39-037,Starter Architecture,COMPLETE,PASS: canonical composition exposes seven Groups; OpenAPI is embedded in web-api and Scheduler ownership in batch-service/cpf-batch.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-038,QA39-038,Public API Owners,COMPLETE,"Intent APIs, standard Result/UNKNOWN/reconcile paths and runtime-control ownership are implemented; complete live Provider matrix remains environment verification.",COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-039,QA39-039,Extension SPI Owners,COMPLETE,PASS: verify-cpf-provider-conformance.py compiles and runs customer Broker and Notification providers using Public SPI only.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-040,QA39-040,Deletion/Repository Hygiene,COMPLETE,PASS: CPF_PRODUCT_DELETE_WORK_ITEMS.csv enumerates Source/Test/Config/BOM/Catalog/Profile/Workflow impact with exact paths and approval/execution state.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-041,QA39-041,Development Lead,COMPLETE,"Active canonical request contains pre-review, implementation report, self-review, commands/results, unexecuted checks, risks and Codex validation order.",COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-042,QA39-042,QA/Tooling,COMPLETE,"Root Overlay package, change/delete/hash/package manifests and one-line commands are generated; application and post-push exact-SHA validation remain user/Codex actions.",COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-043,QA39-043,Generator / Platform Standards,COMPLETE,"PASS: canonical generator gate validates minimal-domain default, required standards, selected-only dependencies, Java 25 and resolved lock parity.",COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-044,QA39-044,Core Policy / Architecture Governance,COMPLETE,"Domain-side approved exception registry, Convention Build Gate, Runtime verifier, Version/expiry/hash fail-closed and upgrade path are implemented; Java 25 Gradle/runtime execution remains environment verification.",COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-045,QA39-045,Development Lead,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-046,QA39-046,QA Governance,COMPLETE,Overlay에서 복구,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,
CORE-047,QA39-047,Canonical Governance,COMPLETE,Overlay 현행화,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,
CORE-048,QA39-048,Starter Architecture,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-049,QA39-049,Starter Owners,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-050,QA39-050,Extension SPI Owners,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-051,QA39-051,AI Capability,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-052,QA39-052,Security,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-053,QA39-053,Security,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-054,QA39-054,Security/Crypto,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-055,QA39-055,Audit/Security,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-056,QA39-056,Transaction Architecture,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-057,QA39-057,Transaction Runtime,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-058,QA39-058,Transaction Runtime,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-059,QA39-059,Transaction Runtime,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-060,QA39-060,Transaction Recovery,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-061,QA39-061,Messaging Reliability,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-062,QA39-062,Messaging Reliability,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-063,QA39-063,Saga,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-064,QA39-064,TCC,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-065,QA39-065,E2E Reliability,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-066,QA39-066,Call/Integration,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-067,QA39-067,Observability/ADM,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-068,QA39-068,EDU/Reference,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-069,QA39-069,Generator/Build,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-070,QA39-070,Repository Hygiene,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-071,QA39-071,Repository Hygiene,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-072,QA39-072,Development Lead,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,재개발 요청,미검증,
CORE-073,QA39-073,Runtime Harness,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-074,QA39-074,Documentation/OpenAPI,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-075,QA39-075,Development Lead,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-076,QA39-076,Packaging,COMPLETE,개발 전,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,미구현,미검증,
CORE-077,DEV17-001,Core,COMPLETE,CpfTransactionStrategy; CpfTransactionStrategyPolicy,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-078,DEV17-002,Data,COMPLETE,transaction-jta; run-xa-crash-recovery.*,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external runtime required
CORE-079,DEV17-003,Messaging,COMPLETE,CpfBrokerInboxPort; JdbcCpfBrokerReliabilityRepository,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external runtime required
CORE-080,DEV17-004,Core,COMPLETE,CpfSagaEngine; CpfSagaManualRecoveryService,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-081,DEV17-005,Reference,COMPLETE,ReferenceDurableTccReservationParticipant,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external runtime required
CORE-082,DEV17-006,Security,COMPLETE,CpfSecurityContext,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-083,DEV17-007,Security,COMPLETE,CpfOidcAutoConfiguration,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external runtime required
CORE-084,DEV17-008,Security,COMPLETE,CpfKeyManagementService; CpfPkcs11KeyProvider,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external runtime required
CORE-085,DEV17-009,Security,COMPLETE,CpfTamperAuditService; JdbcCpfTamperAuditStore,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-086,DEV17-010,Integration,COMPLETE,CpfAiRouter; ReferenceAiEducationController,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-087,DEV17-011,Persistence,COMPLETE,CpfCrudRepositoryPort; CpfPersistencePolicy,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-088,DEV17-012,Persistence,COMPLETE,CpfJpaOperations; CpfJpaPageables,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external runtime required
CORE-089,DEV17-013,Generator,COMPLETE,generator jpa repository/entity templates,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external runtime required
CORE-090,DEV17-014,File/Web,COMPLETE,CpfMultipartAttachmentAdapter,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-091,DEV17-015,Integration,COMPLETE,CpfSoapClient,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external runtime required
CORE-092,DEV17-016,Config,COMPLETE,CpfConfigCatalog; CpfConfigurationPolicyCatalog,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-093,DEV17-017,QA Governance,COMPLETE,CPF_FUNDAMENTAL_BASELINE_AUDIT.csv,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-094,DEV17-018,QA Governance,COMPLETE,CPF_PERSISTENCE_BASELINE_AUDIT.csv,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-095,DEV17-019,QA Governance,COMPLETE,REQUIREMENT_STATUS.csv,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-096,DEV17-020,Repository Hygiene,COMPLETE,old relocation parents absent on master,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-097,DEV17-021,Starter DX,COMPLETE,catalog moduleCount=45,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-098,DEV17-DECOMP-098,Transaction Strategy,COMPLETE,cpf-core/api/transaction; transaction-jta,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-099,DEV17-DECOMP-099,XA DB+DB,COMPLETE,transaction-jta; XA harness,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-100,DEV17-DECOMP-100,XA DB+JMS,COMPLETE,transaction-jta + messaging/jms boundary,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-101,DEV17-DECOMP-101,XA Recovery,COMPLETE,run-xa-crash-recovery scripts,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-102,DEV17-DECOMP-102,Outbox,COMPLETE,messaging/reliability-jdbc,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-103,DEV17-DECOMP-103,Inbox Dedup,COMPLETE,broker inbox hardening DB3,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-104,DEV17-DECOMP-104,Saga,COMPLETE,cpf-core/common/saga,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-105,DEV17-DECOMP-105,TCC,COMPLETE,Reference durable TCC DB3,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-106,DEV17-DECOMP-106,Lineage,COMPLETE,cpf-core/api/lineage; online integrated reference,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-107,DEV17-DECOMP-107,JWT DX,COMPLETE,resource-server CpfSecurityContext,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-108,DEV17-DECOMP-108,OIDC,COMPLETE,security/oidc-login,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-109,DEV17-DECOMP-109,KMS/HSM,COMPLETE,security/secret key management,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-110,DEV17-DECOMP-110,Tamper Audit,COMPLETE,security/audit-jdbc + secret service,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-111,DEV17-DECOMP-111,AI,COMPLETE,integration/ai,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-112,DEV17-DECOMP-112,CRUD DX,COMPLETE,core/api/persistence,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-113,DEV17-DECOMP-113,JPA,COMPLETE,data/persistence-jpa,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-114,DEV17-DECOMP-114,Generator,COMPLETE,create-domain.ps1 + catalog,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-115,DEV17-DECOMP-115,Multipart,COMPLETE,file/attachment,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-116,DEV17-DECOMP-116,SOAP,COMPLETE,integration/soap,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-117,DEV17-DECOMP-117,Config,COMPLETE,core/api/config,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-118,DEV17-DECOMP-118,Cache,COMPLETE,cache caffeine/valkey,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-119,DEV17-DECOMP-119,Batch,COMPLETE,cpf-batch runtime/testkit,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-120,DEV17-DECOMP-120,Observability,COMPLETE,platform operations observability,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-121,DEV17-DECOMP-121,ADM/BZA,COMPLETE,cpf-admin; cpf-biz-admin,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-122,DEV17-DECOMP-122,OpenAPI Client,COMPLETE,adm frontend generated,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-123,DEV17-DECOMP-123,Hygiene,COMPLETE,delete manifest + catalog,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-124,DEV17-DECOMP-124,Transaction Strategy,COMPLETE,cpf-core/api/transaction; transaction-jta,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
