scenario_id,scenario,acceptance,requirement_ids,verification_status,evidence
QA39-SC-025,자체 개발요건이 완전 제거 대상 모듈의 제품화를 지시한다.,QA39 최종 개발요건이 우선되어 자체요건은 CONFLICT 처리되고 제품화하지 않는다.,QA39-035;QA39-036,완료,PASS: QA requirement priority is canonical and removed artifacts cannot be reintroduced by self requirements.
QA39-SC-026,개발자가 event-service와 messaging=kafka만 선택한다.,Generator가 Kafka/reliability 내부 Leaf와 lock을 조립하고 Provider Artifact 직접 선택을 요구하지 않는다.,QA39-005;QA39-015;QA39-037,완료,PASS: event-service + messaging=kafka resolves Kafka/reliability internal projects in lock without public Leaf UX.
QA39-SC-027,Messaging Provider를 Kafka에서 RabbitMQ로 변경한다.,업무 Source는 변경하지 않고 binding/config만 변경하며 동일 CPF API/Result/운영 추적을 사용한다.,QA39-008;QA39-038;QA39-039,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-SC-028,업무 개발자가 유지 Capability를 사용한다.,OSS 타입과 Provider 예외 없이 간단한 CPF Public API로 의도를 표현하고 표준 SUCCESS/FAILED/UNKNOWN 및 tracking을 받는다.,QA39-026;QA39-038,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-SC-029,고객사가 신규 Broker 또는 Notification Provider를 추가한다.,CPF internal package를 참조하지 않고 SPI를 구현하여 conformance testkit을 통과한다.,QA39-039,완료,PASS: provider conformance compiles/runs customer Broker and Notification SPI implementations.
QA39-SC-030,완전 제거 대상 삭제 작업을 종료한다.,Source/Core API/Test/Config/BOM/Catalog/Generator/문서/Evidence 잔여 참조가 0건이고 exact-path 한 줄 명령 실행 결과가 기록된다.,QA39-003;QA39-023;QA39-030;QA39-040,재확인 필요,Exact-path deletion and residual-reference checks are prepared; physical execution remains.
QA39-SC-031,개발 GPT가 구현을 완료해 QA에 전달한다.,"Developer Implementation Report와 Self Review가 exact SHA, 파일/라인, 요건, 명령/결과, 미실행, 삭제, Evidence, 회귀 위험을 포함한다.",QA39-041;QA39-042,재확인 필요,Canonical implementation/self-review content and package manifests are present; Codex exact-SHA run remains.
QA39-SC-032,사용자가 아무 선택 없이 minimal-domain을 생성한다.,Generator가 CPF 필수 공통 표준만 자동 상속하고 fresh build/runtime에 성공하며 DB·Messaging·Batch·File·Notification 등 미선택 기능의 dependency/bean/config/SQL/migration은 생성하지 않는다.,QA39-015;QA39-043,재확인 필요,Minimal-domain selected-only static gate PASS; fresh PowerShell/Gradle runtime remains.
QA39-SC-033,사용자가 하나의 Profile과 필요한 Capability·Provider binding만 선택한다.,선택한 기능과 내부 Leaf만 resolved lock과 생성물에 추가되고 다른 Profile·Capability·상호 배타 Provider는 전이되지 않는다.,QA39-005;QA39-006;QA39-015;QA39-037;QA39-043,재확인 필요,Selected-only Profile/Capability/Provider lock static gate PASS; fresh build remains.
QA39-SC-034,CPF 표준 Starter가 존재하는 기능에 업무 Domain이 외부 OSS dependency·직접 Bean·수동 설정을 승인 없이 추가한다.,Convention/Architecture build gate 또는 Runtime Gate가 우회를 탐지하여 fail-closed하고 위반 Module·Artifact·Config·해결 방법을 식별 가능한 오류로 남긴다.,QA39-004;QA39-026;QA39-038;QA39-044,재확인 필요,Build/runtime bypass detection Source and tests implemented; Gradle/runtime execution remains.
QA39-SC-035,이용 Domain이 불가피한 외부 OSS 사용을 선언형 예외 설정으로 등록한다.,Platform Source 수정 없이 승인된 Domain·Capability·환경·기간·Artifact Version·Config Hash 범위에서만 build/runtime가 허용되고 resolved lock·감사·운영 조회에 예외 ID와 결과가 기록된다.,QA39-043;QA39-044,재확인 필요,Domain-side approved registry/version/hash/expiry/lock implementation present; runtime execution remains.
QA39-SC-036,등록된 예외가 미승인·만료·범위 초과·Version 변경·Config Hash 불일치 상태가 된다.,Build 또는 Runtime이 fail-closed하며 이전 승인만으로 자동 허용하지 않고 원인과 필요한 재승인 절차를 마스킹된 감사 Evidence로 남긴다.,QA39-044,재확인 필요,Fail-closed tests cover unapproved/expired/version/hash drift in Source; Gradle/runtime execution remains.
QA39-SC-037,예외 사용을 종료하고 CPF 표준 Starter 경로로 복귀하거나 기존 Generated Domain을 정책 적용 버전으로 upgrade한다.,외부 dependency·직접 Bean·예외 Config·stale lock이 제거되고 사용자 수정 영역을 보존한 채 표준 경로로 fresh build/runtime가 성공한다.,QA39-015;QA39-043;QA39-044,재확인 필요,Upgrade script preserves user areas and removes stale policy artifacts; fresh upgrade build remains.
QA39-SC-038,Tomcat 배포 업무가 DB1+DB2 또는 DB+JMS를 하나의 강한 원자 거래로 처리한다.,standalone JTA TM과 XA resource가 enlist되고 prepare/commit 또는 rollback이 두 Resource에 일관되게 적용된다.,QA39-058;QA39-059,미검증,개발 전
QA39-SC-039,JTA-capable WAS에서 동일 XA 업무를 실행한다.,CPF가 특정 standalone TM을 강제하지 않고 managed JTA adapter를 사용해 동일 Public Contract가 동작한다.,QA39-058;QA39-059,미검증,개발 전
QA39-SC-040,XA prepare 직후 프로세스를 강제 종료한다.,restart 후 recovery scan이 in-doubt를 찾아 최종 commit/rollback하고 duplicate side effect가 없다.,QA39-060,미검증,개발 전
QA39-SC-041,업무 DB 변경 후 Broker publish 직전 프로세스가 종료된다.,업무 데이터와 Outbox가 동일 Local TX로 남고 restart Publisher가 누락 없이 발행한다.,QA39-061,미검증,개발 전
QA39-SC-042,Broker publish는 성공했지만 Outbox confirmation 전에 프로세스가 종료된다.,재시도 duplicate가 발생해도 Inbox/Dedup과 idempotent consumer 때문에 업무 side effect는 1회다.,QA39-061;QA39-062,미검증,개발 전
QA39-SC-043,동일 eventId를 여러 Consumer instance가 동시에 수신한다.,consumer identity/fencing/dedup으로 단일 업무 효과만 남고 재시작 후 상태가 일관된다.,QA39-062,미검증,개발 전
QA39-SC-044,Saga A와 B가 성공하고 C가 실패한다.,B→A 역순 compensation이 수행되고 compensation 실패/재시도/UNKNOWN이 durable state와 timeline에 남는다.,QA39-063,미검증,개발 전
QA39-SC-045,TCC Try 이후 Confirm이 중복 호출된다.,Confirm side effect는 한 번만 발생하고 duplicate가 안전하게 종료된다.,QA39-064,미검증,개발 전
QA39-SC-046,TCC Try 수행 전 Cancel이 도착하거나 Try 후 프로세스가 종료된다.,empty rollback/hanging policy로 안전하게 수렴하고 manual review/reconcile 경로가 있다.,QA39-064,미검증,개발 전
QA39-SC-047,"Online A→B→C에서 DB, 외부 API, Outbox/Broker를 거친다.",동일 transactionId가 모든 segment/log/audit/timeline에 유지되고 retry는 attempt만 증가한다.,QA39-065;QA39-066;QA39-067,미검증,개발 전
QA39-SC-048,외부 API 요청 전송 후 응답이 유실된다.,FAILED로 단정하거나 무조건 retry하지 않고 UNKNOWN→reconcile→최종상태로 전이된다.,QA39-065;QA39-066,미검증,개발 전
QA39-SC-049,개발자가 Security Starter에서 현재 사용자/tenant/role/scope를 조회한다.,Spring Security boilerplate 없이 typed CPF API를 사용하고 invalid/missing claim은 안전하게 처리된다.,QA39-052,미검증,개발 전
QA39-SC-050,외부 IdP를 Keycloak에서 Entra 또는 Okta로 교체한다.,업무 Source 변경 없이 provider config/mapping으로 CPF User/Tenant/Authority Context가 유지된다.,QA39-053,미검증,개발 전
QA39-SC-051,KMS/HSM provider가 timeout 또는 key rotation 중 장애를 일으킨다.,key 원문 노출 없이 명확한 error/health/audit가 남고 rotation/version/retry 정책에 따라 안전하게 처리된다.,QA39-054,미검증,개발 전
QA39-SC-052,Audit record 하나를 수정/삭제/재정렬한다.,hash-chain/signature 검증이 조작 위치를 탐지하고 운영 Evidence가 원문 민감정보 없이 남는다.,QA39-055,미검증,개발 전
QA39-SC-053,AI Provider가 timeout 또는 정책상 금지 응답을 반환한다.,fallback/UNKNOWN/policy/approval가 적용되고 sensitive data와 usage/cost/audit가 추적된다.,QA39-051,미검증,개발 전
QA39-SC-054,활성 Starter 하나를 신규 Generated Domain에서 사용한다.,OSS 직접 조립보다 설정/코드가 적고 표준 error/security/audit/observability가 자동 연결되며 미사용 Provider는 classpath/bean/config에 없다.,QA39-048;QA39-049;QA39-050,미검증,개발 전
QA39-SC-055,직전 package relocation 후 old/new package가 동시에 존재한다.,replacement 존재를 확인한 exact allowlist만 삭제한 후 stale package/import/reference가 0이다.,QA39-070,미검증,개발 전
QA39-SC-056,Developer GPT가 Runtime 환경을 사용할 수 없다.,Source/Consumer/Test/Harness/Script/Config가 모두 준비된 항목만 미검증으로 남고 구현 가능한 Gap은 FAIL/재개발로 처리된다.,QA39-072;QA39-073,미검증,개발 전
QA39-SC-057,개발 종료 직전 Repository를 다시 스캔한다.,Current-State 문서만 남고 신규 REV/SESSION/checkpoint/tmp/obsolete package가 없으며 protected path 삭제는 0이다.,QA39-071;QA39-076,미검증,개발 전
DEV17-S001,Core transaction strategy selection,LOCAL does not instantiate JTA; XA/TCC/Saga/Outbox are selectable/combposable,"DEV17-001,DEV17-002,DEV17-005",재확인 필요,Core strategy contract + conditional starter source
DEV17-S002,XA prepare kill/recovery,"two XA resources prepare, kill, restart, recover, duplicate 0",DEV17-002,미검증,CpfXaCrashRecoveryHarness + run-xa-crash-recovery scripts
DEV17-S003,Inbox concurrent duplicate/restart,consumer identity scopes dedup and stale RECEIVED is reclaimed,DEV17-003,미검증,Inbox port/JDBC repository/DB3 migration
DEV17-S004,Saga UNKNOWN/manual review,unknown outcome is not guessed; compensation failure routes manual review,DEV17-004,재확인 필요,CpfSagaEngine + ManualRecoveryService
DEV17-S005,TCC empty rollback/hanging/restart,durable Try/Confirm/Cancel and expired recovery,DEV17-005,미검증,Reference durable TCC + DB3 ledger
DEV17-S006,JWT/OIDC developer DX,current user/tenant/roles/scopes + OIDC login/logout/refresh,"DEV17-006,DEV17-007",미검증,CpfSecurityContext + CpfOidcAutoConfiguration
DEV17-S007,KMS/HSM tamper audit,sign/verify/rotate/revoke timeout + append chain corruption detection,"DEV17-008,DEV17-009",미검증,Key services + Tamper tests + DB3
DEV17-S008,AI timeout/fallback/approval,high risk requires approval; unsafe timeout becomes UNKNOWN,DEV17-010,재확인 필요,CpfAiRouterTest + reference consumer
DEV17-S009,Persistence provider parity,JDBC/MyBatis/JPA share paging/sort/public semantics and native escape,"DEV17-011,DEV17-012,DEV17-013",미검증,Persistence audit + generator
DEV17-S010,Multipart streaming safety,name/path/size/type policy and storage streaming,DEV17-014,재확인 필요,CpfMultipartAttachmentAdapter
DEV17-S011,SOAP timeout/UNKNOWN,"fixed endpoint typed/raw SOAP, txId header, transport timeout UNKNOWN",DEV17-015,미검증,CpfSoapClient + ReferenceSoap controller
DEV17-S012,Fundamental independent gate,16 areas ×15 questions all direct-reviewed,DEV17-017,재확인 필요,CPF_FUNDAMENTAL_BASELINE_AUDIT.csv 240 rows
MOD-S001,Core dependency direction,cpf-core has no starter/provider dependency and non-Boot core consumer compiles,"NXT-ARCH-001,NXT-ARCH-003",미검증,NOT_EXECUTED — new current request.
MOD-S002,Core class ownership sweep,Every core class has KEEP/MOVE/ABSORB/REMOVE rationale and no runtime pollution remains,"NXT-ARCH-002,NXT-OWN-001,NXT-OWN-002,NXT-OWN-003,NXT-OWN-004",미검증,NOT_EXECUTED — new current request.
MOD-S003,Unified Utility classification,Simple wrappers removed/absorbed; CPF-value utility moved to pure foundation; capability utilities owned correctly,"NXT-UTIL-001,NXT-UTIL-002",미검증,NOT_EXECUTED — new current request.
MOD-S004,TransactionId first-hop and retry,Trusted entry creates once; local/remote/message/batch/retry/reconcile keep same transactionId,NXT-TXID-001,미검증,NOT_EXECUTED — new current request.
MOD-S005,Health dependency failure,"JVM live + DB down => liveness can remain UP, readiness DOWN; health contributor bounded","NXT-HEALTH-001,NXT-HEALTH-002",미검증,NOT_EXECUTED — new current request.
MOD-S006,Multi-instance health,2+ instances heartbeat/last-seen/dependency state projected to ADM with auth,NXT-HEALTH-003,미검증,NOT_EXECUTED — new current request.
MOD-S007,Graceful drain,RUNNING→DRAINING→readiness DOWN→new work blocked→in-flight completion→STOPPED,NXT-OPS-001,미검증,NOT_EXECUTED — new current request.
MOD-S008,JPA optional zero footprint,non-JPA profile has no Hibernate/JPA bean/config/runtime side effect,NXT-JPA-001,미검증,NOT_EXECUTED — new current request.
MOD-S009,Persistence provider parity,JDBC/MyBatis/JPA CRUD/Page/Search/Lock return same CPF semantics on DB3,"NXT-JPA-001,NXT-PERSIST-001",미검증,NOT_EXECUTED — new current request.
MOD-S010,OIDC provider portability,Keycloak/Entra/Okta-shaped configuration maps to CPF identity without vendor public API lock-in,NXT-SEC-001,미검증,NOT_EXECUTED — new current request.
MOD-S011,Distributed session multi-instance,"Login on instance A, request on B, rotation/forced logout propagates; Valkey outage fails safely",NXT-SESSION-001,미검증,NOT_EXECUTED — new current request.
MOD-S012,Object storage streaming,multipart upload/checksum/range/download with timeout and orphan reconcile; no AWS type in public API,NXT-STORE-001,미검증,NOT_EXECUTED — new current request.
MOD-S013,Event schema compatible evolution,backward/forward compatible schema passes; breaking field change fails CI/contract gate,NXT-EVENT-001,미검증,NOT_EXECUTED — new current request.
MOD-S014,GraphQL BFF consumer,"GraphQL query/mutation reuse service layer, field auth enforced, query limits/N+1 guard active",NXT-GQL-001,미검증,NOT_EXECUTED — new current request.
MOD-S015,SSE reconnect,"client reconnect uses event id, duplicate safe, slow consumer bounded, multi-instance works",NXT-RT-001,미검증,NOT_EXECUTED — new current request.
MOD-S016,Valkey lock stale owner,process kill/lease expiry/fencing prevents stale writer after takeover,NXT-LOCK-001,미검증,NOT_EXECUTED — new current request.
MOD-S017,AI provider failure,"provider timeout/quota failure maps to CPF error/UNKNOWN policy, masked audit and optional footprint",NXT-AI-001,미검증,NOT_EXECUTED — new current request.
MOD-S018,Testkit deterministic run,clock/id/security/tenant fixture plus failure injection produces repeatable result,NXT-TESTKIT-001,미검증,NOT_EXECUTED — new current request.
MOD-S019,Virtual thread context propagation,transactionId/security/MDC/deadline retained under blocking I/O virtual-thread execution,NXT-EXEC-001,미검증,NOT_EXECUTED — new current request.
MOD-S020,Starter DX misuse,minimal config boots; invalid/conflicting config fails fast; native escape remains available,NXT-DX-001,미검증,NOT_EXECUTED — new current request.
MOD-S021,Generator JPA/JDBC/MyBatis,fresh arbitrary domain generates consistent repository/service/api/paging/test/openapi by selected provider,"NXT-GEN-001,NXT-GEN-002",미검증,NOT_EXECUTED — new current request.
MOD-S022,ADM/BZA changed API errors,generated client and UI handle 400/401/403/404/409/429/500/503 and paging/detail,NXT-FE-001,미검증,NOT_EXECUTED — new current request.
MOD-S023,Current docs no duplicates,canonical/current docs show same requirements and no REV/SESSION/FINAL duplicate management docs remain,"NXT-DOC-001,NXT-DOC-002,NXT-DOC-003,NXT-HYG-006",미검증,NOT_EXECUTED — new current request.
MOD-S024,Garbage exact cleanup,"delete manifest uses exact paths, protects protected docs, old/new relocation duplicates are absent","NXT-HYG-001,NXT-HYG-002,NXT-HYG-003,NXT-HYG-004",미검증,NOT_EXECUTED — new current request.
MOD-S025,Tool consumer hygiene,every verification py/ps1/sh has CI/Gradle/script/runbook consumer or is removed via manifest,NXT-HYG-005,미검증,NOT_EXECUTED — new current request.
MOD-S026,QA A/B cross audit,A and B each review 100% independently; disagreement blocks completion and creates rework/recheck,"NXT-QA-001,NXT-QA-002,NXT-QA-003,NXT-QA-004",미검증,NOT_EXECUTED — new current request.
