starter_id,kind,registered,current_value,public_api_spi,actual_consumer,development_status,qa39_action,target_public_surface,evidence
cpf-starter-integration-tcp,leaf,Y,Framing/TLS/correlation/unknown-result가 프레임워크 가치. 실제 socket fault/ledger 연결 부족.,CpfTcpOperations 등,TCP Profile,부분 구현,KEEP_INTEGRATION_INTERNAL_LEAF,integration,integration-tcp/**
cpf-starter-integration-iso8583,leaf,Y,금융 전문 codec/MAC는 명확한 도메인 가치. 단독 공개 Starter보다 전문 Profile 내부.,CpfIso8583Codec,TCP Profile,부분 구현,KEEP_INTEGRATION_INTERNAL_LEAF,integration,integration-iso8583/**
cpf-starter-notification-dispatch,leaf,Y,"Provider SPI, outbox, preference policy는 가치 있음. Worker 실행/lease/receipt 미완료.",CpfNotificationProvider/Request/Result,Notification Profile,부분 구현,KEEP_NOTIFICATION_INTERNAL_LEAF,notification,notification/**
cpf-starter-notification-email,leaf,Y,SMTP provider adapter는 필요하나 단독 공개 선택보다 Notification 내부 provider.,CpfNotificationProvider,Notification Profile,부분 구현,KEEP_NOTIFICATION_INTERNAL_LEAF,notification,CpfEmailNotificationProvider.java
cpf-starter-scheduler-quartz,leaf,Y,현재 Quartz 속성 조립 수준이며 실제 clustered JobStore 가치 없음.,없음,Batch Profile,부분 구현,REMOVE_PUBLIC_STARTER_INTERNALIZE_BATCH,batch-service 내부 scheduler provider,CpfQuartzAutoConfiguration.java
cpf-starter-resilience,leaf,Y,CircuitBreakerFactory 한 메서드 wrapper. CPF 정책/멱등/unknown-result 연계 없음.,CpfResilienceExecutor,여러 Profile,미구현,REMOVE_COMPLETE,없음,CpfResilienceExecutor.java
cpf-starter-featureflag,leaf,Y,OpenFeature client를 거의 그대로 노출하고 EvaluationContext가 OSS 타입. 추가 가치 없음.,얇은 service,미확인,미구현,REMOVE_COMPLETE,없음,CpfFeatureFlagService.java
cpf-starter-security-secret,leaf,Y,"Provider registry는 가치 있음. KMS/HSM/PKCS#11, key version/rotation/revocation/provider health/timeout/audit와 원문 비노출까지 신규 보안 기준으로 재검수.",CpfSecretProviderRegistry,외부연계 Runtime,재검수 필요,REVALIDATE_AND_HARDEN_KMS_HSM,security,CpfSecretProviderRegistry.java
cpf-starter-profile-minimal-boot-domain,profile,Y,최소 진입점으로 가치 있음.,Profile dependency only,Generator,부분 구현,KEEP_RENAME_USECASE_PROFILE,minimal-domain,profiles/minimal-boot-domain
cpf-starter-profile-domain-web-api,profile,Y,Web API 조합은 유용하나 validation/http-client 강제는 재검토.,Profile dependency only,ADM/BZA/Generated Domain,부분 구현,KEEP_RENAME_USECASE_PROFILE,web-api,profiles/domain-web-api/build.gradle
cpf-starter-profile-secure-resource-api,profile,Y,Secure API 조합은 유용하나 service identity를 항상 함께 넣는 정책 재검토.,Profile dependency only,Gateway/Member/Reference,부분 구현,KEEP_RENAME_USECASE_PROFILE,secure-api,profiles/secure-resource-api/build.gradle
cpf-starter-profile-browser-bff-session,profile,Y,BFF+Session 조합은 실제 사용 사례.,Profile dependency only,ADM/BZA,부분 구현,KEEP_RENAME_USECASE_PROFILE,browser-bff,profiles/browser-bff-session/build.gradle
cpf-starter-profile-persistence-mybatis,profile,Y,MyBatis leaf가 이미 JDBC를 포함하는데 JDBC를 다시 선언.,없음,ADM/BZA/Member/Reference,미구현,REMOVE_REPLACE_WITH_6_PROFILE_7_GROUP,event-service/batch-service 또는 capability group,profiles/persistence-mybatis/build.gradle
cpf-starter-profile-event-kafka,profile,Y,Provider별 Profile 분리는 선택면을 늘림.,Profile dependency only,Batch/Reference,부분 구현,REMOVE_REPLACE_WITH_6_PROFILE_7_GROUP,event-service/batch-service 또는 capability group,profiles/event-kafka
cpf-starter-profile-event-rabbitmq,profile,Y,Provider별 Profile 분리는 선택면을 늘림.,Profile dependency only,미확인,부분 구현,REMOVE_REPLACE_WITH_6_PROFILE_7_GROUP,event-service/batch-service 또는 capability group,profiles/event-rabbitmq
cpf-starter-profile-event-jms-ibm-mq,profile,Y,JMS와 IBM MQ를 동시에 넣어 Provider 구분 원칙과 충돌.,Profile dependency only,미확인,미구현,REMOVE_REPLACE_WITH_6_PROFILE_7_GROUP,event-service/batch-service 또는 capability group,profiles/event-jms-ibm-mq/build.gradle
cpf-starter-profile-integration-tcp,profile,Y,TCP+FixedLength+ISO8583 조합은 도메인 Profile 가치 있음.,Profile dependency only,전문 연계,부분 구현,REMOVE_REPLACE_WITH_6_PROFILE_7_GROUP,event-service/batch-service 또는 capability group,profiles/integration-tcp
cpf-starter-profile-observable-resilient-service,profile,Y,Observability+OTLP+얇은 resilience 조합. resilience 가치 부족.,Profile dependency only,Gateway,미구현,REMOVE_REPLACE_WITH_6_PROFILE_7_GROUP,event-service/batch-service 또는 capability group,profiles/observable-resilient-service/build.gradle
cpf-starter-profile-notification-service,profile,Y,Notification use case는 유용하나 email+SMS SPI 강제와 미완성 Worker 문제.,Profile dependency only,Notification service,부분 구현,REMOVE_REPLACE_WITH_6_PROFILE_7_GROUP,event-service/batch-service 또는 capability group,profiles/notification-service/build.gradle
cpf-starter-profile-scheduled-service,profile,Y,Quartz 단일 Provider Profile는 별도 공개 선택 가치 낮음.,Profile dependency only,Batch,부분 구현,REMOVE_REPLACE_WITH_6_PROFILE_7_GROUP,event-service/batch-service 또는 capability group,profiles/scheduled-service
cpf-starter-profile-sftp-integration,profile,Y,SFTP+Archive 조합은 유용하나 File Capability로 통합 가능.,Profile dependency only,Reference,부분 구현,REMOVE_REPLACE_WITH_6_PROFILE_7_GROUP,event-service/batch-service 또는 capability group,profiles/sftp-integration
cpf-starter-integration-fixedlength-core,internal-library,Y,순수 Java codec core는 내부 library 가치 있음.,CpfFixedLengthCodec,TCP integration,부분 구현,KEEP_INTEGRATION_INTERNAL_LEAF,integration,settings.gradle
cpf-starter-notification-sms-spi,internal-spi,Y,고객 SMS Provider 확장 SPI는 가치 있음.,CpfSmsProvider,Notification,부분 구현,KEEP_NOTIFICATION_INTERNAL_LEAF,notification,settings.gradle
integration-ftps,unregistered-module,N,Commons Net wrapper 수준이며 CPF ledger/secret/operations 없음.,CpfFtpsClient,없음,미구현,REMOVE_COMPLETE,없음,integration-ftps/**
integration-grpc,unregistered-module,N,byte[] unary wrapper와 unknown exception뿐; typed contract/generator/consumer 없음.,CpfGrpcClient,없음,미구현,REMOVE_COMPLETE,없음,integration-grpc/**
integration-object-storage-s3,unregistered-module,N,AWS SDK CRUD wrapper 수준; CPF storage port/ledger/security 통합 없음.,CpfObjectStorageClient,없음,미구현,REMOVE_COMPLETE,없음,integration-object-storage-s3/**
integration-realtime-webflux,unregistered-module,N,미등록 실험 모듈. 공식 Requirement/Consumer 없음.,미확인,없음,미구현,REMOVE_COMPLETE,없음,integration-realtime-webflux/**
integration-smb,unregistered-module,N,SMB library wrapper 수준; CPF 가치/Consumer/Evidence 없음.,CpfSmbClient,없음,미구현,REMOVE_COMPLETE,없음,integration-smb/**
integration-soap,unregistered-module,N,SOAP client wrapper 수준; typed contract/WS-Security policy/operations 없음.,CpfSoapClient,없음,미구현,REMOVE_COMPLETE,없음,integration-soap/**
integration-webhook,unregistered-module,N,일부 legacy policy/DB가 있으나 공식 build/catalog/consumer가 없어 제품 가치 미성립.,CpfWebhookClient,없음,미구현,REMOVE_COMPLETE,없음,integration-webhook/**
cpf-starter-profile-minimal-domain,profile,Y,최소 공통 표준만 자동 상속하는 기본 Domain Profile.,표준 Context/Error/Identifier 자동 조립,Generator와 최소 Generated Domain,완료,KEEP_PUBLIC_USE_CASE_PROFILE,minimal-domain,cpf-starters/profiles/minimal-domain/build.gradle; capability-profiles.json; consumer build.gradle
cpf-starter-profile-web-api,profile,Y,REST API와 OpenAPI·표준 Header/Error를 조립하는 Use-case Profile.,표준 Web API 응답·오류·거래 Header,ADM/BZA/Gateway/Generated Domain,완료,KEEP_PUBLIC_USE_CASE_PROFILE,web-api,cpf-starters/profiles/web-api/build.gradle; capability-profiles.json; consumer build.gradle
cpf-starter-profile-secure-api,profile,Y,Resource Server 기반 인증 API Use-case Profile.,CurrentActor·authorization·masking,Gateway/Member/Reference,완료,KEEP_PUBLIC_USE_CASE_PROFILE,secure-api,cpf-starters/profiles/secure-api/build.gradle; capability-profiles.json; consumer build.gradle
cpf-starter-profile-browser-bff,profile,Y,브라우저 세션 기반 BFF Use-case Profile.,Session actor·CSRF·authorization,ADM/BZA,완료,KEEP_PUBLIC_USE_CASE_PROFILE,browser-bff,cpf-starters/profiles/browser-bff/build.gradle; capability-profiles.json; consumer build.gradle
cpf-starter-profile-event-service,profile,Y,Provider binding으로 Broker를 선택하는 이벤트 Use-case Profile.,Publish/consume·tracking·replay,이벤트 Generated Domain/Reference,완료,KEEP_PUBLIC_USE_CASE_PROFILE,event-service,cpf-starters/profiles/event-service/build.gradle; capability-profiles.json; consumer build.gradle
cpf-starter-profile-batch-service,profile,Y,Batch·Worker·Scheduler 실행 계약 Use-case Profile.,Job/worker execution·checkpoint·control,cpf-batch 실행 모듈/Generated Batch Domain,완료,KEEP_PUBLIC_USE_CASE_PROFILE,batch-service,cpf-starters/profiles/batch-service/build.gradle; capability-profiles.json; consumer build.gradle
target-capability-transaction-jta-xa,target-capability,N,"실제 Source/Provider/Consumer 준비 후 Catalog admission. LOCAL과 독립 Optional JTA/XA, Tomcat standalone TM + managed JTA, DB+DB/DB+JMS, crash recovery.",TX-XA-JTA Public Contract 예정,Reference/Generated Domain 예정,미구현,ADMISSION_AFTER_IMPLEMENTATION,transaction,TX-XA-JTA; QA39-058~060
target-capability-transaction-tcc,target-capability,N,"실제 Source/Consumer 준비 후 Catalog admission. Try/Confirm/Cancel, idempotency, empty rollback, hanging, recovery.",TX-TCC Public Contract 예정,Reference business consumer 예정,미구현,ADMISSION_AFTER_IMPLEMENTATION,transaction,TX-TCC; QA39-064
target-capability-security-sso-oidc,target-capability,N,기존 Security/BFF 구조 위 Optional OIDC/OAuth2 Login. 별도 대형 인증 플랫폼을 만들지 않음.,SEC-AUTHN extension 예정,ADM/BZA/Generated Domain/Reference 예정,미구현,ADMISSION_AFTER_IMPLEMENTATION,security,SEC-AUTHN; QA39-053
target-capability-ai,target-capability,N,Provider-neutral Optional AI. routing/resilience/masking/usage-cost/audit/auth/approval/UNKNOWN. 자체 LLM/Vector DB/대형 Agent 제외.,AI-OPTIONAL API/SPI 예정,Reference/Generated Domain 예정,미구현,ADMISSION_AFTER_IMPLEMENTATION,ai,AI-OPTIONAL; QA39-051
