requirement_id,canonical_requirement_id,axis,previous_primary_work_item_id,resolved_primary_work_item_id,resolution_reason,reviewed_by,review_status,central_assignment_modified
CPF-FR-004897,BAT-AGENT,Timeout Budget,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004900,BAT-AGENT,결과 불명,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004903,BAT-AGENT,보상,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004909,BAT-AGENT,권한,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004910,BAT-AGENT,Data Scope,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004911,BAT-AGENT,Masking·Privacy,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004912,BAT-AGENT,사유,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004917,BAT-AGENT,Trace,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004918,BAT-AGENT,Health·Readiness,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004920,BAT-AGENT,Resource 상한,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004925,BAT-AGENT,DB Rollback,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004933,BAT-AGENT,JavaDoc·주석,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004939,BAT-AGENT,Fault Test,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004941,BAT-AGENT,Hygiene,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004959,BAT-CALL-SYNC,재시도,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-SYNC-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004961,BAT-CALL-SYNC,결과 불명,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-SYNC-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004964,BAT-CALL-SYNC,보상,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-SYNC-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004967,BAT-CALL-SYNC,Local/Remote 동등성,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-SYNC-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004970,BAT-CALL-SYNC,권한,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-SYNC-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004979,BAT-CALL-SYNC,Health·Readiness,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-SYNC-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004981,BAT-CALL-SYNC,Resource 상한,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-SYNC-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004986,BAT-CALL-SYNC,DB Rollback,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-SYNC-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004994,BAT-CALL-SYNC,JavaDoc·주석,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005000,BAT-CALL-SYNC,Fault Test,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005002,BAT-CALL-SYNC,Hygiene,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005020,BAT-CALL-ASYNC,재시도,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-ASYNC-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005022,BAT-CALL-ASYNC,결과 불명,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-ASYNC-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005025,BAT-CALL-ASYNC,보상,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-ASYNC-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005028,BAT-CALL-ASYNC,Local/Remote 동등성,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-ASYNC-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005031,BAT-CALL-ASYNC,권한,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-ASYNC-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005040,BAT-CALL-ASYNC,Health·Readiness,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-ASYNC-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005042,BAT-CALL-ASYNC,Resource 상한,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-ASYNC-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005047,BAT-CALL-ASYNC,DB Rollback,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-ASYNC-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005055,BAT-CALL-ASYNC,JavaDoc·주석,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005061,BAT-CALL-ASYNC,Fault Test,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005063,BAT-CALL-ASYNC,Hygiene,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005141,CENTER-CORE,Timeout Budget,CPF-WP-CENTER-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CORE-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005149,CENTER-CORE,다중 인스턴스,CPF-WP-CENTER-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CORE-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005160,CENTER-CORE,Metric,CPF-WP-CENTER-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CORE-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005202,CENTER-RUNNER,Timeout Budget,CPF-WP-CENTER-RUNNER-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-RUNNER-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005325,CENTER-CLAIM,재시도,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005327,CENTER-CLAIM,결과 불명,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005330,CENTER-CLAIM,보상,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005333,CENTER-CLAIM,Local/Remote 동등성,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005336,CENTER-CLAIM,권한,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005337,CENTER-CLAIM,Data Scope,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005338,CENTER-CLAIM,Masking·Privacy,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005339,CENTER-CLAIM,사유,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005344,CENTER-CLAIM,Trace,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005345,CENTER-CLAIM,Health·Readiness,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005347,CENTER-CLAIM,Resource 상한,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005352,CENTER-CLAIM,DB Rollback,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005360,CENTER-CLAIM,JavaDoc·주석,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005366,CENTER-CLAIM,Fault Test,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005385,CENTER-RATE,Timeout Budget,CPF-WP-CENTER-RATE-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-RATE-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005393,CENTER-RATE,다중 인스턴스,CPF-WP-CENTER-RATE-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-RATE-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005404,CENTER-RATE,Metric,CPF-WP-CENTER-RATE-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-RATE-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005440,CENTER-REPROCESS,상태 Catalog,CPF-WP-CENTER-REPROCESS-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-REPROCESS-01-CONTRACT_OWNERSHIP,상태 의미와 허용/terminal/UNKNOWN Catalog는 Owner contract에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005481,CENTER-REPROCESS,Sample·EDU,CPF-WP-CENTER-REPROCESS-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-REPROCESS-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005568,CENTER-OPS,Timeout Budget,CPF-WP-CENTER-OPS-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-OPS-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005576,CENTER-OPS,다중 인스턴스,CPF-WP-CENTER-OPS-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-OPS-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-005587,CENTER-OPS,Metric,CPF-WP-CENTER-OPS-03-VERIFICATION_EVIDENCE,CPF-WP-CENTER-OPS-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
