finding_id,origin,severity,qa_status,superseding_finding,basis_sha,qa_note
AB-R6-056,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
DEV-FINAL-SELF-001,developer-self,,FAIL,QA-B-1000-NEW-003,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Policy semantics improved but real authenticated starter-system producer/filter-order path is not closed.
DEV-FINAL-SELF-002,developer-self,,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,row_version CAS source path exists; Java/runtime/backend execution not performed.
DEV-FINAL-SELF-003,developer-self,,FAIL,QA-B-1000-NEW-007,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Raw mutation bypass check improved, but typedGeneratedConsumed is still not enforced for HIGH/CRITICAL compatibility generated clients."
DEV-FINAL-SELF-004,developer-self,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,No QA-owned clean checkout/package staging was available to prove hygiene; no Developer PASS inherited.
DEV-FINAL-SELF-005,developer-self,,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Static DB3 artifacts inspected; live 3-vendor lifecycle remains unexecuted.
QA-B-1000-NEW-001,QA-B-current,P0,FAIL,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Current exact-SHA Evidence provenance false-green
QA-B-1000-NEW-002,QA-B-current,P0,FAIL,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Transaction timeline query failure can be misreported as NOT_APPLICABLE
QA-B-1000-NEW-003,QA-B-current,P0,FAIL,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Authorized first-hop transactionId provenance has no proven producer before highest-precedence filter
QA-B-1000-NEW-004,QA-B-current,P0,FAIL,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,FileLog recovery queue has head-of-line blocking under persistent target failure
QA-B-1000-NEW-005,QA-B-current,P0,FAIL,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Persistence MyBatis starter reuses com.cpf.core package namespace and drifts from canonical packageBase
QA-B-1000-NEW-006,QA-B-current,P1,FAIL,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Public API/SPI Korean Javadoc contract is not met in newly introduced core contracts
QA-B-1000-NEW-007,QA-B-current,P0,FAIL,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,HIGH/CRITICAL generated-client gate does not require the typed Orval client it tracks
