route_no,route_id,qa_status,finding_id,basis_sha,registry_source,qa_note
16,cache,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
17,configs,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
18,responseCodes,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
19,businessCalendar,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
20,recoveryCenter,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
21,incidents,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
22,reliability,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
23,notifications,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
24,batch,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
25,batch-overview,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
26,batch-runtime,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
27,batch-instances,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
28,batch-scheduler,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
29,batch-worker-pools,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
30,batch-center-cut,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
31,batch-agents,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
32,batch-job-packs,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
33,batch-executions,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
34,batch-deployment,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
35,batch-recovery,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
36,batch-leases,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
37,batch-alerts,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
38,batch-audit,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
39,workers,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
40,downloads,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
41,file-jobs,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
42,messages,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
43,codes,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
44,gateway-dashboard,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
45,gateway-servers,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
46,gateway-groups,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
47,gateway-routes,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
48,gateway-security,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
49,gateway-health,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
50,gateway-transactions,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
51,gateway-log-policies,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
52,gateway-apply-status,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
53,permissions,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
54,password,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
55,security,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
56,operators,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
57,secrets,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
58,approvals,FAIL,QA-B-1000-NEW-007,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,"High-risk approval mutations use generated compatibility client that the gate counts although request models can be Record<string,unknown>."
59,breakGlass,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
60,featureFlags,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
61,integrationClosure,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
62,openApiOperations,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
63,resiliencePolicies,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
