requirement_id,layer,priority,area,development_status,verification_status,next_acceptance
CPF-LOGDB,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-FILELOG,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-LOGFAIL,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-TRACE,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-MASK,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CORE-FIXED,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CORE-FILE,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CORE-MESSAGE,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CMN-EXTENSION,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
CMN-SAMPLE-DB,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
CMN-CODE,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
CMN-MSG,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
CMN-CALENDAR,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
CMN-TEMPLATE,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
DB-OWNERSHIP,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
DB-INSTALL,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
DB-MIGRATION,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
DB-ROLLBACK,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
DB-BACKUP,CANONICAL,P0,Common/Data,재확인 필요,미검증,17-axis scenario matrix complete
DB-MULTI-VENDOR,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
DB-SQL,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
DB-PERF,CANONICAL,P0,Common/Data,부분 구현,미검증,17-axis scenario matrix complete
DB-MULTI,CANONICAL,P0,Common/Data,재확인 필요,미검증,17-axis scenario matrix complete
DATA-LINEAGE,CANONICAL,P0,Common/Data,재확인 필요,미검증,17-axis scenario matrix complete
DATA-RETENTION,CANONICAL,P0,Common/Data,재확인 필요,미검증,17-axis scenario matrix complete
GWY-ENTRY,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
GWY-ROUTING,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
GWY-TRUST,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
GWY-RESILIENCE,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
API-LIMIT,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
EXS-INST,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
EXS-REST,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
EXS-FIXED,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
EXS-SEC,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
EXS-FILE,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
EXS-UNKNOWN,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
EXS-RECON,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
EVENT-CORE,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
EVENT-OUTBOX,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
EVENT-BROKER,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
EVENT-DLQ,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
SAGA-CORE,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
SAGA-COMP,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
SAGA-MANUAL,CANONICAL,P0,Gateway/External/Event,부분 구현,미검증,17-axis scenario matrix complete
BAT-CORE,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
BAT-JOB,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
BAT-ITEM,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
BAT-EXECUTOR,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
BAT-AGENT,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
BAT-CALL-SYNC,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
BAT-CALL-ASYNC,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
BAT-SHARED,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
CENTER-CORE,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
CENTER-RUNNER,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
CENTER-PARAM,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
CENTER-CLAIM,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
CENTER-RATE,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
CENTER-REPROCESS,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
CENTER-UNKNOWN,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
CENTER-OPS,CANONICAL,P0,Batch/Center-Cut,부분 구현,미검증,17-axis scenario matrix complete
ADM-AUTH,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-RBAC,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-AUDIT,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-TX,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-TIMELINE,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-SERVICE,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-LOG,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-BATCH,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-CENTER,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-AGENT,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-EXS,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-RECOVERY,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-INCIDENT,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-UX,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
ADM-APPROVAL,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
BZA-BUSINESS,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
BZA-ORG,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
BZA-APPROVAL,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
BZA-SEQUENCE-SAMPLE,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
SEC-AUTHN,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
SEC-AUTHZ,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
SEC-SECRET,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
SEC-CERT,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
SEC-PRIVACY,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
SEC-DOWNLOAD,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
SEC-APP,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
SEC-APPROVAL,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
SEC-AUDIT,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
OPS-METRIC,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
OPS-SLO,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
OPS-ALERT,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
OPS-INCIDENT,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
OPS-RUNBOOK,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
OPS-SELF,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
OPS-TOPOLOGY,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
OPS-MAINT,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
OPS-CONFIG,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
OPS-DRIFT,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
OPS-CAPACITY,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
OPS-DR,CANONICAL,P0,Admin/Security/Operations,부분 구현,미검증,17-axis scenario matrix complete
DEVEX-QUICK,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
DEVEX-CODEGEN,CANONICAL,P0,Generator/EDU/API/Quality/Productization,실패,미검증,17-axis scenario matrix complete
DEVEX-COMMENT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
ONBOARD-DOMAIN,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
SAMPLE-ACC,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
SAMPLE-MBR,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
SAMPLE-REF,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
SAMPLE-BIZADM,CANONICAL,P1,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
SAMPLE-EDU,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
API-CONTRACT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,실패,미검증,17-axis scenario matrix complete
API-PAGING,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
API-ASYNC,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
API-FILE,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
RULE-ARCH,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
RULE-SEC,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
RULE-QUALITY,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
TEST-UNIT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
TEST-CONTRACT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
TEST-RUNTIME,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
TEST-BROWSER,CANONICAL,P0,Generator/EDU/API/Quality/Productization,실패,미검증,17-axis scenario matrix complete
TEST-BROKER,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
TEST-FAULT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
TEST-EVIDENCE,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
REL-BUILD,CANONICAL,P0,Generator/EDU/API/Quality/Productization,실패,미검증,17-axis scenario matrix complete
REL-DEPLOY,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
REL-MIG,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
REL-COMPAT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
DOC-GOV,CANONICAL,P0,Generator/EDU/API/Quality/Productization,실패,미검증,17-axis scenario matrix complete
DOC-PRODUCT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,실패,미검증,17-axis scenario matrix complete
PROD-EDITION,CANONICAL,P1,Generator/EDU/API/Quality/Productization,재확인 필요,미검증,17-axis scenario matrix complete
PROD-MULTITENANT,CANONICAL,P1,Generator/EDU/API/Quality/Productization,재확인 필요,미검증,17-axis scenario matrix complete
PROD-PLUGIN,CANONICAL,P1,Generator/EDU/API/Quality/Productization,재확인 필요,미검증,17-axis scenario matrix complete
PROD-PACKAGE,CANONICAL,P1,Generator/EDU/API/Quality/Productization,재확인 필요,미검증,17-axis scenario matrix complete
REQ-GOV,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
REQ-REVIEW,CANONICAL,P0,Generator/EDU/API/Quality/Productization,실패,미검증,17-axis scenario matrix complete
REQ-CODEX,CANONICAL,P0,Generator/EDU/API/Quality/Productization,실패,미검증,17-axis scenario matrix complete
REQ-GAP,CANONICAL,P0,Generator/EDU/API/Quality/Productization,부분 구현,미검증,17-axis scenario matrix complete
QA35-REQ-001,ACTIVE_GAP,P0,Truth Reset,미구현,미검증,QA34 Matrix/Unresolved/Completion Report가 동일 상태를 사용하며 근거 없는 완료 0건
QA35-REQ-002,ACTIVE_GAP,P0,Current Request,미구현,미검증,Current Request가 QA35 Matrix·Review·수용조건을 가리킴
QA35-REQ-003,ACTIVE_GAP,P0,Governance/Guide,미구현,미검증,"README/Guide Drift Gate 통과, stale SHA와 해결된 blocker 0건"
QA35-REQ-004,ACTIVE_GAP,P0,OpenAPI Canonical,미구현,미검증,ADM/BZA validate-openapi와 marker writer가 동일 Snapshot을 통과
QA35-REQ-005,ACTIVE_GAP,P0,OpenAPI Coverage,미구현,미검증,"Controller inventory 대비 operation 누락 0, 인증 전용 snapshot 금지, empty schema/additionalProperties 자유 Map 제거"
QA35-REQ-006,ACTIVE_GAP,P0,Generated Client,미구현,미검증,"required generated artifact 전부 존재, marker schema 3/hash 일치"
QA35-REQ-007,ACTIVE_GAP,P0,Generation Reproducibility,미구현,미검증,"fresh clone generate 후 git diff --exit-code 0, stale/missing negative fixture 실패"
QA35-REQ-008,ACTIVE_GAP,P0,Frontend Preflight,미구현,미검증,"ADM/BZA preflight Exit 0, Runtime URL·DB 없이 실행 가능"
QA35-REQ-009,ACTIVE_GAP,P0,CI,미구현,미검증,"latest SHA workflow run/status 존재, 실패 시 merge/release 차단"
QA35-REQ-010,ACTIVE_GAP,P0,Source Closure,미구현,미검증,Source Closure가 의도적 stale OpenAPI·schema2 marker·missing artifact fixture를 모두 실패시킴
QA35-REQ-011,ACTIVE_GAP,P0,Runnable Verification,미구현,미검증,"명령 누락 Parameter 0, preflight input checker 통과"
QA35-REQ-012,ACTIVE_GAP,P0,Evidence Semantics,미구현,미검증,"Exit 0만으로 Requirement 완료 불가, 누락 artifact/empty scenario fixture 실패"
QA35-REQ-013,ACTIVE_GAP,P0,QA34 Closure,미구현,미검증,QA34 development/verification status가 실제 Evidence와 일치
QA35-REQ-014,ACTIVE_GAP,P0,ADM Inventory,미구현,미검증,"59/59 행 완성, orphan route/menu/API 0"
QA35-REQ-015,ACTIVE_GAP,P0,ADM Menu Contract,미구현,미검증,"실제 Session DTO fixture, route/menu/permission mismatch 0"
QA35-REQ-016,ACTIVE_GAP,P0,ADM Authorization,미구현,미검증,"권한 없는 메뉴/API/버튼 401/403, 범위 초과·상태 위반 차단"
QA35-REQ-017,ACTIVE_GAP,P1,ADM Gateway UX,미구현,미검증,각 메뉴 고유 목적/URL/API/권한/상호작용 Test
QA35-REQ-018,ACTIVE_GAP,P0,ADM Interaction Matrix,미구현,미검증,"모든 Route interaction 1개 이상 또는 승인된 read-only 기준, 외부 임의 Fixture 금지"
QA35-REQ-019,ACTIVE_GAP,P0,ADM Route E2E,미구현,미검증,fallback/redirect/mock-shape-negative fixture가 실패
QA35-REQ-020,ACTIVE_GAP,P0,ADM State E2E,미구현,미검증,"Route별 적용 가능한 상태 Matrix 100%, assertion 없는 PASS 0"
QA35-REQ-021,ACTIVE_GAP,P0,ADM Dangerous Actions,미구현,미검증,대표 조치별 정상/거절/중복/충돌/결과불명/감사 E2E
QA35-REQ-022,ACTIVE_GAP,P1,ADM Quality,미구현,미검증,3 Browser exact-SHA report와 route count 일치
QA35-REQ-023,ACTIVE_GAP,P0,ADM Typed Consumer,미구현,미검증,OpenAPI operation ↔ generated client ↔ frontend consumer 1:1 또는 승인된 server-only N/A
QA35-REQ-024,ACTIVE_GAP,P0,ADM Operations,미구현,미검증,"Mock 아닌 Runtime Consumer, transaction/execution/instance 단위 추적"
QA35-REQ-025,ACTIVE_GAP,P0,EDU Catalog,미구현,미검증,"Coverage 100% 또는 승인된 N/A, orphan public contract/sample 0"
QA35-REQ-026,ACTIVE_GAP,P0,EDU Ownership,미구현,미검증,ArchUnit/Dependency Gate와 실제 Consumer Bean/Route
QA35-REQ-027,ACTIVE_GAP,P0,EDU Scenario Quality,미구현,미검증,"Happy path 전용 예제 0, Scenario와 expected result 명시"
QA35-REQ-028,ACTIVE_GAP,P0,EDU Runtime Coverage,미구현,미검증,fresh clone profile별 start→invoke→fault→recover→stop Evidence
QA35-REQ-029,ACTIVE_GAP,P0,EDU ADM Link,미구현,미검증,EDU transaction/execution/incident가 ADM Route와 Operation에 연결
QA35-REQ-030,ACTIVE_GAP,P1,Generator/EDU,미구현,미검증,새 Domain 생성→build→runtime→ADM→remove/regenerate parity
QA35-REQ-031,ACTIVE_GAP,P1,EDU Isolation,미구현,미검증,"product profile에 EDU default 0, EDU profile에서만 명시 활성화"
QA35-REQ-032,ACTIVE_GAP,P0,EDU Impact Gate,미구현,미검증,변경된 contract에 EDU impact 누락 시 CI 실패
QA35-REQ-033,ACTIVE_GAP,P0,Artifact Catalog,미구현,미검증,"Glob 추정 제거, artifact별 SHA/SBOM/license/vulnerability/signature"
QA35-REQ-034,ACTIVE_GAP,P0,Final Exact SHA,미구현,미검증,"sourceSha=resultSha=latest, dirty=false, releaseEligible=true, 미검증 0"
QA35-REQ-035,ACTIVE_GAP,P0,Codex One-pass,미구현,미검증,"REVIEW_INDEX 순서 1회, 실패 단계만 재실행, 전체 반복 금지"
QA35-REQ-036,ACTIVE_GAP,P0,ADM External Baseline,미구현,미검증,87개 capability 모두 충족/고급 대체/명시적 N/A 판정과 근거 Source·Runtime Evidence
QA35-REQ-037,ACTIVE_GAP,P0,ADM Information Architecture,미구현,미검증,"Target Menu Architecture 전 항목, breadcrumb/deep link/global search, 중복/고아 menu 0"
QA35-REQ-038,ACTIVE_GAP,P0,ADM System Management,미구현,미검증,각 기능 CRUD/조회/승인/감사/negative test와 실제 backend consumer
QA35-REQ-039,ACTIVE_GAP,P0,ADM Common Operations,미구현,미검증,"요청값과 instance별 effective값, partial failure, retry/rollback, audit"
QA35-REQ-040,ACTIVE_GAP,P0,ADM Online Design,미구현,미검증,"Draft/validate/impact/publish/rollback, typed API, consumer linkage"
QA35-REQ-041,ACTIVE_GAP,P0,ADM Online Runtime Monitoring,미구현,미검증,"RED/USE metric, stale indicator, drill-down, alert/recovery links"
QA35-REQ-042,ACTIVE_GAP,P0,ADM Online Logs and Statistics,미구현,미검증,"대량 검색, masking, segment detail, percentile, export approval, source log link"
QA35-REQ-043,ACTIVE_GAP,P0,ADM Unified Deployment,미구현,미검증,Artifact catalog→rollout→effective state→partial failure→rollback/reconcile
QA35-REQ-044,ACTIVE_GAP,P0,ADM Batch Definition,미구현,미검증,"Definition detail completeness, version/impact, consumer and execution linkage"
QA35-REQ-045,ACTIVE_GAP,P0,ADM Batch DAG,미구현,미검증,"DAG persisted version, cycle fail, critical path, execution overlay"
QA35-REQ-046,ACTIVE_GAP,P0,ADM Batch Execution Safety,미구현,미검증,"maker-checker, duplicate/conflict/response-loss/process-kill evidence"
QA35-REQ-047,ACTIVE_GAP,P0,ADM Batch Infrastructure,미구현,미검증,stale/takeover/quarantine/capacity alert and audit
QA35-REQ-048,ACTIVE_GAP,P0,ADM Batch Operational Configuration,미구현,미검증,"schema validation, rollout, safe log/report download, notification delivery trace"
QA35-REQ-049,ACTIVE_GAP,P0,ADM Center-Cut,미구현,미검증,"profile version/publish, rate/partition metrics, failure/restart/reconcile"
QA35-REQ-050,ACTIVE_GAP,P0,ADM Cross-domain Operations,미구현,미검증,"공통 correlation ID, entity resolution, deep links, partial/unknown/recovery timeline"
QA35-REQ-051,ACTIVE_GAP,P0,ADM Analytics,미구현,미검증,집계 정의·timezone·freshness·drill-down·governed export·saved report
QA35-REQ-052,ACTIVE_GAP,P0,ADM Screen Completeness,미구현,미검증,"ADM-Q-001~020 applicable row 100%, N/A 근거 필수"
QA35-REQ-053,ACTIVE_GAP,P0,ADM Browser Product Verification,미구현,미검증,"URL/menu/heading/component/operation/result/state/permission assertions, false-green fixtures"
QA35-REQ-054,ACTIVE_GAP,P0,ADM Superset Closure,미구현,미검증,"87 capability + CPF advanced capabilities 양방향 closure, orphan command 0"
QA35-REQ-055,ACTIVE_GAP,P0,ADM Baseline Regression Gate,미구현,미검증,"capability row count/hash, route/API/permission/test evidence, approved N/A only"
QA36-GAP-001,ACTIVE_GAP,P0,Baseline,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-002,ACTIVE_GAP,P0,Canonical Coverage,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-003,ACTIVE_GAP,P0,Legacy Continuity,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-004,ACTIVE_GAP,P0,Scenario Continuity,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-005,ACTIVE_GAP,P0,Module Inventory,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-006,ACTIVE_GAP,P0,Public Contract,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-007,ACTIVE_GAP,P0,Reverse Trace,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-008,ACTIVE_GAP,P0,Configuration,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-009,ACTIVE_GAP,P0,Database,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-010,ACTIVE_GAP,P0,Frontend,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-011,ACTIVE_GAP,P0,Build Publication,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-012,ACTIVE_GAP,P0,Topology,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
