bundle_id,file_path,file_type,change_type,owner_module,actual_consumer_role,sha256,size_bytes,tracked_in_git,verification_result
BND-FIELD-ENCRYPTION,cpf-core/src/main/java/com/cpf/core/api/data/encryption/CpfEncryptedField.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,602a17455cd495eb96e0ede6e117df1645964ebf7d020187b9fbd7c8e6554abb,482,true,PASS_STATIC_OR_DIRECT
BND-FIELD-ENCRYPTION,cpf-core/src/main/java/com/cpf/core/api/data/encryption/CpfFieldClassification.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,3db9dbbbfd9af7f042553d762db6d25bfe9a3aaeed69c77fb53e30f6097143ee,141,true,PASS_STATIC_OR_DIRECT
BND-FIELD-ENCRYPTION,cpf-core/src/main/java/com/cpf/core/api/data/encryption/CpfFieldEncryptionOperations.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,4db7ae86dfa4b3609e940297aeb1956be4d5fd5bc13ee67e0a41be3219ae86f6,506,true,PASS_STATIC_OR_DIRECT
BND-DATA-QUALITY,cpf-core/src/main/java/com/cpf/core/api/data/quality/CpfDataQualityDecision.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,da918eee457bc6cec2d17ef6701e1f88ab0538ce866fa611b1a1c9525dbc49cf,406,true,PASS_STATIC_OR_DIRECT
BND-DATA-QUALITY,cpf-core/src/main/java/com/cpf/core/api/data/quality/CpfDataQualityOperations.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,2fb4524a49a29e7fbab20997a77dd094b47107b3c028bd199e6fc0dbe3eacec7,870,true,PASS_STATIC_OR_DIRECT
BND-DATA-QUALITY,cpf-core/src/main/java/com/cpf/core/api/data/quality/CpfDataQualityRule.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,073f84d25a5b5542f3ba65a8afe9e4c259bf6b91e24e75191aee553cf42715ef,622,true,PASS_STATIC_OR_DIRECT
BND-CRYPTO-AGILITY,cpf-core/src/main/java/com/cpf/core/api/security/crypto/CpfCryptoOperations.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,ed6f37d7480ec64fe01c63ec326a2eb338fcc38de629746b8dcf9a9fc088e60c,485,true,PASS_STATIC_OR_DIRECT
BND-CRYPTO-AGILITY,cpf-core/src/main/java/com/cpf/core/api/security/crypto/CpfCryptoPolicy.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,0dbbd8c2884242655ba6a0a28b40dda24deeab5601b5edc520450648aee3e9df,1861,true,PASS_STATIC_OR_DIRECT
BND-CRYPTO-AGILITY,cpf-core/src/main/java/com/cpf/core/api/security/crypto/CpfEnvelopeCiphertext.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,60ecd24ca3a2797013b392ce9702ed890310223000750d671cafda83c0096200,1698,true,PASS_STATIC_OR_DIRECT
BND-CRYPTO-AGILITY,cpf-core/src/main/java/com/cpf/core/api/security/crypto/CpfRekeyResult.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,2c7d2becadd9568369101e4b51268717676d8e50198abf0bb35db5fbb59eccd6,336,true,PASS_STATIC_OR_DIRECT
BND-TIME-STANDARD,cpf-core/src/main/java/com/cpf/core/api/time/CpfDeadline.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,f9f29062413bee249dba0afaccbebe91242be9febe224bc0e964a13cc16e6dc4,602,true,PASS_STATIC_OR_DIRECT
BND-TIME-STANDARD,cpf-core/src/main/java/com/cpf/core/api/time/CpfTimeOperations.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,dc55dcecec801e2b418c5f911eaafec3bd2fad42634e39e37dc9df17343d56b4,286,true,PASS_STATIC_OR_DIRECT
BND-TIME-STANDARD,cpf-core/src/main/java/com/cpf/core/api/time/CpfTimeSnapshot.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,68eb130ca6a384b5b8f146403eba5770e8afb81860c0bc037ebb02a25a71c471,372,true,PASS_STATIC_OR_DIRECT
BND-TIME-STANDARD,cpf-core/src/main/java/com/cpf/core/api/time/CpfTimeSource.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,2f7db182ddaf2e0298137aaf84ab7d7621c6ffe591cb7787739de84bcc10cd59,130,true,PASS_STATIC_OR_DIRECT
BND-WEBHOOK-LIFECYCLE,cpf-core/src/main/java/com/cpf/core/api/webhook/CpfWebhookDelivery.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,cab1bbd9fdda787a8a45a30a9d75ec9f52347b26828a8e5a2ed4f4d461f161a2,355,true,PASS_STATIC_OR_DIRECT
BND-WEBHOOK-LIFECYCLE,cpf-core/src/main/java/com/cpf/core/api/webhook/CpfWebhookEndpoint.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,2c0fcd25e00f4adb3aba9a126788d434304b4431c5790e7a75a1e30a0a4569a2,470,true,PASS_STATIC_OR_DIRECT
BND-WEBHOOK-LIFECYCLE,cpf-core/src/main/java/com/cpf/core/api/webhook/CpfWebhookOperations.java,JAVA,ADD,cpf-core,Product Source / Consumer / Test / SQL / Script,13086f68a23657e7fbf9fd4e41e32acc81f4d25c8cf4f51b8e74c46a9c9cba87,1101,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/REQUEST_CLOSURE_SUMMARY.json,JSON,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e4ce115de770ccf0cf6d036d7ab340b82ac8688b1202d8928965ffe8b8c3f9c2,133,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/exact_id_closure/EXACT_ID_CLOSURE_PART_001.jsonl,JSONL,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,ac36d9e96ff97e6d4ab7fd39df925f297273d2e3b96bc615bbbee9eae9faebe1,2795475,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/exact_id_closure/EXACT_ID_CLOSURE_PART_002.jsonl,JSONL,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,50a415c5495b7fa318ec2bf1ae7262a377803275958c9989e2d20255093efd27,2820105,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/exact_id_closure/EXACT_ID_CLOSURE_PART_003.jsonl,JSONL,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,f973ae21e0195880104b96b4c22cc9ccd1d8503962d6a21f42e641ae56cce4c0,2814976,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/exact_id_closure/EXACT_ID_CLOSURE_PART_004.jsonl,JSONL,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,50c6900d33dfbd5fb1cdc6ceff77c6f158d1f4ff22aeb1a52db53d8852551a24,2780639,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/exact_id_closure/EXACT_ID_CLOSURE_PART_005.jsonl,JSONL,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,76a178a1c4d2fc026ffa1225765593ee80ce979ddb310473215f49aabaaa91f1,2763412,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/exact_id_closure/EXACT_ID_CLOSURE_PART_006.jsonl,JSONL,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,fe8679e93f7f70e9ff93370eb328146ea4237913a2293c0460fb252d956803e6,2744649,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-60PCT-CHECKPOINT.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,a07d23c4425370b41923e4b4d1b5e44d5ce438366962b6d41e12e57c893d85f2,44,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-ADM-COMPILE.stderr.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-ADM-COMPILE.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-BATCH-UNKNOWN-GATE.stderr.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-BATCH-UNKNOWN-GATE.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,49d15e1e2c8b61884f88ca54e3c96a4597c96f835ca276e785f67dc4deb91af8,604,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-FINAL-HARNESS.stderr.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-FINAL-HARNESS.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,80a658e304c19829bba4d203ef0ec5de7997ae2eda350b4663b3972b89a8db66,75,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-FINAL-INTEGRATION-CLOSURE.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,13cb57c6987ca3f0b1b16ec935bf0160d660e867eb51147330a60d5aab7026b5,296,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-FINAL-JAVAC.stderr.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-FINAL-JAVAC.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-FINAL-STATIC-GATE.stderr.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-FINAL-STATIC-GATE.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,bf0395a542919a2bb71601470e52f568aedc9608434d449944a5439ab2c5bc46,288,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-FRONTEND-TRANSPILE.stderr.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-FRONTEND-TRANSPILE.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,0e9e51f525efb88253180731aca1a9c1fb4433397dd9251c85225ada7c2893d5,85,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-FRONTEND-TSC.stderr.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-FRONTEND-TSC.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-HYGIENE-SCAN.stderr.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-HYGIENE-SCAN.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,a8aa705e2c96c78688323bb58cebe4d3e1d5d027df76986c450a6d7aaf779745,167,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-NOTIFICATION-GATE.stderr.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-NOTIFICATION-GATE.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,7c6002af8cc3299dc061068504d29d8a4ea2f5a9e7d066e8fe4439384f8fa2e1,186,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-SECRET-SCAN.stderr.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-SECRET-SCAN.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,d7c8591c3d53b34eb65f10e64ae5ea3798f262b134462d1b88352ce712a1afbb,74,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/executions/EXEC-SOURCE-PROVENANCE-MERGE.stdout.log,LOG,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,a78eee9c65b53e0d81184f1f9aae6893d6581606577b0e4e5d1ecf1f818a17c5,69,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/ICR-DEVGPT-V9-S04-001_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,975b8d6e143e37b3dc2563e3b5be966739654cf7c595a0cf991dc45d3df31a48,330,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/ICR-DEVGPT-V9-S04-002_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,9d8cc745f379b7f6273bf9aff523a8b2abd63ab849d7afc844c2576ec826cc67,307,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/ICR-DEVGPT-V9-S04-003_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,298318dc95591533180ff709f8027e6135468def3293c062c634ca0ceacca375,339,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/ICR-DEVGPT-V9-S04-004_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,db1da1dbd4c128c5d01669b8f6aecc81310bb6792f07a5d62f5856a05b40d071,319,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/ICR-DEVGPT-V9-S04-005_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e42bb40675e65ee6b7eb9f4deeefcca8228b340452d54d055ad15f5ca8f946e2,348,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/ICR-DEVGPT-V9-S04-006_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,c5b2a1bb46db3be08741d9bf5c325a19eb9150533237fc7948588ed7d38af458,329,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/ICR-V9-S02-MGMT-0002_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,a0eca9863da697ccd09fe2178ecc6f431ab670f92922ebefaa677cb5118d61f4,1168,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/ICR-V9-S02-S04-0002_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,79b1991576f4846f0a2696e252543984adb85dd0e00039bc56975188ab41f6a2,2321,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/ICR-V9-S02-S05-0001_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,ce37160aeaf7db4e89bffe01d0a3e41cfb99d30f518f1f2a97cea2c1f1f16670,1684,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/ICR-V9-S02-S05-0001_RESPONSE.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,923bc7fadeb088a55816d7bf3a32ad508386e92302058b4190b3023c52a4407b,927,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,efc7f7e46dee4f9a019a72d2a529178535e0e01475422ecd4294efa0ca416009,1427,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/IR-S02-RUNTIME_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,1226d8083c5094364f0616c1f8279be916695bdef0bb77c69991e9a92fec954a,992,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/IR-S04-DB_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,db790b66699cfc021594ef85c85a72273d5b0218b17703c070661fb505702e56,1208,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/IR-S05-ADM-BZA_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,c817aaea7324c00d9eacd6683f0653311aa72336131d60c7dd6957ab268bc913,1038,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/IR-S06-BUILD-GENERATOR_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,0319b13e014418d3871f79421e1239745a96e39f715545c5a785f009740f1d40,1300,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/IR-S06-SECURITY-STARTERS_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,e218cd4c016dc05afc76361035e10764b3e37e22f29340d9cc87b952ca887b70,1682,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/S03-ICR-001_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,3c4266a7e4a55b288aec3a0a959c5b092c94c9f277fc938d696864831141d55a,2326,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/S03-ICR-002_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,1e4fedd4c285b900566ecd7d0ec99846b65bfb417fa8bf67bee253b9a2065233,2239,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/S03-ICR-003_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,ed763f02f3a24869a5cf48196d739165c950748aefed4912a2a19c84bcd9a253,2211,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/S03-ICR-004_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,91410afb4ba541d113a04aabfc5c58ce7e6b94a14db86b612798c220abb90197,2197,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/S03-ICR-005_INTEGRATION_CHANGE_REQUEST.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,522bd6d3ca9da2e58457a68ac59571977627423ae0e5ff56bd55d8b9552e25f3,2136,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-docs/work/v9i/evidence/requests/S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT.md,MD,ADD,cpf-docs,Product Source / Consumer / Test / SQL / Script,3e1b619720876f27e6e9ed91645757ecae3fb4f5ac3671228cbe21a2f8dd7860,971,true,PASS_STATIC_OR_DIRECT
