session_id,source_result_path,local_capture_file,size_bytes,sha256,usage,review_status
S02,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/results/INTEGRATION_REQUEST_STATUS.csv,S02_INTEGRATION_REQUEST_STATUS.csv,2182,206cb1443057485a3ce9054a55c399ad96150d7e75de4a64654c7b4290bf479a,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S03,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S03/results/DEVELOPMENT_SESSION_RESULT.csv,S03_DEVELOPMENT_SESSION_RESULT.csv,731,03cd090b8b8bbcece0ade7b6fa8831ba349e4ee7c7f01227a7eb0a625c37c2fe,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S03,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S03/results/DEVELOPMENT_WORK_ITEM_RESULT.csv,S03_DEVELOPMENT_WORK_ITEM_RESULT.csv,188793,95ef097554f8a74a076a34868e0ced763cb126d6b5c79ac13ea52987734a85d0,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S03,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S03/results/DEVELOPMENT_REQUIREMENT_RESULT.csv,S03_DEVELOPMENT_REQUIREMENT_RESULT.csv,16649233,89c322929fec5ad94df30d3656ff97f3077a54ec7829af56bf34068c98261a56,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S03,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S03/results/DEVELOPMENT_SCENARIO_RESULT.csv,S03_DEVELOPMENT_SCENARIO_RESULT.csv,20837901,ab6e672c0416d7446796e3a4e935488657b30e9c4c18a50f2414b0f2d46437c1,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S03,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S03/results/ENGINEERING_GATE_RESULT.csv,S03_ENGINEERING_GATE_RESULT.csv,6137,b13f15dfb684fa6be6b65617a9d449c8e312da2f5ab7e750ecd446ef3617595f,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S03,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S03/results/INTEGRATION_REQUEST_STATUS.csv,S03_INTEGRATION_REQUEST_STATUS.csv,2649,4530abc22138350bff204ffb9dacddd56125371d442b0b6fa73ae014ef2516fb,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S04,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/results/DEVELOPMENT_SESSION_RESULT.csv,S04_DEVELOPMENT_SESSION_RESULT.csv,1255,2e07d0cdc168223751e918ca9df3ea882cc83ff8207181fe18d1ac2e2fe1efcd,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S04,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/results/WORK_ITEM_RESULT.csv,S04_WORK_ITEM_RESULT.csv,237737,81ab3e94f2fc4982e125e31fb8d19e6119702e9cf627c0a9dc6aebb73b2924cf,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S04,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/results/DEVELOPMENT_REQUIREMENT_RESULT.csv,S04_DEVELOPMENT_REQUIREMENT_RESULT.csv,5994612,b05f25737dc57cbe252f3e937a8419174fd7b8c3fd897279910804ad4f1261ef,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S04,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/results/DEVELOPMENT_SCENARIO_RESULT.csv,S04_DEVELOPMENT_SCENARIO_RESULT.csv,6607588,b938dab33cd8d1f6c385c20ed0fab1f5450e49c7b36ec9fe60e21a539a87ffd1,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S04,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/results/ENGINEERING_GATE_RESULT.csv,S04_ENGINEERING_GATE_RESULT.csv,7027,f61f5934c6f9c67cae68a74e02a286037d678bcc8ab7e51e1a1b6ce3e5a40b4e,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S04,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/results/INTEGRATION_REQUEST_STATUS.csv,S04_INTEGRATION_REQUEST_STATUS.csv,2059,79c21dcc95cfa7e86d8957344c17c6c511689fe9bbd3ea8690df8ca05112807c,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S05,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/results/DEVELOPMENT_SESSION_RESULT.csv,S05_DEVELOPMENT_SESSION_RESULT.csv,241539,eeb780accef34ae5adfd8d9a2135d46fdf7048b577fb1d9fb741746f5db1a9e2,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S05,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/results/WORK_ITEM_RESULT.csv,S05_WORK_ITEM_RESULT.csv,196138,f5d728a2af6450c021670952b4769b80a3f39ed7f5084739a186d62483cb1201,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S05,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/results/DEVELOPMENT_REQUIREMENT_RESULT.csv,S05_DEVELOPMENT_REQUIREMENT_RESULT.csv,4153926,05fb0a60e868a7027763a5b842291760524e284d67092f81b54f08c404081f71,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S05,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/results/DEVELOPMENT_SCENARIO_RESULT.csv,S05_DEVELOPMENT_SCENARIO_RESULT.csv,4188646,c1ced9338c560d0f3fdcfe85a06d38e8788caca5a0c24a10dbfd9967940358ca,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S05,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/results/ENGINEERING_GATE_RESULT.csv,S05_ENGINEERING_GATE_RESULT.csv,23752,44030e18134623b21f070a86c5c11b4015f2622bf84032b3ab0bd8c8aa395a71,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S05,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/results/INTEGRATION_REQUEST_STATUS.csv,S05_INTEGRATION_REQUEST_STATUS.csv,1351,ec3843a64ac80ca3d1db5aba7f90758c5a7eb7c1e1326a51858a5fb245cf0bfc,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S06,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-007/sessions/DEVGPT-V9-S06/results/DEVELOPMENT_SESSION_RESULT.csv,S06_DEVELOPMENT_SESSION_RESULT.csv,1273,f891944f75c38d4acb6ea2124d8566981753bdc7094dabf3037309fc2971d7c2,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S06,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-007/sessions/DEVGPT-V9-S06/results/DEVELOPMENT_WORK_ITEM_RESULT.csv,S06_DEVELOPMENT_WORK_ITEM_RESULT.csv,789298,f49aa784924db9f3c8144444d6793ac07d3d9f07ded889a7801e3622523c7b38,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S06,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-007/sessions/DEVGPT-V9-S06/results/DEVELOPMENT_REQUIREMENT_RESULT.csv,S06_DEVELOPMENT_REQUIREMENT_RESULT.csv,37385063,b0bacc2a1fd09eccf9c549b253c71334b235a4be331f6e5845ba4b3e92707aa7,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S06,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-007/sessions/DEVGPT-V9-S06/results/DEVELOPMENT_SCENARIO_RESULT.csv,S06_DEVELOPMENT_SCENARIO_RESULT.csv,22093646,4a22f132ac7d5bd20d9ca243d3dfd4c30746514d61b55a2177c14db0a790e89b,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S06,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-007/sessions/DEVGPT-V9-S06/results/ENGINEERING_GATE_RESULT.csv,S06_ENGINEERING_GATE_RESULT.csv,62923,d63999f4526ac6105c9763439887007f7a947dba98022dbfe9f1881b39ea4022,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S06,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-007/sessions/DEVGPT-V9-S06/results/INTEGRATION_REQUEST_STATUS.csv,S06_INTEGRATION_REQUEST_STATUS.csv,7093,decd4ade674c8a744c3bd2d6e42c5630ba9ebfba56b7fc631bf49e5321ee2ec5,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
