request_id,requester_session,target_session,target_owner,priority,related_work_item_count,related_cpf_fr_count,related_cpf_sc_count,related_gate_count,request_reason,requested_change_ref,owner_response_ref,source_status_ref,exact_id_link_ref,actual_consumer,reproduction_ref,command_ref,acceptance_ref,proposed_overlay_ref,implementation_basis,consumer_regression_status,closure_status,remaining_gap,evidence_ref,baseline_sha,updated_at,exception_reason
S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT,S06,,DEVGPT-V9-S06,P1,122,3344,3617,11,,evidence/requests/S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT.md,,,REQ-LINK:S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT,,,,evidence/requests/S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT.md,,latest master + final integration bundles + execution ledger,IMPLEMENTATION_REVIEW_COMPLETE,EXTERNAL_APPROVAL_OR_TARGET_RUNTIME_READY,External user delete approval,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S06-ENV-JAVA25-GRADLE91-RUNTIME,S06,,BUILD_RUNTIME_ENVIRONMENT,P0,122,3344,3617,11,,evidence/requests/S06-ENV-JAVA25-GRADLE91-RUNTIME.md,,,REQ-LINK:S06-ENV-JAVA25-GRADLE91-RUNTIME,,,,evidence/requests/S06-ENV-JAVA25-GRADLE91-RUNTIME.md,,latest master + final integration bundles + execution ledger,IMPLEMENTATION_REVIEW_COMPLETE,EXTERNAL_APPROVAL_OR_TARGET_RUNTIME_READY,Java25/Gradle9.1 target runtime execution,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S06-INT-ADM-APPROVAL-DUAL-PRIMARY,S06,,DEVGPT-V9-S05,P0,122,3344,3617,11,,evidence/requests/S06-INT-ADM-APPROVAL-DUAL-PRIMARY.md,,,REQ-LINK:S06-INT-ADM-APPROVAL-DUAL-PRIMARY,,,,evidence/requests/S06-INT-ADM-APPROVAL-DUAL-PRIMARY.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S06-INT-ADM-BROWSER-RELEASE-CONTRACT,S06,,DEVGPT-V9-S05,P0,122,3344,3617,11,,evidence/requests/S06-INT-ADM-BROWSER-RELEASE-CONTRACT.md,,,REQ-LINK:S06-INT-ADM-BROWSER-RELEASE-CONTRACT,,,,evidence/requests/S06-INT-ADM-BROWSER-RELEASE-CONTRACT.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP,S06,,DEVGPT-V9-S05,P0,122,3344,3617,11,,evidence/requests/S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP.md,,,REQ-LINK:S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP,,,,evidence/requests/S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S06-INT-CACHE-VALKEY-MISSING-RUNTIME,S06,,DEVGPT-V9-S06,P0,122,3344,3617,11,,evidence/requests/S06-INT-CACHE-VALKEY-MISSING-RUNTIME.md,,,REQ-LINK:S06-INT-CACHE-VALKEY-MISSING-RUNTIME,,,,evidence/requests/S06-INT-CACHE-VALKEY-MISSING-RUNTIME.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S06-INT-CORE-CRYPTO-AGILITY,S06,,DEVGPT-V9-S01,P0,122,3344,3617,11,,evidence/requests/S06-INT-CORE-CRYPTO-AGILITY.md,,,REQ-LINK:S06-INT-CORE-CRYPTO-AGILITY,,,,evidence/requests/S06-INT-CORE-CRYPTO-AGILITY.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S06-INT-CORE-TIME-STANDARD,S06,,DEVGPT-V9-S01,P1,122,3344,3617,11,,evidence/requests/S06-INT-CORE-TIME-STANDARD.md,,,REQ-LINK:S06-INT-CORE-TIME-STANDARD,,,,evidence/requests/S06-INT-CORE-TIME-STANDARD.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S06-INT-DATA-FIELD-ENCRYPTION,S06,,DEVGPT-V9-S04,P0,122,3344,3617,11,,evidence/requests/S06-INT-DATA-FIELD-ENCRYPTION.md,,,REQ-LINK:S06-INT-DATA-FIELD-ENCRYPTION,,,,evidence/requests/S06-INT-DATA-FIELD-ENCRYPTION.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S06-INT-DATA-QUALITY-OPERATIONS,S06,,DEVGPT-V9-S04,P1,122,3344,3617,11,,evidence/requests/S06-INT-DATA-QUALITY-OPERATIONS.md,,,REQ-LINK:S06-INT-DATA-QUALITY-OPERATIONS,,,,evidence/requests/S06-INT-DATA-QUALITY-OPERATIONS.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY,S06,,DEVGPT-V9-S04,P0,122,3344,3617,11,,evidence/requests/S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY.md,,,REQ-LINK:S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY,,,,evidence/requests/S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,S06,,DEVGPT-V9-S03,P1,122,3344,3617,11,,evidence/requests/S06-INT-WEBHOOK-CALLBACK-LIFECYCLE.md,,,REQ-LINK:S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,,,,evidence/requests/S06-INT-WEBHOOK-CALLBACK-LIFECYCLE.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
