work_package_id,requirement_group,owner_module,first_execution_order,last_execution_order,first_requirement_id,last_requirement_id,requirement_count,scenario_count,qa_pass,qa_fail,qa_unverified,actual_review_status
P09-BZA-UI-SUPPORT,BZA_UI,cpf-biz-admin,09-00020623,09-00020788,CPF-FR-020623,CPF-FR-020788,166,270,36,99,31,검수 완료
P09-FRONTEND_STANDARD,FRONTEND,cpf-admin/frontend + cpf-biz-admin/frontend,09-00028013,09-00028752,CPF-FR-028013,CPF-FR-028752,740,740,206,399,135,검수 완료
P09-GATE,GOV,requirement governance + phase owners,09-99999999,09-99999999,CPF-GATE-09,CPF-GATE-09,1,1,0,1,0,검수 완료
P10-CORE-CORE-API,CORE,cpf-core,10-00000299,10-00000304,CPF-FR-000299,CPF-FR-000304,6,6,0,0,6,검수 완료
P10-CORE-CORE-SPI,CORE,cpf-core,10-00000360,10-00000365,CPF-FR-000360,CPF-FR-000365,6,6,0,0,6,검수 완료
P10-CORE-CORE-CONFIG,CORE,cpf-core,10-00000421,10-00000426,CPF-FR-000421,CPF-FR-000426,6,6,0,0,6,검수 완료
P10-CORE-CORE-TESTKIT,CORE,cpf-core,10-00000482,10-00000487,CPF-FR-000482,CPF-FR-000487,6,6,0,0,6,검수 완료
P10-CORE-CPF-CALL,CORE,cpf-core,10-00000543,10-00000548,CPF-FR-000543,CPF-FR-000548,6,6,0,0,6,검수 완료
P10-CORE-CPF-REGISTRY,CORE,cpf-core,10-00000604,10-00000609,CPF-FR-000604,CPF-FR-000609,6,6,0,0,6,검수 완료
P10-CORE-CPF-ROUTING,CORE,cpf-core,10-00000665,10-00000670,CPF-FR-000665,CPF-FR-000670,6,6,0,0,6,검수 완료
P10-CORE-CPF-HEALTH,CORE,cpf-core,10-00000726,10-00000731,CPF-FR-000726,CPF-FR-000731,6,6,0,0,6,검수 완료
P10-CORE-CPF-HEADER,CORE,cpf-core,10-00000787,10-00000792,CPF-FR-000787,CPF-FR-000792,6,6,0,0,6,검수 완료
P10-CORE-CPF-CONTEXT,CORE,cpf-core,10-00000848,10-00000853,CPF-FR-000848,CPF-FR-000853,6,6,0,0,6,검수 완료
P10-CORE-CPF-TXID,CORE,cpf-core,10-00000909,10-00000914,CPF-FR-000909,CPF-FR-000914,6,6,0,0,6,검수 완료
P10-CORE-CPF-ROLE,CORE,cpf-core,10-00000970,10-00000975,CPF-FR-000970,CPF-FR-000975,6,6,0,0,6,검수 완료
P10-CORE-CPF-ERROR,CORE,cpf-core,10-00001031,10-00001036,CPF-FR-001031,CPF-FR-001036,6,6,0,0,6,검수 완료
P10-CORE-CPF-VALID,CORE,cpf-core,10-00001092,10-00001097,CPF-FR-001092,CPF-FR-001097,6,6,0,0,6,검수 완료
P10-CORE-CPF-IDEMP,CORE,cpf-core,10-00001153,10-00001158,CPF-FR-001153,CPF-FR-001158,6,6,0,0,6,검수 완료
P10-CORE-CPF-STATE,CORE,cpf-core,10-00001214,10-00001219,CPF-FR-001214,CPF-FR-001219,6,6,0,0,6,검수 완료
P10-CORE-CPF-LOCK,CORE,cpf-core,10-00001275,10-00001280,CPF-FR-001275,CPF-FR-001280,6,6,0,0,6,검수 완료
P10-INTEGRATION-CPF-RESILIENCE,INTEGRATION,cpf-core contract + integration starter,10-00001301,10-00001341,CPF-FR-001301,CPF-FR-001341,9,9,3,0,6,검수 완료
P10-CORE-CPF-DEADLINE,CORE,cpf-core,10-00001397,10-00001402,CPF-FR-001397,CPF-FR-001402,6,6,0,0,6,검수 완료
P10-CORE-CPF-SCHED,CORE,cpf-core,10-00001458,10-00001463,CPF-FR-001458,CPF-FR-001463,6,6,0,0,6,검수 완료
P10-CORE-CPF-OPSDB,CORE,cpf-core,10-00001519,10-00001524,CPF-FR-001519,CPF-FR-001524,6,6,0,0,6,검수 완료
P10-CORE-CPF-LOGDB,CORE,cpf-core,10-00001580,10-00001585,CPF-FR-001580,CPF-FR-001585,6,6,0,0,6,검수 완료
P10-CORE-CPF-FILELOG,CORE,cpf-core,10-00001641,10-00001646,CPF-FR-001641,CPF-FR-001646,6,6,0,0,6,검수 완료
P10-CORE-CPF-LOGFAIL,CORE,cpf-core,10-00001702,10-00001707,CPF-FR-001702,CPF-FR-001707,6,6,0,0,6,검수 완료
P10-CORE-CPF-TRACE,CORE,cpf-core,10-00001763,10-00001768,CPF-FR-001763,CPF-FR-001768,6,6,0,0,6,검수 완료
P10-CORE-CPF-MASK,CORE,cpf-core,10-00001824,10-00001829,CPF-FR-001824,CPF-FR-001829,6,6,0,0,6,검수 완료
P10-INTEGRATION-CORE-FIXED,INTEGRATION,cpf-core contract + integration starter,10-00001850,10-00001890,CPF-FR-001850,CPF-FR-001890,9,9,3,0,6,검수 완료
P10-FILE-CORE-FILE,FILE,cpf-core contract + file starter,10-00001911,10-00001951,CPF-FR-001911,CPF-FR-001951,9,9,3,0,6,검수 완료
P10-MESSAGING-CORE-MESSAGE,MESSAGING,cpf-core contract + provider starter,10-00001972,10-00002012,CPF-FR-001972,CPF-FR-002012,9,9,3,0,6,검수 완료
P10-STARTER-ARCH-STARTER,STARTER,cpf-starters + cpf-tools,10-00002033,10-00002073,CPF-FR-002033,CPF-FR-002073,9,9,1,2,6,검수 완료
P10-COMMON-CMN-EXTENSION,COMMON,cpf-common,10-00002094,10-00002134,CPF-FR-002094,CPF-FR-002134,9,9,3,0,6,검수 완료
P10-COMMON-CMN-SAMPLE-DB,COMMON,cpf-common,10-00002155,10-00002195,CPF-FR-002155,CPF-FR-002195,9,9,3,0,6,검수 완료
P10-COMMON-CMN-CODE,COMMON,cpf-common,10-00002216,10-00002256,CPF-FR-002216,CPF-FR-002256,9,9,3,0,6,검수 완료
P10-COMMON-CMN-MSG,COMMON,cpf-common,10-00002277,10-00002317,CPF-FR-002277,CPF-FR-002317,9,9,0,3,6,검수 완료
P10-COMMON-CMN-CALENDAR,COMMON,cpf-common,10-00002338,10-00002378,CPF-FR-002338,CPF-FR-002378,9,9,0,3,6,검수 완료
P10-COMMON-CMN-TEMPLATE,COMMON,cpf-common,10-00002399,10-00002439,CPF-FR-002399,CPF-FR-002439,9,9,3,0,6,검수 완료
P10-GATEWAY-GWY-ENTRY,GATEWAY,cpf-gateway,10-00003192,10-00003232,CPF-FR-003192,CPF-FR-003232,9,9,0,3,6,검수 완료
P10-GATEWAY-GWY-ROUTING,GATEWAY,cpf-gateway,10-00003253,10-00003293,CPF-FR-003253,CPF-FR-003293,9,9,1,2,6,검수 완료
P10-GATEWAY-GWY-TRUST,GATEWAY,cpf-gateway,10-00003314,10-00003354,CPF-FR-003314,CPF-FR-003354,9,9,0,3,6,검수 완료
P10-GATEWAY-GWY-RESILIENCE,GATEWAY,cpf-gateway,10-00003375,10-00003415,CPF-FR-003375,CPF-FR-003415,9,9,1,2,6,검수 완료
P10-GATEWAY-API-LIMIT,GATEWAY,cpf-gateway,10-00003436,10-00003476,CPF-FR-003436,CPF-FR-003476,9,9,1,2,6,검수 완료
P10-EXTERNAL-EXS-INST,EXTERNAL,generated/customer adapter,10-00003497,10-00003537,CPF-FR-003497,CPF-FR-003537,9,9,0,9,0,검수 완료
P10-EXTERNAL-EXS-REST,EXTERNAL,generated/customer adapter,10-00003558,10-00003598,CPF-FR-003558,CPF-FR-003598,9,9,0,9,0,검수 완료
P10-EXTERNAL-EXS-FIXED,EXTERNAL,generated/customer adapter,10-00003619,10-00003659,CPF-FR-003619,CPF-FR-003659,9,9,0,9,0,검수 완료
P10-EXTERNAL-EXS-SEC,EXTERNAL,generated/customer adapter,10-00003680,10-00003720,CPF-FR-003680,CPF-FR-003720,9,9,0,9,0,검수 완료
P10-EXTERNAL-EXS-FILE,EXTERNAL,generated/customer adapter,10-00003741,10-00003781,CPF-FR-003741,CPF-FR-003781,9,9,0,9,0,검수 완료
P10-EXTERNAL-EXS-UNKNOWN,EXTERNAL,generated/customer adapter,10-00003802,10-00003842,CPF-FR-003802,CPF-FR-003842,9,9,0,9,0,검수 완료
P10-EXTERNAL-EXS-RECON,EXTERNAL,generated/customer adapter,10-00003863,10-00003903,CPF-FR-003863,CPF-FR-003903,9,9,0,9,0,검수 완료
P10-MESSAGING-EVENT-CORE,MESSAGING,cpf-core contract + provider starter,10-00003924,10-00003964,CPF-FR-003924,CPF-FR-003964,9,9,3,0,6,검수 완료
P10-MESSAGING-EVENT-OUTBOX,MESSAGING,cpf-core contract + provider starter,10-00003985,10-00004025,CPF-FR-003985,CPF-FR-004025,9,9,0,9,0,검수 완료
P10-MESSAGING-EVENT-BROKER,MESSAGING,cpf-core contract + provider starter,10-00004046,10-00004086,CPF-FR-004046,CPF-FR-004086,9,9,0,9,0,검수 완료
P10-MESSAGING-EVENT-MQ,MESSAGING,cpf-core contract + provider starter,10-00004107,10-00004147,CPF-FR-004107,CPF-FR-004147,9,9,0,9,0,검수 완료
P10-MESSAGING-EVENT-JMS,MESSAGING,cpf-core contract + provider starter,10-00004168,10-00004208,CPF-FR-004168,CPF-FR-004208,9,9,0,9,0,검수 완료
P10-MESSAGING-EVENT-IBM-MQ,MESSAGING,cpf-core contract + provider starter,10-00004229,10-00004269,CPF-FR-004229,CPF-FR-004269,9,9,0,9,0,검수 완료
P10-MESSAGING-EVENT-AMQP,MESSAGING,cpf-core contract + provider starter,10-00004290,10-00004330,CPF-FR-004290,CPF-FR-004330,9,9,0,9,0,검수 완료
P10-INTEGRATION-EXS-TCP,INTEGRATION,cpf-core contract + integration starter,10-00004351,10-00004391,CPF-FR-004351,CPF-FR-004391,9,9,3,0,6,검수 완료
P10-MESSAGING-EVENT-DLQ,MESSAGING,cpf-core contract + provider starter,10-00004412,10-00004452,CPF-FR-004412,CPF-FR-004452,9,9,0,9,0,검수 완료
P10-CORE-SAGA-CORE,CORE,cpf-core,10-00004508,10-00004513,CPF-FR-004508,CPF-FR-004513,6,6,0,0,6,검수 완료
P10-CORE-SAGA-COMP,CORE,cpf-core,10-00004569,10-00004574,CPF-FR-004569,CPF-FR-004574,6,6,0,6,0,검수 완료
P10-CORE-SAGA-MANUAL,CORE,cpf-core,10-00004630,10-00004635,CPF-FR-004630,CPF-FR-004635,6,6,0,6,0,검수 완료
P10-BATCH-BAT-CORE,BATCH,cpf-batch,10-00004656,10-00004696,CPF-FR-004656,CPF-FR-004696,9,9,3,0,6,검수 완료
P10-BATCH-BAT-JOB,BATCH,cpf-batch,10-00004717,10-00004757,CPF-FR-004717,CPF-FR-004757,9,9,3,0,6,검수 완료
P10-BATCH-BAT-ITEM,BATCH,cpf-batch,10-00004778,10-00004818,CPF-FR-004778,CPF-FR-004818,9,9,3,0,6,검수 완료
P10-BATCH-BAT-EXECUTOR,BATCH,cpf-batch,10-00004839,10-00004879,CPF-FR-004839,CPF-FR-004879,9,9,3,0,6,검수 완료
P10-BATCH-BAT-AGENT,BATCH,cpf-batch,10-00004900,10-00004940,CPF-FR-004900,CPF-FR-004940,9,9,3,0,6,검수 완료
P10-BATCH-BAT-CALL-SYNC,BATCH,cpf-batch,10-00004961,10-00005001,CPF-FR-004961,CPF-FR-005001,9,9,3,0,6,검수 완료
P10-BATCH-BAT-CALL-ASYNC,BATCH,cpf-batch,10-00005022,10-00005062,CPF-FR-005022,CPF-FR-005062,9,9,3,0,6,검수 완료
P10-BATCH-BAT-SHARED,BATCH,cpf-batch,10-00005083,10-00005123,CPF-FR-005083,CPF-FR-005123,9,9,3,0,6,검수 완료
P10-BATCH-CENTER-CORE,BATCH,cpf-batch,10-00005144,10-00005184,CPF-FR-005144,CPF-FR-005184,9,9,3,0,6,검수 완료
P10-BATCH-CENTER-RUNNER,BATCH,cpf-batch,10-00005205,10-00005245,CPF-FR-005205,CPF-FR-005245,9,9,3,0,6,검수 완료
P10-BATCH-CENTER-PARAM,BATCH,cpf-batch,10-00005266,10-00005306,CPF-FR-005266,CPF-FR-005306,9,9,3,0,6,검수 완료
P10-BATCH-CENTER-CLAIM,BATCH,cpf-batch,10-00005327,10-00005367,CPF-FR-005327,CPF-FR-005367,9,9,3,0,6,검수 완료
P10-BATCH-CENTER-RATE,BATCH,cpf-batch,10-00005388,10-00005428,CPF-FR-005388,CPF-FR-005428,9,9,3,0,6,검수 완료
P10-BATCH-CENTER-REPROCESS,BATCH,cpf-batch,10-00005449,10-00005489,CPF-FR-005449,CPF-FR-005489,9,9,3,0,6,검수 완료
P10-BATCH-CENTER-UNKNOWN,BATCH,cpf-batch,10-00005510,10-00005550,CPF-FR-005510,CPF-FR-005550,9,9,3,0,6,검수 완료
P10-BATCH-CENTER-OPS,BATCH,cpf-batch,10-00005571,10-00005611,CPF-FR-005571,CPF-FR-005611,9,9,3,0,6,검수 완료
P10-SECURITY-SEC-AUTHN,SECURITY,cpf-core security contract + product owner,10-00006826,10-00006831,CPF-FR-006826,CPF-FR-006831,6,6,0,0,6,검수 완료
P10-SECURITY-SEC-AUTHZ,SECURITY,cpf-core security contract + product owner,10-00006887,10-00006892,CPF-FR-006887,CPF-FR-006892,6,6,0,0,6,검수 완료
P10-SECURITY-SEC-SECRET,SECURITY,cpf-core security contract + product owner,10-00006948,10-00006953,CPF-FR-006948,CPF-FR-006953,6,6,0,0,6,검수 완료
P10-SECURITY-SEC-CERT,SECURITY,cpf-core security contract + product owner,10-00007009,10-00007014,CPF-FR-007009,CPF-FR-007014,6,6,0,0,6,검수 완료
P10-SECURITY-SEC-PRIVACY,SECURITY,cpf-core security contract + product owner,10-00007070,10-00007075,CPF-FR-007070,CPF-FR-007075,6,6,0,0,6,검수 완료
P10-SECURITY-SEC-DOWNLOAD,SECURITY,cpf-core security contract + product owner,10-00007131,10-00007136,CPF-FR-007131,CPF-FR-007136,6,6,0,0,6,검수 완료
P10-SECURITY-SEC-APP,SECURITY,cpf-core security contract + product owner,10-00007192,10-00007197,CPF-FR-007192,CPF-FR-007197,6,6,0,0,6,검수 완료
P10-SECURITY-SEC-APPROVAL,SECURITY,cpf-core security contract + product owner,10-00007253,10-00007258,CPF-FR-007253,CPF-FR-007258,6,6,0,0,6,검수 완료
P10-SECURITY-SEC-AUDIT,SECURITY,cpf-core security contract + product owner,10-00007314,10-00007319,CPF-FR-007314,CPF-FR-007319,6,6,0,0,6,검수 완료
P10-OPS-OPS-METRIC,OPS,cpf-admin control plane + runtime owner,10-00007340,10-00007380,CPF-FR-007340,CPF-FR-007380,9,9,0,3,6,검수 완료
P10-OPS-OPS-SLO,OPS,cpf-admin control plane + runtime owner,10-00007401,10-00007441,CPF-FR-007401,CPF-FR-007441,9,9,0,9,0,검수 완료
P10-OPS-OPS-ALERT,OPS,cpf-admin control plane + runtime owner,10-00007462,10-00007502,CPF-FR-007462,CPF-FR-007502,9,9,0,9,0,검수 완료
P10-OPS-OPS-INCIDENT,OPS,cpf-admin control plane + runtime owner,10-00007523,10-00007563,CPF-FR-007523,CPF-FR-007563,9,9,0,3,6,검수 완료
P10-OPS-OPS-RUNBOOK,OPS,cpf-admin control plane + runtime owner,10-00007584,10-00007624,CPF-FR-007584,CPF-FR-007624,9,9,0,9,0,검수 완료
P10-OPS-OPS-SELF,OPS,cpf-admin control plane + runtime owner,10-00007645,10-00007685,CPF-FR-007645,CPF-FR-007685,9,9,3,0,6,검수 완료
P10-OPS-OPS-TOPOLOGY,OPS,cpf-admin control plane + runtime owner,10-00007706,10-00007746,CPF-FR-007706,CPF-FR-007746,9,9,3,0,6,검수 완료
P10-OPS-OPS-MAINT,OPS,cpf-admin control plane + runtime owner,10-00007767,10-00007807,CPF-FR-007767,CPF-FR-007807,9,9,0,3,6,검수 완료
P10-OPS-OPS-CONFIG,OPS,cpf-admin control plane + runtime owner,10-00007828,10-00007868,CPF-FR-007828,CPF-FR-007868,9,9,3,0,6,검수 완료
P10-OPS-OPS-DRIFT,OPS,cpf-admin control plane + runtime owner,10-00007889,10-00007929,CPF-FR-007889,CPF-FR-007929,9,9,3,0,6,검수 완료
P10-OPS-OPS-CAPACITY,OPS,cpf-admin control plane + runtime owner,10-00007950,10-00007990,CPF-FR-007950,CPF-FR-007990,9,9,3,0,6,검수 완료
P10-OPS-OPS-DR,OPS,cpf-admin control plane + runtime owner,10-00008011,10-00008051,CPF-FR-008011,CPF-FR-008051,9,9,0,9,0,검수 완료
P10-API-API-CONTRACT,API,cpf-core API contract + endpoint owner,10-00008656,10-00008661,CPF-FR-008656,CPF-FR-008661,6,6,0,0,6,검수 완료
P10-API-API-PAGING,API,cpf-core API contract + endpoint owner,10-00008717,10-00008722,CPF-FR-008717,CPF-FR-008722,6,6,0,6,0,검수 완료
P10-API-API-ASYNC,API,cpf-core API contract + endpoint owner,10-00008778,10-00008783,CPF-FR-008778,CPF-FR-008783,6,6,0,6,0,검수 완료
P10-API-API-FILE,API,cpf-core API contract + endpoint owner,10-00008839,10-00008844,CPF-FR-008839,CPF-FR-008844,6,6,0,6,0,검수 완료
P10-QUALITY-RULE-ARCH,QUALITY,cpf-tools quality gates,10-00008900,10-00008905,CPF-FR-008900,CPF-FR-008905,6,6,0,0,6,검수 완료
P10-QUALITY-RULE-SEC,QUALITY,cpf-tools quality gates,10-00008961,10-00008966,CPF-FR-008961,CPF-FR-008966,6,6,0,0,6,검수 완료
P10-QUALITY-RULE-QUALITY,QUALITY,cpf-tools quality gates,10-00009022,10-00009027,CPF-FR-009022,CPF-FR-009027,6,6,0,0,6,검수 완료
P10-TEST-TEST-UNIT,TEST,repository-wide test ownership,10-00009029,10-00009089,CPF-FR-009029,CPF-FR-009089,61,72,0,0,61,검수 완료
P10-TEST-TEST-CONTRACT,TEST,repository-wide test ownership,10-00009090,10-00009150,CPF-FR-009090,CPF-FR-009150,61,72,0,0,61,검수 완료
P10-TEST-TEST-RUNTIME,TEST,repository-wide test ownership,10-00009151,10-00009211,CPF-FR-009151,CPF-FR-009211,61,72,0,0,61,검수 완료
P10-TEST-TEST-BROWSER,TEST,repository-wide test ownership,10-00009212,10-00009240,CPF-FR-009212,CPF-FR-009240,29,40,0,0,29,검수 완료
