execution_order,requirement_id,work_package_id,requirement_group,feature,function_type,qa_status,owner_module,owner_package,actual_consumer,qa_reason,required_action,evidence,baseline_sha
09-00017465,CPF-FR-017465,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,LIST_COLUMNS,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,고정 Column과 version은 있으나 owner·last updated가 없고 목록 운영 기준을 충족하지 못한다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017466,CPF-FR-017466,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,DETAIL,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,row 선택은 form 채움만 수행하며 History·Audit·Operation/Transaction Link가 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017467,CPF-FR-017467,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,STATE_UX,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,Loading·Empty·Error는 있으나 Partial·STALE·UNKNOWN·Last Updated를 구분하지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017468,CPF-FR-017468,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,PERMISSION,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,화면은 menu write/delete flag만 확인하고 Backend mutation은 operator identity만 요구하여 Action·API·Field·Data Scope 권한 단일 Projection이 입증되지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017469,CPF-FR-017469,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,MASKING,미검증,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,현재 필드에는 직접 PII/Secret이 없지만 분류·원문조회 정책과 Browser zeroization 계약은 확인하지 못했다.,exact SHA runtime/browser/DB 직접 또는 동등 대체검증,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017470,CPF-FR-017470,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,AUDIT_HISTORY,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,Backend audit 기록은 존재하지만 화면에서 before/after·actor·reason·version·result를 Drill-down할 수 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017471,CPF-FR-017471,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,DEEP_LINK,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,필터·선택 일자·상세 상태를 Route Query에 투영하지 않아 refresh/back/forward로 업무 상태를 복원하지 못한다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017472,CPF-FR-017472,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,ACCESSIBILITY,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,table row가 click 전용이고 keyboard activation·focus 처리·row button semantics가 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017473,CPF-FR-017473,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,PERFORMANCE,미검증,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,limit 상한은 존재하지만 대량 dataset browser/runtime 성능과 cancellation evidence가 없다.,exact SHA runtime/browser/DB 직접 또는 동등 대체검증,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017474,CPF-FR-017474,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,API_PARITY,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,Generated Client 함수는 생성됐지만 화면은 raw cpfApi URL을 직접 호출한다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017475,CPF-FR-017475,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,DB_PARITY,미검증,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,CmnCalendar Owner·JDBC Store는 확인했지만 Oracle/PostgreSQL/MariaDB install·upgrade·rollback 실행 parity는 확인하지 못했다.,exact SHA runtime/browser/DB 직접 또는 동등 대체검증,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017476,CPF-FR-017476,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,EVIDENCE,미검증,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,exact SHA Chromium/Firefox/WebKit trace·screenshot·console/network·a11y evidence를 실행하지 못했다.,exact SHA runtime/browser/DB 직접 또는 동등 대체검증,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017479,CPF-FR-017479,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,VALIDATION,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,감사 사유만 검사하며 calendarId/date/dayType 등의 field별·cross-field·server 오류 focus를 제공하지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017480,CPF-FR-017480,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,PREVIEW,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,저장 전 before/after·영향 범위·예상 version Preview가 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017482,CPF-FR-017482,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,SUBMIT_RESULT,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,저장/삭제 메시지만 표시하며 operationId·request hash·진행상태·Audit Link가 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017484,CPF-FR-017484,P09-ADM-UI-GATEWAY,ADM_UI,Gateway Overview,QUERY_INPUT,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,environment/service/route free-text와 limit만 제공하고 상태·대상 Select 및 ID 암기 제거를 충족하지 못한다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/gateway/AdmGatewayRegistryController.java|cpf-admin/src/main/java/com/cpf/admin/opr/gateway/AdmGatewayOperationsStreamController.java|cpf-admin/src/main/java/com/cpf/admin/opr/gateway/RemoteCpfGatewayRegistryAdapter.java|cpf-admin/src/test/java/com/cpf/admin/opr/gateway/AdmGatewayRegistryControllerApprovalBoundaryTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017485,CPF-FR-017485,P09-ADM-UI-GATEWAY,ADM_UI,Gateway Overview,SERVER_PAGING,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,server API와 화면이 limit 100/200만 사용하며 cursor/page·stable sort·filter allowlist가 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/gateway/AdmGatewayRegistryController.java|cpf-admin/src/main/java/com/cpf/admin/opr/gateway/AdmGatewayOperationsStreamController.java|cpf-admin/src/main/java/com/cpf/admin/opr/gateway/RemoteCpfGatewayRegistryAdapter.java|cpf-admin/src/test/java/com/cpf/admin/opr/gateway/AdmGatewayRegistryControllerApprovalBoundaryTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017486,CPF-FR-017486,P09-ADM-UI-GATEWAY,ADM_UI,Gateway Overview,LIST_COLUMNS,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,고정 Column·status·version은 있으나 owner·last updated 기준이 빠져 있다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/gateway/AdmGatewayRegistryController.java|cpf-admin/src/main/java/com/cpf/admin/opr/gateway/AdmGatewayOperationsStreamController.java|cpf-admin/src/main/java/com/cpf/admin/opr/gateway/RemoteCpfGatewayRegistryAdapter.java|cpf-admin/src/test/java/com/cpf/admin/opr/gateway/AdmGatewayRegistryControllerApprovalBoundaryTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
