id,area,title,requirement,validation,evidence,source,closing_status,changed_or_gate_path,closing_note,actual_evidence_required
CPF-QA-FND-018,FND,Gateway 인증 Header 존재 판단,Authorization/API Key 존재만 인증 여부로 넘긴다.,검증된 Principal 결과만 channel/auth policy에 사용.,CpfGatewayProxyService.java,base,미검증,cpf-gateway/src/main/java/com/cpf/gateway/service/CpfGatewayProxyService.java,Only authentication adapter requestSignatureVerified attribute is trusted,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-FND-021,FND,BZA 로그인 Token 결과 비멱등,같은 login operationId 재시도마다 이전 refresh token을 revoke하고 새 token을 낼 수 있어 동시 응답 race가 난다.,동일 operation의 안전한 단일 결과 또는 generation/fencing 검증.,BzaLoginTransactionService,base,미검증,cpf-biz-admin/src/test/java/com/cpf/bizadmin/auth/service/BzaLoginTransactionServiceTest.java,Exact successful token result is encrypted and replayed,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-FND-022,FND,BZA Login payload hash 부재,같은 operationId와 loginId면 다른 request fingerprint 충돌을 검출하지 못한다.,"동일 payload 멱등, 다른 payload 409.",bza_login_operation,base,미검증,cpf-biz-admin/src/test/java/com/cpf/bizadmin/auth/service/BzaLoginTransactionServiceTest.java,Same operationId with different request hash rejected,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-FND-035,FND,Migration checksum history 축소,MariaDB Flyway checksum manifest가 V61~V63만 포함한다.,전체 migration history/checksum/tamper detection.,checksums.sha256,base,미검증,cpf-tools/scripts/check-migration-checksums.ps1,All V*.sql must match complete checksum manifest; regenerate with -Apply,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-D03-FND-001,FND,최신 master SHA Required CI 부재,"최신 master SHA에 Build/Test/Frontend/Security/DB/Artifact/Evidence Required Check를 연결하고, 미실행 SHA를 Release·완료로 판정하지 않는다.",GitHub Actions 또는 동등 CI가 정확한 SHA에서 실행되고 모든 필수 Check가 성공해야 한다. workflow/status 0건이면 실패다.,GitHub latest SHA 9fa4bb0; workflow_runs=[],delta,재확인 필요,cpf-tools/scripts/check-enterprise-qa-closing.ps1,Merged into exact-SHA fail-closed closing gates; execute after push,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-D03-FND-002,FND,Current Request 기준 Commit 드리프트,"CPF_CURRENT_WORK_REQUEST.md, Next Request, Remaining Matrix, Handover, Validation Ledger가 모두 최신 SHA 9fa4bb0을 동일 기준으로 사용하도록 정리한다.","문서별 기준 SHA 자동 검사에서 불일치 0건, 과거 Overlay 경로를 현재 정본으로 참조하는 항목 0건이어야 한다.",cpf-docs/work/current/CPF_CURRENT_WORK_REQUEST.md: ecaddd 기준,delta,재확인 필요,cpf-tools/scripts/check-enterprise-qa-closing.ps1,Merged into exact-SHA fail-closed closing gates; execute after push,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-D03-FND-003,FND,Validation Ledger 최신 SHA 불일치,과거 ecaddd Overlay·Java21 독립 검증을 최신 9fa4bb0 통합 검증으로 승계하지 말고 새 Ledger를 작성한다.,"각 Evidence에 exact SHA, 명령, 시작·종료 시각, 환경, 실제 출력, redaction, 판정 근거가 있어야 한다.",cpf-tools/verification/20260728_02/VALIDATION_LEDGER.md,delta,재확인 필요,cpf-tools/scripts/check-enterprise-qa-closing.ps1,Merged into exact-SHA fail-closed closing gates; execute after push,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-D03-FND-004,FND,Overlay 작업 디렉터리 PASS를 Repository PASS로 오인,"STATIC_VALIDATION_RESULT의 /mnt/data Overlay 결과와 실제 최신 master 결과를 분리하고, Repository checkout 기준 재실행 결과만 최신 PASS로 인정한다.",overlay root가 아닌 최신 master root에서 동일 Gate를 실행하고 파일 hash와 git status를 Evidence로 남긴다.,STATIC_VALIDATION_RESULT.json root=/mnt/data/...,delta,재확인 필요,cpf-tools/scripts/check-enterprise-qa-closing.ps1,Merged into exact-SHA fail-closed closing gates; execute after push,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-D03-FND-005,FND,한 줄 PASS Evidence 증거 불충분,BATCH_RUNTIME_5_CONSUMER_POLICY_PASS 같은 단일 표식 파일을 성공 Evidence로 인정하지 않고 실제 명령·출력·환경·테스트 케이스를 보존한다.,Evidence contract 필수 필드를 누락한 파일을 Gate가 실패시키고 재현 가능한 로그를 생성해야 한다.,evidence/BATCH_RUNTIME_5_CONSUMER_POLICY.txt,delta,재확인 필요,cpf-tools/scripts/check-enterprise-qa-closing.ps1,Merged into exact-SHA fail-closed closing gates; execute after push,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-D03-FND-008,FND,완료 Matrix와 미검증 조건의 모순,Browser·실DB·다중 인스턴스·분산 Batch·전체 Build가 미검증인 기능을 완료로 표시하지 않도록 상태 판정 규칙을 수정한다.,완료 행은 최신 SHA 실행 Evidence를 가져야 하며 없으면 부분 구현 또는 미검증으로 자동 강등된다.,CPF_REMAINING_REQUIREMENT_MATRIX_20260728_02.md,delta,재확인 필요,cpf-tools/scripts/check-enterprise-qa-closing.ps1,Merged into exact-SHA fail-closed closing gates; execute after push,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-D03-ARCH-001,ARCH,cpf-admin의 cpf-core common 구현 Package 직접 의존,ADM Controller·Service가 com.cpf.core.common 구현 예외·실행·로그 Class를 직접 import하지 않고 Public API 또는 운영 Contract에 의존하도록 이관한다.,ArchUnit/compile Gate에서 외부 Module의 core common/internal import 0건이어야 한다.,"AdmRuntimeControlController, AdmNotificationController/Service",delta,재확인 필요,cpf-tools/scripts/check-enterprise-qa-closing.ps1,Merged into exact-SHA fail-closed closing gates; execute after push,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-D03-ALR-001,ALR,Notification Repository MariaDB 전용 SQL,"알림 규칙·발송 이력 저장에서 LIMIT ?, ON DUPLICATE KEY, CURRENT_TIMESTAMP(3), LAST_INSERT_ID() 직접 사용을 제거하고 공식 3 Vendor Query Pack/Repository 계약으로 이관한다.",MariaDB/PostgreSQL/Oracle query prepare·execute parity와 동시 upsert/ID 생성 테스트가 성공해야 한다.,AdmNotificationService.java,delta,재확인 필요,cpf-tools/scripts/check-enterprise-qa-closing.ps1,Merged into exact-SHA fail-closed closing gates; execute after push,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-D03-ALR-002,ALR,Notification 운영자 식별 fallback 허용,인증된 adm.operatorId가 없을 때 request body 또는 ADM 문자열로 대체하지 말고 401/403으로 fail-closed한다.,"위조 requestUser, 미인증 요청, 세션 만료 요청이 저장·발송·감사를 수행하지 않아야 한다.",AdmNotificationController.requestUser,delta,재확인 필요,cpf-tools/scripts/check-enterprise-qa-closing.ps1,Merged into exact-SHA fail-closed closing gates; execute after push,post-push exact SHA command log + environment + start/end + output hash + redaction
