work_item_id,canonical_requirement_id,applicable_gates,required_standards
CPF-WP-ARCH-BOUNDARY-05-DATA_MIGRATION,ARCH-BOUNDARY,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-13-PERFORMANCE;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-ARCH-BOUNDARY-06-GENERATION_COMPATIBILITY,ARCH-BOUNDARY,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-13-PERFORMANCE;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-ARCH-LAYER-01-CONTRACT_OWNERSHIP,ARCH-LAYER,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-CYCLONEDX;STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SCRUM;STD-SLSA;STD-SPRING
CPF-WP-ARCH-LAYER-02-IMPLEMENTATION_CONSUMER,ARCH-LAYER,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-CYCLONEDX;STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SCRUM;STD-SLSA;STD-SPRING
CPF-WP-ARCH-LAYER-03-VERIFICATION_EVIDENCE,ARCH-LAYER,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-CYCLONEDX;STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SCRUM;STD-SLSA;STD-SPRING
CPF-WP-ARCH-LAYER-04-GENERATION_COMPATIBILITY,ARCH-LAYER,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-CYCLONEDX;STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SCRUM;STD-SLSA;STD-SPRING
CPF-WP-CORE-API-01-CONTRACT_OWNERSHIP,CORE-API,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-API-02-IMPLEMENTATION_CONSUMER,CORE-API,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-API-03-VERIFICATION_EVIDENCE,CORE-API,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-SPI-01-CONTRACT_OWNERSHIP,CORE-SPI,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-08-UNKNOWN-RECOVERY;GATE-13-PERFORMANCE;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-SPI-02-IMPLEMENTATION_CONSUMER,CORE-SPI,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-08-UNKNOWN-RECOVERY;GATE-13-PERFORMANCE;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-SPI-03-VERIFICATION_EVIDENCE,CORE-SPI,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-08-UNKNOWN-RECOVERY;GATE-13-PERFORMANCE;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-SPI-04-GENERATION_COMPATIBILITY,CORE-SPI,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-08-UNKNOWN-RECOVERY;GATE-13-PERFORMANCE;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-CONFIG-01-CONTRACT_OWNERSHIP,CORE-CONFIG,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-08-UNKNOWN-RECOVERY;GATE-11-OPS-AUDIT;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-CONFIG-02-IMPLEMENTATION_CONSUMER,CORE-CONFIG,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-08-UNKNOWN-RECOVERY;GATE-11-OPS-AUDIT;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-CONFIG-03-VERIFICATION_EVIDENCE,CORE-CONFIG,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-08-UNKNOWN-RECOVERY;GATE-11-OPS-AUDIT;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-CONFIG-04-FAILURE_RECOVERY,CORE-CONFIG,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-08-UNKNOWN-RECOVERY;GATE-11-OPS-AUDIT;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-CONFIG-05-OPERATIONS_SECURITY,CORE-CONFIG,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-08-UNKNOWN-RECOVERY;GATE-09-SECURITY;GATE-11-OPS-AUDIT;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-CISA-SBD;STD-GRADLE-JAVA;STD-NIST-SSDF;STD-OWASP-ASVS;STD-SPRING
CPF-WP-CORE-TESTKIT-01-CONTRACT_OWNERSHIP,CORE-TESTKIT,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-TESTKIT-02-IMPLEMENTATION_CONSUMER,CORE-TESTKIT,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-TESTKIT-03-VERIFICATION_EVIDENCE,CORE-TESTKIT,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CORE-TESTKIT-04-FAILURE_RECOVERY,CORE-TESTKIT,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-CPF-CALL-01-CONTRACT_OWNERSHIP,CPF-CALL,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF
CPF-WP-CPF-CALL-02-IMPLEMENTATION_CONSUMER,CPF-CALL,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF
CPF-WP-CPF-CALL-03-VERIFICATION_EVIDENCE,CPF-CALL,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF
CPF-WP-CPF-CALL-04-FAILURE_RECOVERY,CPF-CALL,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF
CPF-WP-CPF-REGISTRY-01-CONTRACT_OWNERSHIP,CPF-REGISTRY,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-12-OBSERVABILITY;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-REGISTRY-02-IMPLEMENTATION_CONSUMER,CPF-REGISTRY,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-12-OBSERVABILITY;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-REGISTRY-03-VERIFICATION_EVIDENCE,CPF-REGISTRY,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-12-OBSERVABILITY;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-REGISTRY-04-FAILURE_RECOVERY,CPF-REGISTRY,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-12-OBSERVABILITY;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-REGISTRY-05-OPERATIONS_SECURITY,CPF-REGISTRY,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-09-SECURITY;GATE-11-OPS-AUDIT;GATE-12-OBSERVABILITY;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-CISA-SBD;STD-NIST-SSDF;STD-OTEL;STD-OWASP-ASVS;STD-TRACE
CPF-WP-CPF-REGISTRY-06-GENERATION_COMPATIBILITY,CPF-REGISTRY,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-12-OBSERVABILITY;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-ROUTING-01-CONTRACT_OWNERSHIP,CPF-ROUTING,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-11-OPS-AUDIT;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF
CPF-WP-CPF-ROUTING-02-IMPLEMENTATION_CONSUMER,CPF-ROUTING,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-11-OPS-AUDIT;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF
CPF-WP-CPF-ROUTING-03-VERIFICATION_EVIDENCE,CPF-ROUTING,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-11-OPS-AUDIT;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF
CPF-WP-CPF-ROUTING-04-FAILURE_RECOVERY,CPF-ROUTING,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-11-OPS-AUDIT;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF
CPF-WP-CPF-ROUTING-05-OPERATIONS_SECURITY,CPF-ROUTING,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-09-SECURITY;GATE-11-OPS-AUDIT;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-CISA-SBD;STD-NIST-SSDF;STD-OWASP-ASVS
CPF-WP-CPF-ROUTING-06-GENERATION_COMPATIBILITY,CPF-ROUTING,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-11-OPS-AUDIT;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF
CPF-WP-CPF-HEALTH-01-CONTRACT_OWNERSHIP,CPF-HEALTH,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-12-OBSERVABILITY;GATE-16-COMPATIBILITY;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-CYCLONEDX;STD-NIST-SSDF;STD-OTEL;STD-SCRUM;STD-SLSA;STD-TRACE
CPF-WP-CPF-HEALTH-02-IMPLEMENTATION_CONSUMER,CPF-HEALTH,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-12-OBSERVABILITY;GATE-16-COMPATIBILITY;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-CYCLONEDX;STD-NIST-SSDF;STD-OTEL;STD-SCRUM;STD-SLSA;STD-TRACE
CPF-WP-CPF-HEALTH-03-VERIFICATION_EVIDENCE,CPF-HEALTH,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-12-OBSERVABILITY;GATE-16-COMPATIBILITY;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-CYCLONEDX;STD-NIST-SSDF;STD-OTEL;STD-SCRUM;STD-SLSA;STD-TRACE
CPF-WP-CPF-HEALTH-04-OPERATIONS_SECURITY,CPF-HEALTH,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-11-OPS-AUDIT;GATE-12-OBSERVABILITY;GATE-16-COMPATIBILITY;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-CISA-SBD;STD-CYCLONEDX;STD-NIST-SSDF;STD-OTEL;STD-OWASP-ASVS;STD-SCRUM;STD-SLSA;STD-TRACE
CPF-WP-CPF-HEALTH-05-DATA_MIGRATION,CPF-HEALTH,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-12-OBSERVABILITY;GATE-16-COMPATIBILITY;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-CYCLONEDX;STD-NIST-SSDF;STD-OTEL;STD-SCRUM;STD-SLSA;STD-TRACE
CPF-WP-CPF-HEALTH-06-GENERATION_COMPATIBILITY,CPF-HEALTH,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-12-OBSERVABILITY;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-CYCLONEDX;STD-NIST-SSDF;STD-OTEL;STD-SCRUM;STD-SLSA;STD-TRACE
CPF-WP-CPF-HEADER-01-CONTRACT_OWNERSHIP,CPF-HEADER,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-10-CRYPTO-PRIVACY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-NIST-SSDF
CPF-WP-CPF-HEADER-02-IMPLEMENTATION_CONSUMER,CPF-HEADER,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-10-CRYPTO-PRIVACY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-NIST-SSDF
CPF-WP-CPF-HEADER-03-VERIFICATION_EVIDENCE,CPF-HEADER,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-10-CRYPTO-PRIVACY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-NIST-SSDF
CPF-WP-CPF-CONTEXT-01-CONTRACT_OWNERSHIP,CPF-CONTEXT,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-CONTEXT-02-IMPLEMENTATION_CONSUMER,CPF-CONTEXT,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-CONTEXT-03-VERIFICATION_EVIDENCE,CPF-CONTEXT,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-CONTEXT-04-FAILURE_RECOVERY,CPF-CONTEXT,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-CONTEXT-05-OPERATIONS_SECURITY,CPF-CONTEXT,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-09-SECURITY;GATE-11-OPS-AUDIT;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-CISA-SBD;STD-NIST-SSDF;STD-OTEL;STD-OWASP-ASVS;STD-TRACE
CPF-WP-CPF-TXID-01-CONTRACT_OWNERSHIP,CPF-TXID,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-04-EVENT-API;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-ASYNCAPI;STD-CLOUDEVENTS;STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-TXID-02-IMPLEMENTATION_CONSUMER,CPF-TXID,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-04-EVENT-API;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-ASYNCAPI;STD-CLOUDEVENTS;STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-TXID-03-VERIFICATION_EVIDENCE,CPF-TXID,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-04-EVENT-API;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-ASYNCAPI;STD-CLOUDEVENTS;STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-TXID-04-FAILURE_RECOVERY,CPF-TXID,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-04-EVENT-API;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-ASYNCAPI;STD-CLOUDEVENTS;STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-TXID-05-OPERATIONS_SECURITY,CPF-TXID,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-04-EVENT-API;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-09-SECURITY;GATE-11-OPS-AUDIT;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-ASYNCAPI;STD-CISA-SBD;STD-CLOUDEVENTS;STD-NIST-SSDF;STD-OTEL;STD-OWASP-ASVS;STD-TRACE
CPF-WP-CPF-ROLE-01-CONTRACT_OWNERSHIP,CPF-ROLE,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-11-OPS-AUDIT;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-ROLE-02-IMPLEMENTATION_CONSUMER,CPF-ROLE,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-11-OPS-AUDIT;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-ROLE-03-VERIFICATION_EVIDENCE,CPF-ROLE,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-11-OPS-AUDIT;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
CPF-WP-CPF-ROLE-04-FAILURE_RECOVERY,CPF-ROLE,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-08-UNKNOWN-RECOVERY;GATE-11-OPS-AUDIT;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,STD-NIST-SSDF;STD-OTEL;STD-TRACE
