canonical_requirement_id,owner,priority,work_type,canonical_goal,domain_file,work_package_count,work_item_ids,derived_requirement_mapping_status,scenario_mapping_status
CPF-ROUTING,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,service/instance/zone/version/weight/maintenance 정책에 따른 routing과 failover를 결정적으로 수행하고 승인된 운영 override와 audit를 제공한다.,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,6,CPF-WP-CPF-ROUTING-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-ROUTING-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-ROUTING-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-ROUTING-04-FAILURE_RECOVERY;CPF-WP-CPF-ROUTING-05-OPERATIONS_SECURITY;CPF-WP-CPF-ROUTING-06-GENERATION_COMPATIBILITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-HEALTH,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,liveness·readiness·startup·dependency·business readiness를 구분하고 service identity·build SHA·schema version까지 검증 가능한 health 계약을 제공한다.,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,6,CPF-WP-CPF-HEALTH-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-HEALTH-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-HEALTH-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-HEALTH-04-OPERATIONS_SECURITY;CPF-WP-CPF-HEALTH-05-DATA_MIGRATION;CPF-WP-CPF-HEALTH-06-GENERATION_COMPATIBILITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-HEADER,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,표준/확장 Header의 이름·형식·신뢰경계·생성자·전파·masking·최대크기·호환성을 정본화하고 spoofing을 차단한다.,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,3,CPF-WP-CPF-HEADER-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-HEADER-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-HEADER-03-VERIFICATION_EVIDENCE,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-CONTEXT,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"transaction, trace, segment, caller, principal, environment, channel, deadline, attempt context를 동기·비동기·Batch 전 구간에 보존한다.",11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,5,CPF-WP-CPF-CONTEXT-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-CONTEXT-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-CONTEXT-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-CONTEXT-04-FAILURE_RECOVERY;CPF-WP-CPF-CONTEXT-05-OPERATIONS_SECURITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-TXID,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,34자리 transactionId 단일 정본을 생성·검증·승계하며 Local/Remote/Async/Batch/File/Log/ADM Timeline이 같은 값을 사용한다.,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,5,CPF-WP-CPF-TXID-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-TXID-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-TXID-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-TXID-04-FAILURE_RECOVERY;CPF-WP-CPF-TXID-05-OPERATIONS_SECURITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-ROLE,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"transaction role, direction, source/target, caller/receiver 관계를 표준 Context·Log·Audit에 일관되게 기록한다.",11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,5,CPF-WP-CPF-ROLE-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-ROLE-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-ROLE-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-ROLE-04-FAILURE_RECOVERY;CPF-WP-CPF-ROLE-05-OPERATIONS_SECURITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-ERROR,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,표준 오류 코드·HTTP/Protocol mapping·retryability·unknown-result·field error·operator message를 버전 가능한 계약으로 제공한다.,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,4,CPF-WP-CPF-ERROR-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-ERROR-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-ERROR-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-ERROR-04-FAILURE_RECOVERY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-VALID,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"입력·출력·설정·Header·파일·메시지·SQL parameter 검증과 오류 위치, allowlist, 크기·깊이·개수 상한을 제공한다.",11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,4,CPF-WP-CPF-VALID-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-VALID-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-VALID-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-VALID-04-DATA_MIGRATION,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-IDEMP,cpf-core / repository architecture,P0,PRODUCT_IMPLEMENTATION,"canonical request hash, scope, TTL, result replay, conflict semantics와 concurrent race를 포함한 idempotency 원장을 제공한다.",11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,4,CPF-WP-CPF-IDEMP-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-IDEMP-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-IDEMP-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-IDEMP-04-FAILURE_RECOVERY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-STATE,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"승인·비동기·배치·배포·복구 등 장기 거래의 허용 상태전이, 낙관적 잠금, terminal state, reconciliation을 명시한다.",11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_02.md,4,CPF-WP-CPF-STATE-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-STATE-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-STATE-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-STATE-04-FAILURE_RECOVERY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-LOCK,cpf-core / repository architecture,P0,PRODUCT_IMPLEMENTATION,"optimistic/distributed lock, lease, fencing token, owner epoch, expiry, takeover와 stale writer 차단을 제공한다.",11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_02.md,4,CPF-WP-CPF-LOCK-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-LOCK-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-LOCK-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-LOCK-04-FAILURE_RECOVERY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-RESILIENCE,cpf-core / repository architecture,P0,PRODUCT_IMPLEMENTATION,"timeout, retry, circuit breaker, bulkhead, rate/backpressure, retry storm 방지와 operation별 정책을 제공한다.",11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_02.md,5,CPF-WP-CPF-RESILIENCE-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-RESILIENCE-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-RESILIENCE-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-RESILIENCE-04-FAILURE_RECOVERY;CPF-WP-CPF-RESILIENCE-05-OPERATIONS_SECURITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-DEADLINE,cpf-core / repository architecture,P0,PRODUCT_IMPLEMENTATION,요청 전체 deadline budget을 하위 호출·DB·Broker·파일·process에 분배하고 초과 시 cancel·cleanup·unknown-result 규칙을 적용한다.,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_02.md,5,CPF-WP-CPF-DEADLINE-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-DEADLINE-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-DEADLINE-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-DEADLINE-04-FAILURE_RECOVERY;CPF-WP-CPF-DEADLINE-05-DATA_MIGRATION,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-SCHED,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"기술 Scheduler의 trigger, cluster claim, misfire, calendar, idempotency, pause/resume, 운영 제어 계약을 정의하고 Batch Scheduler와 Owner를 분리한다.",11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_02.md,4,CPF-WP-CPF-SCHED-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-SCHED-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-SCHED-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-SCHED-04-FAILURE_RECOVERY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-OPSDB,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"운영 DB의 공유/분리 topology, schema ownership, 연결 장애 시 fail-open/fail-closed, backpressure, 복구와 readiness를 정의한다.",12_CORE_OBSERVABILITY_FILE_MESSAGE.md,5,CPF-WP-CPF-OPSDB-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-OPSDB-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-OPSDB-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-OPSDB-04-OPERATIONS_SECURITY;CPF-WP-CPF-OPSDB-05-DATA_MIGRATION,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-LOGDB,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,DB Log의 schema·index·retention·masking·비동기 적재·조회 성능·장애 격리와 ADM projection을 제공한다.,12_CORE_OBSERVABILITY_FILE_MESSAGE.md,6,CPF-WP-CPF-LOGDB-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-LOGDB-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-LOGDB-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-LOGDB-04-FAILURE_RECOVERY;CPF-WP-CPF-LOGDB-05-OPERATIONS_SECURITY;CPF-WP-CPF-LOGDB-06-DATA_MIGRATION,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-FILELOG,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"환경·Domain·Instance·transactionId·execution 단위로 탐색 가능한 구조화 File Log, rotation, retention, secure permission과 수집 계약을 제공한다.",12_CORE_OBSERVABILITY_FILE_MESSAGE.md,6,CPF-WP-CPF-FILELOG-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-FILELOG-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-FILELOG-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-FILELOG-04-FAILURE_RECOVERY;CPF-WP-CPF-FILELOG-05-OPERATIONS_SECURITY;CPF-WP-CPF-FILELOG-06-DATA_MIGRATION,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-LOGFAIL,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"로그 저장 실패가 업무를 오염시키지 않도록 정책별 fail-open/closed, local spool, 재전송, 중복 제거, 유실 탐지와 alert를 제공한다.",12_CORE_OBSERVABILITY_FILE_MESSAGE.md,4,CPF-WP-CPF-LOGFAIL-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-LOGFAIL-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-LOGFAIL-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-LOGFAIL-04-OPERATIONS_SECURITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-TRACE,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"transactionId와 trace/span/segment/attempt를 연결하고 sampling, trace boost, baggage allowlist, cardinality·민감정보 통제를 제공한다.",12_CORE_OBSERVABILITY_FILE_MESSAGE.md,5,CPF-WP-CPF-TRACE-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-TRACE-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-TRACE-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-TRACE-04-FAILURE_RECOVERY;CPF-WP-CPF-TRACE-05-OPERATIONS_SECURITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-MASK,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"PII/Secret/Credential 분류, context-aware masking/redaction, raw 조회 승인, logging/evidence/download 정책과 테스트 corpus를 제공한다.",12_CORE_OBSERVABILITY_FILE_MESSAGE.md,4,CPF-WP-CPF-MASK-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-MASK-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-MASK-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-MASK-04-OPERATIONS_SECURITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CORE-FIXED,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,고정길이 전문 Layout/Field/Group/encoding/byte length/parser/writer/validator/version/streaming과 secure diagnostic engine을 제공한다.,12_CORE_OBSERVABILITY_FILE_MESSAGE.md,4,CPF-WP-CORE-FIXED-01-CONTRACT_OWNERSHIP;CPF-WP-CORE-FIXED-02-IMPLEMENTATION_CONSUMER;CPF-WP-CORE-FIXED-03-VERIFICATION_EVIDENCE;CPF-WP-CORE-FIXED-04-GENERATION_COMPATIBILITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CORE-FILE,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"Path Alias, bounded streaming, checksum, atomic publish, symlink/path traversal 방지, cleanup, cancellation을 포함한 File/Attachment/Archive 기술 계약을 제공한다.",12_CORE_OBSERVABILITY_FILE_MESSAGE.md,5,CPF-WP-CORE-FILE-01-CONTRACT_OWNERSHIP;CPF-WP-CORE-FILE-02-IMPLEMENTATION_CONSUMER;CPF-WP-CORE-FILE-03-VERIFICATION_EVIDENCE;CPF-WP-CORE-FILE-04-FAILURE_RECOVERY;CPF-WP-CORE-FILE-05-DATA_MIGRATION,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CORE-MESSAGE,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"versioned broker envelope, correlation, idempotency key, schema, TTL, producer/environment binding, size limit와 serialization allowlist를 제공한다.",12_CORE_OBSERVABILITY_FILE_MESSAGE.md,6,CPF-WP-CORE-MESSAGE-01-CONTRACT_OWNERSHIP;CPF-WP-CORE-MESSAGE-02-IMPLEMENTATION_CONSUMER;CPF-WP-CORE-MESSAGE-03-VERIFICATION_EVIDENCE;CPF-WP-CORE-MESSAGE-04-FAILURE_RECOVERY;CPF-WP-CORE-MESSAGE-05-DATA_MIGRATION;CPF-WP-CORE-MESSAGE-06-GENERATION_COMPATIBILITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
ARCH-STARTER,product architecture + cpf-tools generator/build,P1,PRODUCT_IMPLEMENTATION,"cpf-core를 Spring Boot 없는 초경량 계약 Artifact로 유지하고 Leaf Starter·Capability Profile·Aggregate Starter·BOM의 역할, Provider 충돌, Consumer와 Footprint를 정본화한다.",10_ARCHITECTURE_MODULE_BOUNDARY.md,5,CPF-WP-ARCH-STARTER-01-CONTRACT_OWNERSHIP;CPF-WP-ARCH-STARTER-02-IMPLEMENTATION_CONSUMER;CPF-WP-ARCH-STARTER-03-VERIFICATION_EVIDENCE;CPF-WP-ARCH-STARTER-04-FAILURE_RECOVERY;CPF-WP-ARCH-STARTER-05-GENERATION_COMPATIBILITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CMN-EXTENSION,cpf-common,P2,PRODUCT_IMPLEMENTATION,고객 Header·User Context·Validation·Error Mapping·Masking·Audit·Web Client 정책을 cpf-core SPI 위에서 확장하며 기술 Engine을 중복 소유하지 않는다.,20_COMMON_DATA_DB_PART_01.md,5,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CMN-SAMPLE-DB,cpf-common,P2,PRODUCT_IMPLEMENTATION,cmnDB의 단일 Golden Sample Table로 CRUD/Search/Paging/Validation/duplicate/optimistic lock/commit/rollback을 3 Vendor에서 검증한다.,20_COMMON_DATA_DB_PART_01.md,5,CPF-WP-CMN-SAMPLE-DB-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-SAMPLE-DB-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-SAMPLE-DB-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-SAMPLE-DB-04-FAILURE_RECOVERY;CPF-WP-CMN-SAMPLE-DB-05-DATA_MIGRATION,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CMN-CODE,cpf-common,P2,PRODUCT_IMPLEMENTATION,고객 공통 코드·참조데이터의 group/item/version/유효기간/cache/invalidation/조회·관리·audit 계약을 제공한다.,20_COMMON_DATA_DB_PART_01.md,6,CPF-WP-CMN-CODE-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-CODE-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-CODE-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-CODE-04-OPERATIONS_SECURITY;CPF-WP-CMN-CODE-05-DATA_MIGRATION;CPF-WP-CMN-CODE-06-GENERATION_COMPATIBILITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CMN-MSG,cpf-common,P2,PRODUCT_IMPLEMENTATION,"다국어·오류·업무 메시지의 code, locale, parameter schema, fallback, cache, version과 관리 계약을 제공한다.",20_COMMON_DATA_DB_PART_01.md,5,CPF-WP-CMN-MSG-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-MSG-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-MSG-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-MSG-04-DATA_MIGRATION;CPF-WP-CMN-MSG-05-GENERATION_COMPATIBILITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CMN-CALENDAR,cpf-common,P2,PRODUCT_IMPLEMENTATION,"영업일·휴일·기관 calendar, 기준일 계산, DB-less fallback, override 승인과 Batch/업무 공통 소비 계약을 제공한다.",20_COMMON_DATA_DB_PART_01.md,5,CPF-WP-CMN-CALENDAR-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-CALENDAR-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-CALENDAR-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-CALENDAR-04-FAILURE_RECOVERY;CPF-WP-CMN-CALENDAR-05-DATA_MIGRATION,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
