closure_id,surface,required_inventory,phase_id,acceptance_criteria,current_status,verification_method,required_evidence,open_issue,baseline_sha
CLOSE-011,Database,schema/table/column/index/FK/seed/migration/query,P01,Owner/Requirement/Consumer 미연결 DB Object 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-012,Configuration,property/env/secret/runtime policy/default/override,P01,미등록 Config·Secret 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-013,Frontend,route/menu/page/component/action/permission/API operation,P01,UI/API/DB/Permission 미연결 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-014,Generator,template/profile/capability/provider/resolved lock/generated file,P01,생성 산출물 미등록 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-015,Tests,unit/contract/integration/runtime/browser/fault fixtures,P01,Requirement 미연결 Test 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-016,Scripts/CI,build/verify/package/deploy/migrate/cleanup/workflow,P01,미등록 Script/Workflow 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-017,Artifacts,JAR/WAR/static/POM/BOM/SBOM/license/signature/offline bundle,P12,Requirement/Evidence 미연결 Artifact 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-018,Documentation,OpenAPI/JavaDoc/Guide/ADR/EDU/release/migration/runbook,P13,Source와 불일치 문서 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-019,Evidence,exact SHA/command/environment/result/hash/sanitization,P15,누락/Stale/Hash mismatch 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-020,Dead/Orphan/Duplicate,"dead source, orphan contract, duplicate primary, stale evidence",P15,미승인 잔재 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-021,Protected Paths,보호 경로 변경/삭제 여부,P15,무승인 변경 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-022,Fresh Clone,다른 PC 빈 Cache에서 전체 재현,P13,숨은 로컬 의존 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-023,External Runtime,3DB/Broker/SFTP/SMTP/OTLP/Browser/Process,P10,필수 환경 미실행 0 또는 구체적 미완료,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-024,Final Re-scan,최종 Commit 전체 Inventory 재생성 및 원장 Diff,P15,새 미등록 기능/결함 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
