finding_key,qa_source,finding_id,severity,category,title,development_status,verification_status,runtime_status,overall_status,closure_state,source_paths,evidence_paths,external_blocker,reexecution_command,source_identity_sha256,original_acceptance
SELF:SELF-QA-011,SELF,SELF-QA-011,P1,Generated Domain / Canonical Source,Generated Domain root cpf-domain.yaml 단일 정본 정책과 Tool-side byte-identical 복제 정본/Guide가 충돌,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-member/cpf-domain.yaml; cpf-external/cpf-domain.yaml; cpf-tools/generator/definitions/member/*; cpf-tools/generator/definitions/external/*; cpf-docs/development/GENERATOR_GUIDE.md; cpf-tools/README.md,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-011.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"Current logical definition은 cpf-<domain>/cpf-domain.yaml exactly one. tool definitions current consumer 0. MBR(batch=true) batch 존재, EXS(batch=false) batch 없음, EXS의 domainDependencies.member client만 선택적으로 존재. diff clean=true, normalized parity PASS, empty dir 0."
SELF:SELF-QA-012,SELF,SELF-QA-012,P1,Generated Domain / Verification Contract,Generator 관련 verifier/최종 completion이 서로 다른 metadata 정본 정책을 검사,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-tools/verification/tools/verify-cpf-final-completion.ps1:68-130; cpf-tools/generator/verification/check-generated-domain-parity.ps1; cpf-tools/verification/nxt3/verify_generator_cross_platform.py,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-012.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,동일 fixture에 대해 모든 generator verifier verdict 일치. batch/dependency/externalClients feature 선택만 normalized allowed delta.
SELF:SELF-QA-013,SELF,SELF-QA-013,P1,Architecture / cpf-common,cpf-common Product Owner에 Spring Boot conditional wiring이 6개 남아 Starter 경계가 완전히 분리되지 않음,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-common/build.gradle; cpf-common/src/main/java/com/cpf/common/template/CmnTemplateService.java; CmnTemplateManagementService.java; CmnJdbcTemplateStore.java; calendar/CmnDurableCalendarChangePublisher.java; calendar/CmnJdbcCalendarStore.java; message/service/CmnCpfErrorCatalogResolver.java,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-013.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"cpf-common main source에서 org.springframework.boot.autoconfigure.condition import 0, spring-boot-autoconfigure implementation dependency 제거 가능. starter-common에서 조건부 wiring 동작 동일. non-Boot product consumer compile test PASS."
SELF:SELF-QA-014,SELF,SELF-QA-014,P1,Windows / PowerShell Compatibility,Windows PowerShell 5.1 fallback 정책과 active script의 .NET/PowerShell 7 전용 API 사용이 광범위하게 충돌,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-tools/verification/tools/run-cpf-final-local-validation.ps1:44-45 및 active *.ps1 다수,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-014.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,지원 Windows shell에서 모든 public/local/final/db/generator entrypoint smoke PASS. forbidden API scan 0 또는 explicit pwsh7-only allowlist.
SELF:SELF-QA-015,SELF,SELF-QA-015,P1,Frontend Toolchain,Frontend package 계약과 Final Plan Node/npm prerequisite가 불일치,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-admin/frontend/package.json; cpf-backoffice-web/frontend/package.json; cpf-tools/verification/tools/invoke-cpf-final-verification-plan.py:78-82,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-015.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"Node 22.18~24.x + npm10.9.2 PASS, Node25/22.17/npm11 FAIL. ADM/Backoffice 동일 verdict."
SELF:SELF-QA-016,SELF,SELF-QA-016,P1,Publication / Local Environment,FullLocal publication 단계가 publishToMavenLocal로 사용자 ~/.m2를 오염시킴,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-tools/verification/tools/run-cpf-local-full-validation.ps1:584; cpf-tools/build/cpf-root-conventions.gradle:128,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-016.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,Full validation 전후 ~/.m2 CPF artifact hash/list 변화 0. isolated publication consumer PASS.
SELF:SELF-QA-017,SELF,SELF-QA-017,P1,Evidence Accuracy,"TEST_AND_EVIDENCE 내부 최종 파일 수가 8,320과 8,322로 충돌",완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,"cpf-docs/deliverables/TEST_AND_EVIDENCE.md:44,128,135",cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-017.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"Current Final summary의 finalFiles 단일 값=8,322, Package Manifest/replay/clean-tree와 일치. consistency verifier가 숫자 drift 검출."
SELF:SELF-QA-018,SELF,SELF-QA-018,P1,Evidence / Historical False PASS,QA-B3-025가 현재 fail-closed Evidence semantic과 모순되는 PASS를 Current Evidence에 보존,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-docs/work/evidence/current/qa-b3/QA-B3-025.txt:2; cpf-tools/verification/tools/verify-cpf-evidence-semantics.py,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-018.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,Current evidence semantic scan에서 vacuous PASS 0; QA-B3-025가 current에서 제거되거나 명확한 historical/non-current 상태.
SELF:SELF-QA-019,SELF,SELF-QA-019,P2,Verification Hygiene / Developer Experience,QA/pytest 실행이 Repository 내부 __pycache__/.pytest_cache를 생성해 Clean Source Gate를 스스로 실패시킬 수 있음,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,.pytest_cache; cpf-tools/generator/engine/__pycache__; cpf-tools/verification/tests/__pycache__; cpf-tools/verification/nxt3/__pycache__,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-019.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"전체 Python/pytest suite 실행 전후 git/file inventory 변화 0, clean-source 즉시 PASS."
SELF:SELF-QA-020,SELF,SELF-QA-020,P2,Delete Governance / Lifecycle,Delete Manifest의 historical/applied/pending/blocking 상태가 단순 approved boolean만으로는 충분히 표현되지 않음,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-docs/deliverables/DELETE_MANIFEST.csv; cpf-tools/verification/apply_delete_manifest.ps1,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-020.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,manifest summary가 상태별 count를 출력하고 blocked/historical path는 사용자 삭제 명령에서 skip. migration 완료 후 명시 승인 변경으로만 삭제.
QA4:CPF-QA-230143-001,QA4,CPF-QA-230143-001,P0,Generated Domain / Developer Safety,`cpf domain setup --sync`가 생략 옵션을 삭제 의미로 처리하여 기존 Domain 계약과 Generated Module을 파괴함,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-tools/runtime/cli/cpf.py | cpf-member/cpf-domain.yaml | cpf-external/cpf-domain.yaml,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-001.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"(1) 기존 MBR/EXS Definition에서 옵션 일부만 변경해 sync해도 미입력 field가 보존된다. (2) `batch:true→false`, dependency 제거 등은 diff에 삭제가 명시되고 별도 승인 없이는 적용되지 않는다. (3) explicit remove/replace를 주면 의도한 항목만 제거된다. (4) 같은 Definition 반복 실행은 byte/semantic idempotent하다. (5) user-owned file은 성공/실패 양쪽에서 보존된다. (6) 실패 시 Definition과 generated output이 부분 갱신되지 않는다. (7) regression test가 omission/preserve/explicit-delete/full-replace를 모두 포함한다."
QA4:CPF-QA-230143-002,QA4,CPF-QA-230143-002,P0,DB Binding / Public Bootstrap,실제 Public Local Bootstrap이 Domain별 DB Profile을 Source of Truth로 사용하지 않고 Workspace 단일 Vendor/기본값을 재계산함,완료,미검증(외부 환경),BLOCKED_EXTERNAL,미검증,BLOCKED_EXTERNAL,cpf-tools/runtime/bootstrap/CpfBootstrap.java | cpf-tools/release/public/cpf-public-surface-policy.json | build/cpf-local/<domain>/cpf-db-profile.local.json,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-002.md,Live Oracle/PostgreSQL/MariaDB provisioning→migration→seed→runtime-health를 갖춘 Fresh Public Workspace 환경 필요.,See cpf-docs/work/evidence/development-22/BLOCKED_EXTERNAL.md,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,(1) 3개 Domain에 PG/Oracle/MariaDB를 각각 설정한 profile을 Bootstrap이 읽는다. (2) custom host/port/database/service/schema/account/secret ref가 그대로 datasource/migration에 사용된다. (3) Setup→Bootstrap 사이 값 재계산 차이 0. (4) profile/vendor 불일치는 명확한 오류. (5) single-vendor도 회귀 없음. (6) Fresh Public Workspace E2E에서 Private Source 없이 DB prepare→migration/seed→runtime health가 통과한다.
QA4:CPF-QA-230143-003,QA4,CPF-QA-230143-003,P1,Architecture / Canonical Owner,서로 다른 두 `CpfBootstrap.java` 구현이 공존하며 더 완성된 alternate 구현은 Public staging에 사용되지 않음,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-tools/runtime/bootstrap/CpfBootstrap.java | cpf-tools/release/public/templates/bin/CpfBootstrap.java | cpf-tools/release/public/cpf-public-surface-policy.json,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-003.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"Canonical Java engine 1개, wrappers는 thin, duplicate implementation 0, staging source hash parity test PASS."
QA4:CPF-QA-230143-004,QA4,CPF-QA-230143-004,P1,Generated Domain / Canonical Definition,Domain-root `cpf-domain.yaml` 정본 외에 과거 generator definition 복제본과 active consumer가 남아 dual source-of-truth 위험이 지속됨,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-member/cpf-domain.yaml | cpf-external/cpf-domain.yaml | cpf-tools/generator/definitions/member/cpf-domain.yaml | cpf-tools/generator/definitions/external/cpf-domain.yaml | cpf-docs/development/GENERATOR_GUIDE.md | cpf-tools/README.md,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-004.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"authorable definition exactly-one/domain, old path active reference 0, CLI/Test/Guide/Inventory 모두 root canonical 사용, intentional derived copy라면 automated parity/fail-closed."
QA4:CPF-QA-230143-005,QA4,CPF-QA-230143-005,P1,Developer Experience / CLI,정본의 Canonical CLI family와 실제 `cpf domain --help`가 불일치하고 maintenance 명령이 Golden Path와 함께 노출됨,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-tools/runtime/cli/cpf.py | cpf-tools/release/public/templates/bin/cpf-domain-new.ps1 | cpf-tools/release/public/templates/bin/cpf-domain-new.sh,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-005.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,create/setup/sync/diff/remove golden-path가 help 상단에서 일관되고 Win/Linux wrappers 명칭도 동일. deprecated alias는 경고/문서화되고 신규 문서에는 노출되지 않음.
QA4:CPF-QA-230143-006,QA4,CPF-QA-230143-006,P1,Developer Experience / Setup,Interactive Domain Setup이 없어 최초 개발자가 많은 CLI option을 직접 알아야 함,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-tools/runtime/cli/cpf.py,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-006.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"interactive와 declarative output canonical definition이 동일, CI noninteractive, cancel safe, validation/error UX test 포함."
QA4:CPF-QA-230143-007,QA4,CPF-QA-230143-007,P1,Security / Developer Setup,Secret Reference 입력이 fail-closed가 아니어서 raw secret처럼 보이는 문자열도 `env` reference로 그대로 수용됨,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-tools/runtime/cli/cpf.py,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-007.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"정상 `ACC_DB_RUNTIME_PASSWORD` PASS, `token=raw-secret`, 공백/`@`/`=` 포함 raw-like 값 FAIL, rejected secret 원문 log/evidence 0."
QA4:CPF-QA-230143-008,QA4,CPF-QA-230143-008,P1,Developer Catalog / Ownership,`cpf-common`으로 이동한 Public Service를 Developer Adoption/Common DX verifier가 과거 `cpf-starters/common` 경로에서 찾아 False Red 발생,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-common/src/main/java/**/CpfCodeService.java | cpf-common/src/main/java/**/CpfMessageSource.java | cpf-common/src/main/java/**/CpfParameterService.java | cpf-tools/verification/verify_common_product_service_dx.py | cpf-tools/verification/verify_business_framework_crosscut.py | cpf-tools/verification/verify_cpf_developer_adoption_contract.py,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-008.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"CpfCodeService/MessageSource/ParameterService current owner 인식 PASS, old path expectation 0, architecture owner gate와 developer catalog가 동일 owner 사용."
QA4:CPF-QA-230143-009,QA4,CPF-QA-230143-009,P1,Developer Documentation / Public API Catalog,`CPF_PUBLIC_FUNCTION_TOP_100.md`가 없는 Source 경로/메서드를 현재 자동 검증 목록처럼 제공함,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,CPF_PUBLIC_FUNCTION_TOP_100.md (repository generated catalog) | cpf-common public services | cpf-tools reporting/check scripts,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-009.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"check PASS, every listed source/symbol resolvable, old owner path 0, overload/signature 정확, IDE/API reference와 parity."
QA4:CPF-QA-230143-010,QA4,CPF-QA-230143-010,P1,Architecture Verification,동일 Repository의 두 Gradle logical-tree verifier가 `:cpf-common`에 대해 서로 반대 판정을 함,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-tools/verification/verify-cpf-gradle-logical-tree.py | cpf-tools/verification/verify_cpf_gradle_logical_tree.py | settings.gradle,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-010.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"모든 logical-tree entrypoint 동일 결과, cpf-common official owner PASS, contradictory expectation 0."
QA4:CPF-QA-230143-011,QA4,CPF-QA-230143-011,P1,Evidence / Governance,현재 Requirement/Evidence 원장이 이번 최신 Source ZIP이 아니라 이전 `f739...` Source를 baseline으로 완료를 주장함,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-docs/work/REQUIREMENT_STATUS.csv | cpf-docs/deliverables/TEST_AND_EVIDENCE.md | cpf-docs/deliverables/PACKAGE_MANIFEST.json | cpf-docs/deliverables/CPF_DEVELOPMENT_HANDOVER.md,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-011.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"current source identity 1개, commands/exits/logs current run, stale baseline reference 0(역사 기록 제외), unexecuted runtime는 미검증."
QA4:CPF-QA-230143-012,QA4,CPF-QA-230143-012,P1,Requirement Verification,Requirement progress verifier가 현재 ledger schema와 호환되지 않아 `KeyError: analysis`로 crash함,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-tools/verification/verify_requirement_progress.py | cpf-tools/verification/report_requirement_progress.py | cpf-docs/work/REQUIREMENT_STATUS.csv,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-012.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"current real REQUIREMENT_STATUS로 RC0/structured summary, malformed/old schema는 명확한 RC!=0, row/status counts parity."
QA4:CPF-QA-230143-013,QA4,CPF-QA-230143-013,P1,Deletion Safety / Governance,DELETE_MANIFEST의 보호 경로 22건이 내부 `approved=true`만으로 Current Final에서 승인된 삭제처럼 취급됨,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-docs/deliverables/DELETE_MANIFEST.csv | cpf-tools/verification/tools/verify-cpf-current-final.py,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-013.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,protected candidates 존재 가능하나 executable approval 0 until explicit user approval; final gate가 권한 레벨을 구분; delete dry-run이 protected path를 별도 표시.
QA4:CPF-QA-230143-014,QA4,CPF-QA-230143-014,P1,ADM API / OpenAPI Contract,"ADM 위험조치 포함 17개 endpoint가 `@RequestBody Map<String,Object>`를 사용하여 OpenAPI request schema가 사실상 무타입으로 노출됨",완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-admin/src/main/java/com/cpf/admin/opr/** controllers | cpf-admin/frontend/src/generated/cpf-api.ts,cpf-docs/work/evidence/development-22/findings/QA4_CPF-QA-230143-014.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"raw request Map count 0(명시 예외 allowlist 제외), generated request type exact, missing reason/version compile/test fail, 400/409 negative integration tests."
