requirement_id,priority,codex_stage,category,canonical_requirement,owner,title,requirement,source_basis,development_status,verification_status,acceptance_criteria,verification_method,required_evidence,regression_guard,protected_owner_action
QA38-GOV-009,P0,01_CANONICAL,Governance,ARCH-STARTER|DB-FRESH|Requirement Continuity,QA/Governance,Source Defect와 환경 Blocker,환경 부재로 구현 누락을 숨기지 않음,QA 품질,완료,완료,"승인 없는 누락 0, exact SHA와 원장 Crosswalk 100%",Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 작업·과거 Requirement 보호,
QA38-GOV-010,P0,01_CANONICAL,Governance,ARCH-STARTER|DB-FRESH|Requirement Continuity,QA/Governance,Codex Continuity,중단 전 exact 재개 지점·명령·상태 기록,QA37 중단,완료,완료,"승인 없는 누락 0, exact SHA와 원장 Crosswalk 100%",Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 작업·과거 Requirement 보호,
QA38-GOV-011,P0,01_CANONICAL,Governance,ARCH-STARTER|DB-FRESH|Requirement Continuity,QA/Governance,AI 결정 승인 상태,Architecture Decision에 사용자 승인 상태 기록,과거 제외 문제,완료,완료,"승인 없는 누락 0, exact SHA와 원장 Crosswalk 100%",Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 작업·과거 Requirement 보호,
QA38-GOV-012,P0,01_CANONICAL,Governance,ARCH-STARTER|DB-FRESH|Requirement Continuity,QA/Governance,중복·가비지 관리,정본 승격 후 exact allowlist만 정리,사용자 지시,완료,완료,"승인 없는 누락 0, exact SHA와 원장 Crosswalk 100%",Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 작업·과거 Requirement 보호,
QA38-VERIFY-002,P0,01_CANONICAL,Verification,TEST-BROKER|DB-FRESH|ARCH-STARTER,Codex/QA,01_CANONICAL,Canonical 169·62 Backlog·과거 원장 Crosswalk,Git 반영 개발 입력 + QA 독립 판단 stage plan + QA extension,완료,완료,같은 exact SHA·Command Hash·환경·Log·Artifact Hash의 PASS,stage wrapper/execution ledger,command/log/report/artifact SHA; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,과거 SHA·다른 환경 PASS 승계 금지,보호 환경 변경은 Owner 요청으로 분리
QA38-SRC-001,P0,02_STATIC,Source Audit,ARCH-STARTER,QA/Architecture,Dependency Graph,모든 Module·Starter의 direct/transitive dependency와 API 노출,latest source + Git 반영 개발 입력 + QA 독립 판단 summary,완료,완료,미분류 경로·Owner·Consumer 0,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,정적 문자열만으로 완료 금지,
QA38-SRC-002,P0,02_STATIC,Source Audit,ARCH-STARTER,QA/Architecture,Import Graph,Provider SDK/Internal package 직접 참조,latest source + Git 반영 개발 입력 + QA 독립 판단 summary,완료,완료,미분류 경로·Owner·Consumer 0,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,정적 문자열만으로 완료 금지,
QA38-SRC-003,P0,02_STATIC,Source Audit,ARCH-STARTER,QA/Architecture,AutoConfiguration Graph,Imports/Condition/Properties/Bean 충돌·Backoff,latest source + Git 반영 개발 입력 + QA 독립 판단 summary,완료,완료,미분류 경로·Owner·Consumer 0,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,정적 문자열만으로 완료 금지,
QA38-SRC-004,P0,02_STATIC,Source Audit,ARCH-STARTER,QA/Architecture,Consumer Graph,API/SPI/Starter의 실제 Source·Build·Runtime Consumer,latest source + Git 반영 개발 입력 + QA 독립 판단 summary,완료,완료,미분류 경로·Owner·Consumer 0,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,정적 문자열만으로 완료 금지,
QA38-SRC-005,P0,02_STATIC,Source Audit,ARCH-STARTER,QA/Architecture,SQL Graph,Canonical/Generator/Vendor/Mapper/Inline SQL Ownership,latest source + Git 반영 개발 입력 + QA 독립 판단 summary,완료,완료,미분류 경로·Owner·Consumer 0,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,정적 문자열만으로 완료 금지,
QA38-SRC-006,P0,02_STATIC,Source Audit,ARCH-STARTER,QA/Architecture,Generator Graph,Template/Golden/임의 Domain/Profile/Manifest parity,latest source + Git 반영 개발 입력 + QA 독립 판단 summary,완료,완료,미분류 경로·Owner·Consumer 0,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,정적 문자열만으로 완료 금지,
QA38-SRC-007,P0,02_STATIC,Source Audit,ARCH-STARTER,QA/Architecture,Test Graph,Requirement→Unit/Contract/Integration/Runtime/Fault/Browser,latest source + Git 반영 개발 입력 + QA 독립 판단 summary,완료,완료,미분류 경로·Owner·Consumer 0,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,정적 문자열만으로 완료 금지,
QA38-SRC-008,P0,02_STATIC,Source Audit,ARCH-STARTER,QA/Architecture,Artifact Graph,POM/BOM/JAR/WAR/SBOM/Final Content,latest source + Git 반영 개발 입력 + QA 독립 판단 summary,완료,완료,미분류 경로·Owner·Consumer 0,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,정적 문자열만으로 완료 금지,
QA38-SRC-009,P0,02_STATIC,Source Audit,ARCH-STARTER,QA/Architecture,Frontend Graph,ADM/BZA Route/API/Permission/Generated Client,latest source + Git 반영 개발 입력 + QA 독립 판단 summary,완료,완료,미분류 경로·Owner·Consumer 0,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,정적 문자열만으로 완료 금지,
QA38-SRC-010,P0,02_STATIC,Source Audit,ARCH-STARTER,QA/Architecture,Recent Commit Impact,QA37 baseline 이후 전체 Commit의 Source·Docs·Environment 영향,latest source + Git 반영 개발 입력 + QA 독립 판단 summary,완료,완료,미분류 경로·Owner·Consumer 0,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,정적 문자열만으로 완료 금지,
QA38-VERIFY-003,P0,02_STATIC,Verification,TEST-BROKER|DB-FRESH|ARCH-STARTER,Codex/QA,02_STATIC,Source/Dependency/Consumer/SQL/Security/Hygiene,Git 반영 개발 입력 + QA 독립 판단 stage plan + QA extension,완료,완료,같은 exact SHA·Command Hash·환경·Log·Artifact Hash의 PASS,stage wrapper/execution ledger,command/log/report/artifact SHA; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,과거 SHA·다른 환경 PASS 승계 금지,보호 환경 변경은 Owner 요청으로 분리
QA38-CONSUMER-001,P0,03_CORE_STARTER,Consumer Migration,ARCH-STARTER,Product Owner,ADM,ADM가 `security-session/webmvc/http-client/persistence/validation/openapi/observability/operations`를 실제 Build·Source·Config·Runtime에서 사용하고 Provider SDK 직접 참조를 제거한다.,latest source + Git 반영 개발 입력 + QA 독립 판단,완료,미검증,"실제 Consumer와 optional-removal, Route/Permission/Owner 책임 유지",architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,기존 업무·운영 기능 회귀 금지,
QA38-CONSUMER-002,P0,03_CORE_STARTER,Consumer Migration,ARCH-STARTER,Product Owner,BZA,BZA가 `security-session/webmvc/persistence/validation/openapi/notification`를 실제 Build·Source·Config·Runtime에서 사용하고 Provider SDK 직접 참조를 제거한다.,latest source + Git 반영 개발 입력 + QA 독립 판단,완료,미검증,"실제 Consumer와 optional-removal, Route/Permission/Owner 책임 유지",architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,기존 업무·운영 기능 회귀 금지,
QA38-CONSUMER-003,P0,03_CORE_STARTER,Consumer Migration,ARCH-STARTER,Product Owner,Gateway,Gateway가 `resilience/observability/http-client/service-identity`를 실제 Build·Source·Config·Runtime에서 사용하고 Provider SDK 직접 참조를 제거한다.,latest source + Git 반영 개발 입력 + QA 독립 판단,완료,미검증,"실제 Consumer와 optional-removal, Route/Permission/Owner 책임 유지",architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,기존 업무·운영 기능 회귀 금지,
QA38-CONSUMER-004,P0,03_CORE_STARTER,Consumer Migration,ARCH-STARTER,Product Owner,Batch,Batch가 `messaging provider/reliability/http-client/service-identity/observability`를 실제 Build·Source·Config·Runtime에서 사용하고 Provider SDK 직접 참조를 제거한다.,latest source + Git 반영 개발 입력 + QA 독립 판단,완료,미검증,"실제 Consumer와 optional-removal, Route/Permission/Owner 책임 유지",architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,기존 업무·운영 기능 회귀 금지,
QA38-CONSUMER-005,P0,03_CORE_STARTER,Consumer Migration,ARCH-STARTER,Product Owner,Reference,Reference가 `Rabbit/JMS/TCP/SFTP 등 실제 Starter EDU Profile`를 실제 Build·Source·Config·Runtime에서 사용하고 Provider SDK 직접 참조를 제거한다.,latest source + Git 반영 개발 입력 + QA 독립 판단,완료,미검증,"실제 Consumer와 optional-removal, Route/Permission/Owner 책임 유지",architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,기존 업무·운영 기능 회귀 금지,
QA38-CONSUMER-006,P0,03_CORE_STARTER,Consumer Migration,ARCH-STARTER,Product Owner,cpf-member,cpf-member가 `Generator resolved Starter Golden`를 실제 Build·Source·Config·Runtime에서 사용하고 Provider SDK 직접 참조를 제거한다.,latest source + Git 반영 개발 입력 + QA 독립 판단,완료,미검증,"실제 Consumer와 optional-removal, Route/Permission/Owner 책임 유지",architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,기존 업무·운영 기능 회귀 금지,
QA38-CONSUMER-007,P0,03_CORE_STARTER,Consumer Migration,ARCH-STARTER,Product Owner,Generated Domain,Generated Domain가 `Leaf/Profile/Aggregate 선택과 user-owned 보호`를 실제 Build·Source·Config·Runtime에서 사용하고 Provider SDK 직접 참조를 제거한다.,latest source + Git 반영 개발 입력 + QA 독립 판단,완료,미검증,"실제 Consumer와 optional-removal, Route/Permission/Owner 책임 유지",architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,기존 업무·운영 기능 회귀 금지,
QA38-CONSUMER-008,P0,03_CORE_STARTER,Consumer Migration,ARCH-STARTER,Product Owner,Customer Plugin,Customer Plugin가 `IBM MQ/SMS/기관 Provider SPI fixture`를 실제 Build·Source·Config·Runtime에서 사용하고 Provider SDK 직접 참조를 제거한다.,latest source + Git 반영 개발 입력 + QA 독립 판단,완료,미검증,"실제 Consumer와 optional-removal, Route/Permission/Owner 책임 유지",architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,기존 업무·운영 기능 회귀 금지,
QA38-EXISTING-001,P0,03_CORE_STARTER,Existing Starter,ARCH-STARTER,Starter Owner,Security,Session JDBC/Resource Server/Service Identity 분리; ADM/BZA Route 정책 Product 이관,latest settings/source review,완료,미검증,실제 Consumer·Failure·Security·Operations·Publication·optional-removal,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,현재 7개 Starter 성공 기능 보호,
QA38-EXISTING-002,P0,03_CORE_STARTER,Existing Starter,ARCH-STARTER,Starter Owner,Kafka,Consumer/Listener/Offset/Rebalance/DLT/Operations 완성; Batch 직접 Kafka 이관,latest settings/source review,완료,미검증,실제 Consumer·Failure·Security·Operations·Publication·optional-removal,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,현재 7개 Starter 성공 기능 보호,
QA38-EXISTING-003,P0,03_CORE_STARTER,Existing Starter,ARCH-STARTER,Starter Owner,Cache,Caffeine와 Valkey/Redis 분리; Common 기술 Runtime 제거,latest settings/source review,완료,미검증,실제 Consumer·Failure·Security·Operations·Publication·optional-removal,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,현재 7개 Starter 성공 기능 보호,
QA38-EXISTING-004,P0,03_CORE_STARTER,Existing Starter,ARCH-STARTER,Starter Owner,Observability,Observation과 OTLP Exporter 분리; collector 장애 격리,latest settings/source review,완료,미검증,실제 Consumer·Failure·Security·Operations·Publication·optional-removal,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,현재 7개 Starter 성공 기능 보호,
QA38-EXISTING-005,P0,03_CORE_STARTER,Existing Starter,ARCH-STARTER,Starter Owner,Resilience,timeout/retry/time-limiter/bulkhead/rate/backpressure/unknown-result,latest settings/source review,완료,미검증,실제 Consumer·Failure·Security·Operations·Publication·optional-removal,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,현재 7개 Starter 성공 기능 보호,
QA38-EXISTING-006,P0,03_CORE_STARTER,Existing Starter,ARCH-STARTER,Starter Owner,Feature Flag,Provider lifecycle/secure override/audit/multi-instance/actual consumer,latest settings/source review,완료,미검증,실제 Consumer·Failure·Security·Operations·Publication·optional-removal,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,현재 7개 Starter 성공 기능 보호,
QA38-EXISTING-007,P0,03_CORE_STARTER,Existing Starter,ARCH-STARTER,Starter Owner,Secret,Provider catalog/local-dev vs product fail-closed/rotation/revocation/health,latest settings/source review,완료,미검증,실제 Consumer·Failure·Security·Operations·Publication·optional-removal,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,현재 7개 Starter 성공 기능 보호,
QA38-GROUP-001,P0,03_CORE_STARTER,Starter Group/Generator,ARCH-STARTER,Starter Architecture/Generator,Leaf Naming,cpf-starter-<capability>-<provider>와 가독성 있는 package,Git 반영 개발 입력 + QA 독립 판단 group design + QA extension,완료,미검증,Profile/Build/Manifest/Artifact/Runtime 양방향 일치,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,Mega Starter·silent transitive change 금지,
QA38-GROUP-002,P0,03_CORE_STARTER,Starter Group/Generator,ARCH-STARTER,Starter Architecture/Generator,Base Starter,"Core+최소 Boot만 조립, Web/DB/Broker 자동 포함 금지",Git 반영 개발 입력 + QA 독립 판단 group design + QA extension,완료,미검증,Profile/Build/Manifest/Artifact/Runtime 양방향 일치,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,Mega Starter·silent transitive change 금지,
QA38-GROUP-003,P0,03_CORE_STARTER,Starter Group/Generator,ARCH-STARTER,Starter Architecture/Generator,Capability Profile,Use-case→승인 Leaf Starter 목록,Git 반영 개발 입력 + QA 독립 판단 group design + QA extension,완료,미검증,Profile/Build/Manifest/Artifact/Runtime 양방향 일치,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,Mega Starter·silent transitive change 금지,
QA38-GROUP-004,P0,03_CORE_STARTER,Starter Group/Generator,ARCH-STARTER,Starter Architecture/Generator,Aggregate Starter,"전이 Dependency만 제공, Source/Bean/Policy 금지",Git 반영 개발 입력 + QA 독립 판단 group design + QA extension,완료,미검증,Profile/Build/Manifest/Artifact/Runtime 양방향 일치,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,Mega Starter·silent transitive change 금지,
QA38-GROUP-005,P0,03_CORE_STARTER,Starter Group/Generator,ARCH-STARTER,Starter Architecture/Generator,Resolved Lock,resolvedStarters·Profile Version·Artifact Version,Git 반영 개발 입력 + QA 독립 판단 group design + QA extension,완료,미검증,Profile/Build/Manifest/Artifact/Runtime 양방향 일치,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,Mega Starter·silent transitive change 금지,
