requirement_id,priority,implementation_stage,owner_module,title,requirement,source_defect_ids,implementation_scope,acceptance_criteria,required_tests,required_evidence,depends_on,status
QA39-SELF-011,P0,02_OWNERSHIP,cpf-batch,Batch Runtime 의존 범위 교정,Runtime Profile을 실제 Batch executable subproject에만 적용한다.,QA39-DEF-009,contract/runtime-common/execution/scheduler/worker/testkit dependency cleanup,contract/testkit runtimeClasspath에 Event/Scheduler Profile이 없다.,dependencyInsight; POM assertions; build,batch graph evidence,QA39-SELF-006,미구현
QA39-SELF-012,P0,03_GENERATOR,Generator,Provider Binding 실제 Dependency Resolution,"ProviderBindings가 생성 build.gradle, resolvedStarters, lock, manifest를 실제로 변경하도록 구현한다.",QA39-DEF-010,"profile resolver, allowed capability matrix, fail-closed",Profile×Provider 선택 결과의 dependency/manifest가 일치하며 capability 없는 binding은 실패한다.,generated fixture matrix positive/negative,generator fixture hashes,QA39-SELF-004,미구현
QA39-SELF-013,P0,04_VERIFICATION,QA/Tooling,False-Green Gate 교체,파일 존재 중심 QA38 Gate를 Repository discovery와 실제 compile 중심 Gate로 교체한다.,QA39-DEF-011,"module discovery, classpath, bean consumer, BOM POM, test existence",확인된 39개 결함 중 자동화 가능한 결함이 모두 탐지된다.,mutation/broken fixtures,gate contract evidence,QA39-SELF-003;QA39-SELF-006,미구현
QA39-SELF-014,P0,04_VERIFICATION,All Modules,Java 25 Fresh 전체 Build/Test,저비용 Gate 성공 후 Java 25 fresh cache 전체 Build와 Test를 한 번 실행한다.,QA39-DEF-014,all projects and test tasks,compile/test exit 0; skipped/disabled test 정당화; working tree clean,./gradlew clean build with fresh GRADLE_USER_HOME,full build logs and artifact hashes,QA39-SELF-003..013,미구현
QA39-SELF-015,P0,04_VERIFICATION,Build/Release,전체 Publication/BOM Consumer 검증,모든 Public Artifact와 BOM을 publish하고 외부 Consumer에서 resolve한다.,QA39-DEF-002;QA39-DEF-003;QA39-DEF-038,maven local/staging publication and consumer fixture,"Catalog publicationRequired artifact 누락 0, POM version error 0",publishAllPublications; consumer compile,"repository listing, POM/BOM hashes",QA39-SELF-014,미구현
QA39-SELF-016,P1,05_TEST_COMPLETION,Starter Owners,Leaf Test 0개 제거,Product Java가 있는 18개 Leaf Module에 정상·오류·경계·복구 Test를 추가한다.,QA39-DEF-016,module-specific unit/context/integration tests,각 Leaf 최소 Scenario Matrix와 negative test 보유,module test suite,test matrix/evidence,QA39-SELF-014,미구현
QA39-SELF-017,P1,05_TEST_COMPLETION,QA/Tooling,Core-only 실제 Consumer Fixture,Core-only 애플리케이션을 실제 boot하고 optional runtime classpath 누수를 차단한다.,QA39-DEF-015,standalone application and dependency lock,core-only runtimeClasspath에 forbidden provider/Spring/JDBC leakage 0,clean build and boot,dependency report,QA39-SELF-014,미구현
QA39-SELF-018,P1,06_DB,DB/Starter Owners,3 Vendor Lifecycle 정본,신규 Starter DB Pack에 install/upgrade/rollback/reapply/conflict 정본을 완성한다.,QA39-DEF-017;QA39-DEF-036,MariaDB/PostgreSQL/Oracle canonical migration paths,세 Vendor 의미 parity와 실제 lifecycle exit 0,fresh/upgrade/rollback/reapply/conflict,vendor evidence,QA39-SELF-014,미구현
QA39-SELF-019,P1,07_INTEGRATION,Integration SFTP,SFTP 상용 Runtime 완결,SecretRef/KnownHosts/Key auth/real health/resume/checksum/ledger recovery를 구현한다.,QA39-DEF-018,"SFTP client, properties, ledger, health, operations",부분 전송·응답 유실·재기동·다중 인스턴스에서 중복/유실 없이 복구한다.,SFTP fixture + fault tests,runtime/fault evidence,QA39-SELF-016;QA39-SELF-018,미구현
QA39-SELF-020,P1,07_INTEGRATION,Integration TCP,TCP Transport Lifecycle 완결,"Correlation, heartbeat, reconnect, persistent unknown-result, TLS identity, drain을 실제 Client/Server에 연결한다.",QA39-DEF-019,TCP runtime and operations,response reorder/orphan/timeout/half-open/kill/reconcile 시나리오 통과,Toxiproxy + multi-instance,fault evidence,QA39-SELF-016,미구현
QA39-SELF-021,P1,07_INTEGRATION,Notification,Notification Outbox Recovery,"Vendor-safe claim/lease/reaper, unknown reconcile, persisted preference, canonical JSON을 구현한다.",QA39-DEF-020,notification core runtime and DB,Worker kill·lease expiry·duplicate·DLQ replay에서 중복/유실 없음,3 vendor integration/fault tests,notification evidence,QA39-SELF-016;QA39-SELF-018,미구현
QA39-SELF-022,P1,07_INTEGRATION,Notification Email,Email Provider 완결,Template/HTML/Attachment/Bounce/DSN/Unknown Result reconciliation을 구현한다.,QA39-DEF-021,email provider and callback state,accept/reject/timeout/bounce/attachment 시나리오 상태가 추적된다.,SMTP fixture,email evidence,QA39-SELF-021,미구현
QA39-SELF-023,P1,07_INTEGRATION,Notification SMS,SMS Shared Runtime,SPI 위에 공유 Idempotency/Rate/Receipt/Callback/Reconcile Runtime을 구현한다.,QA39-DEF-022,new provider runtime starter and DB/cache,restart/multi-instance/callback replay에서 중복 발송 없음,SMS provider fixture,sms evidence,QA39-SELF-021,미구현
QA39-SELF-024,P1,08_SECURITY,Security,Resource Server fail-closed,"Audience 필수, clock skew 적용, JWK readiness/rotation을 구현한다.",QA39-DEF-023,resource server properties/decoder/health,empty audience/wrong audience/expired/key outage가 정확히 차단된다.,security integration tests,security evidence,QA39-SELF-016,미구현
QA39-SELF-025,P1,08_SECURITY,Security,Service Identity Secret/Replay,"SecretRef와 nonce replay protection, key rotation/audit를 구현한다.",QA39-DEF-024,service identity runtime and shared replay store,동일 nonce 재사용이 multi-instance/restart 후에도 차단된다.,replay/rotation tests,identity evidence,QA39-SELF-016;QA39-SELF-018,미구현
QA39-SELF-026,P1,07_INTEGRATION,Integration FTPS,FTPS 정식 Product화,"Settings/BOM/Catalog 등록 후 endpoint hostname verification, SecretRef, fault tests를 구현한다.",QA39-DEF-001;QA39-DEF-025,ftps module closure,wrong hostname/untrusted cert/auth fail/large file 시나리오 통과,FTPS fixture,FTPS evidence,QA39-SELF-003;QA39-SELF-016,미구현
QA39-SELF-027,P1,07_INTEGRATION,Integration gRPC,gRPC 정식 Product화,"TLS/mTLS, typed stub, streaming/backpressure/status/unknown policy를 구현한다.",QA39-DEF-001;QA39-DEF-026,grpc module closure,unary/client/server/bidi streaming과 fault 시나리오 통과,gRPC fixture,gRPC evidence,QA39-SELF-003;QA39-SELF-016,미구현
QA39-SELF-028,P1,07_INTEGRATION,Integration Object Storage,Object Storage 정식 Product화,"Provider-neutral SPI, credential ref, multipart/resume/checksum/pagination/compensation을 구현한다.",QA39-DEF-001;QA39-DEF-027,S3-compatible adapter,대용량/부분 copy/timeout/권한/duplicate 복구 통과,S3 fixture,object storage evidence,QA39-SELF-003;QA39-SELF-016,미구현
QA39-SELF-029,P1,07_INTEGRATION,Integration SMB,SMB 정식 Product화,"SecretRef, bounded temp streaming, checksum/resume/reconcile를 구현한다.",QA39-DEF-001;QA39-DEF-028,SMB module closure,부분 파일·대용량·disconnect·restart 시나리오 통과,SMB fixture,SMB evidence,QA39-SELF-003;QA39-SELF-016,미구현
QA39-SELF-030,P1,07_INTEGRATION,Integration SOAP,SOAP 정식 Product화,"WSDL generated client, transport timeout, WS-Security, typed fault를 구현한다.",QA39-DEF-001;QA39-DEF-029,SOAP module closure,contract/fault/timeout/signature/cert scenario 통과,SOAP fixture,SOAP evidence,QA39-SELF-003;QA39-SELF-016,미구현
QA39-SELF-031,P1,07_INTEGRATION,Integration Webhook,Webhook Delivery Runtime,"SecretRef, idempotent enqueue, lease/retry/DLQ/reconcile를 구현한다.",QA39-DEF-001;QA39-DEF-030,webhook module closure and DB lifecycle,duplicate/429/500/response loss/kill/rotation scenario 통과,HTTP fault fixture,webhook evidence,QA39-SELF-003;QA39-SELF-016;QA39-SELF-018,미구현
QA39-SELF-032,P1,07_INTEGRATION,Integration Realtime,Realtime 정식 Product화,"bounded retry, resume cursor, session registry, auth rotation, scale-out를 구현한다.",QA39-DEF-001;QA39-DEF-031,SSE/WebSocket module closure,disconnect/token expiry/backpressure/scale-out scenario 통과,realtime fixture,realtime evidence,QA39-SELF-003;QA39-SELF-016,미구현
QA39-SELF-033,P1,09_MESSAGING,Messaging,Kafka/Rabbit/JMS/IBM MQ 양방향 완결,각 Provider producer+consumer+ACK/commit/redelivery/DLQ/reconcile/operations를 구현한다.,QA39-DEF-032,provider runtimes and reliability bridge,Provider별 Scenario Matrix 전부 통과,broker fixtures/fault tests,messaging evidence,QA39-SELF-009;QA39-SELF-016,미구현
QA39-SELF-034,P1,09_MESSAGING,Messaging,Named Binding/Bridge 실제 실행,다중 Provider Named Binding과 Bridge/Migration을 실제 Broker 조합에서 검증한다.,QA39-DEF-010;QA39-DEF-032,"routing, ambiguity, schema quarantine",모호성 fail-closed와 named routing/bridge 상태 추적,Kafka+Rabbit/JMS integration,binding evidence,QA39-SELF-012;QA39-SELF-033,미구현
QA39-SELF-035,P1,10_SCHEDULER,Scheduler Quartz,Quartz JDBC Cluster Runtime,"3 Vendor JDBC JobStore, fencing, misfire, recovery, operations를 구현한다.",QA39-DEF-033,quartz config/schema/health/admin,2-instance process kill/misfire/DB outage recovery 통과,3 vendor scheduler integration,scheduler evidence,QA39-SELF-016;QA39-SELF-018,미구현
QA39-SELF-036,P1,02_OWNERSHIP,Architecture,Starter Internal Package 경계,com.cpf.core.common 호환 Package와 Starter internal 구현을 단계적으로 분리한다.,QA39-DEF-034,"API facade, deprecation, internal package migration","외부 module의 internal import 0, binary/source compatibility 계획 존재",jdeps/API compatibility,boundary evidence,QA39-SELF-014,미구현
QA39-SELF-037,P1,11_CONSUMERS,Consumer Owners,실제 Consumer 연결,ADM/BZA/GW/BAT/Reference/Member/Generated Domain/Plugin Fixture가 실제 Starter Bean을 소비하도록 연결한다.,QA39-DEF-035,source endpoint/job/screen/client wiring,각 Consumer boot 및 대표 capability scenario 통과,module integration/OpenAPI/route,consumer evidence,QA39-SELF-014;QA39-SELF-016,미구현
QA39-SELF-038,P1,11_CONSUMERS,ADM/BZA,운영 화면 완결,Messaging/TCP/SFTP/Notification의 조회·승인·재처리·감사 화면과 Generated Client를 연결한다.,QA39-DEF-037,backend OpenAPI + frontend routes/state/screens,"401/403/404/409/429/500/503, accessibility, responsive, dangerous action confirmation 통과",npm ci/lint/typecheck/unit/build/Playwright 3 browser,frontend evidence,QA39-SELF-037,미구현
QA39-SELF-039,P1,12_SUPPLY_CHAIN,Build/Release,Supply-chain 완결,SBOM/Vulnerability/License/Artifact Hash를 전체 Publication 결과와 연결한다.,QA39-DEF-038,all public artifacts and BOM,"Catalog와 published artifacts 1:1, critical vulnerability/license blocker 0",supply-chain gates,SBOM/license/vuln/hash evidence,QA39-SELF-015,미구현
QA39-SELF-040,P1,00_TRUTH_RESET,QA/Tooling,Merge-aware Overlay 적용,비중첩 변경은 보존하고 겹침은 preimage hash와 hunk 단위로 안전하게 처리한다.,QA39-DEF-039,apply script/preflight/merge handoff,"전체 Working Tree 차단과 무조건 덮어쓰기 모두 제거, 충돌 유실 0",concurrent edit fixtures,apply evidence,QA39-SELF-002,미구현
QA39-SELF-041,P1,04_VERIFICATION,QA/Tooling,Properties Consumer Gate,Typed Property의 각 필드가 실제 Runtime에서 사용되는지 검사한다.,QA39-DEF-007;QA39-DEF-018;QA39-DEF-019;QA39-DEF-023;QA39-DEF-025;QA39-DEF-029,AST/property binding to consumer audit,미사용 보안/timeout/retry property 0,mutation tests,property-consumer matrix,QA39-SELF-013,미구현
QA39-SELF-042,P1,04_VERIFICATION,QA/Tooling,Bean/Consumer Liveness Gate,"Product implementation과 AutoConfiguration Bean, 실제 Consumer 연결을 역추적한다.",QA39-DEF-008;QA39-DEF-035,class→bean→consumer graph,Dead Product implementation/Consumer 없는 interface 0,ContextRunner and graph audit,bean-consumer matrix,QA39-SELF-013,미구현
QA39-SELF-043,P0,13_FINAL_GATE,Governance/QA,완료 지연 Gate,필수 검증이 끝나기 전 완료 상태와 최종 완료 보고를 차단한다.,QA39-DEF-011;QA39-DEF-013;QA39-DEF-014,matrix writer validation and final report gate,부분 구현/미구현/실패/미검증이 하나라도 있으면 Project 완료 선언 불가,truth gate test,final status evidence,QA39-SELF-001..042,미구현
QA39-SELF-044,P0,13_FINAL_GATE,All Owners,Codex 독립 통합 검수,저비용 Gate→Build→Frontend→DB→Runtime→Supply-chain 순서로 각 대형 검증을 한 번씩 실행한다.,ALL,self-contained Codex request and remediation boundary,Source Defect와 Environment Blocker를 분리하고 임의 재설계 없이 전체 결과 수집,independent validation,Codex report and exact-SHA evidence,QA39-SELF-043,미구현
