id,requirement_id,root_cause,priority,source_identity,scope,codex_status,source_changed,test_or_verifier,runtime,evidence,blocked_external,rerun_condition,final_note
CX-F-009,REL-BUILD,RUNTIME_CONTROL_STATIC_STATE_NORMALIZERS_CALL_INSTANCE_BLANK_HELPER,P0,bcf330303120f8e00638612da2c3fdb427b39bf4873d4dd227cb79050c925475,"Product runtime-control compilation reached through standalone EXS",VERIFICATION_PENDING,true,".\\gradlew.bat -p .\\cpf-external --no-daemon :online:compileJava -PcpfProductCompositeRoot=<workspace>; :internal:platform-operations:runtime-control:test","Java 25.0.3; Gradle 9.1.0; Windows x64; standalone EXS Product composite","cpf-docs/work/evidence/codex/current/CX-01-EXS-STANDALONE-COMPILE-ATTEMPT2.json; cpf-docs/work/evidence/codex/current/CX-01-RUNTIME-CONTROL-STATIC-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-RUNTIME-CONTROL-TEST-ATTEMPT1.json; C:\\Users\\fly10\\Downloads\\cpf-codex-exs-standalone-compile-20260822-1217.log",false,"Close CX-F-010 and run standalone EXS/MBR plus full Root gates","Main and test Java compilation PASS; suite reached one independent security-boundary failure"
CX-F-010,SEC-BOUNDARY,RUNTIME_CONTROL_FAILURE_RESULT_DOES_NOT_ENFORCE_MESSAGE_LENGTH_AT_CONSTRUCTION_BOUNDARY,P0,baa3bddaa711ad9f4714e5dc3fd385af33aa2fccc9d25b7d3633320e7836e3ab,"Runtime-control public failure message sanitization",VERIFICATION_PENDING,true,".\\gradlew.bat --no-daemon :internal:platform-operations:runtime-control:test","Java 25.0.3; Gradle 9.1.0; Windows x64","cpf-docs/work/evidence/codex/current/CX-01-RUNTIME-CONTROL-TEST-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-RUNTIME-FAILURE-BOUNDARY-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-RUNTIME-CONTROL-TEST-RERUN.json",false,"Run standalone generated and exact full Root gates","Unchanged security test and all 6 runtime-control tests PASS; broader impact verification pending"
CX-F-011,REL-BUILD,OBSERVABILITY_LOGGING_ASPECT_IMPORTS_NONEXISTENT_RENAMED_SYSTEM_CODE_API,P0,ffa7b87a2e51a8c0106fa56bd43dea4755db55a02342d1dc07545784fe0af1cd,"Product observability compilation reached through standalone EXS",VERIFICATION_PENDING,true,".\\gradlew.bat -p .\\cpf-external --no-daemon :online:compileJava -PcpfProductCompositeRoot=<workspace>; :framework:operations:observability:test","Java 25.0.3; Gradle 9.1.0; Windows x64; standalone EXS Product composite","cpf-docs/work/evidence/codex/current/CX-01-EXS-STANDALONE-COMPILE-ATTEMPT3.json; cpf-docs/work/evidence/codex/current/CX-01-OBSERVABILITY-SYSTEM-CODE-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-OBSERVABILITY-TEST-ATTEMPT1.json; C:\\Users\\fly10\\Downloads\\cpf-codex-exs-standalone-compile-20260822-1223.log",false,"Close later observability compile findings and run observability/standalone/full gates","Canonical CpfSystemCodes import compiled successfully; later independent errors prevent module completion"
CX-F-012,OBSERVABILITY,LOGGING_ASPECT_ASSUMES_INSTANCE_TOKEN_FIELD_INSTEAD_OF_CANONICAL_TRANSACTION_ID_DERIVATION,P0,dd50b42190ee10f405b12dab0bbe6599338dec8678cbc02dafea7c7c6ebf831b,"Automatic runtime identity metadata on transaction logs",VERIFICATION_PENDING,true,".\\gradlew.bat --no-daemon :framework:base-runtime:test :framework:operations:observability:test; TransactionLogRecord and canonical transaction API inspection","Java 25.0.3; Gradle 9.1.0; Windows x64","cpf-docs/work/evidence/codex/current/CX-01-OBSERVABILITY-TEST-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-OBSERVABILITY-API-DRIFT-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-BASE-OBSERVABILITY-TEST-ATTEMPT1.json",false,"Close CX-F-013; rerun observability tests and standalone/full gates","Base-runtime extraction tests and observability main compile PASS; observability test compilation blocked by independent harness defect"
CX-F-013,TEST-EVIDENCE,DIRECT_SPRING_ENVIRONMENT_TEST_HARNESSES_EMULATE_EVOLVING_INTERFACE_INCOMPLETELY,P0,04a9612e2050b15a1adc44fdd510b9dbbcb155241dc870a0ae4036fcb6005e4e,"Observability/security-secret/integration-resilience Java test compilation",CLOSED,true,"Affected module test runs; full direct Environment implementation search","Java 25.0.3; Gradle 9.1.0; Spring dependencies from Root","cpf-docs/work/evidence/codex/current/CX-01-BASE-OBSERVABILITY-TEST-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-ENVIRONMENT-HARNESS-SCOPE-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-ENVIRONMENT-HARNESS-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-AFFECTED-HARNESS-TEST-ATTEMPT2.json; cpf-docs/work/evidence/codex/current/CX-01-SPRING-MOCK-ENVIRONMENT-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-AFFECTED-HARNESS-TEST-ATTEMPT3.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-TEST-ATTEMPT2.json",false,"Reopen only if a direct Environment-emulation or equivalent Spring contract failure recurs","All four maintained MockEnvironment harnesses compile; observability/security tests pass and resilience reaches 13 executed tests with unrelated behavior failures"
CX-F-014,REL-BUILD,INTEGRATION_RESILIENCE_MISSING_DIRECT_DATA_LOCK_AND_SPRING_JDBC_TX_DEPENDENCIES,P0,91033610d9546a775a4933dc9fe628bf71ec322cfbd1346dcc60d91d3bc10ba1,"integration:resilience main Java compile dependency boundary",VERIFICATION_PENDING,true,":internal:integration:resilience:compileJava; module dependency and import ownership inspection; logical-tree regression","Java 25.0.3; Gradle 9.1.0; Windows x64","cpf-docs/work/evidence/codex/current/CX-01-AFFECTED-HARNESS-TEST-ATTEMPT3.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-DEPENDENCY-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-DEPENDENCY-REGRESSION.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-TEST-ATTEMPT1.json",false,"Repair independent CX-F-015; rerun module tests; then standalone generated and full Root gates","Logical-tree regression PASS 4/4 and actual resilience main Java compile PASS; test dependency fails independently"
CX-F-015,PUBLIC-API,TESTKIT_FAULT_ASPECT_USES_OBSOLETE_ONLINE_TRANSACTION_ID_ACCESSOR,P0,04a9612e2050b15a1adc44fdd510b9dbbcb155241dc870a0ae4036fcb6005e4e,"cpf-testkit fault injection aspect compilation used by resilience tests",VERIFICATION_PENDING,true,":internal:testing:testkit:compileJava; complete Product Source accessor search; logical-tree regression","Java 25.0.3; Gradle 9.1.0; Windows x64","cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-TEST-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-ONLINE-TRANSACTION-ACCESSOR-SCOPE.json; cpf-docs/work/evidence/codex/current/CX-01-TESTKIT-ACCESSOR-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-TESTKIT-ACCESSOR-REGRESSION.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-TEST-ATTEMPT2.json",false,"Run standalone generated and exact Root gates","Regression PASS 5/5 and actual Java 25 testkit main compile PASS; resilience suite reached unrelated behavior failures"
CX-F-016,TEST-EVIDENCE,RESILIENCE_ENGINE_JUNIT_HARNESSES_LAG_CONTEXT_AND_EXPLICIT_UNKNOWN_AUDIT_CONTRACTS,P0,e1fb1ad12fae34d3bc29e87d711c9186d789b13bd314da1f411f0aef47404265,"integration-resilience engine retry/rate/unknown/audit behavior harnesses",CLOSED,true,":internal:integration:resilience:test; JUnit XML; engine/test support/core-safety inspection","Java 25.0.3; Gradle 9.1.0; Windows x64","cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-TEST-ATTEMPT2.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-FAILURE-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-CONTEXT-HARNESS-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-TEST-ATTEMPT3.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-AUDIT-SEMANTICS-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-AUDIT-HARNESS-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-TEST-RERUN.json",false,"Reopen if context/audit harness contracts regress","BUILD SUCCESSFUL; all 15 resilience tests PASS without skip or weakened Product boundary"
CX-F-017,TEST-EVIDENCE,JDBC_POLICY_STORE_MOCKITO_HARNESS_ASSUMES_NESTED_VARARGS_ARRAY,P0,9f1eea6d0b93a8725d063e2295280fe83a9ad217c376f5c98c65a4f0d84e4788,"JDBC resilience policy store request/reject binding contracts",CLOSED,true,":internal:integration:resilience:test; JUnit XML and JDBC store/harness inspection","Java 25.0.3; Gradle 9.1.0; Windows x64","cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-TEST-ATTEMPT2.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-FAILURE-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-CONTEXT-HARNESS-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-TEST-ATTEMPT3.json",false,"Reopen if JDBC binding/sanitization contracts fail under the supported dependency set","Both unchanged semantic assertions PASS under current Mockito; 14/15 overall module tests pass"
CX-F-018,INTEGRATION,SCHEDULED_RECOVERED_LINEAGE_RECONCILIATION_REQUIRES_ABSENT_CURRENT_CONTEXT,P0,e1fb1ad12fae34d3bc29e87d711c9186d789b13bd314da1f411f0aef47404265,"UNKNOWN reconciliation scheduled worker through resilience engine",VERIFICATION_PENDING,true,"Source trace; normal execute negative regression; contextless canonical reconcile positive regression; module/broader gates","Java 25.0.3; Gradle 9.1.0; Windows x64","cpf-docs/work/evidence/codex/current/CX-01-RECONCILIATION-CONTEXT-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-CONTEXT-HARNESS-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-TEST-ATTEMPT3.json; cpf-docs/work/evidence/codex/current/CX-01-RESILIENCE-TEST-RERUN.json",false,"Run actual worker/standalone/full gates","Positive/negative boundary tests and all 15 resilience module tests PASS; actual worker and broader gates remain"
CX-F-019,REL-BUILD,INTEGRATION_HTTP_MISSING_DIRECT_RESILIENCE_FIXED_LENGTH_JDBC_TX_DEPENDENCIES_AND_CLIENT_REQUEST_IMPORT,P0,7ae966764efcd70e497a0b41bc49b84026013fc7e052ea04eb42b8c13f648352,"integration:http main Java compile reached from standalone EXS",VERIFICATION_PENDING,true,"Zero-footprint mutation self-test; framework integration/fixed-length/http compile and tests; standalone EXS compile; broader gates","Java 25.0.3; Gradle 9.1.0; Windows x64; Product composite","cpf-docs/work/evidence/codex/current/CX-01-EXS-STANDALONE-COMPILE-ATTEMPT4.json; cpf-docs/work/evidence/codex/current/CX-01-INTEGRATION-HTTP-DEPENDENCY-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-INTEGRATION-HTTP-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-NXT-ZERO-FOOTPRINT-RERUN.json; cpf-docs/work/evidence/codex/current/CX-01-INTEGRATION-TARGETED-TEST-ATTEMPT2.json; cpf-docs/work/evidence/codex/current/CX-01-INTEGRATION-HTTP-MAP-IMPORT-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-HTTP-TEST-ATTEMPT1.json",false,"Close independent CX-F-021; rerun HTTP and standalone EXS/Root gates","HTTP main/test compile succeeds; dependency/import ownership and optional closure verified"
CX-F-020,INTEGRATION,DOMAIN_CLIENT_ROUTER_LOCAL_OPERATION_SELECTION_TEST_FAILURE,P0,ca248b411fafed1df26eb46f7f712da692b412534786ec5caa270a845138fc11,"framework:integration CpfDomainClientRouter local/remote selection",CLOSED,true,"Focused positive/negative router test and framework:integration module tests","Java 25.0.3; Gradle 9.1.0; Windows x64","cpf-docs/work/evidence/codex/current/CX-01-INTEGRATION-TARGETED-TEST-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-DOMAIN-ROUTER-CONTEXT-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-DOMAIN-ROUTER-HARNESS-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-INTEGRATION-TARGETED-TEST-ATTEMPT2.json",false,"Reopen if canonical local routing or missing-context fail-close regresses","All 6 affected module tests PASS; production fail-close unchanged"
CX-F-021,INTEGRATION,EXTERNAL_INSTITUTION_RUNTIME_APPLIER_TWO_BEHAVIOR_TEST_FAILURES,P0,646a8143b688176b1477cf0d3a0cdc502342588903a0224608fc62c829d8ff3c,"HTTP external-institution layout validation, DNS policy, and versioned endpoint snapshot atomicity",CLOSED,true,"Positive/negative external-institution tests and full HTTP module tests","Java 25.0.3; Gradle 9.1.0; Windows x64","cpf-docs/work/evidence/codex/current/CX-01-HTTP-TEST-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-EXTERNAL-INSTITUTION-DNS-POLICY-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-EXTERNAL-INSTITUTION-DNS-HARNESS-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-HTTP-TEST-RERUN.json",false,"Reopen if DNS policy or snapshot atomicity regresses","BUILD SUCCESSFUL; all 17 HTTP tests PASS with Production network fail-close unchanged"
CX-F-022,REL-BUILD,DATA_JDBC_AUTO_CONFIGURATION_DUPLICATE_NON_REPEATABLE_SINGLE_CANDIDATE_CONDITION,P0,dadb9db7cc19b467456962e9139d1529b39c344feb682fcb5aedb6be1e51985a,"starters:data:jdbc auto-configuration compile and bean selection",CLOSED,true,"Single/ambiguous candidate context tests; full data-jdbc module tests; standalone EXS compile","Java 25.0.3; Gradle 9.1.0; Windows x64; Product composite","cpf-docs/work/evidence/codex/current/CX-01-EXS-STANDALONE-COMPILE-ATTEMPT5.json; cpf-docs/work/evidence/codex/current/CX-01-DATA-JDBC-SINGLE-CANDIDATE-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-DATA-JDBC-SINGLE-CANDIDATE-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-DATA-JDBC-TEST-RERUN.json; cpf-docs/work/evidence/codex/current/CX-01-EXS-BOUNDED-MEMORY-DIAGNOSTIC.json",false,"Reopen if data-jdbc candidate selection or standalone consumer compilation regresses","All 12 module tests and original standalone EXS compile path pass"
CX-F-023,REL-BUILD,STANDALONE_GRADLE_ROOTS_OMIT_REPOSITORY_MEMORY_CEILING,P0,5868c3d51f28e070b9241d47aded4589d86ba950131f509c813dc551b5cec473,"Java 25 standalone generated/prebuilt/public Gradle roots",CLOSED,true,"hs_err analysis; bounded reproduction; Generator/current-output regression; ownership validation; unoverridden standalone EXS/MBR compile","Java 25.0.3; Gradle 9.1.0; Windows x64; 32GB RAM; 6GB pagefile; single-use daemon","cpf-docs/work/evidence/codex/current/CX-01-EXS-STANDALONE-COMPILE-ATTEMPT6.json; cpf-docs/work/evidence/codex/current/CX-01-EXS-STANDALONE-COMPILE-ATTEMPT6.log; C:\\Users\\fly10\\Downloads\\cpf-codex-hs-err-pid20932-20260822.log; C:\\Users\\fly10\\Downloads\\cpf-codex-replay-pid20932-20260822.log; cpf-docs/work/evidence/codex/current/CX-01-GRADLE-NATIVE-MEMORY-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-EXS-BOUNDED-MEMORY-DIAGNOSTIC.json; cpf-docs/work/evidence/codex/current/CX-01-GENERATED-GRADLE-RESOURCE-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-GENERATOR-RESOURCE-REGRESSION.json; cpf-docs/work/evidence/codex/current/CX-01-CURRENT-GENERATED-RESOURCE-VERIFY.json; cpf-docs/work/evidence/codex/current/CX-01-EXS-STANDALONE-COMPILE-RERUN.json; cpf-docs/work/evidence/codex/current/CX-01-MBR-STANDALONE-COMPILE-RERUN.json",false,"Reopen if a maintained standalone Gradle root loses the bounded resource contract or native crash recurs","Generator/current ownership checks pass; EXS and MBR Source-default Java 25 daemons remain stable under real compile loads"
CX-F-024,REL-BUILD,CPF_COMMON_MISSING_DIRECT_SLF4J_AND_JAKARTA_ANNOTATION_DEPENDENCIES,P0,494dfdaafc02bec8bb35b08aa957bc6bac784dfd36667d43d17f73e815f661fa,"cpf-common main Java compile reached from standalone MBR",CLOSED,true,"cpf-common compileJava; dependency/source import inspection; logical-tree regression; MBR standalone rerun","Java 25.0.3; Gradle 9.1.0; Windows x64; Product composite","cpf-docs/work/evidence/codex/current/CX-01-MBR-STANDALONE-COMPILE-RERUN.json; cpf-docs/work/evidence/codex/current/CX-01-MBR-STANDALONE-COMPILE-RERUN.log; cpf-docs/work/evidence/codex/current/CX-01-CPF-COMMON-DEPENDENCY-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-CPF-COMMON-DEPENDENCY-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-LOGICAL-TREE-DIRECT-TEST-RERUN.json; cpf-docs/work/evidence/codex/current/CX-01-CPF-COMMON-TEST-RERUN.json; cpf-docs/work/evidence/codex/current/CX-01-MBR-STANDALONE-COMPILE-ATTEMPT2.json",false,"Reopen if cpf-common direct main dependencies or MBR consumer compilation regress","Logical-tree and all 28 module tests pass; original MBR online+batch consumer compiles"
