record_id,source_work_id,canonical_requirement_ids,priority,owner,title,requirement,acceptance_criteria,verification,development_status,verification_status
POST37-REQ-011,CPF-NEXTQA-STARTER-011,ARCH-STARTER+OPS-CONFIG,P0,Cache,Cache Runtime Owner 정리,cpf-common Cache AutoConfiguration/Provider Runtime을 Starter 경계로 이관,Common이 선택 Cache Runtime을 전이하지 않음,POM + provider variants,미구현,미검증
POST37-REQ-012,CPF-NEXTQA-STARTER-012,ARCH-STARTER+OPS-CONFIG,P0,Cache,Cache Provider 세분화,Caffeine/Redis 동시 강제를 제거하고 선택 구조 확정,Provider별 제거 Compile/Runtime PASS,Caffeine/Redis/no-cache matrix,미구현,미검증
POST37-REQ-013,CPF-NEXTQA-STARTER-013,CPF-TRACE+OPS-METRIC,P0,Observability,Observability Closure,Trace/Metric/Log/OTLP/Sampling/Masking/Backpressure/Readiness 완성,Exporter 장애가 제품 안정성·보안 기준에 맞게 처리,OTLP outage + PII corpus,미구현,미검증
POST37-REQ-014,CPF-NEXTQA-STARTER-014,CPF-RESILIENCE,P0,Resilience,Resilience 정책 정본,Operation별 timeout/retry/circuit/fallback 정책과 error taxonomy 연결,Local Transaction 오용 0; bounded retry,fault/timeout/cancellation,미구현,미검증
POST37-REQ-015,CPF-NEXTQA-STARTER-015,ARCH-STARTER,P1,Feature Flag,Feature Flag GA 판정,Provider·Consumer·승인·감사·secure override 완성 또는 제거 결정,Dead abstraction 0,provider outage/audit/permission,미구현,미검증
POST37-REQ-016,CPF-NEXTQA-STARTER-016,SEC-SECRET,P0,Secret,Secret Runtime Closure,Registry·rotation·expiry·revocation·masking·readiness 완성,평문/로그 유출 0; no-provider fail-closed,rotation/outage/negative corpus,미구현,미검증
POST37-REQ-017,CPF-NEXTQA-STARTER-017,ARCH-STARTER,P0,Web,Web MVC/OpenAPI 분리,표준 Header/Error/Validation/OpenAPI Runtime Starter 적합성 확정·이관,비-Web Runtime에 Servlet/UI Dependency 강제 0,web/no-web variants,미구현,미검증
POST37-REQ-018,CPF-NEXTQA-STARTER-018,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,P1,Remote Call,HTTP Client Starter 후보 결정,"RestClient/WebClient, identity, trace, timeout/resilience 조립 여부 결정",Local/Remote 계약 동등성,mock server + timeout/fault,미구현,미검증
POST37-REQ-019,CPF-NEXTQA-STARTER-019,DB-SQL+DB-MULTI-VENDOR+ARCH-STARTER,P0,Persistence,MyBatis Runtime 분리,Core/Common/Domain MyBatis Dependency와 AutoConfig 중복을 정리,Core에 MyBatis Runtime 강제 0; 선택 Domain만 포함,persistence/no-persistence variants,미구현,미검증
POST37-REQ-020,CPF-NEXTQA-STARTER-020,EVENT-BROKER+EVENT-MQ+DB-SQL+DB-MULTI-VENDOR+ARCH-STARTER,P0,Data/Messaging,JDBC Adapter 후보 검토,Idempotency/Outbox/Inbox/Audit JDBC 구현의 중복·Consumer 분석,"다수 Consumer면 공통 Adapter, 단일 Consumer면 Owner 유지",3DB + unknown result/reconcile,미구현,미검증
POST37-REQ-021,CPF-NEXTQA-STARTER-021,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+DEVEX-CODEGEN+ONBOARD-DOMAIN,P0,Generator,Generator Starter 선택,생성 입력·build/config/test/manifest에 Starter 선택을 원자적으로 반영,미선택 Starter 0; invalid combination fail-closed; 사용자 영역 보존,arbitrary-domain combination generation,미구현,미검증
POST37-REQ-022,CPF-NEXTQA-STARTER-022,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+DEVEX-CODEGEN+ONBOARD-DOMAIN,P0,Generated Domain,최소 Domain Profile,신규 Domain은 최소 Core/Common 계약에서 시작하고 필요한 Starter만 선택,Default 생성물에 불필요 Starter/Config/Bean 0,minimal + representative variants,미구현,미검증
POST37-REQ-023,CPF-NEXTQA-STARTER-023,DEVEX-CODEGEN+ONBOARD-DOMAIN,P0,Reference,Reference/Golden Domain 소비,공식 Starter 조합의 실제 Reference와 Generated Domain 소비 제공,기동/실패/복구 Evidence 확보,reference runtime + generated domain,미구현,미검증
POST37-REQ-024,CPF-NEXTQA-STARTER-024,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,P0,Build/Release,BOM·Version·Publication,모든 GA Starter를 BOM·version manifest·sources/javadoc·SBOM에 포함,LOCAL_DEV/REMOTE/OFFLINE publish/consume PASS,fresh clone publication lifecycle,미구현,미검증
POST37-REQ-025,CPF-NEXTQA-STARTER-025,ARCH-STARTER,P0,Build,Artifact Packaging,선택 Starter가 Consumer JAR/WAR에 포함되고 미선택은 제외,불필요 Transitive Dependency 0,archive entry + dependency report,미구현,미검증
POST37-REQ-026,CPF-NEXTQA-STARTER-026,ARCH-STARTER,P0,Migration,Dual Primary 제거,새 Starter 이관 후 기존 AutoConfig/Adapter/Dependency 제거,같은 Capability Primary 구현 1개,source/config/bean duplicate gate,미구현,미검증
POST37-REQ-027,CPF-NEXTQA-STARTER-027,ARCH-STARTER,P0,Runtime,Topology/Failure Matrix,"JAR/WAR, Modular Monolith/MSA, Multi-instance, process kill 검증",선택 조합별 필수 Runtime PASS,runtime/fault evidence,미구현,미검증
POST37-REQ-028,CPF-NEXTQA-STARTER-028,SEC-AUTHN+SEC-AUTHZ+ARCH-STARTER,P0,Security,AutoConfiguration 안전성,Classpath/Property/MissingBean/ordering/fail-closed 조건 검증,의도치 않은 Bean 활성화·완화 0,ApplicationContextRunner + negative profile,미구현,미검증
POST37-REQ-029,CPF-NEXTQA-STARTER-029,DOC-GOV+DOC-PRODUCT,P0,Documentation,Guide·Deliverable 동기화,Starter 개념·선택표·설정·배포·운영·업그레이드를 역할별 정본에 반영,Source/BOM/Generator와 Guide drift 0,doc link/content gate,미구현,미검증
POST37-REQ-030,CPF-NEXTQA-STARTER-030,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+TEST-EVIDENCE+RULE-ARCH,P0,Evidence,Starter Evidence 표준,Starter별 Source SHA·명령·환경·Artifact hash·Consumer·variant 결과 기록,과거/다른 SHA 성공 승계 0,Evidence manifest verification,미구현,미검증
POST37-REQ-031,CPF-NEXTQA-STARTER-031,ARCH-STARTER,P1,Performance,Footprint 최적화,Minimal Domain과 각 Starter 추가에 따른 JAR size/startup/memory 측정,불필요 Runtime 증가 원인 0; 예산 정본화,artifact size/startup/memory benchmark,미구현,미검증
POST37-REQ-032,CPF-NEXTQA-STARTER-032,ARCH-STARTER,P0,Compatibility,Mixed Version·Upgrade/Rollback,Starter/Core/Product 호환 범위와 독립 upgrade/rollback 검증,비호환 조합 fail-closed,compatibility matrix + rollback,미구현,미검증
POST37-REQ-033,CPF-NEXTQA-STARTER-033,TEST-EVIDENCE+RULE-ARCH,P0,QA,Final Gate 통합,Root·dependency·consumer·BOM·generator·variant·guide Gate를 안정 경로에 통합,날짜별 중복 Gate 없이 Final entry에서 실행,gate equivalence + CI,미구현,미검증
POST37-REQ-034,CPF-NEXTQA-STARTER-034,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,P0,Architecture/Build,Starter 선택 계층 확정,Leaf Starter·Capability Profile·Aggregate Starter·BOM 역할과 지원 범위를 확정,각 계층의 활성화·버전·Owner·금지 책임이 정본화,ADR + build model review,미구현,미검증
POST37-REQ-035,CPF-NEXTQA-STARTER-035,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+DEVEX-CODEGEN+ONBOARD-DOMAIN,P0,Generator,Generator Capability Profile,사용 사례 Profile을 최종 Leaf Starter Dependency·Config·Test·Manifest로 원자 확장,Profile 이름만 숨겨 두지 않고 resolvedStarters가 Build와 일치,profile generation matrix + manifest diff,미구현,미검증
POST37-REQ-036,CPF-NEXTQA-STARTER-036,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,P1,Build/Architecture,Aggregate Starter ADR,하나의 Dependency로 묶음 제공 필요성과 초기 공식 Aggregate Artifact를 결정,불필요 Aggregate 0; 고유 Bean/AutoConfiguration 0; 개별 Leaf 선택 유지,consumer survey + POM/runtime prototype,미구현,미검증
POST37-REQ-037,CPF-NEXTQA-STARTER-037,DEVEX-CODEGEN+ONBOARD-DOMAIN,P0,Generator/Build,상호 배타 Provider 충돌 차단,Kafka/RabbitMQ·Caffeine/Redis·Session/ResourceServer·Persistence Provider 충돌을 생성/Build에서 차단,승인 없는 동시 Provider 선택 0,negative combination fixtures,미구현,미검증
POST37-REQ-038,CPF-NEXTQA-STARTER-038,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,P0,Compatibility,Profile Version·Resolved Lock,Profile Catalog Version과 Domain별 해석된 Starter 목록·버전을 Manifest에 고정,Profile 변경이 기존 Domain을 묵시 변경하지 않고 upgrade diff/rollback 가능,profile upgrade/rollback test,미구현,미검증
POST37-REQ-039,CPF-NEXTQA-STARTER-039,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+DOC-GOV+DOC-PRODUCT+TEST-EVIDENCE+RULE-ARCH,P0,QA/Documentation,Profile·Bundle Drift Gate,Profile Catalog·Generator 해석·Aggregate POM·BOM·Guide·Domain Manifest 정합성을 검증,불일치 0; 날짜별 중복 Gate 없이 Final entry 통합,catalog/pom/bom/doc manifest gate,미구현,미검증
POST37-REQ-040,CPF-NEXTQA-STARTER-040,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,P0,Performance/Architecture,Mega Starter 금지와 최소성,all/full/everything 묶음을 금지하고 Profile별 Dependency·JAR size·startup 예산을 관리,미사용 Runtime 포함 0; Profile별 예산 초과 원인 0,dependency/archive/footprint matrix,미구현,미검증
POST37-REQ-041,CPF-NEXTQA-STARTER-041,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,P0,Architecture/Core,Core 독립 계약 Artifact 유지,cpf-core를 Starter에 흡수하지 않고 Spring Boot 없는 초경량 Public API/SPI Artifact로 유지,비 Spring Fresh Consumer가 Core만으로 compile/test; 선택 Runtime 전이 0,published POM + non-Boot consumer fixture + dependency report,미구현,미검증
POST37-REQ-042,CPF-NEXTQA-STARTER-042,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,P0,Architecture/Starter,cpf-starter-base ADR와 구현,일반 CPF Spring Boot Runtime의 최소 진입점인 Base Starter 필요성·이름·책임을 확정하고 승인 시 구현,Core와 최소 Boot 조립만 포함; Web/DB/Broker/Cache/Security UI/Batch 전이 0,ADR + minimal Boot consumer + archive/startup footprint,미구현,미검증
POST37-REQ-043,CPF-NEXTQA-STARTER-043,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+TEST-EVIDENCE+RULE-ARCH,P0,Build/QA,Base Starter 최소성 Gate,Base Starter가 Mega Starter로 팽창하지 않도록 금지 Dependency·Bean·AutoConfiguration 목록과 예산을 Gate로 관리,금지 Runtime 0; 제거 Compile PASS; 최소 JAR/Classpath 예산 충족,dependency insight + auto-config report + no-feature runtime test,미구현,미검증
POST37-REQ-044,CPF-NEXTQA-STARTER-044,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+DEVEX-CODEGEN+ONBOARD-DOMAIN,P0,Generator/Architecture,Contract Consumer와 Boot Domain Profile 분리,MINIMAL_CONTRACT_CONSUMER와 MINIMAL_BOOT_DOMAIN을 구분해 Core 직접 소비와 Base Starter 소비를 명시,각 Profile Build·Manifest·Config가 다르고 불필요 Boot Runtime 전이 0,two fresh generation fixtures + manifest/classpath diff,미구현,미검증
POST37-REQ-045,CPF-NEXTQA-STARTER-045,ARCH-STARTER,P0,Common/Architecture,cpf-common 선택 업무공통 재분류,cpf-common을 모든 Domain/Base의 필수 기반에서 제외하고 업무 공통과 기술 Runtime을 전수 분류·이관,Redis/Cache/Scheduling 등 기술 Runtime 강제 전이 0; 실제 업무 Consumer closure 확보,common dependency graph + optional removal compile + consumer tests,미구현,미검증
POST37-REQ-046,Requirement Governance,ARCH-STARTER+DB-FRESH+EVENT-MQ+EVENT-JMS+EVENT-IBM-MQ+EVENT-AMQP+EXS-TCP,P0,Governance,Canonical requirement recovery,Final Target/Ledger/Current/State/Matrix synchronize 169 requirements,count/id/trace gate,count/id/trace gate,미구현,미검증
POST37-REQ-047,MQ Contract,EVENT-MQ+CORE-MESSAGE,P0,Messaging,Provider-neutral MQ contract,"Queue semantics, idempotency, expiry, priority, transaction, redelivery and operations",contract tests + provider parity,contract tests + provider parity,미구현,미검증
POST37-REQ-048,JMS,EVENT-JMS+ARCH-STARTER,P0,Messaging,Jakarta JMS Starter,"JMS 3.x auto-configuration, transaction, selector, durable subscription, redelivery, readiness",actual JMS provider + outage,actual JMS provider + outage,미구현,미검증
POST37-REQ-049,IBM MQ,EVENT-IBM-MQ+EVENT-JMS,P0,Messaging,IBM MQ Starter,JMS base plus queue manager/channel/TLS/CCDT/reason mapping/reconnect,IBM MQ compatible runtime + security/fault,IBM MQ compatible runtime + security/fault,미구현,미검증
POST37-REQ-050,RabbitMQ,EVENT-AMQP+EVENT-MQ,P0,Messaging,RabbitMQ AMQP Starter,exchange/queue/binding/confirm/ack/nack/DLX/quorum recovery,actual RabbitMQ + fault,actual RabbitMQ + fault,미구현,미검증
POST37-REQ-051,TCP,EXS-TCP+CORE-FIXED+EXS-UNKNOWN+EXS-RECON,P0,Integration,Persistent TCP Starter,framing/heartbeat/reconnect/backpressure/correlation/TLS/unknown-result,Toxiproxy/process fault/multi-instance,Toxiproxy/process fault/multi-instance,미구현,미검증
POST37-REQ-052,Fresh DB Tooling,DB-FRESH+DB-INSTALL+DB-MIGRATION+DB-ROLLBACK,P0,DB/Generator,Official fresh lifecycle orchestration,dedicated zero-object DB/schema; no manual SQL bypass,3 vendor lifecycle,3 vendor lifecycle,미구현,미검증
POST37-REQ-053,MariaDB Runtime,DB-FRESH+DB-MULTI-VENDOR,P0,DB,MariaDB exact lifecycle,fresh/install/seed/upgrade/rollback/reapply/conflict/cleanup,actual MariaDB container,actual MariaDB container,미구현,미검증
POST37-REQ-054,PostgreSQL Runtime,DB-FRESH+DB-MULTI-VENDOR,P0,DB,PostgreSQL exact lifecycle,fresh/install/seed/upgrade/rollback/reapply/conflict/cleanup,actual PostgreSQL container,actual PostgreSQL container,미구현,미검증
POST37-REQ-055,Oracle Runtime,DB-FRESH+DB-MULTI-VENDOR,P0,DB,Oracle exact lifecycle,fresh/install/seed/upgrade/rollback/reapply/conflict/cleanup,actual Oracle container,actual Oracle container,미구현,미검증
POST37-REQ-056,Codex History,REQ-CODEX+TEST-EVIDENCE,P0,QA,Verification history normalization,historical pass/current exact pass/environment blocker separated,ledger schema/hash gate,ledger schema/hash gate,미구현,미검증
POST37-REQ-057,Java Final,REL-BUILD+TEST-UNIT+TEST-CONTRACT,P0,Build,Java 25 full lifecycle,fresh cache build/test/publication once after source stable,Gradle full plan,Gradle full plan,미구현,미검증
POST37-REQ-058,Frontend Final,ADM-UX+TEST-BROWSER,P0,ADM/BZA,Frontend clean and browser,npm ci/lint/type/unit/build plus 3 browsers,ADM/BZA exact SHA,ADM/BZA exact SHA,미구현,미검증
POST37-REQ-059,Runtime Fault,TEST-RUNTIME+TEST-FAULT+TEST-BROKER,P0,Runtime,Docker runtime/fault/multi-instance,Kafka/Redis/Batch/Gateway/Toxiproxy/OTel/process kill,actual services and logs,actual services and logs,미구현,미검증
POST37-REQ-060,Supply Chain,REL-BUILD+RULE-SEC+RULE-QUALITY,P0,Release,Final artifact security/license,Trivy/secret/SBOM/ORT/license/artifact hash,final artifact scan,final artifact scan,미구현,미검증
POST37-REQ-061,Document Consolidation,DOC-GOV+REQ-GOV,P0,Documentation,Single current canonical set,conclusions absorbed; stale dated current files moved/deleted with approval,canonical index and reference scan,canonical index and reference scan,미구현,미검증
POST37-REQ-062,Repository Hygiene,RULE-QUALITY+REQ-REVIEW,P0,Repository,Garbage and generated artifact cleanup,no tracked build/report/cache; ignored cleanup does not delete source,safe cleanup + git status,safe cleanup + git status,미구현,미검증
