requirement_id,priority,stage,root_cause_group,owner,title,development_status,verification_status,implementation_order
QA38-GOV-012,P0,01_CANONICAL,Governance,QA/Governance,중복·가비지 관리,완료,완료,02
QA38-VERIFY-002,P0,01_CANONICAL,Verification,Codex/QA,01_CANONICAL,완료,완료,02
QA38-SRC-001,P0,02_STATIC,Source Audit,QA/Architecture,Dependency Graph,완료,완료,03
QA38-SRC-002,P0,02_STATIC,Source Audit,QA/Architecture,Import Graph,완료,완료,03
QA38-SRC-003,P0,02_STATIC,Source Audit,QA/Architecture,AutoConfiguration Graph,완료,완료,03
QA38-SRC-004,P0,02_STATIC,Source Audit,QA/Architecture,Consumer Graph,완료,완료,03
QA38-SRC-005,P0,02_STATIC,Source Audit,QA/Architecture,SQL Graph,완료,완료,03
QA38-SRC-006,P0,02_STATIC,Source Audit,QA/Architecture,Generator Graph,완료,완료,03
QA38-SRC-007,P0,02_STATIC,Source Audit,QA/Architecture,Test Graph,완료,완료,03
QA38-SRC-008,P0,02_STATIC,Source Audit,QA/Architecture,Artifact Graph,완료,완료,03
QA38-SRC-009,P0,02_STATIC,Source Audit,QA/Architecture,Frontend Graph,완료,완료,03
QA38-SRC-010,P0,02_STATIC,Source Audit,QA/Architecture,Recent Commit Impact,완료,완료,03
QA38-VERIFY-003,P0,02_STATIC,Verification,Codex/QA,02_STATIC,완료,완료,03
QA38-CONSUMER-001,P0,03_CORE_STARTER,Consumer Migration,Product Owner,ADM,완료,미검증,04
QA38-CONSUMER-002,P0,03_CORE_STARTER,Consumer Migration,Product Owner,BZA,완료,미검증,04
QA38-CONSUMER-003,P0,03_CORE_STARTER,Consumer Migration,Product Owner,Gateway,완료,미검증,04
QA38-CONSUMER-004,P0,03_CORE_STARTER,Consumer Migration,Product Owner,Batch,완료,미검증,04
QA38-CONSUMER-005,P0,03_CORE_STARTER,Consumer Migration,Product Owner,Reference,완료,미검증,04
QA38-CONSUMER-006,P0,03_CORE_STARTER,Consumer Migration,Product Owner,cpf-member,완료,미검증,04
QA38-CONSUMER-007,P0,03_CORE_STARTER,Consumer Migration,Product Owner,Generated Domain,완료,미검증,04
QA38-CONSUMER-008,P0,03_CORE_STARTER,Consumer Migration,Product Owner,Customer Plugin,완료,미검증,04
QA38-EXISTING-001,P0,03_CORE_STARTER,Existing Starter,Starter Owner,Security,완료,미검증,04
QA38-EXISTING-002,P0,03_CORE_STARTER,Existing Starter,Starter Owner,Kafka,완료,미검증,04
QA38-EXISTING-003,P0,03_CORE_STARTER,Existing Starter,Starter Owner,Cache,완료,미검증,04
QA38-EXISTING-004,P0,03_CORE_STARTER,Existing Starter,Starter Owner,Observability,완료,미검증,04
QA38-EXISTING-005,P0,03_CORE_STARTER,Existing Starter,Starter Owner,Resilience,완료,미검증,04
QA38-EXISTING-006,P0,03_CORE_STARTER,Existing Starter,Starter Owner,Feature Flag,완료,미검증,04
QA38-EXISTING-007,P0,03_CORE_STARTER,Existing Starter,Starter Owner,Secret,완료,미검증,04
QA38-GROUP-001,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Leaf Naming,완료,미검증,04
QA38-GROUP-002,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Base Starter,완료,미검증,04
QA38-GROUP-003,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Capability Profile,완료,미검증,04
QA38-GROUP-004,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Aggregate Starter,완료,미검증,04
QA38-GROUP-005,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Resolved Lock,완료,미검증,04
QA38-GROUP-006,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Named Binding,완료,미검증,04
QA38-GROUP-007,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Conflict Gate,완료,미검증,04
QA38-GROUP-008,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,BOM,완료,미검증,04
QA38-GROUP-009,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Publication,완료,미검증,04
QA38-GROUP-010,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Optional Removal,완료,미검증,04
QA38-GROUP-011,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Footprint,완료,미검증,04
QA38-GROUP-012,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Upgrade,완료,미검증,04
QA38-GROUP-013,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Generator,완료,미검증,04
QA38-GROUP-014,P0,03_CORE_STARTER,Starter Group/Generator,Starter Architecture/Generator,Legacy Removal,완료,미검증,04
QA38-STARTER-001,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,CpfDataSourceConfig MOVE,완료,미검증,04
QA38-STARTER-002,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,CpfMyBatisConfig+dependency/resources MOVE,완료,미검증,04
QA38-STARTER-003,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,CpfAopConfig+ServiceAccessAspect+AspectJ MOVE,완료,미검증,04
QA38-STARTER-004,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,CpfOpenApiAutoConfiguration+Springdoc+Scalar MOVE,완료,미검증,04
QA38-STARTER-005,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,CpfSecurityAutoConfiguration SPLIT_MOVE,완료,미검증,04
QA38-STARTER-006,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,BFF/JDBC Security Runtime SPLIT_MOVE,완료,미검증,04
QA38-STARTER-007,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Broker Worker/Bridge/JDBC Reliability Repository MOVE,완료,미검증,04
QA38-STARTER-008,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,JdbcCpfChannelRegistryAdapter MOVE,완료,미검증,04
QA38-STARTER-009,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Logging+OTel SDK/Exporter Runtime SPLIT_MOVE,완료,미검증,04
QA38-STARTER-010,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Remote HTTP Runtime MOVE,완료,미검증,04
QA38-STARTER-012,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Fixed-length Spring Component SPLIT,완료,미검증,04
QA38-STARTER-013,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,FileExchange/SFTP Planned Runtime MOVE_IMPLEMENT,완료,미검증,04
QA38-STARTER-015,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Redis/Valkey Connection·Template·Listener MOVE,완료,미검증,04
QA38-STARTER-016,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Caffeine Runtime MOVE,완료,미검증,04
QA38-STARTER-018,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Service Identity Runtime MOVE,완료,미검증,04
QA38-STARTER-019,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Registry/Health technical client MOVE,완료,미검증,04
QA38-STARTER-020,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Secret Provider Runtime EXPAND,완료,미검증,04
QA38-STARTER-022,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,CircuitBreaker-only Runtime EXPAND,완료,미검증,04
QA38-STARTER-023,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Kafka Producer/Consumer Runtime EXPAND_MIGRATE,완료,미검증,04
QA38-STARTER-024,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,RabbitMQ/AMQP NEW,완료,미검증,04
QA38-STARTER-025,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Jakarta JMS NEW,완료,미검증,04
QA38-STARTER-026,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,IBM MQ Provider NEW_PLUGIN,완료,미검증,04
QA38-STARTER-027,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,TCP Transport Runtime NEW,완료,미검증,04
QA38-STARTER-028,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Notification Email/SMS Worker NEW_SPLIT,완료,미검증,04
QA38-STARTER-030,P0,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Public API/SPI·Identifiers·Context·Error·Masking·업무 Common KEEP,완료,미검증,04
QA38-VERIFY-004,P0,03_CORE_STARTER,Verification,Codex/QA,03_CORE_STARTER,완료,미검증,04
QA38-STARTER-011,P1,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Validation Runtime Provider MOVE,완료,미검증,04
QA38-STARTER-014,P1,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Commons Compress/Archive Runtime MOVE,완료,미검증,04
QA38-STARTER-017,P1,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,POI/XLSX Runtime MOVE,완료,미검증,04
QA38-STARTER-021,P1,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,OpenFeature Runtime EXPAND,완료,미검증,04
QA38-STARTER-029,P1,03_CORE_STARTER,Core/Common→Starter,Core/Common/Starter Owners,Quartz Scheduler NEW_OPTIONAL,완료,미검증,04
QA38-INT-001,P0,04_MESSAGING_TCP,External Integration,Integration/Notification,SFTP actual adapter·upload/download/list/move/delete/resume/checksum/reconcile,완료,미검증,05
QA38-INT-003,P0,04_MESSAGING_TCP,External Integration,Integration/Notification,Typed HTTP Client·timeout·deadline·idempotency·response loss,완료,미검증,05
QA38-INT-008,P0,04_MESSAGING_TCP,External Integration,Integration/Notification,Notification Outbox/Worker/Retry/DLQ/Preference/Quiet Hours,완료,미검증,05
QA38-INT-009,P0,04_MESSAGING_TCP,External Integration,Integration/Notification,SMTP/Provider·Template·Attachment·Bounce·Unknown Result,완료,미검증,05
QA38-INT-010,P0,04_MESSAGING_TCP,External Integration,Integration/Notification,Provider SPI·Rate·Receipt·Callback·Unknown Result,완료,미검증,05
QA38-MSG-001,P0,04_MESSAGING_TCP,Messaging,Messaging/Starter/DB Platform,Provider-neutral Message Envelope·Logical Destination·Binding·ACK/Commit·Unknown Result,완료,미검증,05
QA38-MSG-002,P0,04_MESSAGING_TCP,Messaging,Messaging/Starter/DB Platform,JDBC Outbox·Inbox·DLQ·Replay·Reconcile Ledger 3 Vendor,완료,미검증,05
QA38-MSG-003,P0,04_MESSAGING_TCP,Messaging,Messaging/Starter/DB Platform,Kafka Default Profile의 publish/consume/rebalance/offset/DLT/operations,완료,미검증,05
QA38-MSG-004,P0,04_MESSAGING_TCP,Messaging,Messaging/Starter/DB Platform,Exchange·Queue·Binding·Routing·Confirm·Return·ACK/NACK·DLX·Quorum,완료,미검증,05
QA38-MSG-005,P0,04_MESSAGING_TCP,Messaging,Messaging/Starter/DB Platform,Queue·Topic·Durable·Selector·Ack Mode·Transaction·Redelivery,완료,미검증,05
QA38-MSG-006,P0,04_MESSAGING_TCP,Messaging,Messaging/Starter/DB Platform,Queue Manager·Channel·TLS·CCDT·Reason Code·Reconnect Extension,완료,미검증,05
QA38-MSG-007,P0,04_MESSAGING_TCP,Messaging,Messaging/Starter/DB Platform,Kafka+Rabbit/JMS Named Binding·Bridge·Migration·모호성 fail-closed,완료,미검증,05
QA38-MSG-008,P0,04_MESSAGING_TCP,Messaging,Messaging/Starter/DB Platform,Schema Version·Compatibility·Quarantine,완료,미검증,05
QA38-MSG-009,P0,04_MESSAGING_TCP,Messaging,Messaging/Starter/DB Platform,TLS/mTLS·Secret Rotation·Masking·Permission·Audit,완료,미검증,05
QA38-MSG-010,P0,04_MESSAGING_TCP,Messaging,Messaging/Starter/DB Platform,Backlog·Lag·DLQ·Replay·Reconcile·Approval·Result Tracking,완료,미검증,05
QA38-MSG-011,P0,04_MESSAGING_TCP,Messaging,Messaging/Starter/DB Platform,Broker outage·response loss·duplicate·consumer kill·multi-instance,완료,미검증,05
QA38-TCP-001,P0,04_MESSAGING_TCP,TCP/Professional Message,Integration/Starter,Client/Server·Connection Pool·Graceful Drain,완료,미검증,05
QA38-TCP-002,P0,04_MESSAGING_TCP,TCP/Professional Message,Integration/Starter,Fixed/Length Header/STX-ETX/CRLF·Fragment/Coalesce,완료,미검증,05
QA38-TCP-003,P0,04_MESSAGING_TCP,TCP/Professional Message,Integration/Starter,Binary/BCD/Hex·Endian·Unsigned,완료,미검증,05
QA38-TCP-004,P0,04_MESSAGING_TCP,TCP/Professional Message,Integration/Starter,UTF-8/EUC-KR/EBCDIC Strict Conversion,완료,미검증,05
QA38-TCP-005,P0,04_MESSAGING_TCP,TCP/Professional Message,Integration/Starter,응답 순서 역전·Orphan·Timeout,완료,미검증,05
QA38-TCP-006,P0,04_MESSAGING_TCP,TCP/Professional Message,Integration/Starter,Heartbeat·Half-open·Reconnect·Backoff/Jitter,완료,미검증,05
QA38-TCP-007,P0,04_MESSAGING_TCP,TCP/Professional Message,Integration/Starter,TLS/mTLS·Trust·Identity·Rotation,완료,미검증,05
QA38-TCP-008,P0,04_MESSAGING_TCP,TCP/Professional Message,Integration/Starter,Connection/Thread/Queue/Buffer/Frame Limit,완료,미검증,05
QA38-TCP-009,P0,04_MESSAGING_TCP,TCP/Professional Message,Integration/Starter,Write 후 응답 유실·UNKNOWN_RESULT·Reconciliation,완료,미검증,05
QA38-TCP-010,P0,04_MESSAGING_TCP,TCP/Professional Message,Integration/Starter,Bitmap/Field Packager/MAC/PIN Extension SPI,완료,미검증,05
QA38-TCP-011,P0,04_MESSAGING_TCP,TCP/Professional Message,Integration/Starter,Session·Backlog·Failure·Replay·Reconcile·Audit,완료,미검증,05
QA38-TCP-012,P0,04_MESSAGING_TCP,TCP/Professional Message,Integration/Starter,정상·Partial·Oversize·Malformed·Delay·Disconnect Scenario,완료,미검증,05
QA38-VERIFY-005,P0,04_MESSAGING_TCP,Verification,Codex/QA,04_MESSAGING_TCP,완료,미검증,05
QA38-INT-002,P1,04_MESSAGING_TCP,External Integration,Integration/Notification,FTPS/SMB/Object Storage provider SPI와 secure path/resource policy,완료,미검증,05
QA38-INT-004,P1,04_MESSAGING_TCP,External Integration,Integration/Notification,WSDL/Fault/WS-Security extension,완료,미검증,05
QA38-INT-005,P1,04_MESSAGING_TCP,External Integration,Integration/Notification,Deadline/Metadata/Status/Streaming/Backpressure,완료,미검증,05
QA38-INT-006,P1,04_MESSAGING_TCP,External Integration,Integration/Notification,Signature/Retry/Idempotency/Delivery Ledger,완료,미검증,05
QA38-INT-007,P1,04_MESSAGING_TCP,External Integration,Integration/Notification,WebSocket/SSE auth/reconnect/backpressure/scale-out,완료,미검증,05
QA38-DB-001,P0,05_DB_TOOLING,DB Fresh/Generator,DB Platform/Generator,Preflight,완료,미검증,06
QA38-DB-002,P0,05_DB_TOOLING,DB Fresh/Generator,DB Platform/Generator,Generator First,완료,완료,06
QA38-DB-003,P0,05_DB_TOOLING,DB Fresh/Generator,DB Platform/Generator,No Direct Edit,완료,완료,06
QA38-DB-007,P0,05_DB_TOOLING,DB Fresh/Generator,DB Platform/Generator,Upgrade,완료,완료,06
QA38-DB-008,P0,05_DB_TOOLING,DB Fresh/Generator,DB Platform/Generator,Rollback,완료,완료,06
QA38-DB-009,P0,05_DB_TOOLING,DB Fresh/Generator,DB Platform/Generator,Reapply,완료,완료,06
QA38-DB-010,P0,05_DB_TOOLING,DB Fresh/Generator,DB Platform/Generator,Conflict,완료,완료,06
QA38-DB-011,P0,05_DB_TOOLING,DB Fresh/Generator,DB Platform/Generator,Optional Pack,완료,완료,06
QA38-DB-012,P0,05_DB_TOOLING,DB Fresh/Generator,DB Platform/Generator,Backup/Fault,완료,미검증,06
QA38-DB-013,P0,05_DB_TOOLING,DB Fresh/Generator,DB Platform/Generator,Cleanup,완료,완료,06
QA38-DB-014,P0,05_DB_TOOLING,DB Fresh/Generator,DB Platform/Generator,Evidence,완료,미검증,06
QA38-VERIFY-006,P0,05_DB_TOOLING,Verification,Codex/QA,05_DB_TOOLING,완료,완료,06
QA38-DB-004,P0,06_DB_MARIADB,DB Fresh/Generator,DB Platform/Generator,MariaDB Fresh,완료,미검증,07
QA38-VERIFY-007,P0,06_DB_MARIADB,Verification,Codex/QA,06_DB_MARIADB,완료,미검증,07
QA38-DB-005,P0,07_DB_POSTGRESQL,DB Fresh/Generator,DB Platform/Generator,PostgreSQL Fresh,완료,미검증,08
QA38-VERIFY-008,P0,07_DB_POSTGRESQL,Verification,Codex/QA,07_DB_POSTGRESQL,완료,미검증,08
QA38-DB-006,P0,08_DB_ORACLE,DB Fresh/Generator,DB Platform/Generator,Oracle Fresh,완료,미검증,09
QA38-VERIFY-009,P0,08_DB_ORACLE,Verification,Codex/QA,08_DB_ORACLE,완료,미검증,09
QA38-VERIFY-010,P0,09_JAVA_FULL,Verification,Codex/QA,09_JAVA_FULL,완료,미검증,10
QA38-VERIFY-011,P0,10_FRONTEND,Verification,Codex/QA,10_FRONTEND,완료,미검증,11
QA38-VERIFY-012,P0,11_RUNTIME,Verification,Codex/QA,11_RUNTIME,완료,미검증,12
QA38-VERIFY-013,P0,12_FAULT_OTEL,Verification,Codex/QA,12_FAULT_OTEL,완료,미검증,13
QA38-VERIFY-014,P0,13_BROWSER,Verification,Codex/QA,13_BROWSER,완료,미검증,14
QA38-VERIFY-015,P0,14_SUPPLY_CHAIN,Verification,Codex/QA,14_SUPPLY_CHAIN,완료,미검증,15
QA38-CURRENT-004,P0,15_TRUTH,Currentization,QA/Repository,대체 완료 과거 파일 exact 삭제,완료,미검증,16
QA38-CURRENT-008,P0,15_TRUTH,Currentization,QA/Repository,적용 후 참조·중복 검증,완료,미검증,16
QA38-CURRENT-009,P0,15_TRUTH,Currentization,Codex/QA,Codex 이력 지속 갱신,완료,미검증,16
QA38-CURRENT-010,P0,15_TRUTH,Currentization,QA/Repository,빈 폴더·가비지 정리,완료,미검증,16
QA38-CURRENT-011,P0,15_TRUTH,QA Completion,QA,사용자 요구 Acceptance Checklist,완료,미검증,16
QA38-CURRENT-012,P0,15_TRUTH,QA Completion,QA,최종 보고 지연 Gate,완료,미검증,16
QA38-VERIFY-016,P0,15_TRUTH,Verification,Codex/QA,15_TRUTH,완료,미검증,16
