work_item_id,priority,work_package,source_requirement_ids,developer_status,verification_status,overall_status,development_completion_reason,current_static_evidence,physical_verification_reason,runtime_acceptance,source_identity
WP-R01.04,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,IDE-BATCH-NOTIFICATION,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,Worker 알림 dispatch 성공/중복/실패/DLQ/retry/restart/optional-off,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R01.05,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,IDE-FILE-SFTP,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,local+SFTP transfer upload/download/duplicate/unknown/retry/reconnect/history/inspection/process failure,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R01.06,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,IDE-FILE-ARCHIVE,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,"large streaming archive, corrupt entry, duplicate, interruption/recovery, checksum verification",b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R01.07,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,IDE-DATA-JPA,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,DB3 JPA search paging/sort/filter boundary 및 invalid operator/field,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R01.08,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,IDE-DATA-MYBATIS,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,DB3 mapper resource load/query/runtime,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R01.09,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,IDE-GENERIC-LAMBDA,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,정렬/라우팅/operation registry 실제 데이터 다건/동률/empty runtime,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R01.10,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,RT-97,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,Fresh build 후 full-distributed pack→deploy manifest→start/readiness→stop; missing/corrupt artifact negative,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R02.01,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,REOPEN-12;REOPEN-13,완료,미검증,미검증,Source 0개 Java project를 Gradle configuration/Buildship model 시점에 discovery-driven으로 materialize하도록 교정. module hardcode/fake class/dependency 우회 없음.,VSCode/Gradle contract 37 PASS; Verification 104 PASS; Testing Tools 400 PASS/23 SKIP/0 FAIL; Tool EntryPoint 978 + tooling 832 duplicate/dead 0,Fresh Windows Java25 Gradle Import 후 실제 전체 Domain/Module VS Code Problems Error 0 / Warning 0 미실행,Java25+Gradle9.1 Fresh Import/Buildship/JDT sync 완료 후 Problems Error 0 / Warning 0 실측,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R02.02,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,IDE-TYPE-RESOLUTION,완료,미검증,미검증,Source 0개 Java project를 Gradle configuration/Buildship model 시점에 discovery-driven으로 materialize하도록 교정. module hardcode/fake class/dependency 우회 없음.,VSCode/Gradle contract 37 PASS; Verification 104 PASS; Testing Tools 400 PASS/23 SKIP/0 FAIL; Tool EntryPoint 978 + tooling 832 duplicate/dead 0,Fresh Windows Java25 Gradle Import 후 실제 전체 Domain/Module VS Code Problems Error 0 / Warning 0 미실행,Fresh IDE import + root/generated/application runtime,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R02.03,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,IDE-GENERICS,완료,미검증,미검증,Source 0개 Java project를 Gradle configuration/Buildship model 시점에 discovery-driven으로 materialize하도록 교정. module hardcode/fake class/dependency 우회 없음.,VSCode/Gradle contract 37 PASS; Verification 104 PASS; Testing Tools 400 PASS/23 SKIP/0 FAIL; Tool EntryPoint 978 + tooling 832 duplicate/dead 0,Fresh Windows Java25 Gradle Import 후 실제 전체 Domain/Module VS Code Problems Error 0 / Warning 0 미실행,실제 multi-value/empty/null payload 경로,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R02.04,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,IDE-TEST-CLASSPATH,완료,미검증,미검증,Source 0개 Java project를 Gradle configuration/Buildship model 시점에 discovery-driven으로 materialize하도록 교정. module hardcode/fake class/dependency 우회 없음.,VSCode/Gradle contract 37 PASS; Verification 104 PASS; Testing Tools 400 PASS/23 SKIP/0 FAIL; Tool EntryPoint 978 + tooling 832 duplicate/dead 0,Fresh Windows Java25 Gradle Import 후 실제 전체 Domain/Module VS Code Problems Error 0 / Warning 0 미실행,전체 Java test suites Java25 실행,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R02.05,P1,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,IDE-DEPRECATION-UNUSED,완료,미검증,미검증,Source 0개 Java project를 Gradle configuration/Buildship model 시점에 discovery-driven으로 materialize하도록 교정. module hardcode/fake class/dependency 우회 없음.,VSCode/Gradle contract 37 PASS; Verification 104 PASS; Testing Tools 400 PASS/23 SKIP/0 FAIL; Tool EntryPoint 978 + tooling 832 duplicate/dead 0,Fresh Windows Java25 Gradle Import 후 실제 전체 Domain/Module VS Code Problems Error 0 / Warning 0 미실행,영향 기능 회귀 runtime,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R02.06,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,IDE-NULL-RESOURCE,완료,미검증,미검증,Source 0개 Java project를 Gradle configuration/Buildship model 시점에 discovery-driven으로 materialize하도록 교정. module hardcode/fake class/dependency 우회 없음.,VSCode/Gradle contract 37 PASS; Verification 104 PASS; Testing Tools 400 PASS/23 SKIP/0 FAIL; Tool EntryPoint 978 + tooling 832 duplicate/dead 0,Fresh Windows Java25 Gradle Import 후 실제 전체 Domain/Module VS Code Problems Error 0 / Warning 0 미실행,null/empty/provider failure/timeout/interruption 실제 runtime,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R02.07,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,IDE-BUILD-PATH-CYCLE,완료,미검증,미검증,Source 0개 Java project를 Gradle configuration/Buildship model 시점에 discovery-driven으로 materialize하도록 교정. module hardcode/fake class/dependency 우회 없음.,VSCode/Gradle contract 37 PASS; Verification 104 PASS; Testing Tools 400 PASS/23 SKIP/0 FAIL; Tool EntryPoint 978 + tooling 832 duplicate/dead 0,Fresh Windows Java25 Gradle Import 후 실제 전체 Domain/Module VS Code Problems Error 0 / Warning 0 미실행,Fresh clone/import/build,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R02.08,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,IDE-WARNING-POLICY;REOPEN-12,완료,미검증,미검증,Source 0개 Java project를 Gradle configuration/Buildship model 시점에 discovery-driven으로 materialize하도록 교정. module hardcode/fake class/dependency 우회 없음.,VSCode/Gradle contract 37 PASS; Verification 104 PASS; Testing Tools 400 PASS/23 SKIP/0 FAIL; Tool EntryPoint 978 + tooling 832 duplicate/dead 0,Fresh Windows Java25 Gradle Import 후 실제 전체 Domain/Module VS Code Problems Error 0 / Warning 0 미실행,Fresh IDE 0 warnings,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R03.01,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,RT-79,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,Full Runtime temp evidence 실제 생성→audit/work-package output→package,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R03.02,P1,WP-R03 Verification Harness / False-Green / Evidence Path Closure,RT-06,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,Generator lifecycle/Fresh Replay에서 같은 gate PASS,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R03.03,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,HARNESS-FAIL-CASCADE;REOPEN-13,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,실제 compile/runtime fault injection 후 summary 정확성,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R03.04,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,HARNESS-MANDATORY-SKIP;REOPEN-15,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,환경 정상 시 mandatory skip 0; 장애 시 actionable FAIL,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R03.05,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,HARNESS-EVIDENCE-IDENTITY;RT-155,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,Full Runtime 후 Source drift 0 / Managed drift 0 / Fresh Replay 동일,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R03.06,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,HARNESS-HIGH-INTENSITY;REOPEN-14;REOPEN-15,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,Full lifecycle E2E mandatory stages 전부 실행,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R04.01,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,RT-109;GEN-DOMAIN,완료,미검증,미검증,Generator/Generated Domain Source와 dynamic domain contract가 유지되고 Domain 0/add/sync/remove/recreate targeted mutation을 닫았다. Full Java25 generated build는 물리 검증 대기다.,Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,scratch online/batch variants build/test/start/operation/stop,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R04.02,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,GEN-IDEMP-MBR,완료,미검증,미검증,Generator/Generated Domain Source와 dynamic domain contract가 유지되고 Domain 0/add/sync/remove/recreate targeted mutation을 닫았다. Full Java25 generated build는 물리 검증 대기다.,Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,MBR online+batch build/test/DB3/runtime,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R04.03,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,GEN-IDEMP-EXS,완료,미검증,미검증,Generator/Generated Domain Source와 dynamic domain contract가 유지되고 Domain 0/add/sync/remove/recreate targeted mutation을 닫았다. Full Java25 generated build는 물리 검증 대기다.,Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,EXS online build/test/external integration runtime,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R04.04,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,REOPEN-03,완료,미검증,미검증,Generator/Generated Domain Source와 dynamic domain contract가 유지되고 Domain 0/add/sync/remove/recreate targeted mutation을 닫았다. Full Java25 generated build는 물리 검증 대기다.,Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,각 단계 build/test/start/health/operation/stop,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R04.05,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,REOPEN-04,완료,미검증,미검증,Generator/Generated Domain Source와 dynamic domain contract가 유지되고 Domain 0/add/sync/remove/recreate targeted mutation을 닫았다. Full Java25 generated build는 물리 검증 대기다.,Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,add/remove 후 기존 domain E2E regression,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
