category,function_or_operation,when_to_use,usage_example,input,major_options,return_type,transaction_effect,transaction_execution_ids,logging,outcomes,recovery,required_starter_or_capability,do_not
External,callExternalAsync,Generic External async,callExternalAsync(...),typed request+TypeRef,async+call options,CompletionStage<CpfResult<T>>,external+async,"same TxId,new exec/segment",async external,4-state,cancel/reconcile,integration,unbounded queue
Repository,findById/findOne,단건 조회,repository.findById(id),id/criteria,timeout/lock,Optional<T>/T,caller local tx,same TxId,DB query metadata,normal/notfound/error,retry classified,persistence,CpfResult 기본 return
Repository,exists,존재 확인,repository.exists(criteria),criteria,timeout,boolean,caller local tx,same,DB query,true/false 정상,retry classified,persistence,false=실패
Repository,save/insert/update/delete,CRUD,repository.save(entity),entity,lock/version,T/int/void,local tx,same,DB write,success/constraint/deadlock/etc,rollback/retry classified,persistence,DAO Golden Path
Repository,search,목록 조회,repository.search(criteria),criteria,limit/sort allow-list,List<T>,local read tx,same,DB query,empty list 정상,retry classified,persistence,unbounded query
Repository,page,페이지 조회,repository.page(query),page query,max page/sort,CpfPage<T>,local read tx,same,DB query,empty page 정상,retry classified,persistence,provider-specific page type public
Repository,cursor,커서 조회,repository.cursor(query),cursor query,limit/order,CpfCursorPage<T>,local read tx,same,DB query,end cursor 정상,retry classified,persistence,invalid cursor silent reset
Repository,count,건수,repository.count(criteria),criteria,timeout,long,local read tx,same,DB query,0 정상,retry classified,persistence,0=실패
Repository,bulk*,대량 변경,repository.bulkUpdate(...),batch,chunk/timeout,count/summary,chunk/local tx,same,bulk metrics,partial failure explicit,resume/reconcile,persistence,무제한 메모리
Cache,cacheGet,Cache 조회,cacheGet(key),key,binding,Optional<T>/T,DB Tx 없음,same,hit/miss,hit/miss/failure,fail-open/closed,cache,cache miss=error
Cache,cachePut,Cache 저장,"cachePut(key,value,ttl)",key/value,ttl,void/ack,DB Tx와 별개,same,put result,success/failure,policy,cache,DB atomic으로 가정
Cache,cacheEvict,무효화,cacheEvict(key),key,scope,void/ack,별도,same,evict,success/failure,multi-instance invalidate,cache,local cache만 지우기
Cache,cacheGetOrLoad,Cache-aside,"cacheGetOrLoad(key,loader)",key+loader,"ttl,negative,single-flight",T,loader tx 별도,same,hit/load/failure,miss vs loader failure 분리,fallback,cache,loader failure를 miss 처리
Messaging,publish,Event 발행,publish(event),event,"schema,key,policy",CpfResult<CpfMessageReceipt>,DB와 별도; Outbox 권장,same TxId/correlation,publish/ack,4-state as transport permits,probe/reconcile,messaging,DB+broker atomic 가정
Messaging,send,Message 전송,send(message),message,"destination,policy",CpfResult<CpfMessageReceipt>,별도,same TxId,send/ack,success/technical/unknown,retry/DLQ/reconcile,messaging,raw producer client
Messaging,requestReply,요청응답 메시징,requestReply(req),request,timeout/correlation,CpfResult<T>,distributed,"same TxId,new segment",request/reply,4-state,late reply/reconcile,messaging,instance local reply queue
Security,currentPrincipal,현재 사용자,currentPrincipal(),none,none,CpfPrincipal,없음,current,security context,present/missing,fail-closed,security,header 직접 신뢰
Security,hasPermission,권한 확인,hasPermission(permission),permission,none,boolean,없음,current,security decision,true/false 정상,none,security,false=system failure
Security,authorize,권한 강제,authorize(permission),permission,reason optional,void,없음,current,security/audit,allow/business/security failure,fail-closed,security,Controller마다 수동 role compare
Logging,CpfStructuredLogger.business,업무 의미 로그,"structuredLogger.business(""member.joined"", Map.of(""memberId"", maskedId))",event + bounded fields,masking,업무 의미 변화 구조화 로그,원 tx 의미 변경 금지,transactionId/executionId/segmentId/traceId/attempt 자동 상관,business structured,log success/failure policy,sink policy,observability,직접 MDC 구성/민감정보 원문
Logging,CpfStructuredLogger.operation,운영 이벤트,"structuredLogger.operation(""cache.refresh"", Map.of(""namespace"", namespace))",event + bounded fields,masking,운영 상태·제어 결과 구조화 로그,원 tx 의미 변경 금지,transactionId/executionId/segmentId/traceId/attempt 자동 상관,operation structured,policy,sink policy,observability,감사 대상 위험조치를 일반 운영로그로 대체
Logging,CpfStructuredLogger.security,보안 이벤트,"structuredLogger.security(""auth.denied"", Map.of(""policy"", policyId))",event + masked bounded fields,masking,보안 이벤트 구조화 로그,없음,transactionId/executionId/segmentId/traceId/attempt 자동 상관,security structured,policy,alert/audit,observability/security,credential/token/raw PII 기록
Logging,@CpfAudit / CpfAuditSink,감사 이벤트,"@CpfAudit(action=""CONFIG_CHANGE"")",reason/actor/target/before/after,durability,내구·변조탐지 감사 계약,독립 commit 남발 금지,transactionId + approval lineage,append/tamper-evident,success/failure,outbox/durable boundary,audit,일반 application log로 감사 대체
Logging,CpfStructuredLogger.error,오류 기록,"structuredLogger.error(""member.lookup.failed"", error, Map.of(""memberId"", maskedId))",event + throwable + safe fields,masking,분류 가능한 오류 구조화 로그,원 tx 의미 변경 금지,transactionId/executionId/segmentId/traceId/attempt 자동 상관,error structured,classified error,sink policy,observability,raw payload/secret/무제한 stack context
Common,CpfCodeService.find,공통코드,"codeService.find(groupCode, code)","groupCode,code",locale/cache,Optional<CommonCode>,없음,current transaction context,common service log,found/notfound,refresh,common,Cache/Repository 구현체 직접 접근
Common,CpfMessageService.resolve,메시지,"messageService.resolve(messageCode, locale, arguments)","messageCode,locale,args",locale,String,없음,current transaction context,lookup/render,success/notfound,fallback policy,common,MessageCacheService 직접 접근
Common,CpfParameterService.findValue/requiredValue,파라미터,"parameterService.requiredValue(key, Integer.class)","key,type",scope,Optional<T>/T,없음,current transaction context,lookup,success/notfound,refresh,common,문자열 cast/ConfigCacheService 직접 접근
Common,CpfCalendarService.nextBusinessDay/previousBusinessDay/shiftBusinessDay,영업일,"calendarService.nextBusinessDay(calendarId, businessDate)","calendarId,date,offset",timezone/calendar,LocalDate,없음,current transaction context,calendar lookup,success/failure,fallback policy,common,"직접 휴일 SQL/nextBusinessDay(...,offset) 혼용"
Common,CpfTemplateService.render,템플릿,"templateService.render(templateCode, channel, data)","templateCode,channel,data",locale/version,String,없음,current transaction context,template render,success/business failure,version fallback,common,Template 저장소/Cache 직접 접근
File/Object,transfer/upload/download,파일/오브젝트 전송,typed file/object operations,stream/ref,"checksum,size,timeout",CpfResult<CpfTransferReceipt>,외부/IO boundary,"same TxId,file id segment",transfer lifecycle,success/technical/unknown,resume/reconcile,file/object,byte[] 전체 적재
Notification,send,알림 발송,notification.send(request),request,"provider,template,rate",CpfResult<Receipt>,external side effect,same TxId,dispatch/provider result,4-state,retry/dedup/reconcile,notification,provider SDK 직접 사용
Batch,checkpoint,재시작 지점 저장,checkpoint(state),state ref,frequency,receipt/status,chunk tx와 연계,job/step/TxId,checkpoint log,success/failure,resume,batch,ExecutionContext 대용량 payload
Batch,stop/cancel/drain,실행 제어,batchOperations.stop(...),execution id,reason/approval,CpfResult<CpfOperationReceipt>,운영 tx 별도,original execution lineage,operation/audit,accepted/failure/unknown,reconcile,batch,DB 직접 status update
