exact_id,requirement,work_package,development_result,source_static_verification,live_runtime_status,developer_status,evidence,review_note
CPF-ROUTING,service/instance/zone/version/weight/maintenance 정책에 따른 routing과 failover를 결정적으로 수행하고 승인된 운영 override와 audit를 제공한다.,Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-HEALTH,liveness·readiness·startup·dependency·business readiness를 구분하고 service identity·build SHA·schema version까지 검증 가능한 health 계약을 제공한다.,Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-HEADER,표준/확장 Header의 이름·형식·신뢰경계·생성자·전파·masking·최대크기·호환성을 정본화하고 spoofing을 차단한다. 업무 Online Transaction의 Canonical System6는 `CPF-SYSTEM6` 요구를 따른다.,Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-CONTEXT,"transaction, trace, segment, caller system, target system, principal, environment, optional channel, deadline, attempt context를 동기·비동기·Batch 전 구간에 보존한다. System과 Channel을 alias/mapping하지 않는다.",Batch,Retention pause expectedVersion을 실제 Policy rowVersion 계약과 연결하고 Batch Runtime/Command/Worker/Center-Cut 관련 current verifier와 runtime contracts를 현행화했다.,Batch/runtime tests and targeted gates; multi-worker live acceptance remains unverified,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-TXID,34자리 transactionId는 최초 신뢰 거래 기동점에서 한 번 생성되고 전체 Local/Remote/REST/Gateway/Message/Async/Retry/Batch/File/UNKNOWN/Reconcile/Log/ADM Timeline에서 불변으로 승계된다. 비신뢰 Browser/Client가 임의 생성·변조한 값을 신뢰하지 않으며 replay와 spoofing을 차단한다.,ADM,"ADM authentication/session, canonical Menu 64↔Route 68, Button/API/OpenAPI Operation identity 분리, System6 UI, Commercial Page capability/error contract, generated-client consumer 337/337을 구현·검증했다.","ADM OpenAPI 337/337, consumers 337/337 waiver 0, routes 68/menus 64/missing 0, commercial contract PASS",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-ROLE,"transaction role, direction, source/target, caller/receiver 관계를 표준 Context·Log·Audit에 일관되게 기록한다.",Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-ERROR,표준 오류 코드·HTTP/Protocol mapping·retryability·unknown-result·field error·operator message를 버전 가능한 계약으로 제공한다.,Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-VALID,"입력·출력·설정·Header·파일·메시지·SQL parameter 검증과 오류 위치, allowlist, 크기·깊이·개수 상한을 제공한다.",Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-IDEMP,"canonical request hash, scope, TTL, result replay, conflict semantics와 concurrent race를 포함한 idempotency 원장을 제공한다.",Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-STATE,"승인·비동기·배치·배포·복구 등 장기 거래의 허용 상태전이, 낙관적 잠금, terminal state, reconciliation을 명시한다.",Batch,Retention pause expectedVersion을 실제 Policy rowVersion 계약과 연결하고 Batch Runtime/Command/Worker/Center-Cut 관련 current verifier와 runtime contracts를 현행화했다.,Batch/runtime tests and targeted gates; multi-worker live acceptance remains unverified,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-LOCK,"optimistic/distributed lock, lease, fencing token, owner epoch, expiry, takeover와 stale writer 차단을 제공한다.",Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-RESILIENCE,"timeout, retry, circuit breaker, bulkhead, rate/backpressure, retry storm 방지와 operation별 정책을 제공한다.",Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-DEADLINE,요청 전체 deadline budget을 하위 호출·DB·Broker·파일·process에 분배하고 초과 시 cancel·cleanup·unknown-result 규칙을 적용한다.,Database / Migration / Seed / DB3,Oracle/PostgreSQL/MariaDB Canonical Seed/Source/Bundle 흐름을 단일화하고 ADM Menu Seed를 포함해 source/runtime bundle byte parity와 DB3 renderer/check를 보강했다.,"DB suite 157 PASS, DB3 canonical seed synchronizer/check, vendor render",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-SCHED,"기술 Scheduler의 trigger, cluster claim, misfire, calendar, idempotency, pause/resume, 운영 제어 계약을 정의하고 Batch Scheduler와 Owner를 분리한다.",Batch,Retention pause expectedVersion을 실제 Policy rowVersion 계약과 연결하고 Batch Runtime/Command/Worker/Center-Cut 관련 current verifier와 runtime contracts를 현행화했다.,Batch/runtime tests and targeted gates; multi-worker live acceptance remains unverified,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-OPSDB,"운영 DB의 공유/분리 topology, schema ownership, 연결 장애 시 fail-open/fail-closed, backpressure, 복구와 readiness를 정의한다.",Database / Migration / Seed / DB3,Oracle/PostgreSQL/MariaDB Canonical Seed/Source/Bundle 흐름을 단일화하고 ADM Menu Seed를 포함해 source/runtime bundle byte parity와 DB3 renderer/check를 보강했다.,"DB suite 157 PASS, DB3 canonical seed synchronizer/check, vendor render",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-LOGDB,DB Log의 schema·index·retention·masking·비동기 적재·조회 성능·장애 격리와 ADM projection을 제공한다.,Database / Migration / Seed / DB3,Oracle/PostgreSQL/MariaDB Canonical Seed/Source/Bundle 흐름을 단일화하고 ADM Menu Seed를 포함해 source/runtime bundle byte parity와 DB3 renderer/check를 보강했다.,"DB suite 157 PASS, DB3 canonical seed synchronizer/check, vendor render",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-FILELOG,"환경·Domain·Instance·transactionId·execution 단위로 탐색 가능한 구조화 File Log, rotation, retention, secure permission과 수집 계약을 제공한다.",Generated Domain / Generator,"root gradle.properties의 cpf.domain.* Developer Contract를 Gradle/Generator/Runtime 단일 소비 계약으로 사용하고 lock 없이 현재 Template에서 expected seed를 재계산한다. Generator 입력/상태 파일 미생성, externalClients typed consumer/config/error/test, DB Binding 분리를 구현했으며 minimal/composite Scratch Java25 및 Open Git projection을 검증했다. Current MBR/EXS regenerate/runtime와 최종 release 검증은 진행 중이다.","Generator Full Contract, generator verification, current root IA, DB3 render",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-LOGFAIL,"로그 저장 실패가 업무를 오염시키지 않도록 정책별 fail-open/closed, local spool, 재전송, 중복 제거, 유실 탐지와 alert를 제공한다.",Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-TRACE,"transactionId와 trace/span/segment/attempt를 연결하고 sampling, trace boost, baggage allowlist, cardinality·민감정보 통제를 제공한다.",Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-MASK,"PII/Secret/Credential 분류, context-aware masking/redaction, raw 조회 승인, logging/evidence/download 정책과 테스트 corpus를 제공한다.",Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CORE-FIXED,고정길이 전문 Layout/Field/Group/encoding/byte length/parser/writer/validator/version/streaming과 secure diagnostic engine을 제공한다.,Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CORE-FILE,"Path Alias, bounded streaming, checksum, atomic publish, symlink/path traversal 방지, cleanup, cancellation을 포함한 File/Attachment/Archive 기술 계약을 제공한다.",Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
