work_item_id,priority,work_package,developer_status,verification_status,overall_status,development_completion_reason,verification_incomplete_reason,current_source_identity
WP-R03.04,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,완료,미검증,미검증,mandatory Batch stage가 SKIP_ENV로 종료,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R03.05,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,완료,미검증,미검증,Source State After PASS이나 Managed State After FAIL,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R03.06,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,완료,미검증,미검증,Smoke 명칭/부분 contract가 다수 존재,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R04.01,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,미검증,localqa Generated Domain build 실패,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R04.02,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,미검증,cpf-member SampleTransactionControllerContractTest generator idempotent diff 실패 관측,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R04.03,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,미검증,cpf-external 동일 contract test idempotent diff 실패 관측,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R04.04,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,미검증,새 Domain 추가 자동 discovery 실물 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R04.05,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,미검증,Domain 추가가 기존 Domain에 zero-impact인지 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R04.06,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,미검증,Generated build가 product source composite/public boundary에 의존,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R04.07,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,미검증,Generated domain DB3 runtime closure 필요,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R05.01,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,미검증,Batch role별 실제 독립 Shell 대신 중앙 harness/tool 중심,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R05.02,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,미검증,control-plane 독립 Windows/Bash run/stop 실물 미확인,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R05.03,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,미검증,scheduler 독립 Windows/Bash run/stop 실물 미확인,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R05.04,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,미검증,worker 독립 Windows/Bash run/stop 실물 미확인,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R05.05,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,미검증,agent 독립 Windows/Bash run/stop 실물 미확인,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R05.06,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,미검증,center-cut 독립 Windows/Bash run/stop 실물 미확인,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R05.07,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,미검증,Windows/Linux parity 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R05.08,P1,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,미검증,중복 wrapper/retired shell 생성 위험,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R06.01,P0,WP-R06 Batch Dev/Test/Prod Profile & Effective Configuration,완료,미검증,미검증,agent만 application-prod.yml 존재; control-plane/scheduler/worker/center-cut은 공통 yml/properties 중심,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R06.02,P0,WP-R06 Batch Dev/Test/Prod Profile & Effective Configuration,완료,미검증,미검증,control-plane profile matrix closure,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R06.03,P0,WP-R06 Batch Dev/Test/Prod Profile & Effective Configuration,완료,미검증,미검증,scheduler profile matrix closure,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R06.04,P0,WP-R06 Batch Dev/Test/Prod Profile & Effective Configuration,완료,미검증,미검증,worker profile matrix closure,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R06.05,P0,WP-R06 Batch Dev/Test/Prod Profile & Effective Configuration,완료,미검증,미검증,agent profile matrix closure,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R06.06,P0,WP-R06 Batch Dev/Test/Prod Profile & Effective Configuration,완료,미검증,미검증,center-cut profile matrix closure,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R06.07,P0,WP-R06 Batch Dev/Test/Prod Profile & Effective Configuration,완료,미검증,미검증,profile 변경이 타 Domain/config에 미치는 영향 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R07.01,P0,WP-R07 Open Git Actual Fresh Release / Public Developer Workspace,완료,미검증,미검증,최신 Source 최상위 public/ 없음,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R07.02,P0,WP-R07 Open Git Actual Fresh Release / Public Developer Workspace,완료,미검증,미검증,최상위 bin/ 없음; public golden command 실물 미확인,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R07.03,P0,WP-R07 Open Git Actual Fresh Release / Public Developer Workspace,완료,미검증,미검증,Actual public Maven-folder release 미생성,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R07.04,P0,WP-R07 Open Git Actual Fresh Release / Public Developer Workspace,완료,미검증,미검증,Public Gradle wrapper/composite/build logic actual closure 없음,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R07.05,P0,WP-R07 Open Git Actual Fresh Release / Public Developer Workspace,완료,미검증,미검증,공개 Source boundary actual output 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R07.06,P0,WP-R07 Open Git Actual Fresh Release / Public Developer Workspace,완료,미검증,미검증,기존 generated result 복사 금지 requirement 미실행,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R07.07,P0,WP-R07 Open Git Actual Fresh Release / Public Developer Workspace,완료,미검증,미검증,EDU/Backoffice public source actual workspace build 미실행,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R07.08,P0,WP-R07 Open Git Actual Fresh Release / Public Developer Workspace,완료,미검증,미검증,reset/rerun idempotency 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R07.09,P0,WP-R07 Open Git Actual Fresh Release / Public Developer Workspace,완료,미검증,미검증,Windows/Linux parity 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R07.10,P1,WP-R07 Open Git Actual Fresh Release / Public Developer Workspace,완료,미검증,미검증,old public workspace/release output stale 위험,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R08.01,P0,WP-R08 Domain / Optional Capability Zero-Impact Mutation,완료,미검증,미검증,domain add/remove 실물 mutation 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R08.02,P0,WP-R08 Domain / Optional Capability Zero-Impact Mutation,완료,미검증,미검증,optional remove consumer dependency fail-closed 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R08.03,P0,WP-R08 Domain / Optional Capability Zero-Impact Mutation,완료,미검증,미검증,online-only/online+batch/batch remove mutation 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R08.04,P0,WP-R08 Domain / Optional Capability Zero-Impact Mutation,완료,미검증,미검증,Backoffice 제거 zero-impact 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R08.05,P0,WP-R08 Domain / Optional Capability Zero-Impact Mutation,완료,미검증,미검증,none/jdbc/mybatis/jpa supported option mutation 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R08.06,P0,WP-R08 Domain / Optional Capability Zero-Impact Mutation,완료,미검증,미검증,none/caffeine/redis/valkey/provider swap mutation 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R08.07,P0,WP-R08 Domain / Optional Capability Zero-Impact Mutation,완료,미검증,미검증,supported messaging option mutation 미검증,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
