requirement_id,canonical_requirement_id,개발GPT_수행상태,개발GPT_자체검수상태,acceptance_result,evidence_ref,remaining_gap,development_status,verification_status
CPF-FR-005623,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005624,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005625,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005626,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005627,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005628,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005629,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005630,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005631,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005632,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005633,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005634,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005635,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005636,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005637,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005638,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005639,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005640,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005641,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005642,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005643,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005644,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005645,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005646,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005647,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005648,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005649,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005650,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005651,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005652,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005653,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005654,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005655,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005656,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005657,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005658,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005659,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005660,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005661,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005662,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005663,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005664,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005665,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005666,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005667,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005668,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005669,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005670,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005671,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005672,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005673,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005674,ADM-RBAC,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmPermissionServiceTest.java; evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005675,ADM-RBAC,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmPermissionServiceTest.java; evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005676,ADM-RBAC,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmPermissionServiceTest.java; evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005677,ADM-RBAC,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmPermissionServiceTest.java; evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005678,ADM-RBAC,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmPermissionServiceTest.java; evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005679,ADM-RBAC,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmPermissionServiceTest.java; evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
