id_type,exact_id,work_item_id,development_status,verification_status,qa_status,evidence_path,final_completion
CPF-FR,CPF-FR-000029,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000029,false
CPF-FR,CPF-FR-000030,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000030,false
CPF-FR,CPF-FR-000031,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000031,false
CPF-FR,CPF-FR-000032,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000032,false
CPF-FR,CPF-FR-000033,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000033,false
CPF-FR,CPF-FR-000034,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000034,false
CPF-FR,CPF-FR-000035,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000035,false
CPF-FR,CPF-FR-000036,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000036,false
CPF-FR,CPF-FR-000037,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000037,false
CPF-FR,CPF-FR-000038,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000038,false
CPF-FR,CPF-FR-000039,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000039,false
CPF-FR,CPF-FR-000040,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000040,false
CPF-FR,CPF-FR-000041,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000041,false
CPF-FR,CPF-FR-000042,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000042,false
CPF-FR,CPF-FR-000043,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000043,false
CPF-FR,CPF-FR-000044,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000044,false
CPF-FR,CPF-FR-000045,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000045,false
CPF-FR,CPF-FR-000046,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000046,false
CPF-FR,CPF-FR-000047,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000047,false
CPF-FR,CPF-FR-000048,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000048,false
CPF-FR,CPF-FR-000049,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000049,false
CPF-FR,CPF-FR-000050,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000050,false
CPF-FR,CPF-FR-000051,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000051,false
CPF-FR,CPF-FR-000052,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000052,false
CPF-FR,CPF-FR-000053,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000053,false
CPF-FR,CPF-FR-000054,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000054,false
CPF-FR,CPF-FR-000055,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000055,false
CPF-FR,CPF-FR-000056,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000056,false
CPF-FR,CPF-FR-000057,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000057,false
CPF-FR,CPF-FR-000058,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000058,false
CPF-FR,CPF-FR-000059,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000059,false
CPF-FR,CPF-FR-000060,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000060,false
CPF-FR,CPF-FR-000061,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000061,false
CPF-FR,CPF-FR-000062,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000062,false
CPF-FR,CPF-FR-000063,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000063,false
CPF-FR,CPF-FR-000064,CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000064,false
CPF-FR,CPF-FR-000065,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000065,false
CPF-FR,CPF-FR-000066,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000066,false
CPF-FR,CPF-FR-000067,CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000067,false
CPF-FR,CPF-FR-000068,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000068,false
CPF-FR,CPF-FR-000069,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000069,false
CPF-FR,CPF-FR-000070,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000070,false
CPF-FR,CPF-FR-000071,CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000071,false
CPF-FR,CPF-FR-000072,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000072,false
CPF-FR,CPF-FR-000073,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000073,false
CPF-FR,CPF-FR-000074,CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000074,false
CPF-FR,CPF-FR-000075,CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000075,false
CPF-FR,CPF-FR-000076,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000076,false
CPF-FR,CPF-FR-000077,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000077,false
CPF-FR,CPF-FR-000078,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000078,false
CPF-FR,CPF-FR-000079,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000079,false
CPF-FR,CPF-FR-000080,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000080,false
CPF-FR,CPF-FR-000081,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000081,false
CPF-FR,CPF-FR-000082,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000082,false
CPF-FR,CPF-FR-000083,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000083,false
CPF-FR,CPF-FR-000084,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000084,false
CPF-FR,CPF-FR-000085,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000085,false
CPF-FR,CPF-FR-000086,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000086,false
CPF-FR,CPF-FR-000087,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000087,false
CPF-FR,CPF-FR-000088,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000088,false
CPF-FR,CPF-FR-000089,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000089,false
CPF-FR,CPF-FR-000090,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000090,false
CPF-FR,CPF-FR-000091,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000091,false
CPF-FR,CPF-FR-000092,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000092,false
CPF-FR,CPF-FR-000093,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000093,false
CPF-FR,CPF-FR-000094,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000094,false
CPF-FR,CPF-FR-000095,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,미완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000095,false
CPF-FR,CPF-FR-000096,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000096,false
CPF-FR,CPF-FR-000097,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000097,false
CPF-FR,CPF-FR-000098,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000098,false
CPF-FR,CPF-FR-000099,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000099,false
CPF-FR,CPF-FR-000100,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000100,false
CPF-FR,CPF-FR-000101,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000101,false
CPF-FR,CPF-FR-000102,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000102,false
CPF-FR,CPF-FR-000103,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000103,false
CPF-FR,CPF-FR-000104,CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000104,false
CPF-FR,CPF-FR-000105,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000105,false
CPF-FR,CPF-FR-000106,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000106,false
CPF-FR,CPF-FR-000107,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000107,false
CPF-FR,CPF-FR-000108,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000108,false
CPF-FR,CPF-FR-000109,CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000109,false
CPF-FR,CPF-FR-000110,CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000110,false
CPF-FR,CPF-FR-000111,CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000111,false
CPF-FR,CPF-FR-000112,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000112,false
CPF-FR,CPF-FR-000113,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000113,false
CPF-FR,CPF-FR-000114,CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000114,false
CPF-FR,CPF-FR-000115,CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000115,false
CPF-FR,CPF-FR-000116,CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000116,false
CPF-FR,CPF-FR-000117,CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000117,false
CPF-FR,CPF-FR-000118,CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000118,false
CPF-FR,CPF-FR-000119,CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000119,false
CPF-FR,CPF-FR-000120,CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000120,false
CPF-FR,CPF-FR-000121,CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000121,false
CPF-FR,CPF-FR-000122,CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000122,false
CPF-FR,CPF-FR-000123,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000123,false
CPF-FR,CPF-FR-000124,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000124,false
CPF-FR,CPF-FR-000125,CPF-WP-ARCH-BOUNDARY-02-IMPLEMENTATION_CONSUMER,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000125,false
CPF-FR,CPF-FR-000126,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000126,false
CPF-FR,CPF-FR-000127,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000127,false
CPF-FR,CPF-FR-000128,CPF-WP-ARCH-BOUNDARY-02-IMPLEMENTATION_CONSUMER,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000128,false
CPF-FR,CPF-FR-000129,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000129,false
CPF-FR,CPF-FR-000130,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000130,false
CPF-FR,CPF-FR-000131,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000131,false
