execution_order,requirement_id,phase_id,phase_name,work_package_id,priority,owner_module,requirement_group,capability,feature,function_type,predecessor_phase_ids,prerequisite_requirement_ids,blocking_phase_gate_id,parallel_execution_rule,change_freeze_rule,development_status,verification_status
00-00010088,CPF-FR-010088,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,보상,COMPENSATION,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010089,CPF-FR-010089,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Rollback·Forward Recovery,ROLLBACK,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010090,CPF-FR-010090,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,다중 인스턴스,MULTI_INSTANCE,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010091,CPF-FR-010091,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Local/Remote 동등성,LOCAL_REMOTE,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010092,CPF-FR-010092,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,혼합 버전 호환,MIXED_VERSION,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010093,CPF-FR-010093,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,인증,AUTHN,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010094,CPF-FR-010094,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,권한,AUTHZ,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010095,CPF-FR-010095,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Data Scope,DATA_SCOPE,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010096,CPF-FR-010096,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Masking·Privacy,MASKING,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010097,CPF-FR-010097,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,사유,REASON,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010098,CPF-FR-010098,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,승인,APPROVAL,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010099,CPF-FR-010099,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,감사,AUDIT,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010100,CPF-FR-010100,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Log,LOG,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010101,CPF-FR-010101,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Metric,METRIC,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010103,CPF-FR-010103,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Health·Readiness,HEALTH,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010104,CPF-FR-010104,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Alert·Runbook,ALERT_RUNBOOK,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010106,CPF-FR-010106,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,DB Ownership,DB_OWNER,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010107,CPF-FR-010107,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,DB Schema,DB_SCHEMA,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010108,CPF-FR-010108,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Runtime Query,DB_QUERY,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010109,CPF-FR-010109,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Migration,DB_MIGRATION,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010110,CPF-FR-010110,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,DB Rollback,DB_ROLLBACK,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010111,CPF-FR-010111,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,3 Vendor,DB_VENDOR,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010112,CPF-FR-010112,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,API·OpenAPI,API_OPENAPI,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010113,CPF-FR-010113,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Frontend 연결,FRONTEND,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010114,CPF-FR-010114,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,ADM 운영 기능,ADM_UI,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010115,CPF-FR-010115,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,MBW 업무 Backoffice,MBW_WEB,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010116,CPF-FR-010116,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Generator 영향,GENERATOR,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010117,CPF-FR-010117,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Sample·EDU,SAMPLE_EDU,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010118,CPF-FR-010118,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,JavaDoc·주석,JAVADOC,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010119,CPF-FR-010119,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,개발·운영 Guide,GUIDE,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010120,CPF-FR-010120,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Unit Test,UNIT_TEST,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010121,CPF-FR-010121,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Contract Test,CONTRACT_TEST,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010122,CPF-FR-010122,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Integration Test,INTEGRATION_TEST,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010123,CPF-FR-010123,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Runtime Test,RUNTIME_TEST,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010124,CPF-FR-010124,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Fault Test,FAULT_TEST,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010125,CPF-FR-010125,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Evidence,EVIDENCE,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010127,CPF-FR-010127,P00,정본·안전·상태 초기화,P00-GOV-REQ-REVIEW,P0,requirement governance,GOV,REQ-REVIEW,기능 목적·업무 결과,PURPOSE,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010128,CPF-FR-010128,P00,정본·안전·상태 초기화,P00-GOV-REQ-REVIEW,P0,requirement governance,GOV,REQ-REVIEW,Owner·경계,OWNER,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010129,CPF-FR-010129,P00,정본·안전·상태 초기화,P00-GOV-REQ-REVIEW,P0,requirement governance,GOV,REQ-REVIEW,실제 Consumer,CONSUMER,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
