persona,question,owner_document,section,expected_keywords,evidence,section_found,missing_keywords,status
플랫폼 운영자,ADM bootstrap을 어떻게 켜고 첫 로그인 후 무엇을 하나?,05_플랫폼운영매뉴얼.docx,18. ADM Bootstrap / 첫 로그인 운영,CPF_ADM_BOOTSTRAP_ENABLED | password | 변경,cpf-admin application.yml/App.vue,True,,PASS
ADM 운영자,UNKNOWN_RESULT를 어느 화면에서 확인하나?,04_ADM운영자매뉴얼.docx,4. Online·Trace·Incident 운영,Error | Unknown | /incidents,cpf-admin routes.ts,True,,PASS
ADM 운영자,배치 실패/재시작은 어떤 ADM 화면을 보나?,04_ADM운영자매뉴얼.docx,6. Batch 운영,/batch-executions | Recovery | Batch,cpf-admin routes.ts,True,,PASS
ADM 개발자,고객 업무 Query를 ADM에 연결하려면?,03_ADM개발자매뉴얼.docx,4. Query / Command 계약,Query | Command | Owner,문서 정본 + Source Trace,True,,PASS
ADM 개발자,Command에 expected version과 approval은 어떻게 붙이나?,03_ADM개발자매뉴얼.docx,5. Timeout·Expected Version·Idempotency·UNKNOWN_RESULT,Expected | Idempotency | UNKNOWN_RESULT,문서 정본 + Source Trace,True,,PASS
ADM 개발자,조회 화면과 변경 화면의 계약을 어떻게 구분하나?,03_ADM개발자매뉴얼.docx,14. 예시 - Query 전용 화면과 Command 화면을 섞지 않는 법,Query | Command | Approval,문서 정본 + Source Trace,True,,PASS
온라인 개발자,Starter는 어떤 것들을 지원하나?,01_개발자매뉴얼.docx,18. Starter / Capability Profile 현재 구조,6 | 7 | Profile,cpf-starter-catalog.json/settings.gradle,True,,PASS
아키텍트,Starter/Profile의 계약 정본은 어디인가?,기술사양서.docx,2. Capability Profile / Starter Catalog,Profile | Starter | Catalog,cpf-starter-catalog.json,True,,PASS
온라인 개발자,새 업무 Domain을 만드는 순서는?,01_개발자매뉴얼.docx,24. Generator 실무 순서,Generator | Profile | resolved,create-domain.ps1/catalog,True,,PASS
온라인 개발자,공통 Utility에는 어떤 API가 있나?,01_개발자매뉴얼.docx,2. CPF Public Utility API Catalog,CpfStrings | CpfDates | CpfJson,cpf-core api/util,True,,PASS
온라인 개발자,CPF Public API signature를 빨리 보고 싶다,기술사양서.docx,15. Public Utility Signature 상세,CpfStrings | CpfPages | Method,문서 정본 + Source Trace,True,,PASS
리뷰어,Public API를 추가할 때 지켜야 할 규칙은?,기술표준서.docx,1. 적용 원칙,Public | Internal | Owner,문서 정본 + Source Trace,True,,PASS
온라인 개발자,페이징은 Page/Slice/Cursor 중 무엇을 써야 하나?,01_개발자매뉴얼.docx,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,Page | Slice | Cursor | Export,문서 정본 + Source Trace,True,,PASS
온라인 개발자,기본 page size와 max는?,01_개발자매뉴얼.docx,"3. Paging Reference - Offset, Slice, Sort, Cursor",20 | 200 | 0,문서 정본 + Source Trace,True,,PASS
온라인 개발자,Cursor 위변조는 어떻게 막나?,01_개발자매뉴얼.docx,3.2 Cursor 위변조 처리,HMAC | 32 | 위변조,CpfHmacCursorCodec,True,,PASS
리뷰어,Paging/Export 구현 표준은?,기술표준서.docx,5. Query/Paging/Export 표준,Sort | Export | Page,문서 정본 + Source Trace,True,,PASS
온라인 개발자,Transaction을 어디까지 묶어야 하나?,01_개발자매뉴얼.docx,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,Local | 외부 | 분리,문서 정본 + Source Trace,True,,PASS
온라인 개발자,HTTP 호출 뒤 응답이 유실되면 rollback인가?,01_개발자매뉴얼.docx,14.3 Online Transaction Worked Cases - 개발 중 바로 판단하는 4개 사례,응답 유실 | UNKNOWN_RESULT | Reconcile,문서 정본 + Source Trace,True,,PASS
온라인 개발자,A→B→C 인스턴스가 다르면 transaction/log는 어떻게 이어지나?,01_개발자매뉴얼.docx,8. A → B → C 다중 인스턴스 Transaction / Log,transactionId | segmentId | instanceId,문서 정본 + Source Trace,True,,PASS
온라인 개발자,개발자가 로그에 어떤 필드를 남겨야 하나?,01_개발자매뉴얼.docx,14.4 개발 로그 필드 Checklist - A→B→C를 실제로 찾을 수 있게,transactionId | traceId | attempt,문서 정본 + Source Trace,True,,PASS
운영자,A→B→C 중 C 응답 유실을 어떻게 추적하나?,05_플랫폼운영매뉴얼.docx,12.2 A→B→C 장애 실제 추적 예 - C 응답 유실,AVAILABLE | MISSING | STALE,문서 정본 + Source Trace,True,,PASS
운영자,Source가 NOT_APPLICABLE인지 MISSING인지 어떻게 구분하나?,05_플랫폼운영매뉴얼.docx,4.2 Source Freshness - NOT_APPLICABLE과 MISSING을 혼동하지 않는다,NOT_APPLICABLE | MISSING | STALE,문서 정본 + Source Trace,True,,PASS
아키텍트,분산 transaction을 왜 하나의 DB transaction처럼 다루지 않나?,아키텍처설계서.docx,7. Transaction / Consistency Architecture,Owner | Local TX | Compensation,문서 정본 + Source Trace,True,,PASS
연계 개발자,외부 REST 연동용 프레임워크 API는?,01_개발자매뉴얼.docx,4. 서비스 간 HTTP Public API - CpfHttpClient,CpfHttpClient | get | post,CpfHttpClient.java,True,,PASS
연계 개발자,CpfHttpClient 실제 코드는 어디에 예제가 있나?,01_개발자매뉴얼.docx,20. CpfHttpClient 실제 사용 예,import | CpfHttpClient | post,문서 정본 + Source Trace,True,,PASS
연계 개발자,TCP/Fixed-length/ISO8583/SFTP 중 무엇을 선택하나?,01_개발자매뉴얼.docx,19. 외부연계 선택표와 Public 진입점,TCP | ISO8583 | SFTP,문서 정본 + Source Trace,True,,PASS
연계 개발자,외부 호출 timeout 후 재시도해도 되는지?,01_개발자매뉴얼.docx,25. 외부연계 Fault Decision Matrix,Timeout | UNKNOWN_RESULT | Retry,문서 정본 + Source Trace,True,,PASS
아키텍트,외부연계 전체 Architecture는?,아키텍처설계서.docx,8. Integration Architecture,HTTP | Message | File,문서 정본 + Source Trace,True,,PASS
배치 개발자,Tasklet/Chunk/Partition/Remote Worker는 언제 선택하나?,02_배치개발매뉴얼.docx,2. Tasklet / Chunk / Partition / Remote Worker 선택,Tasklet | Chunk | Partition | Remote,문서 정본 + Source Trace,True,,PASS
배치 개발자,Chunk retry/skip/rollback 기준은?,02_배치개발매뉴얼.docx,4. Chunk Transaction / Retry / Skip / Rollback,Retry | Skip | Rollback,문서 정본 + Source Trace,True,,PASS
배치 개발자,Stop/Restart/Abandon 차이는?,02_배치개발매뉴얼.docx,5. Checkpoint / Stop / Restart / Abandon,Checkpoint | Restart | Abandon,문서 정본 + Source Trace,True,,PASS
배치 개발자,부분 성공 후 Restart/Reprocess/Reconcile 중 무엇을 선택하나?,02_배치개발매뉴얼.docx,13.2 Restart / Reprocess / Reconcile 선택표,Restart | Reprocess | Reconcile,문서 정본 + Source Trace,True,,PASS
배치 운영자,Scheduler misfire와 중복 trigger는?,02_배치개발매뉴얼.docx,20. Scheduler·Misfire·중복 Trigger,Misfire | Trigger | 중복,문서 정본 + Source Trace,True,,PASS
배치 운영자,Center-Cut 설계 시 무엇을 확인하나?,02_배치개발매뉴얼.docx,21. Center-Cut 설계 Checklist,Partition | Chunk | 대사,문서 정본 + Source Trace,True,,PASS
API 운영자,Gateway는 언제 써야 하나?,91_Gateway매뉴얼.docx,2. 선택 기준 - 언제 쓰고 언제 쓰지 않는가,trust boundary | Route | Gateway,문서 정본 + Source Trace,True,,PASS
API 운영자,Gateway를 어떻게 설치하나?,91_Gateway매뉴얼.docx,22. 신규 Gateway 설치 순서,DB | Secret | Health | Route,cpf-gateway application.yml,True,,PASS
API 운영자,Gateway 기본 Port와 주요 Safety 설정은?,91_Gateway매뉴얼.docx,4. 기동 전 Safety 상한,8070 | 90s | 2 | 10485760,cpf-gateway application.yml,True,,PASS
API 운영자,외부 /partner/payments를 내부 서비스로 라우팅하는 예는?,91_Gateway매뉴얼.docx,23. Route 설계 예 - 외부 /partner/payments → 내부 payment-service,/partner/payments | payment-service | Rewrite,문서 정본 + Source Trace,True,,PASS
API 운영자,Route publish 후 일부 instance만 ACK하면?,91_Gateway매뉴얼.docx,11. ACK/NACK·Partial Apply,ACK | NACK | Partial,문서 정본 + Source Trace,True,,PASS
API 운영자,마지막 정상 버전으로 되돌리는 기준은?,91_Gateway매뉴얼.docx,12. LKG·Rollback·Reconciliation,LKG | Rollback | Reconciliation,문서 정본 + Source Trace,True,,PASS
보안 담당자,Gateway HMAC/Nonce/TLS/SSRF 규칙은?,91_Gateway매뉴얼.docx,7. HMAC·Audience·Body Hash·Nonce·SSRF·TLS,HMAC | Nonce | SSRF | TLS,문서 정본 + Source Trace,True,,PASS
BZA 관리자,BZA는 언제 선택해야 하나?,90_BZA매뉴얼.docx,2. 도입 판단 - 언제 선택하고 언제 선택하지 않는가,조직 | 권한 | 결재,문서 정본 + Source Trace,True,,PASS
BZA 관리자,초기 관리자는 어떻게 생성하고 인계하나?,90_BZA매뉴얼.docx,4. 초기 관리자·Bootstrap·보안 인계,Bootstrap | 고정 | 인계,문서 정본 + Source Trace,True,,PASS
BZA 관리자,Effective Permission은 어떻게 확인하나?,90_BZA매뉴얼.docx,15. Effective Permission 계산 질문,Role | Data Scope | Simulation,문서 정본 + Source Trace,True,,PASS
BZA 관리자,결재 응답이 유실되면 다시 승인해도 되나?,90_BZA매뉴얼.docx,16. 결재 응답 유실/중복 처리,응답 유실 | Idempotency | Reconcile,문서 정본 + Source Trace,True,,PASS
감사 담당자,BZA 다운로드/Export는 어떤 감사가 남나?,90_BZA매뉴얼.docx,22. Download/Export 통제,Audit | Export | Masking,문서 정본 + Source Trace,True,,PASS
DBA,Column 추가 migration 전략은?,데이터베이스표준서.docx,11. DB 변경 유형별 Migration Strategy,column | migration | Rollback,문서 정본 + Source Trace,True,,PASS
DBA,Restore 후 무엇으로 정상화를 판정하나?,데이터베이스표준서.docx,16. Restore 후 데이터 대사,Restore | 대사 | Hash,문서 정본 + Source Trace,True,,PASS
DBA,DB Vendor parity는 무엇을 비교하나?,데이터베이스표준서.docx,12. DB Vendor Parity Checklist,MariaDB | PostgreSQL | Oracle,문서 정본 + Source Trace,True,,PASS
보안 담당자,Permission/Masking/Approval/Audit 표준은?,기술표준서.docx,9. Security·Permission·Masking·Approval·Audit 표준,Permission | Masking | Approval | Audit,문서 정본 + Source Trace,True,,PASS
SRE,FileLog disk full 이후 정상화는?,05_플랫폼운영매뉴얼.docx,12.3 FileLog 장애 Runbook - Disk Full → Replay 정상화,Disk Full | Replay | terminalLoss,문서 정본 + Source Trace,True,,PASS
SRE,Rolling/Blue-Green/Canary를 언제 선택하나?,05_플랫폼운영매뉴얼.docx,24. 배포 전략 선택표,Rolling | Blue-Green | Canary,문서 정본 + Source Trace,True,,PASS
DR 담당자,Failover/Failback 정상 판정은?,05_플랫폼운영매뉴얼.docx,27. DR Failover/Failback 판정,Failover | Failback | RTO,문서 정본 + Source Trace,True,,PASS
인수 담당자,어떤 질문에 어떤 문서 Pack을 받아야 하나?,산출물목록.docx,11. 질문 유형별 필요한 문서 Pack,제안 | 개발 | 운영,문서 정본 + Source Trace,True,,PASS
문서 관리자,Source 변경 시 어떤 문서를 같이 바꿔야 하나?,산출물목록.docx,9. 변경 영향 → 갱신해야 할 산출물,Public API | Route | Property,문서 정본 + Source Trace,True,,PASS
리뷰어,문서와 Source를 같은 변경 단위로 유지하는 규칙은?,기술표준서.docx,18. 문서/Source 변경 동시성 표준,Owner Document | Source | 변경,문서 정본 + Source Trace,True,,PASS
아키텍트,각 Module 책임과 의존 방향은?,아키텍처설계서.docx,4. Module Ownership과 의존 방향,cpf-core | cpf-common | cpf-admin,문서 정본 + Source Trace,True,,PASS
아키텍트,Security trust boundary는 어디서 판단하나?,아키텍처설계서.docx,19. Security Trust Boundary,Trust | Gateway | Service,문서 정본 + Source Trace,True,,PASS
