persona,lifecycle,feature,intent,owner_document,owner_section,status
의사결정자/제안자,검토,Architecture·Topology,Restart/Reprocess는,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,Reconcile/Compensation은,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,Rollback은,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,권한/보안/감사는,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,Log/Metric/Trace/Test/Source는,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Module Ownership,무엇인가,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,왜 쓰나,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,언제 쓰나,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,어디서 찾나,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,어떻게 선택하나,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,언제 쓰지 말아야 하나,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,선행조건은,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,입력과 기본값은,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,설정 범위는,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,순서는,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,정상 결과는,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,오류면,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,Timeout이면,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,동시성 충돌이면,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,중복이면,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,부분 실패면,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,Retry 가능한가,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,Restart/Reprocess는,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,Reconcile/Compensation은,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,Rollback은,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,권한/보안/감사는,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Module Ownership,Log/Metric/Trace/Test/Source는,arch,4. Module Ownership과 의존 방향,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,무엇인가,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,왜 쓰나,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,언제 쓰나,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,어디서 찾나,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,어떻게 선택하나,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,언제 쓰지 말아야 하나,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,선행조건은,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,입력과 기본값은,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,설정 범위는,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,순서는,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,정상 결과는,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,오류면,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,Timeout이면,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,동시성 충돌이면,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,중복이면,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,부분 실패면,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,Retry 가능한가,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,Restart/Reprocess는,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,Reconcile/Compensation은,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,Rollback은,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,권한/보안/감사는,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Starter·Capability Profile,Log/Metric/Trace/Test/Source는,01,18. Starter / Capability Profile 현재 구조,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,무엇인가,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,왜 쓰나,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,언제 쓰나,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,어디서 찾나,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,어떻게 선택하나,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,언제 쓰지 말아야 하나,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,선행조건은,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,입력과 기본값은,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,설정 범위는,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,순서는,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,정상 결과는,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,오류면,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,Timeout이면,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,동시성 충돌이면,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,중복이면,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,부분 실패면,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,Retry 가능한가,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,Restart/Reprocess는,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,Reconcile/Compensation은,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,Rollback은,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,권한/보안/감사는,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,Generator·신규 Domain,Log/Metric/Trace/Test/Source는,01,24. Generator 실무 순서,ROUTED
의사결정자/제안자,검토,공통 Utility API,무엇인가,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,왜 쓰나,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,언제 쓰나,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,어디서 찾나,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,어떻게 선택하나,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,언제 쓰지 말아야 하나,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,선행조건은,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,입력과 기본값은,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,설정 범위는,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,순서는,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,정상 결과는,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,오류면,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,Timeout이면,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,동시성 충돌이면,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,중복이면,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,부분 실패면,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,Retry 가능한가,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,Restart/Reprocess는,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,Reconcile/Compensation은,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,Rollback은,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,권한/보안/감사는,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,공통 Utility API,Log/Metric/Trace/Test/Source는,01,2. CPF Public Utility API Catalog,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,무엇인가,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,왜 쓰나,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,언제 쓰나,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,어디서 찾나,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,어떻게 선택하나,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,언제 쓰지 말아야 하나,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,선행조건은,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,입력과 기본값은,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,설정 범위는,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,순서는,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,정상 결과는,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,오류면,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,Timeout이면,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,동시성 충돌이면,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,중복이면,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,부분 실패면,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,Retry 가능한가,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,Restart/Reprocess는,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,Reconcile/Compensation은,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,Rollback은,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,권한/보안/감사는,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,Query·Paging·Export,Log/Metric/Trace/Test/Source는,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export,ROUTED
의사결정자/제안자,검토,온라인 Transaction,무엇인가,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,왜 쓰나,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,언제 쓰나,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,어디서 찾나,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,어떻게 선택하나,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,언제 쓰지 말아야 하나,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,선행조건은,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,입력과 기본값은,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,설정 범위는,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,순서는,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,정상 결과는,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,오류면,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,Timeout이면,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,동시성 충돌이면,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,중복이면,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,부분 실패면,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,Retry 가능한가,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,Restart/Reprocess는,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,Reconcile/Compensation은,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,Rollback은,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,권한/보안/감사는,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,온라인 Transaction,Log/Metric/Trace/Test/Source는,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,무엇인가,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,왜 쓰나,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,언제 쓰나,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,어디서 찾나,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,어떻게 선택하나,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,언제 쓰지 말아야 하나,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,선행조건은,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,입력과 기본값은,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,설정 범위는,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,순서는,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,정상 결과는,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,오류면,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,Timeout이면,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,동시성 충돌이면,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,중복이면,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,부분 실패면,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,Retry 가능한가,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,Restart/Reprocess는,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,Reconcile/Compensation은,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,Rollback은,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,권한/보안/감사는,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Idempotency·UNKNOWN_RESULT,Log/Metric/Trace/Test/Source는,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation,ROUTED
의사결정자/제안자,검토,Local·Remote 호출,무엇인가,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Local·Remote 호출,왜 쓰나,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Local·Remote 호출,언제 쓰나,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Local·Remote 호출,어디서 찾나,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Local·Remote 호출,어떻게 선택하나,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Local·Remote 호출,언제 쓰지 말아야 하나,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Local·Remote 호출,선행조건은,arch,5. 지원 Topology와 동등성,ROUTED
