id,area,status,severity,title,requirement,validation,evidence
CPF-QA-FND-011,FND,실패,P0,Cache Listener 과거 이벤트 건너뜀,기동 시 max event ID를 cursor로 설정해 Offline 기간 이벤트를 건너뛴다.,기동 시 canonical snapshot version과 applied version을 reconcile.,CacheRefreshEventListener.java
CPF-QA-FND-012,FND,부분 구현,P0,Cache 대상·ACK·Drift 부재,"Cache event에 service/group/instance target, consumer ACK, applied version, drift가 없다.","개별 ACK, backlog, retry, poison, drift/reconcile runtime 검증.",cache refresh 구현
CPF-QA-FND-013,FND,실패,P0,Routing Weight 미사용,Selector가 weight/priority/zone/group/canary를 쓰지 않고 첫 active+UP를 선택한다.,"분배 통계, drain/health/circuit/fencing/failover 순서를 검증.",CpfHealthAwareInstanceSelector.java
CPF-QA-FND-014,FND,부분 구현,P0,Gateway Route polling-only,30초 Local Memory Snapshot이며 startup failure를 삼키고 empty로 기동 가능하다.,"Desired/Actual/ACK/Drift, 2 Gateway rollout/rollback/readiness 검증.",CpfGatewayRouteSnapshot.java
CPF-QA-FND-015,FND,실패,P0,Gateway header/path 검증 우회,validateHeader=false로 URI/Header 실행 ID 불일치를 허용한다.,"외부 우회 제거 또는 별도 내부 권한, negative E2E.",CpfGatewayController.java
CPF-QA-FND-016,FND,부분 구현,P0,Gateway POST·byte[] 한정,"GET/PUT/PATCH/DELETE, query/path, multipart/range/streaming/backpressure가 부족하다.",method/content type별 contract와 대용량 bounded-memory 검증.,Gateway Controller/Proxy
CPF-QA-FND-017,FND,실패,P0,Gateway Header Trust 과다 전달,일부 header만 제외하고 대부분 inbound header를 전달한다.,principal/client IP/forwarded/auth/transaction trust policy와 spoof test.,CpfGatewayProxyService.java
CPF-QA-FND-018,FND,실패,P0,Gateway 인증 Header 존재 판단,Authorization/API Key 존재만 인증 여부로 넘긴다.,검증된 Principal 결과만 channel/auth policy에 사용.,CpfGatewayProxyService.java
CPF-QA-FND-019,FND,부분 구현,P0,Gateway auditReasonRequired 미집행,Route 계약의 auditReasonRequired가 Proxy 경로에서 집행되지 않는다.,"무사유 거부, immutable audit, downstream 결과 연결.",CpfGatewayRoute/CpfGatewayProxyService
CPF-QA-FND-020,FND,부분 구현,P0,Gateway 비멱등 Retry 안전성,POST 등 비멱등 요청의 replay/idempotency/unknown 정책이 불충분하다.,response loss/reset/5xx에서 중복 side effect 0.,ServiceCall 연계
CPF-QA-FND-021,FND,실패,P0,BZA 로그인 Token 결과 비멱등,같은 login operationId 재시도마다 이전 refresh token을 revoke하고 새 token을 낼 수 있어 동시 응답 race가 난다.,동일 operation의 안전한 단일 결과 또는 generation/fencing 검증.,BzaLoginTransactionService
CPF-QA-FND-022,FND,실패,P0,BZA Login payload hash 부재,같은 operationId와 loginId면 다른 request fingerprint 충돌을 검출하지 못한다.,"동일 payload 멱등, 다른 payload 409.",bza_login_operation
CPF-QA-FND-023,FND,부분 구현,P0,BZA Refresh operationId 부재,refresh 회전에 operationId/result recovery가 없어 응답 유실 복구가 어렵다.,"refresh idempotency, response-loss, concurrent reuse.",BzaAuthService.refresh
CPF-QA-FND-024,FND,부분 구현,P1,ADM 인증 상태갱신·Session 발급 분리,lastLogin/failCount 갱신 뒤 session insert가 실패할 수 있다.,session insert fault에서 계정/이력/응답 일관성 검증.,AdmOperatorService/AdmSessionService
CPF-QA-FND-025,FND,실패,P1,ADM 로그인 실패 Count 동시성,읽은 값+1 update라 동시 실패 count 손실 가능성이 있다.,원자 증가/CAS와 정확한 lock transition.,AdmOperatorService.authenticate
CPF-QA-FND-026,FND,부분 구현,P1,ADM 생성 payload hash 부재,동일 operationId/operatorId의 다른 password/profile payload를 기존 결과로 반환할 수 있다.,request hash conflict와 response-loss test.,AdmOperatorService.createOperator
CPF-QA-FND-027,FND,부분 구현,P1,ADM Role 변경 CAS 부족,Role mapping delete/reinsert에 요청 expectedVersion CAS가 확인되지 않는다.,"동시 role 변경 lost update 0, session revoke 원자성.",AdmOperatorService.updateRoles
CPF-QA-FND-028,FND,부분 구현,P1,ADM 목록 N+1·무Paging,"전체 operator 조회 후 row마다 role query, DB paging 없음.",server paging/filter/sort/bulk role projection 성능 검증.,AdmOperatorService.findOperators
CPF-QA-FND-029,FND,부분 구현,P1,ADM Session 목록 Java limit,DB 전체 결과 후 Java limit 500을 적용한다.,DB cursor/paging/index/retention 대량 성능.,AdmSessionService.findSessions
CPF-QA-FND-030,FND,부분 구현,P1,Permission Manifest 수동 중복,"Filter map, DB seed, frontend menu, OpenAPI가 수동 중복 관리된다.",단일 versioned manifest와 parity gate.,AdmApiAuthFilter
CPF-QA-FND-031,FND,실패,P1,Permission matcher Spring 불일치,custom '*' matcher가 MVC PathPattern/decoding과 다를 수 있다.,동일 canonical matcher와 encoded path negative test.,matchesApiPattern
CPF-QA-FND-032,FND,부분 구현,P1,Permission 요청당 Full Scan,요청마다 permission rows를 읽고 Java pattern matching한다.,"versioned snapshot/cache, invalidation ACK, load test.",hasDbApiPermission
CPF-QA-FND-033,FND,부분 구현,P1,Bootstrap 최고권한 Lifecycle,ACTIVE+ADM_ADMIN bootstrap의 one-time secret/종료/rotation/audit가 부족하다.,설치·재실행·탈취·비활성 lifecycle 검증.,bootstrapOperator
CPF-QA-FND-034,FND,부분 구현,P1,Stack 상태 TARGET,Boot4.1/Java25/Gradle9.1을 TARGET으로 두며 전체 topology evidence가 없다.,SUPPORTED_GA 변경 전 모든 topology build/runtime.,cpf-stack.properties
CPF-QA-FND-035,FND,실패,P0,Migration checksum history 축소,MariaDB Flyway checksum manifest가 V61~V63만 포함한다.,전체 migration history/checksum/tamper detection.,checksums.sha256
CPF-QA-FND-036,FND,부분 구현,P0,V63 operation 상태 부족,PROCESSING/SUCCESS만 있고 payload hash/failure/unknown/expiry/result generation이 없다.,state machine과 3 vendor parity.,V63__bza_login_atomic_operation.sql
CPF-QA-FND-037,FND,재확인 필요,P1,Reference Domain·cpf-account 역할 불명,cpf-member/cpf-account/cpf-reference가 함께 conditional include된다.,"공식 golden/reference 수와 역할 ADR, parity/remove/regenerate.",settings.gradle
CPF-QA-FND-038,FND,부분 구현,P1,Hygiene Gate 의미 분석 부족,경로 패턴만 보며 dead package/sample/edu/orphan/stale evidence를 못 찾는다.,semantic inventory와 consumer graph.,check-repository-hygiene.ps1
CPF-QA-FND-039,FND,미구현,P1,One-shot Cleanup Script 부재,cleanup-repository-residue.ps1이 없다.,"allowlist manifest, dry-run/apply/backup/rollback/gate/evidence.",Not Found
CPF-QA-FND-040,FND,재확인 필요,P1,common sample·core edu Ownership,이름만으로 삭제하지 말고 requirement/consumer/build/test/generator/docs를 추적해야 한다.,유지·이관·통합·삭제 분류 후 regression.,사용자 지적/정본 ownership
CPF-QA-GOV-001,GOV,부분 구현,P0,최신 SHA 단일 기준,Governance 기준으로 최신 SHA 단일 기준을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,최신 SHA 단일 기준의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-002,GOV,부분 구현,P0,완료 상태 Evidence 계약,Governance 기준으로 완료 상태 Evidence 계약을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,완료 상태 Evidence 계약의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-003,GOV,부분 구현,P0,선택 Change Set 부분 구현 종료 금지,Governance 기준으로 선택 Change Set 부분 구현 종료 금지을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,선택 Change Set 부분 구현 종료 금지의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-004,GOV,부분 구현,P0,외부 환경 미검증 Release 차단,Governance 기준으로 외부 환경 미검증 Release 차단을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,외부 환경 미검증 Release 차단의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-005,GOV,부분 구현,P1,Requirement ID 영속성,Governance 기준으로 Requirement ID 영속성을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,Requirement ID 영속성의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-006,GOV,부분 구현,P1,신규 결함 개수 제한 없는 추가,Governance 기준으로 신규 결함 개수 제한 없는 추가을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,신규 결함 개수 제한 없는 추가의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-007,GOV,부분 구현,P1,동일 근본 원인 병합 기준,Governance 기준으로 동일 근본 원인 병합 기준을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,동일 근본 원인 병합 기준의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-008,GOV,부분 구현,P1,문서 완료보다 실제 Git 우선,Governance 기준으로 문서 완료보다 실제 Git 우선을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,문서 완료보다 실제 Git 우선의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-009,GOV,부분 구현,P0,실행하지 않은 PASS 금지,Governance 기준으로 실행하지 않은 PASS 금지을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,실행하지 않은 PASS 금지의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-010,GOV,부분 구현,P1,정적 Gate 한계 명시,Governance 기준으로 정적 Gate 한계 명시을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,정적 Gate 한계 명시의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-011,GOV,부분 구현,P1,Codex 독립 재검수,Governance 기준으로 Codex 독립 재검수을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,Codex 독립 재검수의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-012,GOV,부분 구현,P1,변경 전 영향도 Ledger,Governance 기준으로 변경 전 영향도 Ledger을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,변경 전 영향도 Ledger의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-013,GOV,부분 구현,P1,변경 후 실제 Diff 대조,Governance 기준으로 변경 후 실제 Diff 대조을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,변경 후 실제 Diff 대조의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-014,GOV,부분 구현,P1,기존 성공 기능 보호 목록,Governance 기준으로 기존 성공 기능 보호 목록을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,기존 성공 기능 보호 목록의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-015,GOV,부분 구현,P1,완료 금지조건 자동 Gate,Governance 기준으로 완료 금지조건 자동 Gate을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,완료 금지조건 자동 Gate의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-016,GOV,부분 구현,P1,Current Request 현재 작업만 유지,Governance 기준으로 Current Request 현재 작업만 유지을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,Current Request 현재 작업만 유지의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-017,GOV,부분 구현,P1,Handover 독립 실행성,Governance 기준으로 Handover 독립 실행성을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,Handover 독립 실행성의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-018,GOV,부분 구현,P1,Evidence 최신 Commit 유효성,Governance 기준으로 Evidence 최신 Commit 유효성을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,Evidence 최신 Commit 유효성의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-019,GOV,부분 구현,P1,민감정보 Evidence Redaction,Governance 기준으로 민감정보 Evidence Redaction을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,민감정보 Evidence Redaction의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-020,GOV,부분 구현,P0,사용자 승인 없는 Git Write 금지,Governance 기준으로 사용자 승인 없는 Git Write 금지을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,사용자 승인 없는 Git Write 금지의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-021,GOV,부분 구현,P1,제품 정책 변경 사용자 승인,Governance 기준으로 제품 정책 변경 사용자 승인을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,제품 정책 변경 사용자 승인의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-022,GOV,부분 구현,P1,완료 보고 자동 Traceability,Governance 기준으로 완료 보고 자동 Traceability을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,완료 보고 자동 Traceability의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-023,GOV,부분 구현,P1,품질 수치보다 실패 모드 우선,Governance 기준으로 품질 수치보다 실패 모드 우선을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,품질 수치보다 실패 모드 우선의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-024,GOV,부분 구현,P1,Release Candidate 불변성,Governance 기준으로 Release Candidate 불변성을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,Release Candidate 불변성의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-025,GOV,부분 구현,P1,분산 작업 Continuity,Governance 기준으로 분산 작업 Continuity을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,분산 작업 Continuity의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-026,GOV,부분 구현,P1,Requirement Count 감소 Mapping,Governance 기준으로 Requirement Count 감소 Mapping을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,Requirement Count 감소 Mapping의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-027,GOV,부분 구현,P1,폐기 Requirement 승인 근거,Governance 기준으로 폐기 Requirement 승인 근거을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,폐기 Requirement 승인 근거의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-028,GOV,부분 구현,P1,작업별 Owner 책임 명시,Governance 기준으로 작업별 Owner 책임 명시을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,작업별 Owner 책임 명시의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-029,GOV,부분 구현,P1,검증 환경 Capability 기록,Governance 기준으로 검증 환경 Capability 기록을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,검증 환경 Capability 기록의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-030,GOV,부분 구현,P1,실패 이력 보존,Governance 기준으로 실패 이력 보존을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,실패 이력 보존의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-GOV-031,GOV,부분 구현,P1,False-positive Gate 예외 만료,Governance 기준으로 False-positive Gate 예외 만료을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,False-positive Gate 예외 만료의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-ARCH-001,ARCH,부분 구현,P0,Public API SPI Internal Package 강제,Architecture 원칙으로 Public API SPI Internal Package 강제을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,Public API SPI Internal Package 강제의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-ARCH-002,ARCH,부분 구현,P0,Module Dependency DAG 강제,Architecture 원칙으로 Module Dependency DAG 강제을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,Module Dependency DAG 강제의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-ARCH-003,ARCH,부분 구현,P0,순환 의존 차단,Architecture 원칙으로 순환 의존 차단을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,순환 의존 차단의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-ARCH-004,ARCH,부분 구현,P1,Owner 없는 공통 기능 금지,Architecture 원칙으로 Owner 없는 공통 기능 금지을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,Owner 없는 공통 기능 금지의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-ARCH-005,ARCH,부분 구현,P1,실제 Consumer 없는 추상화 제거,Architecture 원칙으로 실제 Consumer 없는 추상화 제거을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,실제 Consumer 없는 추상화 제거의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
CPF-QA-ARCH-006,ARCH,부분 구현,P0,cpf-core 업무·Admin·Batch·EDU 오염 제거,Architecture 원칙으로 cpf-core 업무·Admin·Batch·EDU 오염 제거을(를) CPF 상용 제품 기능으로 구현한다. Owner·Consumer·Public API/SPI·DB/Config·Local/Remote·다중 인스턴스·부분 실패·보안·감사·복구·운영 UI 영향을 함께 닫는다.,cpf-core 업무·Admin·Batch·EDU 오염 제거의 정상·오류·경계·동시성·재시도·결과불명·다중 인스턴스·Rollback 시나리오와 최신 SHA Evidence로 완료를 검증한다.,
