persona,lifecycle,feature,intent,owner_document,owner_section,completion_contract,status
의사결정자,검토,공통 Utility API,비선택,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,선행조건,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,입력,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,기본값,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,범위,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,순서,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,정상결과,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,상태변화,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,오류,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,Timeout,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,동시성,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,중복,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,부분실패,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,Retry,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,Restart,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,Reprocess,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,Reconcile,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,Compensation,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,Rollback,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,권한,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,보안,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,감사,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,LogMetricTrace,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,Test,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,Source,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,인계,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,공통 Utility API,완료판정,01,2/22/29,입력/예외/사용 경계/Test,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,무엇,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,왜,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,언제,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,어디,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,선택,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,비선택,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,선행조건,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,입력,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,기본값,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,범위,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,순서,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,정상결과,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,상태변화,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,오류,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,Timeout,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,동시성,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,중복,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,부분실패,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,Retry,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,Restart,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,Reprocess,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,Reconcile,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,Compensation,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,Rollback,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,권한,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,보안,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,감사,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,LogMetricTrace,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,Test,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,Source,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,인계,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,Query·Paging·Export,완료판정,01,3/14.2/29,Page/Slice/Cursor/Sort/Export/오류,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,무엇,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,왜,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,언제,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,어디,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,선택,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,비선택,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,선행조건,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,입력,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,기본값,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,범위,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,순서,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,정상결과,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
의사결정자,검토,온라인 Transaction,상태변화,01,6~9/14.3/29,Local TX/Remote/UNKNOWN/Compensation/Reconcile,ROUTED+CONTRACT
