deletion_group,exact_path,final_action,reason,required_before_delete,related_cleanup,verification,approval_state
COMPLETE_REMOVE,cpf-starters/integration-webhook,Source/Module 완전 제거,OSS 직접 사용 대비 CPF 제품가치 없음 또는 공식 제품 범위 밖,Consumer/FQN/API 양방향 추적; 필요한 공통 계약 분리,settings/projectDir/BOM/catalog/generator/AutoConfiguration imports/tests/config/docs/evidence,Test-Path false + repository reference 0 + fresh build,QA_REQUEST_CONFIRMED_NOT_EXECUTED
REPLACE_PUBLIC_SURFACE,cpf-starters/security-aggregate,대체 Group/Profile 이관 후 기존 Module 제거,상호배타 Provider 동시 전이 또는 기술/Provider별 공개 선택면 난립,6 Profile/7 Group 및 Consumer/Generator resolved lock 구현,"consumer dependencies, artifact IDs, examples, profile catalog, publication",대체 fixture pass + old artifact reference 0 + dependency graph,QA_REQUEST_CONFIRMED_NOT_EXECUTED
REPLACE_PUBLIC_SURFACE,cpf-starters/cache-aggregate,대체 Group/Profile 이관 후 기존 Module 제거,상호배타 Provider 동시 전이 또는 기술/Provider별 공개 선택면 난립,6 Profile/7 Group 및 Consumer/Generator resolved lock 구현,"consumer dependencies, artifact IDs, examples, profile catalog, publication",대체 fixture pass + old artifact reference 0 + dependency graph,QA_REQUEST_CONFIRMED_NOT_EXECUTED
REPLACE_PUBLIC_SURFACE,cpf-starters/profiles/persistence-mybatis,대체 Group/Profile 이관 후 기존 Module 제거,상호배타 Provider 동시 전이 또는 기술/Provider별 공개 선택면 난립,6 Profile/7 Group 및 Consumer/Generator resolved lock 구현,"consumer dependencies, artifact IDs, examples, profile catalog, publication",대체 fixture pass + old artifact reference 0 + dependency graph,QA_REQUEST_CONFIRMED_NOT_EXECUTED
REPLACE_PUBLIC_SURFACE,cpf-starters/profiles/event-kafka,대체 Group/Profile 이관 후 기존 Module 제거,상호배타 Provider 동시 전이 또는 기술/Provider별 공개 선택면 난립,6 Profile/7 Group 및 Consumer/Generator resolved lock 구현,"consumer dependencies, artifact IDs, examples, profile catalog, publication",대체 fixture pass + old artifact reference 0 + dependency graph,QA_REQUEST_CONFIRMED_NOT_EXECUTED
REPLACE_PUBLIC_SURFACE,cpf-starters/profiles/event-rabbitmq,대체 Group/Profile 이관 후 기존 Module 제거,상호배타 Provider 동시 전이 또는 기술/Provider별 공개 선택면 난립,6 Profile/7 Group 및 Consumer/Generator resolved lock 구현,"consumer dependencies, artifact IDs, examples, profile catalog, publication",대체 fixture pass + old artifact reference 0 + dependency graph,QA_REQUEST_CONFIRMED_NOT_EXECUTED
REPLACE_PUBLIC_SURFACE,cpf-starters/profiles/event-jms-ibm-mq,대체 Group/Profile 이관 후 기존 Module 제거,상호배타 Provider 동시 전이 또는 기술/Provider별 공개 선택면 난립,6 Profile/7 Group 및 Consumer/Generator resolved lock 구현,"consumer dependencies, artifact IDs, examples, profile catalog, publication",대체 fixture pass + old artifact reference 0 + dependency graph,QA_REQUEST_CONFIRMED_NOT_EXECUTED
REPLACE_PUBLIC_SURFACE,cpf-starters/profiles/integration-tcp,대체 Group/Profile 이관 후 기존 Module 제거,상호배타 Provider 동시 전이 또는 기술/Provider별 공개 선택면 난립,6 Profile/7 Group 및 Consumer/Generator resolved lock 구현,"consumer dependencies, artifact IDs, examples, profile catalog, publication",대체 fixture pass + old artifact reference 0 + dependency graph,QA_REQUEST_CONFIRMED_NOT_EXECUTED
REPLACE_PUBLIC_SURFACE,cpf-starters/profiles/observable-resilient-service,대체 Group/Profile 이관 후 기존 Module 제거,상호배타 Provider 동시 전이 또는 기술/Provider별 공개 선택면 난립,6 Profile/7 Group 및 Consumer/Generator resolved lock 구현,"consumer dependencies, artifact IDs, examples, profile catalog, publication",대체 fixture pass + old artifact reference 0 + dependency graph,QA_REQUEST_CONFIRMED_NOT_EXECUTED
REPLACE_PUBLIC_SURFACE,cpf-starters/profiles/notification-service,대체 Group/Profile 이관 후 기존 Module 제거,상호배타 Provider 동시 전이 또는 기술/Provider별 공개 선택면 난립,6 Profile/7 Group 및 Consumer/Generator resolved lock 구현,"consumer dependencies, artifact IDs, examples, profile catalog, publication",대체 fixture pass + old artifact reference 0 + dependency graph,QA_REQUEST_CONFIRMED_NOT_EXECUTED
REPLACE_PUBLIC_SURFACE,cpf-starters/profiles/scheduled-service,대체 Group/Profile 이관 후 기존 Module 제거,상호배타 Provider 동시 전이 또는 기술/Provider별 공개 선택면 난립,6 Profile/7 Group 및 Consumer/Generator resolved lock 구현,"consumer dependencies, artifact IDs, examples, profile catalog, publication",대체 fixture pass + old artifact reference 0 + dependency graph,QA_REQUEST_CONFIRMED_NOT_EXECUTED
REPLACE_PUBLIC_SURFACE,cpf-starters/profiles/sftp-integration,대체 Group/Profile 이관 후 기존 Module 제거,상호배타 Provider 동시 전이 또는 기술/Provider별 공개 선택면 난립,6 Profile/7 Group 및 Consumer/Generator resolved lock 구현,"consumer dependencies, artifact IDs, examples, profile catalog, publication",대체 fixture pass + old artifact reference 0 + dependency graph,QA_REQUEST_CONFIRMED_NOT_EXECUTED
INTERNALIZE_MOVE,cpf-starters/scheduler-quartz,cpf-batch Scheduler 내부 구현으로 이관 후 기존 공개 Starter 경로 제거,Scheduler Ownership은 cpf-batch이며 Quartz는 공개 선택 대상 아님,"batch-service profile, scheduler SPI, JDBC JobStore/vendor schema/failover 구현",scheduled profile/BOM/catalog/generator/consumer docs,batch runtime multi-instance test + old artifact reference 0,QA_REQUEST_CONFIRMED_NOT_EXECUTED
