feature_key,category,work_package_ids,first_requirement_id,last_requirement_id,requirement_count,qa_fail_count,environment_unverified_count,source_summary,reviewed_paths,runtime_gap,missing_dimensions,evidence_path
DATA-RETENTION,DB,P04-DATA-DATA-RETENTION,CPF-FR-003112,CPF-FR-003172,61,56,5,"3개 공식 Vendor 정본, install/migration/rollback/reapply script, JDBC provider와 정적 lifecycle validator는 존재한다","cpf-tools/db/cpf-db-lifecycle-contract.json;cpf-tools/db/vendor-pack-manifest.json;cpf-tools/db/vendor/{mariadb,postgresql,oracle};cpf-tools/scripts/initialize-cpf-database.ps1;cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1;cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py;cpf-starters/data/persistence-jdbc;cpf-core/src/main/java/com/cpf/core/api/database","실제 Oracle/PostgreSQL/MariaDB, Java25/WAS, backup restore, process/network/disk/response-loss fault 실행은 최신 SHA에서 수행되지 않았다",3 Vendor|ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|DB Ownership|DB Rollback|DB Schema|Data Scope|Evidence|Fault Test|Frontend 연결|Generator 영향|Health·Readiness|Hygiene|Integration Test|Internal 구현|JavaDoc·주석|Local/Remote 동등성|Log|Masking·Privacy|Metric|Migration|Resource 상한|Rollback·Forward Recovery|Runtime Query|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|검증|결과 불명|고객 확장 SPI|권한|다중 인스턴스|대사|동시성|멱등성|명령 실행|보상|복구|사유|상태 Catalog|상태 전이|설정 계약|승인|실제 Consumer|인증|재시도|조회·검색|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/db_review.md#data-retention
GWY-ENTRY,GATEWAY,P07-GATEWAY-GWY-ENTRY|P10-GATEWAY-GWY-ENTRY,CPF-FR-003173,CPF-FR-003233,61,0,61,"Gateway application, registry/route/runtime/SCG/ledger 구현, 27개 관련 OpenAPI 경로, ADM 운영 UI와 전용 Test package가 존재한다","cpf-gateway/src/main/java/com/cpf/gateway/{control,ledger,registry,route,runtime,scg};cpf-gateway/src/test/java/com/cpf/gateway/{config,route,runtime,scg};cpf-admin/frontend/src/features/gateway-operations;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 Gateway 기동, 실제 upstream, 다중 인스턴스, DNS/SSRF, timeout/response-loss/failover Browser·Fault 실행은 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/gateway_review.md#gwy-entry
GWY-ROUTING,GATEWAY,P07-GATEWAY-GWY-ROUTING|P10-GATEWAY-GWY-ROUTING,CPF-FR-003234,CPF-FR-003294,61,0,61,"Gateway application, registry/route/runtime/SCG/ledger 구현, 27개 관련 OpenAPI 경로, ADM 운영 UI와 전용 Test package가 존재한다","cpf-gateway/src/main/java/com/cpf/gateway/{control,ledger,registry,route,runtime,scg};cpf-gateway/src/test/java/com/cpf/gateway/{config,route,runtime,scg};cpf-admin/frontend/src/features/gateway-operations;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 Gateway 기동, 실제 upstream, 다중 인스턴스, DNS/SSRF, timeout/response-loss/failover Browser·Fault 실행은 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/gateway_review.md#gwy-routing
GWY-TRUST,GATEWAY,P07-GATEWAY-GWY-TRUST|P10-GATEWAY-GWY-TRUST,CPF-FR-003295,CPF-FR-003355,61,0,61,"Gateway application, registry/route/runtime/SCG/ledger 구현, 27개 관련 OpenAPI 경로, ADM 운영 UI와 전용 Test package가 존재한다","cpf-gateway/src/main/java/com/cpf/gateway/{control,ledger,registry,route,runtime,scg};cpf-gateway/src/test/java/com/cpf/gateway/{config,route,runtime,scg};cpf-admin/frontend/src/features/gateway-operations;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 Gateway 기동, 실제 upstream, 다중 인스턴스, DNS/SSRF, timeout/response-loss/failover Browser·Fault 실행은 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/gateway_review.md#gwy-trust
GWY-RESILIENCE,GATEWAY,P07-GATEWAY-GWY-RESILIENCE|P10-GATEWAY-GWY-RESILIENCE,CPF-FR-003356,CPF-FR-003416,61,0,61,"Gateway application, registry/route/runtime/SCG/ledger 구현, 27개 관련 OpenAPI 경로, ADM 운영 UI와 전용 Test package가 존재한다","cpf-gateway/src/main/java/com/cpf/gateway/{control,ledger,registry,route,runtime,scg};cpf-gateway/src/test/java/com/cpf/gateway/{config,route,runtime,scg};cpf-admin/frontend/src/features/gateway-operations;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 Gateway 기동, 실제 upstream, 다중 인스턴스, DNS/SSRF, timeout/response-loss/failover Browser·Fault 실행은 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/gateway_review.md#gwy-resilience
API-LIMIT,GATEWAY,P07-GATEWAY-API-LIMIT|P10-GATEWAY-API-LIMIT,CPF-FR-003417,CPF-FR-003477,61,0,61,"Gateway application, registry/route/runtime/SCG/ledger 구현, 27개 관련 OpenAPI 경로, ADM 운영 UI와 전용 Test package가 존재한다","cpf-gateway/src/main/java/com/cpf/gateway/{control,ledger,registry,route,runtime,scg};cpf-gateway/src/test/java/com/cpf/gateway/{config,route,runtime,scg};cpf-admin/frontend/src/features/gateway-operations;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 Gateway 기동, 실제 upstream, 다중 인스턴스, DNS/SSRF, timeout/response-loss/failover Browser·Fault 실행은 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/gateway_review.md#api-limit
EXS-INST,EXTERNAL,P07-EXTERNAL-EXS-INST|P10-EXTERNAL-EXS-INST,CPF-FR-003478,CPF-FR-003538,61,59,2,"REST simulator/consumer, FixedLength/TCP provider, TLS·Reconnect·UNKNOWN 관련 구현과 Reference consumer가 일부 존재한다","cpf-starters/integration/{http-client,fixedlength,tcp,resilience};cpf-reference/src/main/java/com/cpf/reference/{external,filetransfer,servicecall};cpf-tools/generator/create-domain.ps1;cpf-admin/frontend/openapi/cpf-openapi.json","실제 기관계, TCP/Fixed 상대시스템, SFTP, 인증서, 네트워크 단절, response-loss/reconcile 실행은 최신 SHA에서 수행되지 않았다",3 Vendor|ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|DB Ownership|DB Rollback|DB Schema|Data Scope|Evidence|Fault Test|Frontend 연결|Generator 영향|Health·Readiness|Hygiene|Integration Test|Internal 구현|JavaDoc·주석|Local/Remote 동등성|Log|Masking·Privacy|Metric|Migration|Public API|Resource 상한|Rollback·Forward Recovery|Runtime Query|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|검증|결과 불명|고객 확장 SPI|권한|다중 인스턴스|대사|동시성|멱등성|명령 실행|보상|복구|사유|상태 Catalog|상태 전이|설정 계약|승인|실제 Consumer|인증|입력 계약|재시도|조회·검색|출력 계약|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/external_review.md#exs-inst
EXS-REST,EXTERNAL,P07-EXTERNAL-EXS-REST|P10-EXTERNAL-EXS-REST,CPF-FR-003539,CPF-FR-003599,61,3,58,"REST simulator/consumer, FixedLength/TCP provider, TLS·Reconnect·UNKNOWN 관련 구현과 Reference consumer가 일부 존재한다","cpf-starters/integration/{http-client,fixedlength,tcp,resilience};cpf-reference/src/main/java/com/cpf/reference/{external,filetransfer,servicecall};cpf-tools/generator/create-domain.ps1;cpf-admin/frontend/openapi/cpf-openapi.json","실제 기관계, TCP/Fixed 상대시스템, SFTP, 인증서, 네트워크 단절, response-loss/reconcile 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|BZA 업무 관리|Frontend 연결,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/external_review.md#exs-rest
EXS-FIXED,EXTERNAL,P07-EXTERNAL-EXS-FIXED|P10-EXTERNAL-EXS-FIXED,CPF-FR-003600,CPF-FR-003660,61,6,55,"REST simulator/consumer, FixedLength/TCP provider, TLS·Reconnect·UNKNOWN 관련 구현과 Reference consumer가 일부 존재한다","cpf-starters/integration/{http-client,fixedlength,tcp,resilience};cpf-reference/src/main/java/com/cpf/reference/{external,filetransfer,servicecall};cpf-tools/generator/create-domain.ps1;cpf-admin/frontend/openapi/cpf-openapi.json","실제 기관계, TCP/Fixed 상대시스템, SFTP, 인증서, 네트워크 단절, response-loss/reconcile 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|API·OpenAPI|BZA 업무 관리|Frontend 연결|Generator 영향|Sample·EDU,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/external_review.md#exs-fixed
EXS-SEC,EXTERNAL,P07-EXTERNAL-EXS-SEC|P10-EXTERNAL-EXS-SEC,CPF-FR-003661,CPF-FR-003721,61,3,58,"REST simulator/consumer, FixedLength/TCP provider, TLS·Reconnect·UNKNOWN 관련 구현과 Reference consumer가 일부 존재한다","cpf-starters/integration/{http-client,fixedlength,tcp,resilience};cpf-reference/src/main/java/com/cpf/reference/{external,filetransfer,servicecall};cpf-tools/generator/create-domain.ps1;cpf-admin/frontend/openapi/cpf-openapi.json","실제 기관계, TCP/Fixed 상대시스템, SFTP, 인증서, 네트워크 단절, response-loss/reconcile 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|BZA 업무 관리|Frontend 연결,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/external_review.md#exs-sec
EXS-FILE,EXTERNAL,P07-EXTERNAL-EXS-FILE|P10-EXTERNAL-EXS-FILE,CPF-FR-003722,CPF-FR-003782,61,3,58,"REST simulator/consumer, FixedLength/TCP provider, TLS·Reconnect·UNKNOWN 관련 구현과 Reference consumer가 일부 존재한다","cpf-starters/integration/{http-client,fixedlength,tcp,resilience};cpf-reference/src/main/java/com/cpf/reference/{external,filetransfer,servicecall};cpf-tools/generator/create-domain.ps1;cpf-admin/frontend/openapi/cpf-openapi.json","실제 기관계, TCP/Fixed 상대시스템, SFTP, 인증서, 네트워크 단절, response-loss/reconcile 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|BZA 업무 관리|Frontend 연결,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/external_review.md#exs-file
EXS-UNKNOWN,EXTERNAL,P07-EXTERNAL-EXS-UNKNOWN|P10-EXTERNAL-EXS-UNKNOWN,CPF-FR-003783,CPF-FR-003843,61,4,57,"REST simulator/consumer, FixedLength/TCP provider, TLS·Reconnect·UNKNOWN 관련 구현과 Reference consumer가 일부 존재한다","cpf-starters/integration/{http-client,fixedlength,tcp,resilience};cpf-reference/src/main/java/com/cpf/reference/{external,filetransfer,servicecall};cpf-tools/generator/create-domain.ps1;cpf-admin/frontend/openapi/cpf-openapi.json","실제 기관계, TCP/Fixed 상대시스템, SFTP, 인증서, 네트워크 단절, response-loss/reconcile 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|API·OpenAPI|BZA 업무 관리|Frontend 연결,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/external_review.md#exs-unknown
EXS-RECON,EXTERNAL,P07-EXTERNAL-EXS-RECON|P10-EXTERNAL-EXS-RECON,CPF-FR-003844,CPF-FR-003904,61,4,57,"REST simulator/consumer, FixedLength/TCP provider, TLS·Reconnect·UNKNOWN 관련 구현과 Reference consumer가 일부 존재한다","cpf-starters/integration/{http-client,fixedlength,tcp,resilience};cpf-reference/src/main/java/com/cpf/reference/{external,filetransfer,servicecall};cpf-tools/generator/create-domain.ps1;cpf-admin/frontend/openapi/cpf-openapi.json","실제 기관계, TCP/Fixed 상대시스템, SFTP, 인증서, 네트워크 단절, response-loss/reconcile 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|API·OpenAPI|BZA 업무 관리|Frontend 연결,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/external_review.md#exs-recon
