exact_id,source_type,priority,area,developer_status_input,developer_verification_input,qa_a_status,qa_b_status,central_status,baseline_sha,next_action
AB-R6-029,QA_FINDING,P0,EDU/Sample,재확인 필요,미검증,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,architecture classification + actual consumer runtime per retained EDU
AB-R6-030,QA_FINDING,P0,EDU/Sample,재확인 필요,미검증,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,architecture decision and product/extension reclassification
AB-R6-031,QA_FINDING,P0,EDU/Sample,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,catalog/handler exact parity after classification
AB-R6-032,QA_FINDING,P0,EDU/Sample,재확인 필요,미검증,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,reclassify or bind to public extension/integration contract; real approval runtime test
AB-R6-033,QA_FINDING,P0,EDU/Sample,재확인 필요,미검증,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,remove client-supplied authorization semantics; bind server authority; browser role matrix
AB-R6-034,QA_FINDING,P0,EDU/Sample,재확인 필요,미검증,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,actual concurrent/version/browser conflict PASS
AB-R6-035,QA_FINDING,P0,EDU/Sample,재확인 필요,미검증,PARTIAL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,retained EDU actual target runtime + partial failure/reprocess PASS
AB-R6-036,QA_FINDING,P1,EDU/Sample,재확인 필요,미검증,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,reclassify or bind public configuration extension with actual rollback runtime
AB-R6-037,QA_FINDING,P0,EDU/Sample,재확인 필요,미검증,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,architecture reclassify; retained extensions must use actual public contracts
AB-R6-038,QA_FINDING,P0,EDU/Sample,재확인 필요,미검증,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,fix source then run QA37 --compile at exact SHA and commit evidence
AB-R6-039,QA_FINDING,P0,EDU/Sample,재확인 필요,미검증,FAIL,미통과,RUNTIME_OR_EVIDENCE_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,retained EDU target runtime evidence per family/topology
AB-R6-040,QA_FINDING,P0,Runtime/Release,재확인 필요,미검증,FAIL,미통과,RUNTIME_OR_EVIDENCE_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Codex independent review + mandatory release qualification
FDEV-001,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-002,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-003,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-004,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-005,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-006,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-007,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-008,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-009,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-010,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-011,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-012,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-013,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-014,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-015,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-016,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-017,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-018,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-019,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-020,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-021,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-022,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-023,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-024,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
FDEV-025,FDEV,P0,Final Development,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Linked finding을 닫고 current exact-SHA release qualification으로 재검증
MGR-HARDEN-001,HARDEN,P0,Architecture/Ownership,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact-SHA hardening qualification + immutable evidence
MGR-HARDEN-002,HARDEN,P0,Reliability/Commands,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact-SHA hardening qualification + immutable evidence
MGR-HARDEN-003,HARDEN,P0,DB/Compatibility,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact-SHA hardening qualification + immutable evidence
MGR-HARDEN-004,HARDEN,P0,Supply-chain,재확인 필요,미검증,DEVELOPER_VERIFIED_RECHECK_REQUIRED,미통과,QA_RECHECK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact-SHA hardening qualification + immutable evidence
MGR-HARDEN-005,HARDEN,P1,Performance/Resource,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact-SHA hardening qualification + immutable evidence
MGR-HARDEN-006,HARDEN,P1,Observability/Audit,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact-SHA hardening qualification + immutable evidence
MGR-HARDEN-007,HARDEN,P0,Security,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact-SHA hardening qualification + immutable evidence
MGR-HARDEN-008,HARDEN,P0,DR/Recovery,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact-SHA hardening qualification + immutable evidence
MGR-HARDEN-009,HARDEN,P1,Artifact Consumer,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact-SHA hardening qualification + immutable evidence
MGR-HARDEN-010,HARDEN,P0,Generator,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact-SHA hardening qualification + immutable evidence
MGR-HARDEN-011,HARDEN,P1,Traceability/Hygiene,재확인 필요,미검증,DEVELOPER_VERIFIED_RECHECK_REQUIRED,미통과,QA_RECHECK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact-SHA hardening qualification + immutable evidence
MGR-HARDEN-012,HARDEN,P0,Compatibility/Failure,재확인 필요,미검증,UNVERIFIED_NOT_INHERITED,미통과,RUNTIME_OR_QA_REVERIFY_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact-SHA hardening qualification + immutable evidence
R6J-CENTRAL-NEW-001,R6J_CENTRAL_NEW,P0,Architecture/EDU,재개발 요청,실패,FAIL,미통과,ARCH_DECISION_DONE_REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,중앙 EDU-ADM 17 분류결정에 따라 Product 기능은 ADM으로 귀속하고 adopter-facing Public Extension만 EDU에 유지; QA37/Catalog/Manual/Test/Generator 동시 정렬
R6J-CENTRAL-NEW-002,R6J_CENTRAL_NEW,P0,Runtime/Release,재개발 요청,실패,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,CPF_FRONTEND_URL/CPF_ADM_FRONTEND_URL을 단일 canonical 변수로 정렬하고 workflow preflight/runner/self-test를 일치
R6J-CENTRAL-NEW-003,R6J_CENTRAL_NEW,P0,Verification Tool/Frontend,재개발 요청,실패,FAIL,N/A,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,unconditional true/permission bypass를 죽이는 AST/behavior/browser mutation을 추가하고 high-risk action exact grant를 검증
R6J-CENTRAL-NEW-004,R6J_CENTRAL_NEW,P0,Verification Tool/Observability,재개발 요청,실패,FAIL,N/A,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,known traffic/failure를 발생시키고 authoritative metric/log/trace/timeline/alert/audit store를 독립 조회하도록 qualifier 재구현
R6J-CENTRAL-NEW-005,R6J_CENTRAL_NEW,P0,Management/Requirement,재개발 요청,실패,FAIL,N/A,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,현재 canonical 기준 거래/로그 Requirement를 개발 원장과 Traceability에 추가하고 Source/Test/Evidence와 연결
R6J-CENTRAL-NEW-006,R6J_CENTRAL_NEW,P0,ADM/Transaction Timeline,재개발 요청,실패,FAIL,N/A,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,multi-source transaction timeline/tree aggregator와 source freshness/partial/stale 상태를 구현하고 generated client/UI consumer 연결
R6J-CENTRAL-NEW-007,R6J_CENTRAL_NEW,P0,DB/Transaction Logging,재개발 요청,실패,FAIL,N/A,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,DB3 canonical schema/index/join model을 보강하고 retention/partition/archive/purge 및 대량 transactionId lookup test 구현
R6J-CENTRAL-NEW-008,R6J_CENTRAL_NEW,P0,EDU/Security,재개발 요청,실패,FAIL,N/A,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,framework-owned authenticated security context에서 actor/roles/scope를 해석하고 spoofable client header는 무시/거부
R6J-CENTRAL-NEW-009,R6J_CENTRAL_NEW,P0,EDU/Process Security,재개발 요청,실패,FAIL,N/A,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,"process environment clear+allowlist, 최소 payload IPC, strict permission/encryption, deterministic cleanup/crash scrub 구현"
R6J-CENTRAL-NEW-010,R6J_CENTRAL_NEW,P1,OpenAPI/Frontend,재개발 요청,실패,FAIL,N/A,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,422를 runtime OpenAPI/committed spec/generated client/ADM·BZA UX/error matrix에 일관되게 반영
R6J-CENTRAL-NEW-011,R6J_CENTRAL_NEW,P0,BZA/Frontend/Consumer,재개발 요청,실패,N/A,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,retired GET를 active consumer metadata에서 제거하고 explicit retirement UX/waiver를 canonical하게 처리
R6J-CENTRAL-NEW-012,R6J_CENTRAL_NEW,P0,Approval/Recovery,재개발 요청,실패,N/A,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,BAT/Gateway/Broker/Center-Cut 등 각 Owner에 idempotent observation reconcile을 구현하고 DB outage/response loss/process kill test
R6J-CENTRAL-NEW-013,R6J_CENTRAL_NEW,P0,ADM/Recovery,재개발 요청,실패,N/A,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,RecoveryCenter mutation을 canonical command component로 통합하거나 동일 action grant/expectedVersion/reason/audit 계약 적용
R6J-CENTRAL-NEW-014,R6J_CENTRAL_NEW,P0,Core/Logging,재개발 요청,실패,N/A,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,File log write failure에 durable spool/retransmit/dedup/sequence/checksum/quarantine/loss metric+alert owner를 구현
R6J-CENTRAL-NEW-015,R6J_CENTRAL_NEW,P1,ADM/Frontend/Security,재개발 요청,실패,N/A,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Secrets/FeatureFlags/OpenAPI/Resilience/Operators/FileJobs 등 direct controls를 exact action manifest/hasButton으로 통일
R6J-CENTRAL-NEW-016,R6J_CENTRAL_NEW,P1,BZA/Frontend/Security,재개발 요청,실패,N/A,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Inbox/Submissions/Policies/Delegations action manifest/gating을 통일하고 unauthorized browser/API test
