logical_order,requirement_id,function_point_id,development_status,verification_status,development_result,evidence_path,next_action
31,CPF-FR-001190,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/evidence_sanitization_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
32,CPF-FR-001191,FP-6B-STATE,미완료,부분 검증,6B 구현 일부 완료·잔여 Acceptance 또는 Target Runtime 검증 필요,,DEVGPT-6A 연계 및 remaining_runtime_delta와 미충족 Acceptance를 보완하고 Java 25/실환경 Gate 재실행
33,CPF-FR-001192,FP-6B-STATE,미완료,부분 검증,6B 구현 일부 완료·잔여 Acceptance 또는 Target Runtime 검증 필요,,DEVGPT-6A 연계 및 remaining_runtime_delta와 미충족 Acceptance를 보완하고 Java 25/실환경 Gate 재실행
34,CPF-FR-001193,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/jdbc_state_audit_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
35,CPF-FR-001194,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
36,CPF-FR-001195,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
37,CPF-FR-001196,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
38,CPF-FR-001197,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
39,CPF-FR-001198,FP-6B-STATE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6F가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
40,CPF-FR-001199,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
41,CPF-FR-001200,FP-6B-STATE,미완료,부분 검증,6B 구현 일부 완료·잔여 Acceptance 또는 Target Runtime 검증 필요,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/jdbc_state_store_run.log,DEVGPT-6E 연계 및 remaining_runtime_delta와 미충족 Acceptance를 보완하고 Java 25/실환경 Gate 재실행
42,CPF-FR-001201,FP-6B-STATE,미완료,부분 검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6E가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
43,CPF-FR-001202,FP-6B-STATE,미완료,부분 검증,6B 구현 일부 완료·잔여 Acceptance 또는 Target Runtime 검증 필요,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/jdbc_state_store_run.log,DEVGPT-6E 연계 및 remaining_runtime_delta와 미충족 Acceptance를 보완하고 Java 25/실환경 Gate 재실행
44,CPF-FR-001203,FP-6B-STATE,미완료,부분 검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6E가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
45,CPF-FR-001204,FP-6B-STATE,미완료,부분 검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6E가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
46,CPF-FR-001205,FP-6B-STATE,미완료,부분 검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6E가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
47,CPF-FR-001206,FP-6B-STATE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6A가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
48,CPF-FR-001207,FP-6B-STATE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6A가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
49,CPF-FR-001208,FP-6B-STATE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6A가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
50,CPF-FR-001209,FP-6B-STATE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6A가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
51,CPF-FR-001210,FP-6B-STATE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6F가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
52,CPF-FR-001211,FP-6B-STATE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6F가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
53,CPF-FR-001212,FP-6B-STATE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6F가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
54,CPF-FR-001213,FP-6B-STATE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6F가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
55,CPF-FR-001214,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
56,CPF-FR-001215,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
57,CPF-FR-001216,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
58,CPF-FR-001217,FP-6B-STATE,완료,부분 검증,6B 제품 Source 구현 완료·정적/대체 검증 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 외부 Runtime에서 Source 대체검증 Acceptance 재실행
59,CPF-FR-001218,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
60,CPF-FR-001219,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
61,CPF-FR-001220,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/HYGIENE_AND_SECRET_SCAN.txt,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
62,CPF-FR-001221,FP-6B-LOCK,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/lock_recovery_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_lock_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_fence_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/filelog_lock_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
63,CPF-FR-001222,FP-6B-LOCK,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/lock_recovery_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_lock_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_fence_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/filelog_lock_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
64,CPF-FR-001223,FP-6B-LOCK,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/lock_recovery_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_lock_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_fence_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/filelog_lock_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
65,CPF-FR-001224,FP-6B-LOCK,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/lock_recovery_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_lock_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_fence_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/filelog_lock_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
66,CPF-FR-001225,FP-6B-LOCK,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/lock_recovery_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_lock_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_fence_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/filelog_lock_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
