requirement_id,capability,function_type,development_status,verification_status,overall_status,qa_status,evidence_path,next_action
CPF-FR-003205,GWY-ENTRY,APPROVAL,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003206,GWY-ENTRY,AUDIT,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003207,GWY-ENTRY,LOG,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003208,GWY-ENTRY,METRIC,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003209,GWY-ENTRY,TRACE,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003210,GWY-ENTRY,HEALTH,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003211,GWY-ENTRY,ALERT_RUNBOOK,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003212,GWY-ENTRY,RESOURCE,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003213,GWY-ENTRY,DB_OWNER,미완료,미검증,교차 세션 변경 대기,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,DEVGPT-6E 산출물 적용 후 Oracle/PostgreSQL/MariaDB lifecycle 통합 재검증
CPF-FR-003214,GWY-ENTRY,DB_SCHEMA,미완료,미검증,교차 세션 변경 대기,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,DEVGPT-6E 산출물 적용 후 Oracle/PostgreSQL/MariaDB lifecycle 통합 재검증
CPF-FR-003215,GWY-ENTRY,DB_QUERY,미완료,미검증,교차 세션 변경 대기,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,DEVGPT-6E 산출물 적용 후 Oracle/PostgreSQL/MariaDB lifecycle 통합 재검증
CPF-FR-003216,GWY-ENTRY,DB_MIGRATION,미완료,미검증,교차 세션 변경 대기,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,DEVGPT-6E 산출물 적용 후 Oracle/PostgreSQL/MariaDB lifecycle 통합 재검증
CPF-FR-003217,GWY-ENTRY,DB_ROLLBACK,미완료,미검증,교차 세션 변경 대기,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,DEVGPT-6E 산출물 적용 후 Oracle/PostgreSQL/MariaDB lifecycle 통합 재검증
CPF-FR-003218,GWY-ENTRY,DB_VENDOR,미완료,미검증,교차 세션 변경 대기,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,DEVGPT-6E 산출물 적용 후 Oracle/PostgreSQL/MariaDB lifecycle 통합 재검증
CPF-FR-003219,GWY-ENTRY,API_OPENAPI,미완료,미검증,교차 세션 변경 대기,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,DEVGPT-6A OpenAPI/generated-client/ADM/BZA 산출물 적용 후 Browser 통합 재검증
CPF-FR-003220,GWY-ENTRY,FRONTEND,미완료,미검증,교차 세션 변경 대기,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,DEVGPT-6A OpenAPI/generated-client/ADM/BZA 산출물 적용 후 Browser 통합 재검증
CPF-FR-003221,GWY-ENTRY,ADM_UI,미완료,미검증,교차 세션 변경 대기,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,DEVGPT-6A OpenAPI/generated-client/ADM/BZA 산출물 적용 후 Browser 통합 재검증
CPF-FR-003222,GWY-ENTRY,BZA_UI,미완료,미검증,교차 세션 변경 대기,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,DEVGPT-6A OpenAPI/generated-client/ADM/BZA 산출물 적용 후 Browser 통합 재검증
CPF-FR-003223,GWY-ENTRY,GENERATOR,미완료,미검증,교차 세션 변경 대기,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,DEVGPT-6F Generator/Template/BOM/Publication 산출물 적용 후 통합 재검증
CPF-FR-003224,GWY-ENTRY,SAMPLE_EDU,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003225,GWY-ENTRY,JAVADOC,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003226,GWY-ENTRY,GUIDE,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003227,GWY-ENTRY,UNIT_TEST,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003228,GWY-ENTRY,CONTRACT_TEST,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003229,GWY-ENTRY,INTEGRATION_TEST,완료,대체검증 완료; Java25/실제 Runtime 미검증,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Java25 Gradle/실제 TLS Listener·multi-process Runtime 재실행
CPF-FR-003230,GWY-ENTRY,RUNTIME_TEST,완료,대체검증 완료; Java25/실제 Runtime 미검증,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Java25 Gradle/실제 TLS Listener·multi-process Runtime 재실행
CPF-FR-003231,GWY-ENTRY,FAULT_TEST,완료,대체검증 완료; Java25/실제 Runtime 미검증,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Java25 Gradle/실제 TLS Listener·multi-process Runtime 재실행
CPF-FR-003232,GWY-ENTRY,EVIDENCE,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003233,GWY-ENTRY,HYGIENE,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 미검수,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·실제 Listener Runtime 재실행
CPF-FR-003234,GWY-ROUTING,PURPOSE,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003235,GWY-ROUTING,OWNER,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003236,GWY-ROUTING,CONSUMER,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003237,GWY-ROUTING,PUBLIC_API,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003238,GWY-ROUTING,EXTENSION_SPI,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003239,GWY-ROUTING,INTERNAL_IMPL,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003240,GWY-ROUTING,INPUT,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003241,GWY-ROUTING,OUTPUT,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003242,GWY-ROUTING,CONFIG,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003243,GWY-ROUTING,VALIDATION,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003244,GWY-ROUTING,STATE,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003245,GWY-ROUTING,TRANSITION,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003246,GWY-ROUTING,COMMAND,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003247,GWY-ROUTING,QUERY,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003248,GWY-ROUTING,IDEMPOTENCY,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003249,GWY-ROUTING,CONCURRENCY,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003250,GWY-ROUTING,DEADLINE,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003251,GWY-ROUTING,RETRY,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003252,GWY-ROUTING,CIRCUIT,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003253,GWY-ROUTING,UNKNOWN,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003254,GWY-ROUTING,RECONCILE,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003255,GWY-ROUTING,RECOVERY,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003256,GWY-ROUTING,COMPENSATION,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003257,GWY-ROUTING,ROLLBACK,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003258,GWY-ROUTING,MULTI_INSTANCE,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
CPF-FR-003259,GWY-ROUTING,LOCAL_REMOTE,완료,대체검증 또는 정적 검증 완료; 정식 Runtime 재확인,구현 완료·정식 Runtime 재확인,QA 재검수 대기,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Codex 독립검수 후 Java25·외부 환경 재실행
