legacy_work_item_id,v8_entity_id,v8_entity_type,canonical_requirement_id,markdown_file,ledger_part,v8_owner,v8_owner_module,v8_owner_package,v8_work_target_status,v8_assigned_session_id,continuity_result,development_status,evidence_path
CPF-WP-GWY-ROUTING-06-GENERATION_COMPATIBILITY,CPF-WP-GWY-ROUTING-06-GENERATION_COMPATIBILITY,WORK_PACKAGE,GWY-ROUTING,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,미완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-TRUST-01-CONTRACT_OWNERSHIP,CPF-WP-GWY-TRUST-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,GWY-TRUST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-TRUST-02-IMPLEMENTATION_CONSUMER,CPF-WP-GWY-TRUST-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,GWY-TRUST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-TRUST-03-VERIFICATION_EVIDENCE,CPF-WP-GWY-TRUST-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,GWY-TRUST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-TRUST-04-FAILURE_RECOVERY,CPF-WP-GWY-TRUST-04-FAILURE_RECOVERY,WORK_PACKAGE,GWY-TRUST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-RESILIENCE-01-CONTRACT_OWNERSHIP,CPF-WP-GWY-RESILIENCE-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,GWY-RESILIENCE,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-RESILIENCE-02-IMPLEMENTATION_CONSUMER,CPF-WP-GWY-RESILIENCE-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,GWY-RESILIENCE,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-RESILIENCE-03-VERIFICATION_EVIDENCE,CPF-WP-GWY-RESILIENCE-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,GWY-RESILIENCE,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-RESILIENCE-04-FAILURE_RECOVERY,CPF-WP-GWY-RESILIENCE-04-FAILURE_RECOVERY,WORK_PACKAGE,GWY-RESILIENCE,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-API-LIMIT-01-CONTRACT_OWNERSHIP,CPF-WP-API-LIMIT-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,API-LIMIT,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway + cpf-core contract,cpf-gateway + cpf-core contract,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-API-LIMIT-02-IMPLEMENTATION_CONSUMER,CPF-WP-API-LIMIT-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,API-LIMIT,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway + cpf-core contract,cpf-gateway + cpf-core contract,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-API-LIMIT-03-VERIFICATION_EVIDENCE,CPF-WP-API-LIMIT-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,API-LIMIT,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway + cpf-core contract,cpf-gateway + cpf-core contract,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-API-LIMIT-04-FAILURE_RECOVERY,CPF-WP-API-LIMIT-04-FAILURE_RECOVERY,WORK_PACKAGE,API-LIMIT,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway + cpf-core contract,cpf-gateway + cpf-core contract,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-INST-01-CONTRACT_OWNERSHIP,CPF-WP-EXS-INST-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,EXS-INST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-INST-02-IMPLEMENTATION_CONSUMER,CPF-WP-EXS-INST-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,EXS-INST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-INST-03-VERIFICATION_EVIDENCE,CPF-WP-EXS-INST-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,EXS-INST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-INST-04-FAILURE_RECOVERY,CPF-WP-EXS-INST-04-FAILURE_RECOVERY,WORK_PACKAGE,EXS-INST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-INST-05-GENERATION_COMPATIBILITY,CPF-WP-EXS-INST-05-GENERATION_COMPATIBILITY,WORK_PACKAGE,EXS-INST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,미완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-REST-01-CONTRACT_OWNERSHIP,CPF-WP-EXS-REST-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,EXS-REST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-REST-02-IMPLEMENTATION_CONSUMER,CPF-WP-EXS-REST-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,EXS-REST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-REST-03-VERIFICATION_EVIDENCE,CPF-WP-EXS-REST-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,EXS-REST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-REST-04-FAILURE_RECOVERY,CPF-WP-EXS-REST-04-FAILURE_RECOVERY,WORK_PACKAGE,EXS-REST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-REST-05-OPERATIONS_SECURITY,CPF-WP-EXS-REST-05-OPERATIONS_SECURITY,WORK_PACKAGE,EXS-REST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-REST-06-DATA_MIGRATION,CPF-WP-EXS-REST-06-DATA_MIGRATION,WORK_PACKAGE,EXS-REST,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,미완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-FIXED-01-CONTRACT_OWNERSHIP,CPF-WP-EXS-FIXED-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,EXS-FIXED,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-FIXED-02-IMPLEMENTATION_CONSUMER,CPF-WP-EXS-FIXED-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,EXS-FIXED,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-FIXED-03-VERIFICATION_EVIDENCE,CPF-WP-EXS-FIXED-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,EXS-FIXED,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-FIXED-04-FAILURE_RECOVERY,CPF-WP-EXS-FIXED-04-FAILURE_RECOVERY,WORK_PACKAGE,EXS-FIXED,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-FIXED-05-GENERATION_COMPATIBILITY,CPF-WP-EXS-FIXED-05-GENERATION_COMPATIBILITY,WORK_PACKAGE,EXS-FIXED,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,미완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-SEC-01-CONTRACT_OWNERSHIP,CPF-WP-EXS-SEC-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,EXS-SEC,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-SEC-02-IMPLEMENTATION_CONSUMER,CPF-WP-EXS-SEC-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,EXS-SEC,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-SEC-03-VERIFICATION_EVIDENCE,CPF-WP-EXS-SEC-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,EXS-SEC,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-SEC-04-FAILURE_RECOVERY,CPF-WP-EXS-SEC-04-FAILURE_RECOVERY,WORK_PACKAGE,EXS-SEC,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-SEC-05-OPERATIONS_SECURITY,CPF-WP-EXS-SEC-05-OPERATIONS_SECURITY,WORK_PACKAGE,EXS-SEC,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-FILE-01-CONTRACT_OWNERSHIP,CPF-WP-EXS-FILE-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,EXS-FILE,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-FILE-02-IMPLEMENTATION_CONSUMER,CPF-WP-EXS-FILE-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,EXS-FILE,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-FILE-03-VERIFICATION_EVIDENCE,CPF-WP-EXS-FILE-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,EXS-FILE,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-FILE-04-FAILURE_RECOVERY,CPF-WP-EXS-FILE-04-FAILURE_RECOVERY,WORK_PACKAGE,EXS-FILE,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-FILE-05-DATA_MIGRATION,CPF-WP-EXS-FILE-05-DATA_MIGRATION,WORK_PACKAGE,EXS-FILE,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,미완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-UNKNOWN-01-CONTRACT_OWNERSHIP,CPF-WP-EXS-UNKNOWN-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,EXS-UNKNOWN,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-UNKNOWN-02-IMPLEMENTATION_CONSUMER,CPF-WP-EXS-UNKNOWN-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,EXS-UNKNOWN,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-UNKNOWN-03-VERIFICATION_EVIDENCE,CPF-WP-EXS-UNKNOWN-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,EXS-UNKNOWN,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-UNKNOWN-04-FAILURE_RECOVERY,CPF-WP-EXS-UNKNOWN-04-FAILURE_RECOVERY,WORK_PACKAGE,EXS-UNKNOWN,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-EXS-RECON-01-CONTRACT_OWNERSHIP,CPF-WP-EXS-RECON-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,EXS-RECON,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,generated domain / customer adapter,generated domain,customer adapter,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
