capability,requirement_first,requirement_last,requirement_count,core_scenarios,related_scenario_count,public_api_spi,implementation_sources,actual_consumer,qa_findings,verification,remaining_formal_gap,development_judgement
EXS-UNKNOWN,CPF-FR-003783,CPF-FR-003843,61,CPF-SC-000745|CPF-SC-000746|CPF-SC-000747|CPF-SC-000748|CPF-SC-000749|CPF-SC-000750|CPF-SC-000751|CPF-SC-000752|CPF-SC-000753|CPF-SC-000754|CPF-SC-000755|CPF-SC-000756,28,cpf-core/src/main/java/com/cpf/core/api/servicecall/**;cpf-core/src/main/java/com/cpf/core/common/reconciliation/**,cpf-core/src/main/java/com/cpf/core/api/servicecall/**|cpf-core/src/main/java/com/cpf/core/common/reconciliation/**|cpf-starters/integration/resilience/**,External call → side-effect boundary → UNKNOWN ledger → reconciler,,exact-SHA Source/API/Consumer/Test static trace and semantic contract review; formal Runtime remains pending,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EXS-RECON,CPF-FR-003844,CPF-FR-003904,61,CPF-SC-000757|CPF-SC-000758|CPF-SC-000759|CPF-SC-000760|CPF-SC-000761|CPF-SC-000762|CPF-SC-000763|CPF-SC-000764|CPF-SC-000765|CPF-SC-000766|CPF-SC-000767|CPF-SC-000768,228,cpf-core/src/main/java/com/cpf/core/common/reconciliation/**;cpf-core/src/main/java/com/cpf/core/api/reliability/**,cpf-core/src/main/java/com/cpf/core/common/reconciliation/**|cpf-core/src/main/java/com/cpf/core/api/reliability/**|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmReliabilityController.java,Reconciliation worker → owner probe → CAS state transition/audit,,exact-SHA Source/API/Consumer/Test static trace and semantic contract review; formal Runtime remains pending,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EVENT-CORE,CPF-FR-003905,CPF-FR-003965,61,CPF-SC-000769|CPF-SC-000770|CPF-SC-000771|CPF-SC-000772|CPF-SC-000773|CPF-SC-000774|CPF-SC-000775|CPF-SC-000776|CPF-SC-000777|CPF-SC-000778|CPF-SC-000779|CPF-SC-000780,160,cpf-core/src/main/java/com/cpf/core/api/broker/**;cpf-core/src/main/java/com/cpf/core/common/broker/**,cpf-core/src/main/java/com/cpf/core/api/broker/**|cpf-core/src/main/java/com/cpf/core/common/broker/**|cpf-starters/messaging/reliability-jdbc/**,Business publisher/consumer → provider-neutral broker contracts → reliability workers,,Java 21 outbox-first/provider/consumer recovery/header integrity Harness PASS; provider source Tests added/reviewed,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EVENT-OUTBOX,CPF-FR-003966,CPF-FR-004026,61,CPF-SC-000781|CPF-SC-000782|CPF-SC-000783|CPF-SC-000784|CPF-SC-000785|CPF-SC-000786|CPF-SC-000787|CPF-SC-000788|CPF-SC-000789|CPF-SC-000790|CPF-SC-000791|CPF-SC-000792,172,cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerOutboxPort.java;cpf-starters/messaging/reliability-jdbc/**,cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerOutboxPort.java|cpf-starters/messaging/reliability-jdbc/**,CpfReliableBrokerClient → Outbox persist → CpfBrokerPublisherWorker → provider,,Java 21 outbox-first/provider/consumer recovery/header integrity Harness PASS; provider source Tests added/reviewed,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EVENT-BROKER,CPF-FR-004027,CPF-FR-004087,61,CPF-SC-000793|CPF-SC-000794|CPF-SC-000795|CPF-SC-000796|CPF-SC-000797|CPF-SC-000798|CPF-SC-000799|CPF-SC-000800|CPF-SC-000801|CPF-SC-000802|CPF-SC-000803|CPF-SC-000804,128,cpf-core/src/main/java/com/cpf/core/common/broker/**;cpf-reference/src/main/java/com/cpf/reference/messaging/**,cpf-core/src/main/java/com/cpf/core/common/broker/**|cpf-reference/src/main/java/com/cpf/reference/messaging/**|cpf-starters/messaging/**,ReferenceMessagingEducationController → CpfBrokerClient.enqueue → provider publisher,QA12B-EVT-001|002,Java 21 outbox-first/provider/consumer recovery/header integrity Harness PASS; provider source Tests added/reviewed,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EVENT-MQ,CPF-FR-004088,CPF-FR-004148,61,CPF-SC-000805|CPF-SC-000806|CPF-SC-000807|CPF-SC-000808|CPF-SC-000809|CPF-SC-000810|CPF-SC-000811|CPF-SC-000812|CPF-SC-000813|CPF-SC-000814|CPF-SC-000815|CPF-SC-000816,0,cpf-starters/messaging/kafka/**;cpf-starters/messaging/reliability-jdbc/**,cpf-starters/messaging/kafka/**|cpf-starters/messaging/reliability-jdbc/**,CpfReliableBrokerClient → Kafka bridge/client → broker,,Java 21 outbox-first/provider/consumer recovery/header integrity Harness PASS; provider source Tests added/reviewed,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EVENT-JMS,CPF-FR-004149,CPF-FR-004209,61,CPF-SC-000817|CPF-SC-000818|CPF-SC-000819|CPF-SC-000820|CPF-SC-000821|CPF-SC-000822|CPF-SC-000823|CPF-SC-000824|CPF-SC-000825|CPF-SC-000826|CPF-SC-000827|CPF-SC-000828,128,cpf-starters/messaging/jms/**;cpf-starters/messaging/reliability-jdbc/**,cpf-starters/messaging/jms/**|cpf-starters/messaging/reliability-jdbc/**,CpfReliableBrokerClient → CpfJmsBrokerClient → JMS provider,QA12B-EVT-002,Java 21 outbox-first/provider/consumer recovery/header integrity Harness PASS; provider source Tests added/reviewed,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EVENT-IBM-MQ,CPF-FR-004210,CPF-FR-004270,61,CPF-SC-000829|CPF-SC-000830|CPF-SC-000831|CPF-SC-000832|CPF-SC-000833|CPF-SC-000834|CPF-SC-000835|CPF-SC-000836|CPF-SC-000837|CPF-SC-000838|CPF-SC-000839|CPF-SC-000840,128,cpf-starters/messaging/ibm-mq/**;cpf-starters/messaging/reliability-jdbc/**,cpf-starters/messaging/ibm-mq/**|cpf-starters/messaging/reliability-jdbc/**,CpfReliableBrokerClient → CpfIbmMqBrokerClient → IBM MQ provider,QA12B-EVT-002,Java 21 outbox-first/provider/consumer recovery/header integrity Harness PASS; provider source Tests added/reviewed,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EVENT-AMQP,CPF-FR-004271,CPF-FR-004331,61,CPF-SC-000841|CPF-SC-000842|CPF-SC-000843|CPF-SC-000844|CPF-SC-000845|CPF-SC-000846|CPF-SC-000847|CPF-SC-000848|CPF-SC-000849|CPF-SC-000850|CPF-SC-000851|CPF-SC-000852,128,cpf-starters/messaging/rabbitmq/**;cpf-starters/messaging/reliability-jdbc/**,cpf-starters/messaging/rabbitmq/**|cpf-starters/messaging/reliability-jdbc/**,CpfReliableBrokerClient → CpfRabbitMqBrokerClient → RabbitMQ provider,QA12B-EVT-002,Java 21 outbox-first/provider/consumer recovery/header integrity Harness PASS; provider source Tests added/reviewed,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EXS-TCP,CPF-FR-004332,CPF-FR-004392,61,CPF-SC-000853|CPF-SC-000854|CPF-SC-000855|CPF-SC-000856|CPF-SC-000857|CPF-SC-000858|CPF-SC-000859|CPF-SC-000860|CPF-SC-000861|CPF-SC-000862|CPF-SC-000863|CPF-SC-000864,0,cpf-starters/integration/tcp/**;cpf-reference/src/main/java/com/cpf/reference/external/**,cpf-starters/integration/tcp/**|cpf-reference/src/main/java/com/cpf/reference/external/**,CpfTcpOperations/CpfTcpClient.request → framed socket/TLS → durable UNKNOWN journal,QA12B-EXS-TCP-001|002|003,Java 21 durable journal restart/ABA/CAS/masking Harness PASS; TCP pre/post-write classification source Test added,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EVENT-DLQ,CPF-FR-004393,CPF-FR-004453,61,CPF-SC-000865|CPF-SC-000866|CPF-SC-000867|CPF-SC-000868|CPF-SC-000869|CPF-SC-000870|CPF-SC-000871|CPF-SC-000872|CPF-SC-000873|CPF-SC-000874|CPF-SC-000875|CPF-SC-000876,28,cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerDlqPort.java;cpf-starters/messaging/reliability-jdbc/**,cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerDlqPort.java|cpf-starters/messaging/reliability-jdbc/**|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmReliabilityController.java|cpf-admin/src/main/java/com/cpf/admin/approval/owner/BrokerReliabilityApprovalOwnerCommandAdapter.java,Adm approval → BrokerReliabilityApprovalOwnerCommandAdapter → reliability operations/JDBC DLQ replay,QA12B-EVENT-DLQ-001|002|003,Java 21 approval/SoD/expiry/hash/CAS command Harness PASS,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
