function_point_id,requirement_id,feature,function_type,acceptance_criteria
GWY-ENTRY,CPF-FR-003183,상태 Catalog,STATE,Gateway 운영자·개발자가 실제 제품 경로에서 상태 Catalog 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003184,상태 전이,TRANSITION,Gateway 운영자·개발자가 실제 제품 경로에서 상태 전이 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003185,명령 실행,COMMAND,Gateway 운영자·개발자가 실제 제품 경로에서 명령 실행 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003186,조회·검색,QUERY,Gateway 운영자·개발자가 실제 제품 경로에서 조회·검색 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003187,멱등성,IDEMPOTENCY,Gateway 운영자·개발자가 실제 제품 경로에서 멱등성 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003188,동시성,CONCURRENCY,Gateway 운영자·개발자가 실제 제품 경로에서 동시성 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003189,Timeout Budget,DEADLINE,Gateway 운영자·개발자가 실제 제품 경로에서 Timeout Budget 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003190,재시도,RETRY,Gateway 운영자·개발자가 실제 제품 경로에서 재시도 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003191,Circuit·Bulkhead,CIRCUIT,Gateway 운영자·개발자가 실제 제품 경로에서 Circuit·Bulkhead 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003192,결과 불명,UNKNOWN,Gateway 운영자·개발자가 실제 제품 경로에서 결과 불명 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003193,대사,RECONCILE,Gateway 운영자·개발자가 실제 제품 경로에서 대사 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003194,복구,RECOVERY,Gateway 운영자·개발자가 실제 제품 경로에서 복구 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003195,보상,COMPENSATION,Gateway 운영자·개발자가 실제 제품 경로에서 보상 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003196,Rollback·Forward Recovery,ROLLBACK,Gateway 운영자·개발자가 실제 제품 경로에서 Rollback·Forward Recovery 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003197,다중 인스턴스,MULTI_INSTANCE,Gateway 운영자·개발자가 실제 제품 경로에서 다중 인스턴스 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003198,Local/Remote 동등성,LOCAL_REMOTE,Gateway 운영자·개발자가 실제 제품 경로에서 Local/Remote 동등성 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003199,혼합 버전 호환,MIXED_VERSION,Gateway 운영자·개발자가 실제 제품 경로에서 혼합 버전 호환 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003200,인증,AUTHN,Gateway 운영자·개발자가 실제 제품 경로에서 인증 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003201,권한,AUTHZ,Gateway 운영자·개발자가 실제 제품 경로에서 권한 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003202,Data Scope,DATA_SCOPE,Gateway 운영자·개발자가 실제 제품 경로에서 Data Scope 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003203,Masking·Privacy,MASKING,Gateway 운영자·개발자가 실제 제품 경로에서 Masking·Privacy 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003204,사유,REASON,Gateway 운영자·개발자가 실제 제품 경로에서 사유 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003205,승인,APPROVAL,Gateway 운영자·개발자가 실제 제품 경로에서 승인 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003206,감사,AUDIT,Gateway 운영자·개발자가 실제 제품 경로에서 감사 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003207,Log,LOG,Gateway 운영자·개발자가 실제 제품 경로에서 Log 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003208,Metric,METRIC,Gateway 운영자·개발자가 실제 제품 경로에서 Metric 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003209,Trace,TRACE,Gateway 운영자·개발자가 실제 제품 경로에서 Trace 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003210,Health·Readiness,HEALTH,Gateway 운영자·개발자가 실제 제품 경로에서 Health·Readiness 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003211,Alert·Runbook,ALERT_RUNBOOK,Gateway 운영자·개발자가 실제 제품 경로에서 Alert·Runbook 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003212,Resource 상한,RESOURCE,Gateway 운영자·개발자가 실제 제품 경로에서 Resource 상한 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003213,DB Ownership,DB_OWNER,Gateway 운영자·개발자가 실제 제품 경로에서 DB Ownership 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003214,DB Schema,DB_SCHEMA,Gateway 운영자·개발자가 실제 제품 경로에서 DB Schema 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003215,Runtime Query,DB_QUERY,Gateway 운영자·개발자가 실제 제품 경로에서 Runtime Query 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003216,Migration,DB_MIGRATION,Gateway 운영자·개발자가 실제 제품 경로에서 Migration 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003217,DB Rollback,DB_ROLLBACK,Gateway 운영자·개발자가 실제 제품 경로에서 DB Rollback 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003218,3 Vendor,DB_VENDOR,Gateway 운영자·개발자가 실제 제품 경로에서 3 Vendor 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003219,API·OpenAPI,API_OPENAPI,Gateway 운영자·개발자가 실제 제품 경로에서 API·OpenAPI 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003220,Frontend 연결,FRONTEND,Gateway 운영자·개발자가 실제 제품 경로에서 Frontend 연결 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003221,ADM 운영 기능,ADM_UI,Gateway 운영자·개발자가 실제 제품 경로에서 ADM 운영 기능 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003222,BZA 업무 관리,BZA_UI,Gateway 운영자·개발자가 실제 제품 경로에서 BZA 업무 관리 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003223,Generator 영향,GENERATOR,Gateway 운영자·개발자가 실제 제품 경로에서 Generator 영향 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003224,Sample·EDU,SAMPLE_EDU,Gateway 운영자·개발자가 실제 제품 경로에서 Sample·EDU 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003225,JavaDoc·주석,JAVADOC,Gateway 운영자·개발자가 실제 제품 경로에서 JavaDoc·주석 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003226,개발·운영 Guide,GUIDE,Gateway 운영자·개발자가 실제 제품 경로에서 개발·운영 Guide 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003227,Unit Test,UNIT_TEST,Gateway 운영자·개발자가 실제 제품 경로에서 Unit Test 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003228,Contract Test,CONTRACT_TEST,Gateway 운영자·개발자가 실제 제품 경로에서 Contract Test 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003229,Integration Test,INTEGRATION_TEST,Gateway 운영자·개발자가 실제 제품 경로에서 Integration Test 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003230,Runtime Test,RUNTIME_TEST,Gateway 운영자·개발자가 실제 제품 경로에서 Runtime Test 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003231,Fault Test,FAULT_TEST,Gateway 운영자·개발자가 실제 제품 경로에서 Fault Test 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003232,Evidence,EVIDENCE,Gateway 운영자·개발자가 실제 제품 경로에서 Evidence 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003233,Hygiene,HYGIENE,Gateway 운영자·개발자가 실제 제품 경로에서 Hygiene 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ROUTING,CPF-FR-003234,기능 목적·업무 결과,PURPOSE,Gateway 운영자·개발자가 실제 제품 경로에서 기능 목적·업무 결과 기능을 사용할 때 Spring Cloud Gateway 기반 route snapshot·service registry·rewrite·load balance·version/zone/weight routing·atomic refresh를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ROUTING,CPF-FR-003235,Owner·경계,OWNER,Gateway 운영자·개발자가 실제 제품 경로에서 Owner·경계 기능을 사용할 때 Spring Cloud Gateway 기반 route snapshot·service registry·rewrite·load balance·version/zone/weight routing·atomic refresh를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ROUTING,CPF-FR-003236,실제 Consumer,CONSUMER,Gateway 운영자·개발자가 실제 제품 경로에서 실제 Consumer 기능을 사용할 때 Spring Cloud Gateway 기반 route snapshot·service registry·rewrite·load balance·version/zone/weight routing·atomic refresh를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ROUTING,CPF-FR-003237,Public API,PUBLIC_API,Gateway 운영자·개발자가 실제 제품 경로에서 Public API 기능을 사용할 때 Spring Cloud Gateway 기반 route snapshot·service registry·rewrite·load balance·version/zone/weight routing·atomic refresh를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ROUTING,CPF-FR-003238,고객 확장 SPI,EXTENSION_SPI,Gateway 운영자·개발자가 실제 제품 경로에서 고객 확장 SPI 기능을 사용할 때 Spring Cloud Gateway 기반 route snapshot·service registry·rewrite·load balance·version/zone/weight routing·atomic refresh를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ROUTING,CPF-FR-003239,Internal 구현,INTERNAL_IMPL,Gateway 운영자·개발자가 실제 제품 경로에서 Internal 구현 기능을 사용할 때 Spring Cloud Gateway 기반 route snapshot·service registry·rewrite·load balance·version/zone/weight routing·atomic refresh를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ROUTING,CPF-FR-003240,입력 계약,INPUT,Gateway 운영자·개발자가 실제 제품 경로에서 입력 계약 기능을 사용할 때 Spring Cloud Gateway 기반 route snapshot·service registry·rewrite·load balance·version/zone/weight routing·atomic refresh를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
