integrated_finding_id,severity,peer_finding_ids,self_finding_ids,disposition,confirmation,issue
QA-R5I-015,P1,QA-R5-015,QAF-REV004-005;QAF-REV004-006,MERGED_AND_RETAINED,DIRECT_SOURCE_CONFIRMED_AND_ENRICHED,DB runner는 JDBC URL/username을 argv로 전달하고 URL 내 credential/query secret을 금지·redact하지 않는다. WaitForExit에 timeout/cancellation이 없다. 또한 ProcessStartInfo.Environment를 정리하지 않아 부모 프로세스의 CPF_RUNTIME_*_PASSWORD 및 기타 Secret 환경변수가 child로 상속될 수 있다.
QA-R5I-016,P1,QA-R5-016,QAF-REV004-010,MERGED_AND_RETAINED,PEER_SOURCE_REVIEW;BROWSER_RUNTIME_REQUIRED,Integration Closure 화면은 CRITICAL route이나 query/approval/execute/replay 버튼별 권한 상태를 반영하지 않고 audit link도 없다. Playwright/role/accessibility 검증도 미실행이다.
QA-R5I-017,P1,QA-R5-017,-,MERGED_AND_RETAINED,PEER_SOURCE_REVIEW;CLEAN_INCREMENTAL_RUNTIME_REQUIRED,"Gradle frontendBuild inputs에 openapi/, scripts/, orval.config.ts 등 generator 입력이 빠져 있어 변경 후 stale output을 up-to-date로 재사용할 수 있다. install marker도 Node/npm version을 입력으로 추적하지 않는다."
QA-R5I-018,P1,QA-R5-018,QAF-REV004-013,MERGED_AND_RETAINED,DIRECT_SOURCE_CONFIRMED,enrich script의 ensureOperation은 Controller/Runtime에 없는 route도 정적 spec에 생성하고 security/error를 수동 삽입한다.
QA-R5I-019,P1,QA-R5-019,QAF-REV004-012;QAF-REV004-013,MERGED_AND_RETAINED,PEER_SOURCE_REVIEW;MUTATION_TEST_REQUIRED,QA38 DB parity loop는 cpf-starters 1단계 directory만 검사하여 data/... 등 중첩 module SQL을 놓친다. AutoConfiguration target 일부는 SHA에 묶이지 않은 hard-coded allowlist로 존재 검사를 우회한다.
QA-R5I-020,P1,QA-R5-020,QAF-REV004-001,MERGED_AND_RETAINED,PACKAGE_AND_PATH_REVIEW_CONFIRMED,CPF_SOURCE_EVIDENCE_MATRIX는 모두 a8be27 기준이며 integrationClosureApi/Test를 존재하지 않는 generated 경로로 기록하고 일부 OpenAPI 경로도 실제 Repository와 불일치한다.
QA-R5I-021,P2,QA-R5-021,-,MERGED_AND_RETAINED,DIRECT_SOURCE_CONFIRMED,CpfDataQualityOperations에 client boolean approved 시그니처가 Deprecated default method로 남아 있다.
QA-R5I-022,P2,QA-R5-022,-,MERGED_AND_RETAINED,DIRECT_SOURCE_CONFIRMED,settings.gradle이 local-domains 아래 임의 included build를 별도 opt-in 없이 자동 포함한다.
QA-R5I-023,P2,QA-R5-023,-,MERGED_AND_RETAINED,PEER_SOURCE_REVIEW;UX_TEST_REQUIRED,ApprovalsPage의 requestKey/decision idempotencyKey는 초기 1회 생성 후 성공·새 요청 시 자동 회전되지 않아 다른 요청에 재사용되기 쉽다.
QA-R5I-024,P2,QA-R5-024,QAF-REV004-001,MERGED_AND_RETAINED,PACKAGE_PROVENANCE_CONFIRMED,R4 Package는 baseline overlay 관점의 117개 payload를 기록하지만 result_commit_sha와 commit 적용 후 상태가 없고 current master 기준 Package index가 없다.
QA-R5I-025,P0,RELATED:QA-R5-005;QA-R5-021,QAF-REV004-003,MERGED_AND_RETAINED,DIRECT_SOURCE_AND_EXTERNAL_COMPILE_REPRODUCTION_CONFIRMED,CpfDataQualityCorrectionPort가 public SPI에 public nested ApprovedCorrection record를 노출한다. 외부 package가 승인 엔진을 거치지 않고 ApprovedCorrection을 직접 생성해 correctApproved를 호출할 수 있어 “caller authorization API가 아니다”라는 주석이 타입 경계로 강제되지 않는다.
QA-R5I-026,P0,RELATED:QA-R5-023,QAF-REV004-004,MERGED_AND_RETAINED,LOCAL_REPRODUCTION_CONFIRMED,Integration Closure approval idempotency state가 sessionStorage 단일 key에 저장된다. Draft A pending 후 B를 열고 다시 A를 재시도하면 A의 원 key가 B 상태에 의해 대체되어 새 key가 생성되고 timeout/응답 유실 재시도의 동일 요청 정체성이 깨진다.
QA-R5I-027,P1,RELATED:QA-R5-018;QA-R5-019,QAF-REV004-013,MERGED_AND_RETAINED,DIRECT_VERIFIER_SOURCE_REVIEW_CONFIRMED,"REV-004/DB3 정적 Gate는 문자열 패턴 존재를 PASS로 판정하며 public capability 위조, 단일-slot idempotency, child environment secret inheritance, WaitForExit timeout 부재 같은 실제 결함을 검출하지 못한다."
QA-R5I-028,P1,RELATED:QA-R5-008;QA-R5-014,QAF-REV004-014,MERGED_AND_RETAINED,DIRECT_CONTROLLER_SOURCE_CONFIRMED,"AdmApprovalController의 create/detail/decision/reconcile/execute가 모두 ResponseEntity.ok를 반환한다. 기존 requestKey 재생, concurrent preemption/conflict, stale version 등 상태 충돌을 HTTP 409로 안정적으로 표현하는 계약이 부족하다."
QA-R5I-029,P0,-,QAF-REV004-016,MERGED_AND_RETAINED,PROCESS_EVIDENCE_ABSENT,REV-004 개발 결과에 대한 Codex 독립 검수·보완 완료 Evidence가 없으며 개발GPT 자체검수 직후 QA로 진입했다.
