requirement_id,requirement,priority,QA_검수여부,QA_검수회차,QA_검사내용,QA_검수결과,QA_미통과사유,QA_재개발요청여부,QA_재개발대상역할,QA_재개발요청사유,QA_재개발요청내용,QA_재개발대상파일,QA_재실행명령,QA_성공기대결과,QA_실패판정기준,QA_요구Evidence,QA_미조치위험,QA_검수evidence,QA_검수이력경로,development_status,verification_status,baseline_sha,next_action,state_revision,updated_at,updated_by
FDEV-011,Cache Durable Invalidation·Ledger·Checkpoint·Failover 전수 완성,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-002,Y,개발GPT,QA-R5I-002,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-002,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,재확인 필요,미검증,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-012,멱등성·동시성·재시도·Timeout·Fencing·Reconcile 공통 정책 전수 적용,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-010;QA-R5I-012;QA-R5I-014;QA-R5I-026;QA-R5I-028,Y,개발GPT,QA-R5I-010;QA-R5I-012;QA-R5I-014;QA-R5I-026;QA-R5I-028,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-010;QA-R5I-012;QA-R5I-014;QA-R5I-026;QA-R5I-028,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-013,인증·권한·SoD·감사·마스킹·Secret·암호화 운영품질 전수 재검수,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-005;QA-R5I-006;QA-R5I-009;QA-R5I-010;QA-R5I-013;QA-R5I-025,Y,개발GPT,QA-R5I-005;QA-R5I-006;QA-R5I-009;QA-R5I-010;QA-R5I-013;QA-R5I-025,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-005;QA-R5I-006;QA-R5I-009;QA-R5I-010;QA-R5I-013;QA-R5I-025,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-014,ADM 상용 운영 기능 전수 점검 및 누락 구현,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-003;QA-R5I-008;QA-R5I-009;QA-R5I-011;QA-R5I-013;QA-R5I-016;QA-R5I-023;QA-R5I-026;QA-R5I-027;QA-R5I-028,Y,개발GPT,QA-R5I-003;QA-R5I-008;QA-R5I-009;QA-R5I-011;QA-R5I-013;QA-R5I-016;QA-R5I-023;QA-R5I-026;QA-R5I-027;QA-R5I-028,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-003;QA-R5I-008;QA-R5I-009;QA-R5I-011;QA-R5I-013;QA-R5I-016;QA-R5I-023;QA-R5I-026;QA-R5I-027;QA-R5I-028,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-015,BZA 상용 업무 관리자 기능 전수 점검 및 누락 구현,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-002,Y,개발GPT,QA-R5I-002,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-002,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,재확인 필요,미검증,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-016,OpenAPI·Backend API·Generated Client·Route·Config 정합성 전수 검증,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-003;QA-R5I-008;QA-R5I-017;QA-R5I-018;QA-R5I-026;QA-R5I-027;QA-R5I-028,Y,개발GPT,QA-R5I-003;QA-R5I-008;QA-R5I-017;QA-R5I-018;QA-R5I-026;QA-R5I-027;QA-R5I-028,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-003;QA-R5I-008;QA-R5I-017;QA-R5I-018;QA-R5I-026;QA-R5I-027;QA-R5I-028,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-017,실제 Browser·Playwright Release·접근성·반응형·외부 Runtime 의존성 검증,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-002;QA-R5I-016,Y,개발GPT,QA-R5I-002;QA-R5I-016,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-002;QA-R5I-016,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,미검증,미검증,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-018,Generator·Generated Domain·Sample·EDU의 최종 Framework 계약 정합성 검증,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-002,Y,개발GPT,QA-R5I-002,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-002,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,재확인 필요,미검증,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-019,3 Vendor SQL 정적 정합성·Query ID·Metadata·Seed·Index/FK 전수 검수,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-019,Y,개발GPT,QA-R5I-019,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-019,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-020,전체 회귀·fresh clone·Repository Hygiene·Dead Code·Ignore 보호 전수 수행,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-002;QA-R5I-003;QA-R5I-004;QA-R5I-006;QA-R5I-015;QA-R5I-017;QA-R5I-019;QA-R5I-022,Y,개발GPT,QA-R5I-002;QA-R5I-003;QA-R5I-004;QA-R5I-006;QA-R5I-015;QA-R5I-017;QA-R5I-019;QA-R5I-022,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-002;QA-R5I-003;QA-R5I-004;QA-R5I-006;QA-R5I-015;QA-R5I-017;QA-R5I-019;QA-R5I-022,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-021,문서·Guide·기술사양·운영 Playbook의 실제 구현·상태·명령 정합성 갱신,P2,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-001;QA-R5I-004;QA-R5I-018;QA-R5I-020,Y,개발GPT,QA-R5I-001;QA-R5I-004;QA-R5I-018;QA-R5I-020,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-001;QA-R5I-004;QA-R5I-018;QA-R5I-020,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
