finding_id,severity,area,requirement_ids,status,confirmation,peer_finding_ids,self_finding_ids,issue,risk,target_files,required_action,rerun_command,expected_result,failure_criteria,required_evidence,unmitigated_risk,baseline_sha,qa_round
QA-R5I-011,P1,Data Quality Null Handling,"FDEV-003,FDEV-009,FDEV-014",OPEN,DIRECT_SOURCE_CONFIRMED,QA-R5-011,-,Map.copyOf를 record/corrected payload에 사용하여 null field가 포함된 데이터 품질 검증·정정 요청이 NPE로 실패한다.,누락/NULL 검증이 핵심인 Data Quality 기능이 정상적으로 입력을 검사하지 못한다.,AdmIntegrationClosureService; InMemoryCpfDataQualityOperations; CpfDataQualityCorrectionPort,null을 허용하는 immutable copy 또는 명시 schema validation을 적용하고 null/empty/oversize 경계 테스트를 추가한다.,".\gradlew.bat --no-daemon :cpf-common:test :cpf-admin:test --tests ""*DataQuality*""",null field는 규칙 위반 결과로 처리되고 500/NPE가 발생하지 않는다.,"결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,누락/NULL 검증이 핵심인 Data Quality 기능이 정상적으로 입력을 검사하지 못한다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-012,P1,Data Quality Replay/Concurrency,"FDEV-003,FDEV-009,FDEV-012",OPEN,DIRECT_SOURCE_CONFIRMED,QA-R5-012,-,replay는 expectedVersion 없이 동작하고 validate를 재호출하여 실패 시 새 quarantineId를 생성한다. 동시 correction/replay에서 stale update·중복 quarantine이 가능하다.,"중복 Side Effect, 상태 분기, 대사 불일치와 무한 격리 증가가 발생할 수 있다.",CpfDataQualityOperations; InMemoryCpfDataQualityOperations; replay API/OpenAPI/UI,Replay CAS/operation id를 추가하고 validation-only 경로와 quarantine creation을 분리하며 parent/replay lineage를 저장한다.,".\gradlew.bat --no-daemon :cpf-common:test :cpf-admin:test --tests ""*DataQuality*""","stale replay 409, concurrent replay 1회, failed replay 신규 orphan 0, reconcile 수렴.","결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,"중복 Side Effect, 상태 분기, 대사 불일치와 무한 격리 증가가 발생할 수 있다.",e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-013,P1,Approval Policy Lifecycle,"FDEV-003,FDEV-013,FDEV-014",OPEN,PEER_EXACT_BLOB_CONFIRMED,QA-R5-013,-,Versioned 정책을 same policyCode/version으로 UPDATE하고 steps를 DELETE/INSERT한다. PolicyRequest.reason과 breakGlassAllowedYn은 실행/감사에 반영되지 않는다.,과거 승인 정책 재현성·감사성이 깨지고 정책 변경 충돌 및 break-glass 의미가 형식 필드에 그친다.,AdmApprovalService.savePolicy; AdmApprovalRepository.replacePolicy; ApprovalsPage.vue,"사용 중/활성 정책 Version immutable, 새 Version 생성, optimistic lock, 변경 reason/audit, break-glass 정책 실제 enforcement를 구현한다.",".\gradlew.bat --no-daemon :cpf-admin:test --tests ""com.cpf.admin.approval.*""","same version overwrite 거부, concurrent save 409, policy audit before/after hash, break-glass negative test PASS.","결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,과거 승인 정책 재현성·감사성이 깨지고 정책 변경 충돌 및 break-glass 의미가 형식 필드에 그친다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-014,P1,Approval Idempotency/DB Integration,"FDEV-003,FDEV-012",OPEN,SOURCE_PATTERN_CONFIRMED;DB3_RUNTIME_REQUIRED,QA-R5-014,QAF-REV004-014,requestKey/decision idempotency는 선조회 후 INSERT/UPDATE하며 실제 DB unique conflict 재조회/수렴 테스트가 없다. 변경된 테스트는 대부분 Mockito이며 3 Vendor transaction/CAS를 검증하지 않는다.,다중 인스턴스 동시 요청에서 duplicate key 예외가 500이 되거나 동일 결과 보장이 깨질 수 있다.,AdmApprovalService; AdmApprovalRepository; approval tests; DB vendor schema,DB unique constraint 기반 insert-or-read와 duplicate exception replay를 구현하고 DB3 동시성 통합 테스트를 수행한다.,".\gradlew.bat --no-daemon :cpf-admin:test --tests ""com.cpf.admin.approval.*""","2+ process same key에서 mutation/request/decision 1건, 모든 호출 동일 result, 500 0.","결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,다중 인스턴스 동시 요청에서 duplicate key 예외가 500이 되거나 동일 결과 보장이 깨질 수 있다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-015,P1,DB3 Runner Safety,"FDEV-005,FDEV-020,FDEV-023",OPEN,DIRECT_SOURCE_CONFIRMED_AND_ENRICHED,QA-R5-015,QAF-REV004-005;QAF-REV004-006,DB runner는 JDBC URL/username을 argv로 전달하고 URL 내 credential/query secret을 금지·redact하지 않는다. WaitForExit에 timeout/cancellation이 없다. 또한 ProcessStartInfo.Environment를 정리하지 않아 부모 프로세스의 CPF_RUNTIME_*_PASSWORD 및 기타 Secret 환경변수가 child로 상속될 수 있다.,process list·Evidence에 secret이 노출되거나 hung DB/runner가 QA/운영 작업을 무기한 점유한다.,run-db3-lifecycle.ps1; Pester tests; verify-db3-runner-contract.py,"URL credential validation/redaction, config/stdin/file descriptor 방식, vendor별 timeout·kill·timeout Evidence를 추가한다. child environment를 clear 후 명시 allowlist만 주입하고 Password/Token inheritance negative test를 추가한다.","python cpf-tools/verification/final-dev/verify-db3-runner-contract.py; pwsh -NoProfile -Command ""Invoke-Pester -Path 'cpf-tools/verification/final-dev/tests/run-db3-lifecycle.Tests.ps1' -CI""","secret corpus argv/log/audit 0, timeout 시 child tree 종료 및 명확한 exit code/UNKNOWN result. child environment secret 0, inherited secret canary 0.","결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,process list·Evidence에 secret이 노출되거나 hung DB/runner가 QA/운영 작업을 무기한 점유한다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-016,P1,ADM UX/Permission,"FDEV-014,FDEV-017",OPEN,PEER_SOURCE_REVIEW;BROWSER_RUNTIME_REQUIRED,QA-R5-016,QAF-REV004-010,Integration Closure 화면은 CRITICAL route이나 query/approval/execute/replay 버튼별 권한 상태를 반영하지 않고 audit link도 없다. Playwright/role/accessibility 검증도 미실행이다.,조회 권한만 있는 운영자에게 위험 버튼이 노출되고 운영자가 감사·복구 근거를 연결하기 어렵다.,routes.ts; IntegrationClosurePage.vue; approval page; Playwright suite,"operation permission model로 버튼 hide/disable/reason 제공, audit/operation link, 401/403/409 focus flow 및 browser matrix를 구현한다.",npm --prefix cpf-admin/frontend ci; npm --prefix cpf-admin/frontend run verify; npm --prefix cpf-admin/frontend run test:e2e,"role별 버튼 matrix, keyboard/focus/aria/viewport, error injection Playwright PASS.","결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,조회 권한만 있는 운영자에게 위험 버튼이 노출되고 운영자가 감사·복구 근거를 연결하기 어렵다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-017,P1,Frontend Build Reproducibility,"FDEV-016,FDEV-020",OPEN,PEER_SOURCE_REVIEW;CLEAN_INCREMENTAL_RUNTIME_REQUIRED,QA-R5-017,-,"Gradle frontendBuild inputs에 openapi/, scripts/, orval.config.ts 등 generator 입력이 빠져 있어 변경 후 stale output을 up-to-date로 재사용할 수 있다. install marker도 Node/npm version을 입력으로 추적하지 않는다.",Source/OpenAPI가 변경돼도 WAR/static artifact가 이전 generated client를 포함할 수 있다.,cpf-admin/build.gradle; frontend package/generator files,모든 generator/build input과 tool version을 Gradle inputs로 선언하고 clean/incremental 두 경로 artifact hash를 비교한다.,npm --prefix cpf-admin/frontend ci; npm --prefix cpf-admin/frontend run verify; npm --prefix cpf-admin/frontend run test:e2e,OpenAPI/script/tool version 1 byte 변경 시 task 재실행; clean과 incremental artifact hash 동일.,"결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,Source/OpenAPI가 변경돼도 WAR/static artifact가 이전 generated client를 포함할 수 있다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-018,P1,OpenAPI Source of Truth,"FDEV-016,FDEV-021",OPEN,DIRECT_SOURCE_CONFIRMED,QA-R5-018,QAF-REV004-013,enrich script의 ensureOperation은 Controller/Runtime에 없는 route도 정적 spec에 생성하고 security/error를 수동 삽입한다.,OpenAPI가 실제 Runtime을 검증하지 않고 결함을 가리는 별도 정본이 된다.,enrich-adm-openapi-contract.mjs; OpenAPI lifecycle scripts,runtime/controller-generated document를 입력으로 사용하고 missing route/operation이면 생성이 아니라 실패하도록 변경한다.,npm --prefix cpf-admin/frontend ci; npm --prefix cpf-admin/frontend run verify,Controller 제거/rename/security 변경 mutation test에서 OpenAPI Gate FAIL; runtime snapshot과 release spec exact parity.,"결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,OpenAPI가 실제 Runtime을 검증하지 않고 결함을 가리는 별도 정본이 된다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-019,P1,QA Gate Coverage,"FDEV-007,FDEV-019,FDEV-020,FDEV-025",OPEN,PEER_SOURCE_REVIEW;MUTATION_TEST_REQUIRED,QA-R5-019,QAF-REV004-012;QAF-REV004-013,QA38 DB parity loop는 cpf-starters 1단계 directory만 검사하여 data/... 등 중첩 module SQL을 놓친다. AutoConfiguration target 일부는 SHA에 묶이지 않은 hard-coded allowlist로 존재 검사를 우회한다.,Starter 물리 재편 이후 주요 DB/Bean 결함이 Gate PASS로 누락될 수 있다.,cpf-tools/verification/qa38/verify-qa38-structure.py,canonical catalog modules를 순회해 DB/Source를 검사하고 allowlist를 제거하거나 exact path+hash catalog로 검증한다.,python cpf-tools/verification/qa38/verify-qa38-structure.py .; python cpf-tools/verification/qa39/verify-qa39-canonical-starter-closure.py,중첩 module SQL 누락/AutoConfiguration 삭제 mutation test가 반드시 FAIL.,"결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,Starter 물리 재편 이후 주요 DB/Bean 결함이 Gate PASS로 누락될 수 있다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-020,P1,Documentation Evidence Matrix,"FDEV-001,FDEV-021,FDEV-022",OPEN,PACKAGE_AND_PATH_REVIEW_CONFIRMED,QA-R5-020,QAF-REV004-001,CPF_SOURCE_EVIDENCE_MATRIX는 모두 a8be27 기준이며 integrationClosureApi/Test를 존재하지 않는 generated 경로로 기록하고 일부 OpenAPI 경로도 실제 Repository와 불일치한다.,Guide/산출물에서 Source 추적 링크가 끊기고 최신 구현과 문서가 양방향 불일치한다.,cpf-docs/deliverables/evidence/CPF_SOURCE_EVIDENCE_MATRIX.csv,e7cc9ada source tree로 path existence/hash를 재생성하고 미검증 항목을 완료로 표기하지 않는다.,git rev-parse HEAD; git status --short --branch; python cpf-tools/verification/final-dev/verify-rev004-overlay.py,"matrix 경로 100% 존재, blob/hash 일치, runtime 미실행 status=미검증.","결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,Guide/산출물에서 Source 추적 링크가 끊기고 최신 구현과 문서가 양방향 불일치한다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
