path,change_type,basis_sha,note
cpf-docs/deliverables/evidence/doc-r20/DOCUMENT_METRICS.csv,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/FORMAT_POLICY.md,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/IMAGE_REFERENCE_REVIEW.csv,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/PACKAGE_MANIFEST.json,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/PDF_PREFLIGHT.csv,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/R6J_REWORK_DOCUMENT_IMPACT.csv,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/RUNTIME_UNVERIFIED.md,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/SHA256SUMS.txt,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/SOURCE_UPDATE_REVIEW.csv,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/VISUAL_QA.json,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
