exact_id,priority,area,title,document_targets,current_status,verification_status,source_basis
AB-R6-030,P0,EDU/Sample,EDU-ADM 17의 generic product-mimic 구조,00_프레임워크안내;03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;산출물목록;아키텍처설계서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-032,P0,EDU/Sample,EDU-ADM-04 승인 교육 예제의 실제 제품 계약 미사용,03_ADM개발자매뉴얼;산출물목록,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-033,P0,EDU/Sample,EDU-ADM-08 masking/IDOR/browser role matrix 미충족,03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;산출물목록,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-034,P0,EDU/Sample,EDU-ADM-09 version conflict/browser flow 의미 불일치,03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;산출물목록,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-035,P0,EDU/Sample,EDU-ADM-10 bulk target semantics가 실제 Product와 분리됨,03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;산출물목록,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-036,P1,EDU/Sample,EDU-ADM-11 maintenance/LKG rollback 의미가 generic ledger에 머묾,03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;05_플랫폼운영매뉴얼;산출물목록,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-037,P0,EDU/Sample,EDU-ADM-12~17이 제품 기능을 generic JDBC 상태로 모사,00_프레임워크안내;03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;산출물목록;아키텍처설계서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-038,P0,EDU/Sample,QA37 EDU closure Gate가 semantic drift를 탐지하지 못함,01_개발자매뉴얼;02_배치개발매뉴얼;03_ADM개발자매뉴얼;기술표준서;산출물목록,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-001,P0,Architecture/EDU,ADM Product와 EDU-ADM generic duplicate implementation Architecture 충돌,00_프레임워크안내;03_ADM개발자매뉴얼;아키텍처설계서;산출물목록,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-002,P0,Runtime/Release,Release Workflow ADM frontend URL preflight 변수명 불일치,05_플랫폼운영매뉴얼;기술사양서;기술표준서;산출물목록,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-003,P0,Verification Tool/Frontend,Frontend permission bypass mutation을 검출하지 못함,03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;05_플랫폼운영매뉴얼;기술표준서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-004,P0,Verification Tool/Observability,Observability qualification이 self-attested proof로 false-green 가능,05_플랫폼운영매뉴얼;기술사양서;기술표준서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-005,P0,Management/Requirement,거래/File/DB Logging 신규 정본이 이전 개발원장에 미반영,00_프레임워크안내;01_개발자매뉴얼;02_배치개발매뉴얼;04_ADM운영자매뉴얼;05_플랫폼운영매뉴얼;기술사양서;기술표준서;데이터베이스표준서;아키텍처설계서;산출물목록,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-006,P0,ADM/Transaction Timeline,ADM transactionId one-shot가 Message/DLQ/Batch/File/Trace/Audit까지 통합하지 못함,04_ADM운영자매뉴얼;05_플랫폼운영매뉴얼;기술사양서;데이터베이스표준서;아키텍처설계서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-007,P0,DB/Transaction Logging,DB3 transaction schema/query의 표준 식별자·join/index/retention 부족,01_개발자매뉴얼;02_배치개발매뉴얼;05_플랫폼운영매뉴얼;기술사양서;데이터베이스표준서;아키텍처설계서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-008,P0,EDU/Security,EDU authorization이 caller-provided actor/role/scope header를 신뢰,01_개발자매뉴얼;02_배치개발매뉴얼;03_ADM개발자매뉴얼;기술표준서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-009,P0,EDU/Process Security,PROCESS EDU가 parent environment와 payload temp file을 과도하게 상속/기록,01_개발자매뉴얼;02_배치개발매뉴얼;05_플랫폼운영매뉴얼;기술표준서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-010,P1,OpenAPI/Frontend,Approval backend 422와 OpenAPI/generated/UI error taxonomy drift,03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;90_BZA매뉴얼;기술사양서;기술표준서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-011,P0,BZA/Frontend/Consumer,Retired HTTP 410 Approval GET가 active consumer로 계산됨,90_BZA매뉴얼;기술사양서;산출물목록,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-012,P0,Approval/Recovery,UNKNOWN-producing Approval Owner의 observation reconcile 누락,02_배치개발매뉴얼;03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;05_플랫폼운영매뉴얼;91_Gateway매뉴얼;기술사양서;아키텍처설계서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-013,P0,ADM/Recovery,RecoveryCenter가 canonical mutation의 permission/CAS 계약을 약화,04_ADM운영자매뉴얼;03_ADM개발자매뉴얼;기술사양서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-014,P0,Core/Logging,CPF-LOGFAIL durable spool/retry/dedup/loss recovery Owner 부재,01_개발자매뉴얼;05_플랫폼운영매뉴얼;기술사양서;기술표준서;아키텍처설계서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-015,P1,ADM/Frontend/Security,HIGH/CRITICAL ADM 화면 action-level permission projection 불균일,03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;기술표준서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
R6J-CENTRAL-NEW-016,P1,BZA/Frontend/Security,BZA Approval mutation action-level permission projection 누락,90_BZA매뉴얼;기술표준서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
