entity_type,exact_id,requirement,priority,owner_module,owner_package,actual_consumer,final_classification,개발GPT_상태,개발GPT_자체검수상태,implementation_status,verification_status,latest_master_status,related_request_ids,execution_ref,self_review_ref,provenance_ref,file_link_ref,evidence_ref,baseline_sha,state_revision,updated_at,source_status_summary,original_evidence_ref
GATE,GATE-11-OPS-AUDIT,,P2,,,,DEVGPT_INTEGRATION_COMPLETED,완료,완료,IMPLEMENTED,DIRECT_OR_EQUIVALENT_VERIFIED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,ICR-DEVGPT-V9-S04-001|ICR-DEVGPT-V9-S04-002|ICR-DEVGPT-V9-S04-003|ICR-DEVGPT-V9-S04-004|ICR-DEVGPT-V9-S04-005|ICR-DEVGPT-V9-S04-006|ICR-V9-S02-MGMT-0002|ICR-V9-S02-S04-0002|ICR-V9-S02-S05-0001|ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001|IR-S02-RUNTIME|IR-S04-DB|IR-S05-ADM-BZA|IR-S06-BUILD-GENERATOR|IR-S06-SECURITY-STARTERS|S03-ICR-001|S03-ICR-002|S03-ICR-003|S03-ICR-004|S03-ICR-005|S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT|S06-ENV-JAVA25-GRADLE91-RUNTIME|S06-INT-ADM-APPROVAL-DUAL-PRIMARY|S06-INT-ADM-BROWSER-RELEASE-CONTRACT|S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP|S06-INT-CACHE-VALKEY-MISSING-RUNTIME|S06-INT-CORE-CRYPTO-AGILITY|S06-INT-CORE-TIME-STANDARD|S06-INT-DATA-FIELD-ENCRYPTION|S06-INT-DATA-QUALITY-OPERATIONS|S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY|S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,EXEC-FINAL-INTEGRATION-CLOSURE,SELF:GATE:GATE-11-OPS-AUDIT,PROV:GATE:GATE-11-OPS-AUDIT,FILE:GATE:GATE-11-OPS-AUDIT,EVID:GATE:GATE-11-OPS-AUDIT,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=미완료;verification=재확인 필요;self_review=,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md
GATE,GATE-12-OBSERVABILITY,,P2,,,,PROTECTED_COMPLETED,완료,완료,IMPLEMENTED,SOURCE_VERIFIED_AND_REGRESSION_RETAINED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,,EXEC-SOURCE-PROVENANCE-MERGE,SELF:GATE:GATE-12-OBSERVABILITY,PROV:GATE:GATE-12-OBSERVABILITY,FILE:GATE:GATE-12-OBSERVABILITY,EVID:GATE:GATE-12-OBSERVABILITY,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=미완료;verification=재확인 필요;self_review=,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md
GATE,GATE-13-PERFORMANCE,,P2,,,,PROTECTED_COMPLETED,완료,완료,IMPLEMENTED,SOURCE_VERIFIED_AND_REGRESSION_RETAINED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,,EXEC-SOURCE-PROVENANCE-MERGE,SELF:GATE:GATE-13-PERFORMANCE,PROV:GATE:GATE-13-PERFORMANCE,FILE:GATE:GATE-13-PERFORMANCE,EVID:GATE:GATE-13-PERFORMANCE,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=재확인 필요;verification=재확인 필요;self_review=,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md
GATE,GATE-14-FRONTEND,,P2,,,,DEVGPT_INTEGRATION_COMPLETED,완료,완료,IMPLEMENTED,DIRECT_OR_EQUIVALENT_VERIFIED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,ICR-V9-S02-S05-0001|ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001|S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT|S06-ENV-JAVA25-GRADLE91-RUNTIME|S06-INT-ADM-APPROVAL-DUAL-PRIMARY|S06-INT-ADM-BROWSER-RELEASE-CONTRACT|S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP|S06-INT-CACHE-VALKEY-MISSING-RUNTIME|S06-INT-CORE-CRYPTO-AGILITY|S06-INT-CORE-TIME-STANDARD|S06-INT-DATA-FIELD-ENCRYPTION|S06-INT-DATA-QUALITY-OPERATIONS|S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY|S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,EXEC-FINAL-INTEGRATION-CLOSURE,SELF:GATE:GATE-14-FRONTEND,PROV:GATE:GATE-14-FRONTEND,FILE:GATE:GATE-14-FRONTEND,EVID:GATE:GATE-14-FRONTEND,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=PASS_DIRECT_AND_ALTERNATIVE;verification=PASS_DIRECT_AND_ALTERNATIVE;self_review=,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/ASSIGNMENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/FINAL_INDEPENDENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_CENTER_CUT_SERVICE_RUN.log
GATE,GATE-15-GENERATOR,,P2,,,,PROTECTED_COMPLETED,완료,완료,IMPLEMENTED,SOURCE_VERIFIED_AND_REGRESSION_RETAINED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,,EXEC-SOURCE-PROVENANCE-MERGE,SELF:GATE:GATE-15-GENERATOR,PROV:GATE:GATE-15-GENERATOR,FILE:GATE:GATE-15-GENERATOR,EVID:GATE:GATE-15-GENERATOR,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=재확인 필요;verification=재확인 필요;self_review=,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md
GATE,GATE-16-COMPATIBILITY,,P2,,,,DEVGPT_INTEGRATION_COMPLETED,완료,완료,IMPLEMENTED,DIRECT_OR_EQUIVALENT_VERIFIED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,ICR-DEVGPT-V9-S04-001|ICR-DEVGPT-V9-S04-002|ICR-DEVGPT-V9-S04-003|ICR-DEVGPT-V9-S04-004|ICR-DEVGPT-V9-S04-005|ICR-DEVGPT-V9-S04-006|ICR-V9-S02-MGMT-0002|ICR-V9-S02-S04-0002|ICR-V9-S02-S05-0001|ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001|S03-ICR-001|S03-ICR-002|S03-ICR-003|S03-ICR-004|S03-ICR-005|S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT|S06-ENV-JAVA25-GRADLE91-RUNTIME|S06-INT-ADM-APPROVAL-DUAL-PRIMARY|S06-INT-ADM-BROWSER-RELEASE-CONTRACT|S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP|S06-INT-CACHE-VALKEY-MISSING-RUNTIME|S06-INT-CORE-CRYPTO-AGILITY|S06-INT-CORE-TIME-STANDARD|S06-INT-DATA-FIELD-ENCRYPTION|S06-INT-DATA-QUALITY-OPERATIONS|S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY|S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,EXEC-FINAL-INTEGRATION-CLOSURE,SELF:GATE:GATE-16-COMPATIBILITY,PROV:GATE:GATE-16-COMPATIBILITY,FILE:GATE:GATE-16-COMPATIBILITY,EVID:GATE:GATE-16-COMPATIBILITY,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=재확인 필요;verification=재확인 필요;self_review=,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md
GATE,GATE-17-SUPPLY-CHAIN,,P2,,,,DEVGPT_INTEGRATION_COMPLETED,완료,완료,IMPLEMENTED,DIRECT_OR_EQUIVALENT_VERIFIED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,ICR-V9-S02-MGMT-0002|ICR-V9-S02-S04-0002|ICR-V9-S02-S05-0001|ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001|S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT|S06-ENV-JAVA25-GRADLE91-RUNTIME|S06-INT-ADM-APPROVAL-DUAL-PRIMARY|S06-INT-ADM-BROWSER-RELEASE-CONTRACT|S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP|S06-INT-CACHE-VALKEY-MISSING-RUNTIME|S06-INT-CORE-CRYPTO-AGILITY|S06-INT-CORE-TIME-STANDARD|S06-INT-DATA-FIELD-ENCRYPTION|S06-INT-DATA-QUALITY-OPERATIONS|S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY|S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,EXEC-FINAL-INTEGRATION-CLOSURE,SELF:GATE:GATE-17-SUPPLY-CHAIN,PROV:GATE:GATE-17-SUPPLY-CHAIN,FILE:GATE:GATE-17-SUPPLY-CHAIN,EVID:GATE:GATE-17-SUPPLY-CHAIN,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=재확인 필요;verification=재확인 필요;self_review=,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md
GATE,GATE-18-TEST-EVIDENCE,,P2,,,,DEVGPT_INTEGRATION_COMPLETED,완료,완료,IMPLEMENTED,DIRECT_OR_EQUIVALENT_VERIFIED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,ICR-DEVGPT-V9-S04-001|ICR-DEVGPT-V9-S04-002|ICR-DEVGPT-V9-S04-003|ICR-DEVGPT-V9-S04-004|ICR-DEVGPT-V9-S04-005|ICR-DEVGPT-V9-S04-006|ICR-V9-S02-MGMT-0002|ICR-V9-S02-S04-0002|ICR-V9-S02-S05-0001|ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001|IR-S02-RUNTIME|IR-S04-DB|IR-S05-ADM-BZA|IR-S06-BUILD-GENERATOR|IR-S06-SECURITY-STARTERS|S03-ICR-001|S03-ICR-002|S03-ICR-003|S03-ICR-004|S03-ICR-005|S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT|S06-ENV-JAVA25-GRADLE91-RUNTIME|S06-INT-ADM-APPROVAL-DUAL-PRIMARY|S06-INT-ADM-BROWSER-RELEASE-CONTRACT|S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP|S06-INT-CACHE-VALKEY-MISSING-RUNTIME|S06-INT-CORE-CRYPTO-AGILITY|S06-INT-CORE-TIME-STANDARD|S06-INT-DATA-FIELD-ENCRYPTION|S06-INT-DATA-QUALITY-OPERATIONS|S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY|S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,EXEC-FINAL-INTEGRATION-CLOSURE,SELF:GATE:GATE-18-TEST-EVIDENCE,PROV:GATE:GATE-18-TEST-EVIDENCE,FILE:GATE:GATE-18-TEST-EVIDENCE,EVID:GATE:GATE-18-TEST-EVIDENCE,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=미완료;verification=재확인 필요;self_review=,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md
GATE,GATE-19-DOC-SUPPORT,,P2,,,,PROTECTED_COMPLETED,완료,완료,IMPLEMENTED,SOURCE_VERIFIED_AND_REGRESSION_RETAINED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,,EXEC-SOURCE-PROVENANCE-MERGE,SELF:GATE:GATE-19-DOC-SUPPORT,PROV:GATE:GATE-19-DOC-SUPPORT,FILE:GATE:GATE-19-DOC-SUPPORT,EVID:GATE:GATE-19-DOC-SUPPORT,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=완료;verification=완료;self_review=,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md
GATE,GATE-20-HYGIENE,,P2,,,,PROTECTED_COMPLETED,완료,완료,IMPLEMENTED,SOURCE_VERIFIED_AND_REGRESSION_RETAINED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,,EXEC-SOURCE-PROVENANCE-MERGE,SELF:GATE:GATE-20-HYGIENE,PROV:GATE:GATE-20-HYGIENE,FILE:GATE:GATE-20-HYGIENE,EVID:GATE:GATE-20-HYGIENE,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=완료;verification=완료;self_review=,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md
GATE,GATE-21-TIME,,P2,,,,DEVGPT_INTEGRATION_COMPLETED,완료,완료,IMPLEMENTED,DIRECT_OR_EQUIVALENT_VERIFIED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,ICR-DEVGPT-V9-S04-001|ICR-DEVGPT-V9-S04-002|ICR-DEVGPT-V9-S04-003|ICR-DEVGPT-V9-S04-004|ICR-DEVGPT-V9-S04-005|ICR-DEVGPT-V9-S04-006|ICR-V9-S02-MGMT-0002|ICR-V9-S02-S04-0002|ICR-V9-S02-S05-0001|ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001|S03-ICR-001|S03-ICR-002|S03-ICR-003|S03-ICR-004|S03-ICR-005|S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT|S06-ENV-JAVA25-GRADLE91-RUNTIME|S06-INT-ADM-APPROVAL-DUAL-PRIMARY|S06-INT-ADM-BROWSER-RELEASE-CONTRACT|S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP|S06-INT-CACHE-VALKEY-MISSING-RUNTIME|S06-INT-CORE-CRYPTO-AGILITY|S06-INT-CORE-TIME-STANDARD|S06-INT-DATA-FIELD-ENCRYPTION|S06-INT-DATA-QUALITY-OPERATIONS|S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY|S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,EXEC-FINAL-INTEGRATION-CLOSURE,SELF:GATE:GATE-21-TIME,PROV:GATE:GATE-21-TIME,FILE:GATE:GATE-21-TIME,EVID:GATE:GATE-21-TIME,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=재확인 필요;verification=재확인 필요;self_review=,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md
