entry_id,kind,path,symbol,classification,canonical_replacement,owner,public_surface,notes
GRADLE_TASK:cpf-member/online/build.gradle#prepareCpfVendorResources,GRADLE_TASK,cpf-member/online/build.gradle,prepareCpfVendorResources,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-member,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-member/online/build.gradle#validateCpfJdbcDriverSelection,GRADLE_TASK,cpf-member/online/build.gradle,validateCpfJdbcDriverSelection,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-member,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-starters/data/transaction/jta/build.gradle#runXaCrashHarness,GRADLE_TASK,cpf-starters/data/transaction/jta/build.gradle,runXaCrashHarness,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-starters,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#aggregateQualityBuild,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,aggregateQualityBuild,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#compositeModuleIdentityGate,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,compositeModuleIdentityGate,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#corePomPurityGate,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,corePomPurityGate,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfBuild,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfBuild,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfDatabaseDiscovery,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfDatabaseDiscovery,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfDomainDiscovery,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfDomainDiscovery,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfHelp,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfHelp,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfModules,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfModules,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfModulesAll,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfModulesAll,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfPrepareIdeClasspath,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfPrepareIdeClasspath,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfProjectPublicRuntimeAliases,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfProjectPublicRuntimeAliases,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfPublishAllToArtifactStaging,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfPublishAllToArtifactStaging,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfPublishPublicToArtifactStaging,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfPublishPublicToArtifactStaging,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfPublishToIsolatedLocal,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfPublishToIsolatedLocal,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfResourcePolicy,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfResourcePolicy,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfResourcePolicyGate,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfResourcePolicyGate,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfRunBackoffice,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfRunBackoffice,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfTest,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfTest,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfVerifyFast,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfVerifyFast,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfVerifyFullLocal,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfVerifyFullLocal,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfVerifyIdeClasspathModel,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfVerifyIdeClasspathModel,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#cpfVerifyTargeted,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,cpfVerifyTargeted,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#generateCpfRuntimeCapabilityMetadata,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,generateCpfRuntimeCapabilityMetadata,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#gradleProjectDependencyClosureTest,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,gradleProjectDependencyClosureTest,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#managedDependencyGate,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,managedDependencyGate,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#publicationGate,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,publicationGate,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#publishCpfVerifiedLocalPlatformArtifacts,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,publishCpfVerifiedLocalPlatformArtifacts,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#qa34IntegrationTest,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,qa34IntegrationTest,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/cpf-root-conventions.gradle#qualityGate,GRADLE_TASK,cpf-tools/build/cpf-root-conventions.gradle,qualityGate,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/cpf-root-conventions.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/gradle-plugin/build.gradle#publishCpfPluginToInternal,GRADLE_TASK,cpf-tools/build/gradle-plugin/build.gradle,publishCpfPluginToInternal,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/gradle-plugin,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/gradle-plugin/build.gradle#publishCpfPluginToLocal,GRADLE_TASK,cpf-tools/build/gradle-plugin/build.gradle,publishCpfPluginToLocal,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/gradle-plugin,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/gradle-plugin/build.gradle#publishCpfPluginToStaging,GRADLE_TASK,cpf-tools/build/gradle-plugin/build.gradle,publishCpfPluginToStaging,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/gradle-plugin,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/platform-bom/build.gradle#publishCpfBomToInternal,GRADLE_TASK,cpf-tools/build/platform-bom/build.gradle,publishCpfBomToInternal,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/platform-bom,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/platform-bom/build.gradle#publishCpfBomToLocal,GRADLE_TASK,cpf-tools/build/platform-bom/build.gradle,publishCpfBomToLocal,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/platform-bom,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/platform-bom/build.gradle#publishCpfBomToStaging,GRADLE_TASK,cpf-tools/build/platform-bom/build.gradle,publishCpfBomToStaging,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/platform-bom,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/platform-bom/internal-bom/build.gradle#verifyInternalBom,GRADLE_TASK,cpf-tools/build/platform-bom/internal-bom/build.gradle,verifyInternalBom,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/platform-bom,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/build/platform-bom/public-bom/build.gradle#verifyPublicBom,GRADLE_TASK,cpf-tools/build/platform-bom/public-bom/build.gradle,verifyPublicBom,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/build/platform-bom,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/open-git/templates/build.gradle#cpfBuild,GRADLE_TASK,cpf-tools/release/open-git/templates/build.gradle,cpfBuild,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/open-git,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/open-git/templates/build.gradle#cpfDatabaseDiscovery,GRADLE_TASK,cpf-tools/release/open-git/templates/build.gradle,cpfDatabaseDiscovery,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/open-git,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/open-git/templates/build.gradle#cpfDomainDiscovery,GRADLE_TASK,cpf-tools/release/open-git/templates/build.gradle,cpfDomainDiscovery,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/open-git,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/open-git/templates/build.gradle#cpfPublicationDiscovery,GRADLE_TASK,cpf-tools/release/open-git/templates/build.gradle,cpfPublicationDiscovery,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/open-git,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/open-git/templates/build.gradle#cpfRuntimeDiscovery,GRADLE_TASK,cpf-tools/release/open-git/templates/build.gradle,cpfRuntimeDiscovery,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/open-git,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/open-git/templates/build.gradle#cpfTest,GRADLE_TASK,cpf-tools/release/open-git/templates/build.gradle,cpfTest,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/open-git,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/open-git/templates/build.gradle#cpfVerify,GRADLE_TASK,cpf-tools/release/open-git/templates/build.gradle,cpfVerify,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/open-git,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/open-git/templates/build.gradle#cpfWorkspace,GRADLE_TASK,cpf-tools/release/open-git/templates/build.gradle,cpfWorkspace,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/open-git,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/open-git/templates/build.gradle#test,GRADLE_TASK,cpf-tools/release/open-git/templates/build.gradle,test,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/open-git,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/public/templates/build.gradle#cpfBuild,GRADLE_TASK,cpf-tools/release/public/templates/build.gradle,cpfBuild,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/public,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/public/templates/build.gradle#cpfDatabaseDiscovery,GRADLE_TASK,cpf-tools/release/public/templates/build.gradle,cpfDatabaseDiscovery,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/public,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/public/templates/build.gradle#cpfDomainDiscovery,GRADLE_TASK,cpf-tools/release/public/templates/build.gradle,cpfDomainDiscovery,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/public,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/public/templates/build.gradle#cpfPublicationDiscovery,GRADLE_TASK,cpf-tools/release/public/templates/build.gradle,cpfPublicationDiscovery,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/public,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/public/templates/build.gradle#cpfRuntimeDiscovery,GRADLE_TASK,cpf-tools/release/public/templates/build.gradle,cpfRuntimeDiscovery,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/public,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/public/templates/build.gradle#cpfTest,GRADLE_TASK,cpf-tools/release/public/templates/build.gradle,cpfTest,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/public,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/public/templates/build.gradle#cpfVerify,GRADLE_TASK,cpf-tools/release/public/templates/build.gradle,cpfVerify,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/public,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/public/templates/build.gradle#cpfWorkspace,GRADLE_TASK,cpf-tools/release/public/templates/build.gradle,cpfWorkspace,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/public,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-tools/release/public/templates/build.gradle#test,GRADLE_TASK,cpf-tools/release/public/templates/build.gradle,test,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-tools/release/public,NO,Low-level Gradle engine/task
JAVA_MAIN:cpf-admin/src/main/java/com/cpf/admin/AdmApplication.java,JAVA_MAIN,cpf-admin/src/main/java/com/cpf/admin/AdmApplication.java,main,INTERNAL_ENGINE,owner-specific runtime/automation,cpf-admin,NO,Non-official entrypoint
JAVA_MAIN:cpf-backoffice-web/src/main/java/com/cpf/backoffice/web/BackofficeWebApplication.java,JAVA_MAIN,cpf-backoffice-web/src/main/java/com/cpf/backoffice/web/BackofficeWebApplication.java,main,INTERNAL_ENGINE,owner-specific runtime/automation,cpf-backoffice-web,NO,Non-official entrypoint
JAVA_MAIN:cpf-backoffice/online/src/main/java/com/cpf/backoffice/online/BackofficeOnlineApplication.java,JAVA_MAIN,cpf-backoffice/online/src/main/java/com/cpf/backoffice/online/BackofficeOnlineApplication.java,main,INTERNAL_ENGINE,owner-specific runtime/automation,cpf-backoffice,NO,Non-official entrypoint
JAVA_MAIN:cpf-batch/agent/src/main/java/com/cpf/batch/agent/BatchAgentApplication.java,JAVA_MAIN,cpf-batch/agent/src/main/java/com/cpf/batch/agent/BatchAgentApplication.java,main,INTERNAL_ENGINE,cpf command catalog or low-level automation,cpf-batch/agent,NO,Retained engine/debug/automation entrypoint
JAVA_MAIN:cpf-batch/center-cut/src/main/java/com/cpf/batch/centercut/runner/CenterCutApplication.java,JAVA_MAIN,cpf-batch/center-cut/src/main/java/com/cpf/batch/centercut/runner/CenterCutApplication.java,main,INTERNAL_ENGINE,cpf command catalog or low-level automation,cpf-batch/center-cut,NO,Retained engine/debug/automation entrypoint
JAVA_MAIN:cpf-batch/control-plane/src/main/java/com/cpf/batch/control/BatchControlPlaneApplication.java,JAVA_MAIN,cpf-batch/control-plane/src/main/java/com/cpf/batch/control/BatchControlPlaneApplication.java,main,INTERNAL_ENGINE,cpf command catalog or low-level automation,cpf-batch/control-plane,NO,Retained engine/debug/automation entrypoint
JAVA_MAIN:cpf-batch/scheduler/src/main/java/com/cpf/batch/scheduler/BatchSchedulerApplication.java,JAVA_MAIN,cpf-batch/scheduler/src/main/java/com/cpf/batch/scheduler/BatchSchedulerApplication.java,main,INTERNAL_ENGINE,cpf command catalog or low-level automation,cpf-batch/scheduler,NO,Retained engine/debug/automation entrypoint
JAVA_MAIN:cpf-batch/worker/src/main/java/com/cpf/batch/worker/BatchWorkerApplication.java,JAVA_MAIN,cpf-batch/worker/src/main/java/com/cpf/batch/worker/BatchWorkerApplication.java,main,INTERNAL_ENGINE,cpf command catalog or low-level automation,cpf-batch/worker,NO,Retained engine/debug/automation entrypoint
JAVA_MAIN:cpf-batch/worker/src/test/java/com/cpf/batch/worker/ApprovedShellExecutorTest.java,JAVA_MAIN,cpf-batch/worker/src/test/java/com/cpf/batch/worker/ApprovedShellExecutorTest.java,main,INTERNAL_ENGINE,cpf command catalog or low-level automation,cpf-batch/worker,NO,Retained engine/debug/automation entrypoint
JAVA_MAIN:cpf-education/src/main/java/com/cpf/education/EducationApplication.java,JAVA_MAIN,cpf-education/src/main/java/com/cpf/education/EducationApplication.java,main,INTERNAL_ENGINE,owner-specific runtime/automation,cpf-education,NO,Non-official entrypoint
JAVA_MAIN:cpf-external/online/src/main/java/external/ExternalOnlineApplication.java,JAVA_MAIN,cpf-external/online/src/main/java/external/ExternalOnlineApplication.java,main,INTERNAL_ENGINE,owner-specific runtime/automation,cpf-external,NO,Non-official entrypoint
JAVA_MAIN:cpf-gateway/src/main/java/com/cpf/gateway/CpfGatewayApplication.java,JAVA_MAIN,cpf-gateway/src/main/java/com/cpf/gateway/CpfGatewayApplication.java,main,INTERNAL_ENGINE,owner-specific runtime/automation,cpf-gateway,NO,Non-official entrypoint
JAVA_MAIN:cpf-member/batch/src/main/java/member/MemberBatchApplication.java,JAVA_MAIN,cpf-member/batch/src/main/java/member/MemberBatchApplication.java,main,INTERNAL_ENGINE,owner-specific runtime/automation,cpf-member,NO,Non-official entrypoint
