finding_id,severity,area,requirement_ids,status,development_status,verification_status,issue,target_files,required_action,acceptance,failure_criteria,source_qa,prior_finding_ids,baseline_sha,qa_round,updated_at,updated_by
AB-R6-011,P1,ADM/Frontend/Contract,"FDEV-016,FDEV-020",OPEN,재개발 요청,미검증,Frontend enrich script가 validation/security response 계약의 제2 정본 역할,cpf-admin/frontend/scripts/enrich-adm-openapi-contract.mjs,controller/runtime schema를 정본으로 하고 frontend script는 검증/annotation 범위로 축소.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-018,77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-012,P1,ADM/Frontend/Contract,"FDEV-014,FDEV-016,FDEV-017",OPEN,재개발 요청,미검증,Generated Client가 high-risk 실제 Consumer를 compile-time으로 충분히 구속하지 않음,cpf-admin/frontend/src/shared/cpfApi.ts;integrationClosureApi.ts;orval-mutator.ts,high-risk API는 generated request/response/status를 actual consumer에서 직접 사용.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-008,018,028",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-013,P0,Management/Quality,"FDEV-014,FDEV-015,FDEV-016,FDEV-017,FDEV-020,FDEV-025",OPEN,재개발 요청,미검증,Operation consumer Gate False Green,cpf-admin/frontend/scripts/verify-operation-consumer.mjs;cpf-biz-admin/frontend/scripts/verify-operation-consumer.mjs,실제 component callsite/typed generated API 호출을 증명하고 registry-only 소비를 금지.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-016,019,027",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-014,P0,Management/Quality,"FDEV-020,FDEV-025",OPEN,재개발 요청,미검증,R6 Behavior Mutation Gate가 실제 mutation execution이 아닌 tautology,cpf-tools/verification/final-dev/verify-r6-behavior-contracts.py,temp checkout/copy에 real mutation 적용 → 실제 gate 실행 → nonzero exit 확인.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-019,027",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-015,P1,Runtime/Release,"FDEV-005,FDEV-013,FDEV-019,FDEV-020,FDEV-025",OPEN,재개발 요청,미검증,DB Runner Security Test가 process behavior가 아니라 문자열 검사 중심,cpf-tools/verification/final-dev/tests/run-db3-lifecycle.Tests.ps1;verify-db3-runner-contract.py,dummy child로 secret inheritance/timeout/tree-kill/stdout redaction 실제 runtime test.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-015,019,027",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-016,P0,BZA/Frontend,"FDEV-013,FDEV-015,FDEV-017",OPEN,재개발 요청,미검증,BZA Workbench permission code가 canonical manifest와 불일치,cpf-biz-admin/frontend/src/components/RouteOperationWorkbench.vue;cpf-tools/db/metadata/bza-permission-manifest.json,canonical actionRules 기반 operation permission으로 교체.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-016,77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-017,P0,BZA/Frontend,"FDEV-015,FDEV-016,FDEV-017,FDEV-023",OPEN,재개발 요청,미검증,BZA Release Integrity 미완성,cpf-biz-admin/build.gradle;cpf-biz-admin/frontend/\*\*,ADM/BZA 동일한 generation reproducibility + BZA browser release gate.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-017,023",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-018,P2,ADM/Frontend/Contract,"FDEV-012,FDEV-014",OPEN,재개발 요청,미검증,Frontend idempotency storage 정책/표현 불일치,integrationClosureIdempotency.ts/.test.ts,pending retry lifetime/rotation 정책을 명시하고 실제 storage semantics와 UI 문구/Test를 일치.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-026,77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-019,P0,Approval/Security,"FDEV-003,FDEV-010,FDEV-013",OPEN,재개발 요청,미검증,Approval Owner Registry 4D binding이 exact tuple이 아니라 fuzzy matching,BatchRuntimeApprovalOwnerCommandAdapter.java;CenterCutApprovalOwnerCommandAdapter.java,canonical exact allowlist/enum table로 ownerModule+ownerCommand+actionType+targetType 완전일치. near-match negative matrix.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-005,025",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-020,P0,Approval/Security,"FDEV-003,FDEV-006,FDEV-012",OPEN,재개발 요청,미검증,Process Kill 후 Approval EXECUTING/RUNNING 고착 경로,AdmApprovalService.java;AdmApprovalRepository.java;AdmApprovalController.java,stale RUNNING lease/deadline+sweeper/reconcile entry를 구현하고 owner 호출 전/후 kill을 2-instance에서 검증.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-012,025",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-021,P0,Approval/Security,"FDEV-003,FDEV-013",OPEN,재개발 요청,미검증,Public DQ capability 안전성이 Provider 구현 규율에 의존,cpf-core/.../CpfDataQualityCorrectionPort.java,proof verification을 framework-owned final wrapper/token consumption boundary로 이동하거나 provider가 우회할 수 없는 계약으로 변경.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-025,77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-022,P0,Approval/Security,"FDEV-003,FDEV-012,FDEV-013",OPEN,재개발 요청,미검증,HMAC capability 자체에 expiry/nonce-consumption single-use 없음,AdmDataQualityApprovalProofService.java,TTL + nonce ledger/single-use token + replay rejection을 DB/cluster-safe하게 구현.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-025,77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-023,P0,Approval/Security,FDEV-013,OPEN,재개발 요청,미검증,Integration Closure secret가 raw ConfigurationProperties 문자열로 주입 가능,AdmIntegrationClosureProperties.java;AdmIntegrationClosureConfiguration.java,prod/stg에서는 SecretProvider/KMS/secret-ref만 허용하고 raw key property fail-closed.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-006,013",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-024,P1,Approval/Security,"FDEV-003,FDEV-005,FDEV-013,FDEV-019",OPEN,재개발 요청,미검증,Approval Policy immutability/active overlap이 DB까지 닫히지 않음,AdmApprovalService.java;AdmApprovalRepository.java;DB schema/V104,DB immutable trigger/privilege or update prohibition + effective range overlap constraint/transactional conflict.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-013,014",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-025,P0,Runtime/Release,"FDEV-003,FDEV-006,FDEV-012",OPEN,재개발 요청,미검증,Owner success 후 DB finalization/DB outage의 durable UNKNOWN 보장 부족,AdmApprovalService.java;AdmApprovalRepository.java,durable command ledger/outbox/fencing + startup sweeper + owner-status reconcile로 side-effect/ledger 분리를 복구.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-012,025",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-026,P1,Management/Quality,"FDEV-003,FDEV-006,FDEV-010,FDEV-013",OPEN,재개발 요청,미검증,BAT Approved Remote Port가 localhost/local instance default로 fail-open,cpf-admin/src/main/java/com/cpf/admin/opr/batch/runtime/BatApprovalOwnerCommandPort.java,"prod/stg risky command는 explicit endpoint/instance required, localhost/default identity 금지.","실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-005,023",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-027,P1,Management/Quality,"FDEV-003,FDEV-006,FDEV-012",OPEN,재개발 요청,미검증,InMemory DQ replay는 multi-instance/process-kill idempotency 증거가 아님,cpf-common/.../InMemoryCpfDataQualityOperations.java,reference/local scope를 명확히 하고 production persistent provider에서 atomic CAS/idempotency/reconcile proof.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-012,77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-028,P0,EDU/Sample,"FDEV-013,FDEV-018",OPEN,재개발 요청,미검증,EDU 135 Catalog ↔ Handler/Scenario requiredRole 불일치,cpf-reference/src/main/resources/edu/manual-135-catalog.json;EduAdm01\~17Handler.java,"catalog/resource/handler/test role exact equality gate, 고객 매뉴얼 권한 의미를 하나로 정본화.","실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-010,016",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-029,P0,EDU/Sample,"FDEV-018,FDEV-020,FDEV-022,FDEV-025",OPEN,재개발 요청,미검증,EDU 135의 5종 Test가 실제 8종 Product Consumer Runtime을 증명하지 않음,cpf-reference/src/test/java/com/cpf/reference/edu/runtime/\*\*,JDBC/Batch/Gateway/HTTP/File/Process/Outbox 실제 adapters로 family별 integration/runtime corpus 추가.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-019,027",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-030,P0,EDU/Sample,"FDEV-014,FDEV-018",OPEN,재개발 요청,미검증,EDU-ADM 17이 요구 의미보다 template/common-state-machine 중심,cpf-reference/src/main/java/com/cpf/reference/optional/operations/\*\*/EduAdm\*Handler.java,17 ID 각각 requiredVerification/exceptionScenario를 executable behavior와 assertion으로 구현.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-018,020",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-031,P0,EDU/Sample,"FDEV-018,FDEV-020",OPEN,재개발 요청,미검증,EDU-ADM readOnly 정본 불일치,manual-135-catalog.json;EduAdm01/09/14/15Handler.java,catalog↔scenario-contract↔handler exact semantic equality gate.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-010,020",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-032,P0,EDU/Sample,"FDEV-003,FDEV-013,FDEV-018",OPEN,재개발 요청,미검증,EDU-ADM-04 승인 교육 예제가 실제 승인 정책/SoD/만료/범위를 구현하지 않음,EduAdm04Handler.java;tests/resource contract,승인 요청→결정→실행→만료/SoD/변경충돌을 교육용 독립 모델로 실제 구현 및 test.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-005,013,025",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-033,P0,EDU/Sample,"FDEV-013,FDEV-014,FDEV-018",OPEN,재개발 요청,미검증,EDU-ADM-08 보안 교육 예제가 masking/IDOR/browser role matrix를 구현하지 않음,EduAdm08Handler.java;scenario-contract.json,"조직 scope, IDOR, masked/raw permission, reason, audit를 executable example로 구현.","실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-009,016",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
AB-R6-034,P0,EDU/Sample,"FDEV-012,FDEV-014,FDEV-017,FDEV-018",OPEN,재개발 요청,미검증,EDU-ADM-09 version conflict/browser flow 의미 불일치,EduAdm09Handler.java,실제 expectedVersion/CAS conflict + reload/diff/resubmit/abort consumer/browser test.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-010,011,016",77db10ad9aff44ee422795080fb2e96b364c9d65,R6I,2026-08-07T11:36:00+09:00,통합QA
