integrated_finding_id,prior_r5i_finding_ids,qa_a_ids,qa_b_ids,merge_type,preserved_scope,baseline_sha
AB-R6-016,QA-R5I-016,,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-017,"QA-R5I-017,023",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-018,QA-R5I-026,QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-019,"QA-R5I-005,025",QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-020,"QA-R5I-012,025",QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-021,QA-R5I-025,QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-022,QA-R5I-025,QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-023,"QA-R5I-006,013",QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-024,"QA-R5I-013,014",QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-025,"QA-R5I-012,025",QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-026,"QA-R5I-005,023",QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-027,QA-R5I-012,QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-028,"QA-R5I-010,016",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-029,"QA-R5I-019,027",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-030,"QA-R5I-018,020",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-031,"QA-R5I-010,020",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-032,"QA-R5I-005,013,025",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-033,"QA-R5I-009,016",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-034,"QA-R5I-010,011,016",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-035,"QA-R5I-012,016",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-036,"QA-R5I-012,018",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-037,"QA-R5I-009,016,020",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-038,"QA-R5I-019,027",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-039,"QA-R5I-002,014,018,023",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-040,"QA-R5I-002,024,029",QA-A-R6S12-related,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
