sequence,id,source_set,area,work_package,severity,title,setup,expected,owner_module,source_or_gate_paths,checkpoint_review_status,development_status,verification_status,environment,recommended_command,required_evidence,remaining_action,completion_rule
11,CPF-QA-EXEC-035,BASE,RTC,,,Group realtime code cache,group 대상 공통코드 변경,모든 대상 최신 version·offline은 reconnect sync,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
12,CPF-QA-EXEC-036,BASE,RTC,,,Realtime log level TTL,group logger DEBUG 5분,effective level 변경 후 자동 복원,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
13,CPF-QA-EXEC-037,BASE,RTC,,,Realtime message update,다국어 message 변경,target별 version·ACK·실제 응답 반영,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
14,CPF-QA-EXEC-038,BASE,RTC,,,Realtime response code,응답코드 mapping 변경,API 응답에 신규 mapping 적용,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
15,CPF-QA-EXEC-039,BASE,RTC,,,Realtime calendar,영업일 정책 예약 적용,시행 시점에 대상 consumer 적용,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
16,CPF-QA-EXEC-040,BASE,RTC,,,Realtime permission,ADM/BZA permission manifest 변경,stale session 권한 사용 0,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
17,CPF-QA-EXEC-041,BASE,RTC,,,Realtime route,Gateway route v2 적용,2 Gateway desired/actual/ACK 일치,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
18,CPF-QA-EXEC-042,BASE,RTC,,,Realtime routing weight,A/B 90:10 변경,통계 허용오차 내 분배,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
19,CPF-QA-EXEC-043,BASE,RTC,,,Realtime batch schedule,scheduler cron 변경,중복 fire 없이 신규 schedule 적용,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
20,CPF-QA-EXEC-044,BASE,RTC,,,Realtime worker concurrency,worker group concurrency 변경,target만 적용·inflight 정책 준수,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
21,CPF-QA-EXEC-045,BASE,RTC,,,Realtime rate limit,route quota 변경,즉시 429 정책 반영,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
22,CPF-QA-EXEC-046,BASE,RTC,,,Realtime masking,PII masking rule 변경,응답/log/download에 version 일치,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
23,CPF-QA-EXEC-047,BASE,RTC,,,Realtime secret reference,JWT key version activate,dual-key grace와 instance ACK,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
24,CPF-QA-EXEC-048,BASE,RTC,,,Out-of-order delivery,v2 적용 뒤 v1 전달,v1 거부,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
25,CPF-QA-EXEC-049,BASE,RTC,,,Duplicate delivery,같은 changeId 반복,side effect 1회,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
26,CPF-QA-EXEC-050,BASE,RTC,,,Payload incompatible,구 agent에 신규 schema,REJECTED_INCOMPATIBLE,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
27,CPF-QA-EXEC-051,BASE,RTC,,,Poison change,항상 실패 handler,격리 후 다음 change 진행,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
28,CPF-QA-EXEC-052,BASE,RTC,,,Controller restart,delivery 중 controller 종료/재기동,유실·중복 side effect 0,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
29,CPF-QA-EXEC-053,BASE,RTC,,,Agent restart before ACK,apply 직후 agent 종료,desired/actual reconcile,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
30,CPF-QA-EXEC-054,BASE,RTC,,,Offline reconnect,offline 중 5개 변경 후 재접속,최신 snapshot 적용,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
31,CPF-QA-EXEC-055,BASE,RTC,,,Canary success,1 instance 적용 후 health 정상,다음 wave 진행,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
32,CPF-QA-EXEC-056,BASE,RTC,,,Canary failure,canary error threshold 초과,wave 중단·rollback,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
33,CPF-QA-EXEC-057,BASE,RTC,,,Partial apply,10 target 중 2 failed,전체 성공 금지·개별 상태,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
