capability,owner_module,runtime_consumer,target_scope,managed_data,current_state,target_snapshot,preview,permission,approval,operation_id_cas,desired,delivery,ack_actual,drift,retry,cancel,rollback_reconcile,restart_required,audit_masking,adm_ui,runtime_tests,evidence,completion_prohibition
외부연계·Messaging·File,cpf-core / generated domain / cpf-admin,HTTP/TCP/SOAP/gRPC·Broker·File Adapter,Provider·Endpoint·Consumer Group·Group·Instance,Timeout·Retry·DLQ·Concurrency·SFTP/File/Webhook·Simulator,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
인스턴스·그룹 관리,cpf-admin / cpf-core / cpf-batch,Runtime Registration·Routing·Control Plane,Environment→Cluster→Domain/System→Application Group→Role→Instance,Membership·Heartbeat·Lease·Fencing·Version Mix·Capacity,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
인스턴스별 로그 다운로드,cpf-admin / cpf-batch host-agent,ADM Download Service·Agent Log API,System·Domain·Group·Instance·Log Type·Period·Trace/Transaction,List·Stream·ZIP·Archive·Masking·Temp Lifecycle,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
관제·알림,cpf-admin / cpf-core,Operational Event·Outbox Worker·Provider Adapter,Environment·Domain·Group·Instance·Transaction·Error Group,Rule·Suppression·Silence·Escalation·Email/SMS/Webhook·Retry/DLQ,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
Local 개발 Runtime,cpf-local-runtime / cpf-local-batch-runtime,ADM/BZA/Gateway/Domain·Batch Runtime,minimal·standard·full·integration Profile,Web 1 JVM/1 Port·Batch 별도 JVM·Local Facade·Fake/Embedded,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
EDU·Reference 예제 그룹,cpf-reference / cpf-tools / generated domain,개발자·운영자·Generator Consumer,기능그룹·오류유형·Topology·Provider,실제 Public API/SPI·정상/오류/복구·ADM·Test·Evidence,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
Redis·분산 Cache,cpf-core API/SPI / cpf-common / optional Redis adapter / cpf-admin,Cache resolver·공통코드/메시지/권한/설정 Consumer,Environment·Domain·Cache Region·Group·Instance·Key Scope,L1/L2 Provider·TTL·Schema Version·Key Namespace·Desired/Actual·ACK·Backlog·Poison·Drift,Caffeine L1과 DB durable event 기반 구현 여부를 Source·Runtime에서 재확인,Region/Key scope/Instance immutable snapshot와 request hash,예상 evict/refresh 건수·memory·backend 부하·stale 영향·rollback 가능성,CACHE_READ/REFRESH/EVICT/RECONCILE/POISON_RETRY 분리,Full refresh·wide evict·security cache 조치는 승인과 break-glass 상한,operationId·requestHash·expected desiredVersion·checkpoint CAS,Cache policy/version/hash와 target desired state,"Durable event + Redis fast channel, 중복 제거·순서·backpressure",Instance별 appliedVersion/hash/ack/error/heartbeat,"desired-actual version/hash gap, offline, retention gap",bounded retry·backoff·poison quarantine,pending delivery와 rebuild job cancel,snapshot rebuild·durable replay·full reconcile,serializer/provider/config 변경에 따른 restartRequired,"key/value 원문·Secret/PII 비노출, 조치/결과 감사",Provider/health/hit/miss/memory/TTL/version/ACK/backlog/poison/drift Grid와 대상별 조치,Redis down/failover/network partition/offline replay/10만 backlog/lock fencing,"실 Redis와 Simulator 결과 분리, exact SHA·process·metrics·DB/Redis snapshot",Redis 설정·Interface·Pub/Sub 성공만으로 완료 금지; durable recovery·다중 Instance·ADM 결과 필요
Excel·CSV Download,cpf-admin / cpf-biz-admin / owner query service,ADM/BZA 운영자·Download worker,Menu·Dataset·Search Snapshot·Organization·Domain·Environment,CSV/XLSX·row count·mask policy·file hash·expiry·job state,기존 CSV 구현과 memory/streaming/vendor SQL을 Source에서 재확인,검색조건·선택행·Data Scope·mask policy snapshot,예상 행수·파일크기·민감도·승인 필요,DOWNLOAD/DOWNLOAD_SENSITIVE/RE-DOWNLOAD 분리,민감·대량 다운로드 승인·사유·만료,downloadJobId·operationId·requestHash,생성 형식·범위·mask·expiry,비동기 job 또는 streaming,생성/실다운로드 결과·actual rows·hash,검색 snapshot과 실제 query version 불일치,재생성·재다운로드 정책,job/client cancel과 cleanup,orphan temp cleanup·unknown job reconcile,없음; worker restart recovery 필요,파일/로그/Evidence masking과 불변 감사,Download Center progress/result/error/expiry/cancel,100만건·disconnect·disk full·3 Vendor·formula injection,파일 SHA-256·row count·heap·query profile,첫 page·browser CSV·byte[] 전체 적재·권한 없는 URL이면 완료 금지
Excel·CSV Upload,cpf-admin / cpf-biz-admin / owner command service,Upload validator·worker·업무 owner service,Template·Domain·Organization·Environment·Dataset,Template version·file hash·row validation·job·error file·apply result,일반 첨부 업로드와 업무 Bulk Upload를 분리해 재확인,파일 hash·template/schema·DB expectedVersion·target scope,valid/invalid/duplicate/change count·before/after·atomicity,UPLOAD/UPLOAD_APPLY/ERROR_FILE 분리,실제 적용과 대량·민감 변경 승인,uploadJobId·operationId·file hash·expectedVersion,검증된 change set과 apply policy,"비동기 validator/worker, chunk/checkpoint",행별 success/failure/skipped와 DB actual,preview 후 DB/version 변경,실패행 재처리·전체 재검증,검증/적용 취소와 안전한 cleanup,atomic rollback·compensation·unknown reconcile,worker restart recovery,원본·오류파일 암호화/retention·PII masking,Upload wizard·dry-run·preview·progress·행별 오류·오류파일,악성파일·중복·부분실패·kill/restart·동일 operation 다른 hash,file hash·job rows·DB before/after·error file hash,파일 수신만 하거나 행별 결과·복구·승인 없으면 완료 금지
버튼별 Action 권한,cpf-core security / cpf-admin / cpf-biz-admin,Frontend action guard·Backend authorization filter/service,Menu·Screen·Action·API·Method·Resource·Data·Environment·Domain·Organization,Action manifest·Allow/Deny·inheritance·effective permission·version,generic READ/WRITE/DELETE 사용과 세부 Action 적용 범위를 Source에서 재확인,사용자/role/permission/version/session snapshot,권한 변경 전후·영향 사용자·route/API parity,권한 관리 자체의 read/write/approve 권한,최고권한·break-glass·민감권한 변경 승인,operationId·requestHash·expected permission version,versioned permission manifest,session/cache invalidation과 instance propagation,Frontend/backend/instance effective version,seed/route/API/frontend/backend 불일치,전파 재시도,pending permission change 취소,이전 manifest rollback·session reconcile,원칙적으로 없음,변경자·승인자·diff·simulation 감사,Permission Tree·role compare·user simulation·diff,direct URL/API/method/scope/deny/cache multi-WAS,manifest hash·negative HTTP·browser trace,버튼 숨김 또는 generic WRITE만으로 완료 금지
