path,change_type,scope
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/runtime_snapshot_version_gate.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/spring_mapping_actual.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/spring_mapping_actual_result.json,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/spring_mapping_gate.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/substitute_head_after.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/substitute_head_before.log,ADD,QA full-campaign root overlay
cpf-docs/work/review/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/BOOTSTRAP_AND_VALIDATE.md,ADD,QA full-campaign root overlay
cpf-docs/work/review/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/CHANGE_MANIFEST.csv,ADD,QA full-campaign root overlay
cpf-docs/work/review/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/CLEANUP_ONE_LINE.txt,ADD,QA full-campaign root overlay
cpf-docs/work/review/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/DELETE_MANIFEST.csv,ADD,QA full-campaign root overlay
cpf-docs/work/review/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/ENVIRONMENT_VALIDATION_HANDOFF.csv,ADD,QA full-campaign root overlay
cpf-docs/work/review/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/OPEN_ISSUES.md,ADD,QA full-campaign root overlay
cpf-docs/work/review/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/PACKAGE_MANIFEST.json,ADD,QA full-campaign root overlay
cpf-docs/work/review/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/QA_DIRECT_FIXES.csv,ADD,QA full-campaign root overlay
cpf-docs/work/review/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/QA_FINDINGS.csv,ADD,QA full-campaign root overlay
cpf-docs/work/review/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/QA_REWORK_REQUEST.md,ADD,QA full-campaign root overlay
cpf-docs/work/review/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/REVIEW_INDEX.md,ADD,QA full-campaign root overlay
cpf-docs/work/review/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/TEST_AND_EVIDENCE.md,ADD,QA full-campaign root overlay
cpf-starters/integration/http-client/src/test/java/com/cpf/core/common/http/CpfServiceEndpointRegistryVersionFenceTest.java,ADD,QA full-campaign root overlay
cpf-tools/db/vendor/mariadb/rollback/R100__bat_operation_request_ledger.sql,MODIFY,QA full-campaign root overlay
cpf-tools/db/vendor/oracle/rollback/R100__bat_operation_request_ledger.sql,MODIFY,QA full-campaign root overlay
cpf-tools/db/vendor/postgresql/rollback/R100__bat_operation_request_ledger.sql,MODIFY,QA full-campaign root overlay
cpf-tools/scripts/build-cpf-full-qa-ledgers.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/run-cpf-full-qa-validation.ps1,ADD,QA full-campaign root overlay
cpf-tools/scripts/run-cpf-r4-substitute-validation.py,MODIFY,QA full-campaign root overlay
cpf-tools/scripts/run-db-vendor-lifecycle.ps1,MODIFY,QA full-campaign root overlay
cpf-tools/scripts/tests/test_batch_risk_command_post_action_unknown.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/tests/test_build_cpf_full_qa_ledgers.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/tests/test_run_cpf_full_qa_validation.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/tests/test_run_cpf_r4_substitute_validation.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/tests/test_runtime_handoff_scripts.py,MODIFY,QA full-campaign root overlay
cpf-tools/scripts/tests/test_verify_cpf_approval_state_machine.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/tests/test_verify_cpf_bat_operation_ledger_lifecycle.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/tests/test_verify_cpf_batch_approval_trust_boundary.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/tests/test_verify_cpf_batch_runtime_command_versioning.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/tests/test_verify_cpf_full_qa_completion.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/tests/test_verify_cpf_internal_service_identity_binding.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/tests/test_verify_cpf_owner_boundaries.py,MODIFY,QA full-campaign root overlay
cpf-tools/scripts/tests/test_verify_cpf_runtime_snapshot_versioning.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/tests/test_verify_cpf_spring_request_mapping_uniqueness.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/verify-cpf-approval-state-machine.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/verify-cpf-bat-operation-ledger-lifecycle.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/verify-cpf-batch-approval-trust-boundary.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/verify-cpf-batch-runtime-command-versioning.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/verify-cpf-full-qa-completion.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/verify-cpf-internal-service-identity-binding.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/verify-cpf-owner-boundaries.py,MODIFY,QA full-campaign root overlay
cpf-tools/scripts/verify-cpf-runtime-snapshot-versioning.py,ADD,QA full-campaign root overlay
cpf-tools/scripts/verify-cpf-spring-request-mapping-uniqueness.py,ADD,QA full-campaign root overlay
