finding_id,priority,path,category,finding,impact,required_action
F-018,P1,cpf-starters/aop-service-access/src/main/java/com/cpf/core/common/aop/ServiceAccessAspect.java,architecture,호출 스택 문자열로 controller/filter/interceptor를 찾음.,Batch/Event/Internal 호출 오탐 및 보안 경계 부적합,Starter 제거; 명시 권한/port 경계 사용
F-019,P0,cpf-tools/build/platform-bom/build.gradle,canonical,Artifact Catalog 기반 starterArtifactIds와 별도 수동 QA38 constraints를 동시에 유지.,"BOM 정본 2개, stale 가능",Canonical catalog 1개에서 생성
F-020,P0,cpf-docs/work/manifest/CPF_QA38_FILES.sha256,evidence,QA38_LOCAL_VERIFICATION_EVIDENCE.md hash를 기록하지만 current master 파일 fetch는 404.,Evidence integrity 실패,현재 SHA에서 manifest 재생성
F-021,P0,cpf-docs/work/state/CPF_CODEX_CONTINUITY_STATE.md,truth,개발 완료 156/156을 선언.,Current Work Request의 부분 구현/미검증 및 실제 결함과 모순,QA39 상태로 교정
F-022,P0,cpf-docs/work/handover/CPF_QA38_HANDOVER.md,truth,개발 완료 156건과 과거 base SHA를 활성 인수인계로 유지.,다른 AI가 잘못된 완료를 승계,QA39 Handover로 교체
F-023,P0,cpf-docs/work/manifest/CPF_QA38_PACKAGE_MANIFEST.json,stale,"baseSha=dafe5..., latestObservedOriginMaster=99f...로 현재 SHA 54bcc...와 불일치.",Package evidence stale,exact SHA package 재생성
F-024,P0,GitHub commit 54bcc108...,CI,연결된 combined status와 workflow run이 없음.,독립 Build/Test 근거 없음,required GitHub Actions 구축
F-025,P1,다수 신규 Java Source,maintainability,한 줄 압축 Source와 wildcard import가 다수 존재.,리뷰·정적분석·오류 위치 파악 저하,formatter/checkstyle/error-prone gate
F-026,P1,cpf-starters/observability-otlp/**,value,OTLP trace SDK 조립만 제공하고 metrics/log/resource/failure 운영이 없음.,독립 공개 Starter 가치 부족,내부 exporter로 숨기거나 제거
F-027,P1,cpf-starters/tabular-poi/**; file-archive/**; attachment/**,granularity,개발자 관점에서 모두 파일 처리 Capability인데 각각 공개 Starter.,선택 복잡도 증가,file-processing Capability로 통합
F-028,P1,cpf-starters/integration-tcp/**; integration-fixedlength/**; integration-iso8583/**,granularity,전문 연계 한 흐름을 세 Artifact로 직접 조합.,사용자 조합 오류 가능,transaction-integration Capability로 통합
F-029,P1,cpf-admin/build.gradle; cpf-biz-admin/build.gradle; cpf-gateway/build.gradle,dependency,Profile가 포함한 Leaf를 Consumer가 다시 직접 참조하는 중복이 존재.,소비 규칙 불명확,Profile-only 또는 leaf-only 단일 규칙
F-030,P1,cpf-tools/generator/contracts/capability-profiles.json,UX,13개 Profile와 provider별 event Profile을 노출.,한 화면 선택 어려움,6개 use-case Profile + capability flags
F-031,P0,cpf-docs/work/current/CPF_QA39_INTEGRATED_DEVELOPMENT_REQUEST.md; CPF_QA39_SELF_DEVELOPED_REQUIREMENTS.csv,requirement-conflict,최신 Commit의 자체요건이 미등록 7개 모듈 제품화와 Resilience/Feature Flag 보호를 지시해 최종 QA 결정과 충돌한다.,개발 GPT가 삭제 대상을 다시 제품화하고 Starter 난립을 확대할 위험,R3 QA 최종요건으로 대체하고 QA>자체요건 우선순위 Gate 적용
