requirement_id,priority,category,owner,title,original_development_status,original_verification_status,post_push_review_status,review_reason,related_defects
QA38-CURRENT-003,P0,Currentization,QA/Governance,과거 Requirement 흡수·Continuity,완료,완료,재확인 필요,정본/이력/전체 Repository 대조가 추가로 필요,QA39-DEF-007;QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-019;QA39-DEF-039
QA38-GOV-005,P0,Governance,QA/Governance,승인 없는 Requirement 제거 금지,완료,완료,완료,정적 검토에서 해당 통제의 직접 위반은 확인되지 않음,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-017;QA39-DEF-036;QA39-DEF-039
QA38-GOV-006,P0,Governance,QA/Governance,과거 원장 보존,완료,완료,완료,정적 검토에서 해당 통제의 직접 위반은 확인되지 않음,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-017;QA39-DEF-036;QA39-DEF-039
QA38-GOV-007,P0,Governance,QA/Governance,상태 축 분리,완료,완료,완료,정적 검토에서 해당 통제의 직접 위반은 확인되지 않음,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-017;QA39-DEF-036;QA39-DEF-039
QA38-GOV-008,P0,Governance,QA/Governance,Source 독립 검토,완료,완료,재확인 필요,정본/이력/전체 Repository 대조가 추가로 필요,QA39-DEF-002;QA39-DEF-003;QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-035;QA39-DEF-036;QA39-DEF-038;QA39-DEF-039
QA38-GOV-009,P0,Governance,QA/Governance,Source Defect와 환경 Blocker,완료,완료,완료,정적 검토에서 해당 통제의 직접 위반은 확인되지 않음,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-017;QA39-DEF-036;QA39-DEF-039
QA38-GOV-010,P0,Governance,QA/Governance,Codex Continuity,완료,완료,완료,정적 검토에서 해당 통제의 직접 위반은 확인되지 않음,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-017;QA39-DEF-036;QA39-DEF-039
QA38-GOV-011,P0,Governance,QA/Governance,AI 결정 승인 상태,완료,완료,완료,정적 검토에서 해당 통제의 직접 위반은 확인되지 않음,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-017;QA39-DEF-034;QA39-DEF-036;QA39-DEF-039
QA38-GOV-012,P0,Governance,QA/Governance,중복·가비지 관리,완료,완료,완료,정적 검토에서 해당 통제의 직접 위반은 확인되지 않음,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-017;QA39-DEF-036;QA39-DEF-039
QA38-VERIFY-002,P0,Verification,Codex/QA,01_CANONICAL,완료,완료,미검증,해당 대형 검증을 최신 SHA에서 실행하지 않음,QA39-DEF-002;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-036;QA39-DEF-039
QA38-SRC-001,P0,Source Audit,QA/Architecture,Dependency Graph,완료,완료,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-005;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-035;QA39-DEF-039
QA38-SRC-002,P0,Source Audit,QA/Architecture,Import Graph,완료,완료,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-005;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-035;QA39-DEF-039
QA38-SRC-003,P0,Source Audit,QA/Architecture,AutoConfiguration Graph,완료,완료,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-005;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-035;QA39-DEF-039
QA38-SRC-004,P0,Source Audit,QA/Architecture,Consumer Graph,완료,완료,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-035;QA39-DEF-038;QA39-DEF-039
QA38-SRC-005,P0,Source Audit,QA/Architecture,SQL Graph,완료,완료,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-005;QA39-DEF-006;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-035;QA39-DEF-039
QA38-SRC-006,P0,Source Audit,QA/Architecture,Generator Graph,완료,완료,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-035;QA39-DEF-039
QA38-SRC-007,P0,Source Audit,QA/Architecture,Test Graph,완료,완료,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-005;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-035;QA39-DEF-039
QA38-SRC-008,P0,Source Audit,QA/Architecture,Artifact Graph,완료,완료,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-035;QA39-DEF-039
QA38-SRC-009,P0,Source Audit,QA/Architecture,Frontend Graph,완료,완료,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-005;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-035;QA39-DEF-037;QA39-DEF-039
QA38-SRC-010,P0,Source Audit,QA/Architecture,Recent Commit Impact,완료,완료,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-005;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-035;QA39-DEF-039
QA38-VERIFY-003,P0,Verification,Codex/QA,02_STATIC,완료,완료,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-002;QA39-DEF-005;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-023;QA39-DEF-024;QA39-DEF-035;QA39-DEF-036;QA39-DEF-039
QA38-CONSUMER-001,P0,Consumer Migration,Product Owner,ADM,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-004;QA39-DEF-005;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-023;QA39-DEF-024;QA39-DEF-034;QA39-DEF-035;QA39-DEF-037;QA39-DEF-038;QA39-DEF-039
QA38-CONSUMER-002,P0,Consumer Migration,Product Owner,BZA,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-020;QA39-DEF-023;QA39-DEF-024;QA39-DEF-034;QA39-DEF-035;QA39-DEF-038;QA39-DEF-039
QA38-CONSUMER-003,P0,Consumer Migration,Product Owner,Gateway,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-004;QA39-DEF-005;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-024;QA39-DEF-034;QA39-DEF-035;QA39-DEF-038;QA39-DEF-039
QA38-CONSUMER-004,P0,Consumer Migration,Product Owner,Batch,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-004;QA39-DEF-005;QA39-DEF-009;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-024;QA39-DEF-032;QA39-DEF-034;QA39-DEF-035;QA39-DEF-038;QA39-DEF-039
QA38-CONSUMER-005,P0,Consumer Migration,Product Owner,Reference,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-018;QA39-DEF-019;QA39-DEF-034;QA39-DEF-035;QA39-DEF-038;QA39-DEF-039
QA38-CONSUMER-006,P0,Consumer Migration,Product Owner,cpf-member,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-035;QA39-DEF-038;QA39-DEF-039
QA38-CONSUMER-007,P0,Consumer Migration,Product Owner,Generated Domain,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-035;QA39-DEF-038;QA39-DEF-039
QA38-CONSUMER-008,P0,Consumer Migration,Product Owner,Customer Plugin,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-007;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-022;QA39-DEF-034;QA39-DEF-035;QA39-DEF-038;QA39-DEF-039
QA38-EXISTING-001,P0,Existing Starter,Starter Owner,Security,완료,미검증,미검증,기존 Starter 실제 runtime regression 미실행,QA39-DEF-002;QA39-DEF-003;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-023;QA39-DEF-024;QA39-DEF-035;QA39-DEF-036;QA39-DEF-037;QA39-DEF-039
QA38-EXISTING-002,P0,Existing Starter,Starter Owner,Kafka,완료,미검증,미검증,기존 Starter 실제 runtime regression 미실행,QA39-DEF-002;QA39-DEF-003;QA39-DEF-009;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-023;QA39-DEF-024;QA39-DEF-035;QA39-DEF-039
QA38-EXISTING-003,P0,Existing Starter,Starter Owner,Cache,완료,미검증,미검증,기존 Starter 실제 runtime regression 미실행,QA39-DEF-002;QA39-DEF-003;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-023;QA39-DEF-024;QA39-DEF-035;QA39-DEF-039
QA38-EXISTING-004,P0,Existing Starter,Starter Owner,Observability,완료,미검증,미검증,기존 Starter 실제 runtime regression 미실행,QA39-DEF-002;QA39-DEF-003;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-023;QA39-DEF-024;QA39-DEF-035;QA39-DEF-039
QA38-EXISTING-005,P0,Existing Starter,Starter Owner,Resilience,완료,미검증,미검증,기존 Starter 실제 runtime regression 미실행,QA39-DEF-002;QA39-DEF-003;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-023;QA39-DEF-024;QA39-DEF-035;QA39-DEF-039
QA38-EXISTING-006,P0,Existing Starter,Starter Owner,Feature Flag,완료,미검증,미검증,기존 Starter 실제 runtime regression 미실행,QA39-DEF-002;QA39-DEF-003;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-023;QA39-DEF-024;QA39-DEF-035;QA39-DEF-039
QA38-EXISTING-007,P0,Existing Starter,Starter Owner,Secret,완료,미검증,미검증,기존 Starter 실제 runtime regression 미실행,QA39-DEF-002;QA39-DEF-003;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-023;QA39-DEF-024;QA39-DEF-035;QA39-DEF-039
QA38-GROUP-001,P0,Starter Group/Generator,Starter Architecture/Generator,Leaf Naming,완료,미검증,재확인 필요,정본/이력/전체 Repository 대조가 추가로 필요,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-002,P0,Starter Group/Generator,Starter Architecture/Generator,Base Starter,완료,미검증,재확인 필요,정본/이력/전체 Repository 대조가 추가로 필요,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-034;QA39-DEF-036;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-003,P0,Starter Group/Generator,Starter Architecture/Generator,Capability Profile,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-004,P0,Starter Group/Generator,Starter Architecture/Generator,Aggregate Starter,완료,미검증,재확인 필요,정본/이력/전체 Repository 대조가 추가로 필요,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-005,P0,Starter Group/Generator,Starter Architecture/Generator,Resolved Lock,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-006,P0,Starter Group/Generator,Starter Architecture/Generator,Named Binding,완료,미검증,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-007,P0,Starter Group/Generator,Starter Architecture/Generator,Conflict Gate,완료,미검증,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-008,P0,Starter Group/Generator,Starter Architecture/Generator,BOM,완료,미검증,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-009,P0,Starter Group/Generator,Starter Architecture/Generator,Publication,완료,미검증,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-010,P0,Starter Group/Generator,Starter Architecture/Generator,Optional Removal,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-004;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-011,P0,Starter Group/Generator,Starter Architecture/Generator,Footprint,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-012,P0,Starter Group/Generator,Starter Architecture/Generator,Upgrade,완료,미검증,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-013,P0,Starter Group/Generator,Starter Architecture/Generator,Generator,완료,미검증,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-GROUP-014,P0,Starter Group/Generator,Starter Architecture/Generator,Legacy Removal,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-003;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-034;QA39-DEF-038;QA39-DEF-039
QA38-STARTER-001,P0,Core/Common→Starter,Core/Common/Starter Owners,CpfDataSourceConfig MOVE,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-035;QA39-DEF-036;QA39-DEF-037;QA39-DEF-039
QA38-STARTER-002,P0,Core/Common→Starter,Core/Common/Starter Owners,CpfMyBatisConfig+dependency/resources MOVE,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-023;QA39-DEF-035;QA39-DEF-036;QA39-DEF-039
QA38-STARTER-003,P0,Core/Common→Starter,Core/Common/Starter Owners,CpfAopConfig+ServiceAccessAspect+AspectJ MOVE,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-024;QA39-DEF-035;QA39-DEF-036;QA39-DEF-037;QA39-DEF-039
QA38-STARTER-004,P0,Core/Common→Starter,Core/Common/Starter Owners,CpfOpenApiAutoConfiguration+Springdoc+Scalar MOVE,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-035;QA39-DEF-036;QA39-DEF-037;QA39-DEF-039
QA38-STARTER-005,P0,Core/Common→Starter,Core/Common/Starter Owners,CpfSecurityAutoConfiguration SPLIT_MOVE,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-023;QA39-DEF-024;QA39-DEF-035;QA39-DEF-036;QA39-DEF-039
QA38-STARTER-006,P0,Core/Common→Starter,Core/Common/Starter Owners,BFF/JDBC Security Runtime SPLIT_MOVE,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-023;QA39-DEF-024;QA39-DEF-035;QA39-DEF-036;QA39-DEF-037;QA39-DEF-039
QA38-STARTER-007,P0,Core/Common→Starter,Core/Common/Starter Owners,Broker Worker/Bridge/JDBC Reliability Repository MOVE,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-009;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-032;QA39-DEF-035;QA39-DEF-036;QA39-DEF-039
QA38-STARTER-008,P0,Core/Common→Starter,Core/Common/Starter Owners,JdbcCpfChannelRegistryAdapter MOVE,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-035;QA39-DEF-036;QA39-DEF-039
QA38-STARTER-009,P0,Core/Common→Starter,Core/Common/Starter Owners,Logging+OTel SDK/Exporter Runtime SPLIT_MOVE,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-035;QA39-DEF-036;QA39-DEF-039
QA38-STARTER-010,P0,Core/Common→Starter,Core/Common/Starter Owners,Remote HTTP Runtime MOVE,완료,미검증,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-002;QA39-DEF-004;QA39-DEF-005;QA39-DEF-009;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-035;QA39-DEF-036;QA39-DEF-037;QA39-DEF-039
QA38-STARTER-012,P0,Core/Common→Starter,Core/Common/Starter Owners,Fixed-length Spring Component SPLIT,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-019;QA39-DEF-035;QA39-DEF-036;QA39-DEF-039
QA38-STARTER-013,P0,Core/Common→Starter,Core/Common/Starter Owners,FileExchange/SFTP Planned Runtime MOVE_IMPLEMENT,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-009;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-018;QA39-DEF-035;QA39-DEF-036;QA39-DEF-039
QA38-STARTER-015,P0,Core/Common→Starter,Core/Common/Starter Owners,Redis/Valkey Connection·Template·Listener MOVE,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-035;QA39-DEF-036;QA39-DEF-037;QA39-DEF-039
QA38-STARTER-016,P0,Core/Common→Starter,Core/Common/Starter Owners,Caffeine Runtime MOVE,완료,미검증,부분 구현,Source 일부는 존재하지만 Build/Consumer/Runtime/Test/Evidence가 닫히지 않음,QA39-DEF-002;QA39-DEF-005;QA39-DEF-010;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-035;QA39-DEF-036;QA39-DEF-039
